"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,560,18000," ",147000," "
1,1962,560,19000," ",192000," "
1,1963,560,21000," ",66000," "
1,1964,560,23000," ",55000," "
1,1965,560,25000," ",142000," "
1,1966,560,27000," ",161000," "
1,1967,560,28000," ",128000," "
1,1968,560,29000," ",93000," "
1,1969,560,29000," ",195000," "
1,1970,560,29000," ",229000," "
1,1971,560,30000," ",209000," "
1,1972,560,30000," ",106000," "
1,1973,560,29000," ",142000," "
1,1974,560,30000," ",186000," "
1,1975,560,30000," ",206000," "
1,1976,560,30000," ",201000," "
1,1977,560,30000," ",223000," "
1,1978,560,30000," ",238000," "
1,1979,560,29000," ",244000," "
1,1980,560,28000," ",206000," "
1,1981,560,29000," ",361000," "
1,1982,560,28000," ",270000," "
1,1983,560,28000," ",139000," "
1,1984,560,26000," ",237000," "
1,1985,560,26000," ",252000," "
1,1986,560,26000," ",240000," "
1,1987,560,26000," ",169000," "
1,1988,560,26000," ",214000," "
1,1989,560,26000," ",119000," "
1,1990,560,24800," ",143500," "
1,1991,560,24487," ",191243," "
1,1992,560,23805," ",142105," "
1,1993,560,23700," ",134900," "
1,1994,560,25100," ",212400," "
1,1995,560,22700," ",154900," "
1,1996,560,21900," ",158200," "
1,1997,560,17200," ",107719," "
1,1998,560,15200," ",105900," "
1,1999,560,15076," ",114754," "
1,2000,560,14571," ",115841," "
1,2001,560,14314," ",116500," "
1,2002,560,12434," ",103962," "
1,2003,560,11301," ",81600," "
1,2004,560,13560," ",148892," "
1,2005,560,13475," ",164353," "
1,2006,560,14098," ",201371," "
1,2007,560,14097," ",218883," "
1,2008,560,14390," ",185832," "
1,2009,560,14292," ",208649," "
1,2010,560,14613," ",222905," "
1,2011,560,14478," ",229589," "
2,1961,560,50000,"F",225000,"F"
2,1962,560,50000,"*",225000,"*"
2,1963,560,50000,"*",225000,"*"
2,1964,560,52500,"*",265000,"*"
2,1965,560,55000,"*",287000,"*"
2,1966,560,60000,"F",315000,"*"
2,1967,560,66200,"*",372000,"*"
2,1968,560,70000," ",375000,"*"
2,1969,560,70000,"F",379000,"*"
2,1970,560,70000,"F",364000,"*"
2,1971,560,70000,"F",293000,"*"
2,1972,560,70000,"F",360000,"F"
2,1973,560,70000," ",385000," "
2,1974,560,70000,"F",407000,"F"
2,1975,560,70000," ",420000," "
2,1976,560,70000," ",471000," "
2,1977,560,70100," ",430000," "
2,1978,560,70500," ",440000," "
2,1979,560,66900,"*",442000,"*"
2,1980,560,66000,"*",459000,"*"
2,1981,560,63900,"*",455000,"*"
2,1982,560,62000,"*",444000,"*"
2,1983,560,59900,"*",434000,"*"
2,1984,560,57800,"*",418000,"*"
2,1985,560,56400,"*",408000,"*"
2,1986,560,50000," ",365000," "
2,1987,560,50000,"F",360000," "
2,1988,560,52000," ",365000," "
2,1989,560,52000," ",365000," "
2,1990,560,52000," ",365000," "
2,1991,560,52000," ",365000," "
2,1992,560,53076,"E",330000," "
2,1993,560,54371,"E",330000," "
2,1994,560,56929,"E",330000," "
2,1995,560,55759,"E",330000," "
2,1996,560,57842,"E",330000," "
2,1997,560,52000,"*",330000,"*"
2,1998,560,52000,"*",330000,"*"
2,1999,560,52000,"*",330000,"*"
2,2000,560,52000,"*",330000,"*"
2,2001,560,52000,"*",365000,"*"
2,2002,560,52000,"*",365000,"*"
2,2003,560,50000,"*",365000,"*"
2,2004,560,50000,"*",349100,"*"
2,2005,560,50000,"*",345700,"*"
2,2006,560,52000,"*",350000,"*"
2,2007,560,55000,"F",360000,"*"
2,2008,560,57600," ",364000," "
2,2009,560,60832," ",378000,"*"
2,2010,560,61132," ",397000,"*"
2,2011,560,61558," ",492464," "
3,1961,560,10200," ",43412," "
3,1962,560,11100," ",48800," "
3,1963,560,11900," ",20160," "
3,1964,560,12519," ",38678," "
3,1965,560,12600," ",42900," "
3,1966,560,12600," ",54100," "
3,1967,560,12500," ",48500," "
3,1968,560,12600," ",57800," "
3,1969,560,12600," ",59700," "
3,1970,560,12358," ",65000," "
3,1971,560,11800," ",52000,"F"
3,1972,560,11500,"F",57000,"F"
3,1973,560,11800," ",61000,"F"
3,1974,560,13000,"F",62000,"F"
3,1975,560,14000,"F",64000,"F"
3,1976,560,14800,"F",67000,"F"
3,1977,560,15600,"*",64000,"F"
3,1978,560,16500,"F",72000,"F"
3,1979,560,17100," ",66000,"F"
3,1980,560,17366," ",68000,"F"
3,1981,560,17800," ",70300," "
3,1982,560,18000," ",79900," "
3,1983,560,19000," ",82000," "
3,1984,560,19000,"F",70000,"F"
3,1985,560,19076," ",80400," "
3,1986,560,19190," ",63700," "
3,1987,560,19508," ",77500," "
3,1988,560,19378," ",75200," "
3,1989,560,19221," ",79800," "
3,1990,560,14058," ",90700," "
3,1991,560,13684," ",57700," "
3,1992,560,6193," ",37800," "
3,1993,560,6193," ",40400," "
3,1994,560,4545," ",44000," "
3,1995,560,4342," ",55493," "
3,1996,560,4345," ",59115," "
3,1997,560,4121," ",67466," "
3,1998,560,4306," ",68327," "
3,1999,560,5377," ",70400," "
3,2000,560,4613," ",79300," "
3,2001,560,4878," ",85100," "
3,2002,560,5202," ",83100," "
3,2003,560,5741," ",105500," "
3,2004,560,6364," ",97100," "
3,2005,560,6637," ",115100," "
3,2006,560,6915," ",127800," "
3,2007,560,7497," ",146500," "
3,2008,560,8061," ",153900," "
3,2009,560,8532," ",162800," "
3,2010,560,8630," ",184900," "
3,2011,560,9077," ",195200," "
4,1961,560,349000," ",1845000," "
4,1962,560,346000," ",1668000," "
4,1963,560,346000," ",1696000," "
4,1964,560,351410," ",1416000," "
4,1965,560,345714," ",1902000," "
4,1966,560,335240," ",931300,"*"
4,1967,560,313670," ",889000,"*"
4,1968,560,305000," ",1399000,"*"
4,1969,560,308140," ",1237000,"*"
4,1970,560,299660," ",1275000,"*"
4,1971,560,290110," ",1295000,"*"
4,1972,560,260700," ",761000,"*"
4,1973,560,241150," ",794000,"*"
4,1974,560,234070," ",837000,"*"
4,1975,560,216940," ",587000,"*"
4,1976,560,220990," ",518000,"*"
4,1977,560,213030," ",370000,"*"
4,1978,560,203350," ",263000,"*"
4,1979,560,192840," ",386000,"*"
4,1980,560,192000,"F",407000,"*"
4,1981,560,182000," ",4e+05,"*"
4,1982,560,181000," ",255000," "
4,1983,560,171710," ",315000," "
4,1984,560,162480," ",415000," "
4,1985,560,157400," ",469000," "
4,1986,560,130430," ",465000,"*"
4,1987,560,121570," ",282000,"*"
4,1988,560,110830," ",301000,"*"
4,1989,560,105640," ",270426," "
4,1990,560,87730," ",262794," "
4,1991,560,79880," ",251370," "
4,1992,560,73920," ",229073," "
4,1993,560,70470," ",212652," "
4,1994,560,69400," ",141294," "
4,1995,560,56580," ",196351," "
4,1996,560,55670," ",195400," "
4,1997,560,52030," ",192190," "
4,1998,560,51730," ",146670," "
4,1999,560,50650," ",177905," "
4,2000,560,51020," ",203617," "
4,2001,560,51450," ",196159," "
4,2002,560,54200," ",234397," "
4,2003,560,60465," ",277968," "
4,2004,560,62532," ",283900," "
4,2005,560,69633," ",334021," "
4,2006,560,75187," ",398018," "
4,2007,560,76754," ",244999," "
4,2008,560,73739," ",401992," "
4,2009,560,69110," ",492525," "
4,2010,560,69224," ",560562," "
4,2011,560,72042," ",402592," "
9,1961,560,239000," ",2174000," "
9,1962,560,245000," ",2460000," "
9,1963,560,253000," ",2678000," "
9,1964,560,261000," ",2544000," "
9,1965,560,267000," ",2342000," "
9,1966,560,271000," ",2777000," "
9,1967,560,276000," ",3624000," "
9,1968,560,291000," ",2590000," "
9,1969,560,294167," ",2354000," "
9,1970,560,294700," ",2668000," "
9,1971,560,299664," ",2886000," "
9,1972,560,304100," ",2600000," "
9,1973,560,299400," ",2610000," "
9,1974,560,310000," ",3528000," "
9,1975,560,331200," ",3100000," "
9,1976,560,339100," ",3760000," "
9,1977,560,340700," ",3400000," "
9,1978,560,341000," ",2800000," "
9,1979,560,316355," ",3452505," "
9,1980,560,318463," ",3086772," "
9,1981,560,318904," ",2929914," "
9,1982,560,321210," ",3571000," "
9,1983,560,318675," ",3504470," "
9,1984,560,305981," ",2638509," "
9,1985,560,291906," ",2252870," "
9,1986,560,280314," ",2563235," "
9,1987,560,270939," ",3693546," "
9,1988,560,264736," ",3191750," "
9,1989,560,258362," ",2970586," "
9,1990,560,206014," ",2342350," "
9,1991,560,204890," ",2081620," "
9,1992,560,208468," ",2126620," "
9,1993,560,202857," ",1940981," "
9,1994,560,206910," ",2497360," "
9,1995,560,206378," ",2854814," "
9,1996,560,205568," ",2039893," "
9,1997,560,204743," ",2481910," "
9,1998,560,199739," ",2001673," "
9,1999,560,195418," ",2441660,"*"
9,2000,560,187740," ",2459860," "
9,2001,560,201971," ",2481530,"*"
9,2002,560,205919," ",2281190,"*"
9,2003,560,205721,"*",2339460,"*"
9,2004,560,206300,"*",2650972,"*"
9,2005,560,212030,"*",2829711,"*"
9,2006,560,216340,"*",2880927,"*"
9,2007,560,219070,"*",3092509," "
9,2008,560,226450," ",2821696," "
9,2009,560,228575," ",2181567.3," "
9,2010,560,223685," ",2616613.2," "
9,2011,560,218000,"*",2890000,"*"
10,1961,560,49288," ",534975," "
10,1962,560,49416," ",637978," "
10,1963,560,49364," ",478990," "
10,1964,560,50144," ",665300," "
10,1965,560,50703," ",690531," "
10,1966,560,51483," ",591459," "
10,1967,560,51488," ",694748," "
10,1968,560,51736," ",638611," "
10,1969,560,51555," ",553411," "
10,1970,560,52043," ",757668," "
10,1971,560,53419," ",548000," "
10,1972,560,56800," ",826956," "
10,1973,560,59700," ",603200," "
10,1974,560,62500," ",552200," "
10,1975,560,64047," ",727800," "
10,1976,560,63400," ",711900," "
10,1977,560,64432," ",728384," "
10,1978,560,64907," ",693600," "
