"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,430,0,"M",0,"M"
3,1962,430,0,"M",0,"M"
3,1963,430,0,"M",0,"M"
3,1964,430,0,"M",0,"M"
3,1965,430,0,"M",0,"M"
3,1966,430,0,"M",0,"M"
3,1967,430,0,"M",0,"M"
3,1968,430,0,"M",0,"M"
3,1969,430,0,"M",0,"M"
3,1970,430,0,"M",0,"M"
3,1971,430,0,"M",0,"M"
3,1972,430,0,"M",0,"M"
3,1973,430,0,"M",0,"M"
3,1974,430,0,"M",0,"M"
3,1975,430,0,"M",0,"M"
3,1976,430,0,"M",0,"M"
3,1977,430,0,"M",0,"M"
3,1978,430,0,"M",0,"M"
3,1979,430,0,"M",0,"M"
3,1980,430,0,"M",0,"M"
3,1981,430,0,"M",0,"M"
3,1982,430,0,"M",0,"M"
3,1983,430,0,"M",0,"M"
3,1984,430,0,"M",0,"M"
3,1985,430,0,"M",0,"M"
3,1986,430,0,"M",0,"M"
3,1987,430,0,"M",0,"M"
3,1988,430,0,"M",0,"M"
3,1989,430,0,"M",0,"M"
3,1990,430,500,"*",3900,"*"
3,1991,430,400,"*",3000,"*"
3,1992,430,600,"*",4600,"*"
3,1993,430,700,"*",5200,"*"
3,1994,430,800,"*",5900,"*"
3,1995,430,800,"*",5800,"*"
3,1996,430,600,"*",4800,"*"
3,1997,430,750,"*",6000,"*"
3,1998,430,750,"*",6000,"*"
3,1999,430,740,"*",5900,"*"
3,2000,430,780,"*",6200,"*"
3,2001,430,790,"*",6500,"*"
3,2002,430,780,"*",6700,"*"
3,2003,430,700," ",6000," "
3,2004,430,600," ",5300," "
3,2005,430,700," ",5800," "
3,2006,430,700,"*",10500,"*"
3,2007,430,800,"*",7400,"*"
3,2008,430,765,"E",8000,"F"
3,2009,430,801,"E",8159,"E"
3,2010,430,800,"F",8000,"F"
3,2011,430,792,"E",8153,"E"
12,1961,430,0,"M",0,"M"
12,1962,430,0,"M",0,"M"
12,1963,430,0,"M",0,"M"
12,1964,430,0,"M",0,"M"
12,1965,430,0,"M",0,"M"
12,1966,430,0,"M",0,"M"
12,1967,430,0,"M",0,"M"
12,1968,430,0,"M",0,"M"
12,1969,430,0,"M",0,"M"
12,1970,430,0,"M",0,"M"
12,1971,430,0,"M",0,"M"
12,1972,430,0,"M",0,"M"
12,1973,430,0,"M",0,"M"
12,1974,430,0,"M",0,"M"
12,1975,430,0,"M",0,"M"
12,1976,430,0,"M",0,"M"
12,1977,430,0,"M",0,"M"
12,1978,430,0,"M",0,"M"
12,1979,430,0,"M",0,"M"
12,1980,430,0,"M",0,"M"
12,1981,430,0,"M",0,"M"
12,1982,430,0,"M",0,"M"
12,1983,430,0,"M",0,"M"
12,1984,430,0,"M",0,"M"
12,1985,430,0,"M",0,"M"
12,1986,430,0,"M",0,"M"
12,1987,430,0,"M",0,"M"
12,1988,430,0,"M",0,"M"
12,1989,430,0,"M",0,"M"
12,1990,430,0,"M",0,"M"
12,1991,430,0,"M",0,"M"
12,1992,430,0,"M",0,"M"
12,1993,430,0,"M",0,"M"
12,1994,430,0,"M",0,"M"
12,1995,430,0,"M",0,"M"
12,1996,430,0,"M",0,"M"
12,1997,430,0,"M",0,"M"
12,1998,430,0,"M",0,"M"
12,1999,430,0,"M",0,"M"
12,2000,430,0,"M",0,"M"
12,2001,430,0,"M",0,"M"
12,2002,430,0,"M",0,"M"
12,2003,430,0,"M",0,"M"
12,2004,430,0,"M",0,"M"
12,2005,430,0,"M",0,"M"
12,2006,430,0,"M",0,"M"
12,2007,430,0,"M",0,"M"
12,2008,430,0,"M",0,"M"
12,2009,430,0,"M",0,"M"
12,2010,430,19," ",443," "
12,2011,430,19," ",449," "
13,1961,430,0,"M",0,"M"
13,1962,430,0,"M",0,"M"
13,1963,430,0,"M",0,"M"
13,1964,430,0,"M",0,"M"
13,1965,430,0,"M",0,"M"
13,1966,430,0,"M",0,"M"
13,1967,430,0,"M",0,"M"
13,1968,430,0,"M",0,"M"
13,1969,430,0,"M",0,"M"
13,1970,430,0,"M",0,"M"
13,1971,430,0,"M",0,"M"
13,1972,430,0,"M",0,"M"
13,1973,430,0,"M",0,"M"
13,1974,430,0,"M",0,"M"
13,1975,430,0,"M",0,"M"
13,1976,430,0,"M",0,"M"
13,1977,430,0,"M",0,"M"
13,1978,430,0,"M",0,"M"
13,1979,430,0,"M",0,"M"
13,1980,430,0,"M",0,"M"
13,1981,430,0,"M",0,"M"
13,1982,430,0,"M",0,"M"
13,1983,430,0,"M",0,"M"
13,1984,430,0,"M",0,"M"
13,1985,430,0,"M",0,"M"
13,1986,430,0,"M",0,"M"
13,1987,430,0,"M",0,"M"
13,1988,430,0,"M",0,"M"
13,1989,430,0,"M",0,"M"
13,1990,430,0,"M",0,"M"
13,1991,430,0,"M",0,"M"
13,1992,430,0,"M",0,"M"
13,1993,430,0,"M",0,"M"
13,1994,430,0,"M",0,"M"
13,1995,430,0,"M",0,"M"
13,1996,430,0,"M",0,"M"
13,1997,430,0,"M",0,"M"
13,1998,430,0,"M",0,"M"
13,1999,430,0,"M",0,"M"
13,2000,430,0,"M",0,"M"
13,2001,430,0,"M",0,"M"
13,2002,430,0,"M",0,"M"
13,2003,430,0,"M",0,"M"
13,2004,430,0,"M",0,"M"
13,2005,430,29," ",55," "
13,2006,430,58," ",1653," "
13,2007,430,35," ",895," "
13,2008,430,31," ",682," "
13,2009,430,28," ",540," "
13,2010,430,26,"E",498,"E"
13,2011,430,25,"E",511,"E"
14,1961,430,0," ",0," "
14,1962,430,0," ",0," "
14,1963,430,0," ",0," "
14,1964,430,0," ",0," "
14,1965,430,0," ",0," "
14,1966,430,0," ",0," "
14,1967,430,0," ",0," "
14,1968,430,0," ",0," "
14,1969,430,0," ",0," "
14,1970,430,0," ",0," "
14,1971,430,0," ",0," "
14,1972,430,0," ",0," "
14,1973,430,0," ",0," "
14,1974,430,0," ",0," "
