"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,15,130000," ",77000," "
1,1962,15,140000," ",136000," "
1,1963,15,142000," ",138000," "
1,1964,15,140000," ",141000," "
1,1965,15,131000," ",134000," "
1,1966,15,139000," ",176000," "
1,1967,15,136000," ",194000," "
1,1968,15,124000," ",140000," "
1,1969,15,112000," ",116000," "
1,1970,15,117000," ",171000," "
1,1971,15,105000," ",159000," "
1,1972,15,95000," ",154000," "
1,1973,15,99000," ",174000," "
1,1974,15,78000," ",1e+05," "
1,1975,15,97000," ",186000," "
1,1976,15,90000," ",0,"M"
1,1977,15,96000," ",2e+05," "
1,1978,15,89000," ",171000," "
1,1979,15,73000," ",135000," "
1,1980,15,82000," ",138000," "
1,1981,15,72000," ",158000," "
1,1982,15,71000," ",128000,"*"
1,1983,15,65000," ",115000,"*"
1,1984,15,71000," ",150000,"*"
1,1985,15,68000," ",136000," "
1,1986,15,62000," ",148000," "
1,1987,15,67000," ",144000," "
1,1988,15,66000," ",182000," "
1,1989,15,65000," ",102800," "
1,1990,15,74108," ",166462," "
1,1991,15,79730," ",174142," "
1,1992,15,65500,"*",141483," "
1,1993,15,97900,"*",217900," "
1,1994,15,85697," ",152900," "
1,1995,15,60362," ",153800," "
1,1996,15,85450," ",201400," "
1,1997,15,108000," ",183700," "
1,1998,15,118300," ",244300," "
1,1999,15,109950," ",219200," "
1,2000,15,106440," ",181561," "
1,2001,15,108380," ",245579," "
1,2002,15,119224," ",289170," "
1,2003,15,126112," ",220977," "
1,2004,15,124479," ",299900," "
1,2005,15,127574," ",265700," "
1,2006,15,100188," ",152900," "
1,2007,15,98400," ",254233," "
1,2008,15,92810," ",225734," "
1,2009,15,88530," ",198080," "
1,2010,15,86574," ",183464," "
1,2011,15,77806," ",224082," "
2,1961,15,2230000," ",2279000," "
2,1962,15,2341000," ",2279000," "
2,1963,15,2341000," ",1947000," "
2,1964,15,2345000," ",2230000," "
2,1965,15,2347000," ",2282000," "
2,1966,15,2346000," ",2033000," "
2,1967,15,2030000," ",2280000," "
2,1968,15,2036000," ",2354000," "
2,1969,15,2070000," ",2454000," "
2,1970,15,2176000," ",2081000," "
2,1971,15,2350000," ",1915000," "
2,1972,15,2897100," ",2450000," "
2,1973,15,2300000," ",2700000," "
2,1974,15,2277600," ",2750000," "
2,1975,15,2350000," ",2850000," "
2,1976,15,2350000," ",2936000," "
2,1977,15,2345000," ",2652000," "
2,1978,15,2348000," ",2813000," "
2,1979,15,2162000," ",2663000," "
2,1980,15,2032000,"F",2550000,"F"
2,1981,15,2e+06,"F",2470000,"F"
2,1982,15,1944000,"*",2391000,"*"
2,1983,15,1833000,"*",2306000,"*"
2,1984,15,1781000,"*",2194000,"*"
2,1985,15,1695000,"*",2081000,"*"
2,1986,15,1619000," ",1925000," "
2,1987,15,1790000,"F",2300000,"*"
2,1988,15,1620000,"F",1900000,"F"
2,1989,15,1610000,"F",1800000,"F"
2,1990,15,1570000," ",1650000," "
2,1991,15,1690000," ",1726000," "
2,1992,15,1600000,"F",1650000," "
2,1993,15,1900000,"F",1940000," "
2,1994,15,2e+06,"F",2050000," "
2,1995,15,1837209,"E",2100000,"F"
2,1996,15,2050000,"F",2300000,"*"
2,1997,15,2124000," ",2711000," "
2,1998,15,2186000," ",2834000," "
2,1999,15,2027000," ",2499000," "
2,2000,15,2029000," ",1469000," "
2,2001,15,1779000," ",1597000," "
2,2002,15,1742000," ",2686000," "
2,2003,15,2320000," ",3480000," "
2,2004,15,1888000," ",2390000," "
2,2005,15,2342000," ",4266000," "
2,2006,15,2444000," ",3363000," "
2,2007,15,2466000," ",4484000," "
2,2008,15,2139000," ",2623000," "
