ItemGroup,AREA,ITEM,ELE,num_45,symb_45,num_46,symb_46,num_47,symb_47,num_48,symb_48,num_49,symb_49,num_50,symb_50
1714,1,15,31,100188, ,98400, ,92810, ,88530, ,86600, ,77806, 
1714,1,15,51,152900, ,254233, ,225734, ,198080, ,183500, ,224082, 
1714,1,44,31,49400, ,65180, ,66396, ,66511, ,60954, ,67873, 
1714,1,44,51,49476, ,162533, ,149091, ,145141, ,118574, ,178226, 
1714,1,56,31,2528, ,3541, ,3963, ,2637, ,2729, ,3524, 
1714,1,56,51,8421, ,18860, ,21172, ,15232, ,12751, ,19120, 
1714,1,71,31,166, ,350, ,314, ,215, ,156, ,575, 
1714,1,71,51,246, ,895, ,864, ,543, ,345, ,1281, 
1714,1,75,31,679, ,690, ,857, ,831, ,1435, ,1360, 
1714,1,75,51,739, ,1470, ,1624, ,1655.3, ,2601, ,3254, 
1714,1,108,31,4593, ,4468, ,5801, ,5290, ,3800,*,7700,*
1714,1,108,51,3161, ,9530, ,10697, ,8425.3, ,4200, ,9507, 
1714,1,116,31,33012, ,31612, ,34298, ,31998, ,28326, ,28665, 
1714,1,116,51,539477, ,583934, ,648562, ,593551, ,481956, ,557322, 
1714,1,157,31,1200,F,1800,F,2000,F,600,F,600,F,600,F
1714,1,157,51,18000,F,27000,F,30000,F,10000,F,10000,F,10000,F
1714,1,176,31,1770, ,1884, ,2083, ,1952, ,1765, ,1864, 
1714,1,176,51,3717, ,4951, ,5903, ,5549.4, ,4185, ,4930, 
1714,1,187,31,118, ,31, ,59, ,71, ,76, ,44, 
1714,1,187,51,127, ,78, ,125, ,124, ,164, ,114, 
1714,1,201,31,21, ,18, ,7, ,5, ,13, ,14, 
1714,1,201,51,22, ,25, ,11, ,5.3, ,36, ,24, 
1714,1,211,31,60,*,60,*,50,*,25, ,20,*,30,*
1714,1,211,51,100, ,109, ,132, ,104, ,84, ,133, 
1714,1,222,31,0,M,1396, ,1349, ,1440, ,1400,F,1400,F
1714,1,222,51,0,M,4566, ,3974, ,3789, ,3800,F,3800,F
1714,1,225,31,0,M,112, ,113, ,117, ,120,F,120,F
1714,1,225,51,0,M,414, ,497, ,544, ,500,F,500,F
