areaCode,year,itemCode,areaHarvestedValue,areaHarvestedSymb,productionValue,productionSymb
1,1961,867,0,/,0, 
1,1962,867,0,/,0, 
1,1963,867,0,/,0, 
1,1964,867,0,/,0, 
1,1965,867,0,/,0, 
1,1966,867,0,/,0, 
1,1967,867,0,/,0, 
1,1968,867,0,/,0, 
1,1969,867,0,/,0, 
1,1970,867,0,/,0, 
1,1971,867,0,/,0, 
1,1972,867,0,/,0, 
1,1973,867,0,/,0, 
1,1974,867,0,/,0, 
1,1975,867,0,/,0, 
1,1976,867,0,/,0, 
1,1977,867,0,/,0, 
1,1978,867,0,/,0, 
1,1979,867,0,/,32000,*
1,1980,867,0,/,38000, 
1,1981,867,0,/,35000,*
1,1982,867,0,/,0, 
1,1983,867,0,/,0, 
1,1984,867,0,/,0, 
1,1985,867,0,/,41000, 
1,1986,867,0,/,45000, 
1,1987,867,0,/,43000, 
1,1988,867,0,/,45000, 
1,1989,867,283000,X,41000, 
1,1990,867,240700,/,34740, 
1,1991,867,241700,/,32000, 
1,1992,867,243900,/,32600, 
1,1993,867,230000,C,30400, 
1,1994,867,215000,C,28800, 
1,1995,867,214000,C,29700, 
1,1996,867,250000,C,33100, 
1,1997,867,260000,C,34800, 
1,1998,867,267000,C,34900, 
1,1999,867,256212,/,32000, 
1,2000,867,262095,/,30900, 
1,2001,867,232400,/,29413, 
1,2002,867,273000,/,29613, 
1,2003,867,275000,C,29921, 
1,2004,867,280000,C,33406, 
1,2005,867,290000,C,34400, 
1,2006,867,350000,C,40400, 
1,2007,867,390000,C,43300, 
1,2008,867,435000,C,49300, 
1,2009,867,438500,C,49600, 
1,2010,867,445000,C,48000, 
1,2011,867,458000,C,48200, 
2,1961,867,360000,C,43000,F
2,1962,867,384000,C,45800,F
2,1963,867,396000,C,47250,F
2,1964,867,402000,C,48000,F
2,1965,867,408000,C,48700,F
2,1966,867,569600,C,68000,F
2,1967,867,544000,C,65000,F
2,1968,867,595300,C,71000, 
2,1969,867,628300,C,75000,F
2,1970,867,653000,C,62000,F
2,1971,867,653000,C,62000,F
2,1972,867,643200,C,61000,F
2,1973,867,563200,C,63000,F
2,1974,867,520300,C,62000,F
