"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
44,1961,800,13500,"F",17000,"F"
44,1962,800,14000,"F",17500,"F"
44,1963,800,14500,"F",18000,"F"
44,1964,800,15000,"F",18500,"F"
44,1965,800,15500,"F",19000,"F"
44,1966,800,15800,"F",19600,"F"
44,1967,800,16900,"F",21000,"F"
44,1968,800,17700,"F",22000,"F"
44,1969,800,17800,"F",22100,"F"
44,1970,800,18800,"F",23400,"F"
44,1971,800,19300," ",24100," "
44,1972,800,20500," ",26700," "
44,1973,800,21200," ",29700," "
44,1974,800,22000," ",33000," "
44,1975,800,36200," ",49900," "
44,1976,800,28000," ",42000," "
44,1977,800,25400," ",39200," "
44,1978,800,23900," ",35100," "
44,1979,800,23500," ",33800," "
44,1980,800,25700," ",37100," "
44,1981,800,23500," ",31000," "
44,1982,800,22100," ",28500," "
44,1983,800,21500," ",27100," "
44,1984,800,17980," ",23730," "
44,1985,800,17930," ",23790," "
44,1986,800,17900," ",23920," "
44,1987,800,19300," ",23520," "
44,1988,800,19540," ",23900," "
44,1989,800,20770," ",23980," "
44,1990,800,15576," ",21610," "
44,1991,800,17096," ",35080," "
44,1992,800,14663," ",21678," "
44,1993,800,16006," ",23054," "
44,1994,800,15388," ",21353," "
44,1995,800,18153," ",29149," "
44,1996,800,22176," ",33416," "
44,1997,800,20995," ",35570," "
44,1998,800,18311," ",23125," "
44,1999,800,17098," ",21303," "
44,2000,800,17987," ",19355," "
44,2001,800,16802," ",18473," "
44,2002,800,17391," ",19884," "
44,2003,800,17094," ",20508," "
44,2004,800,17294," ",21498," "
44,2005,800,17500,"F",22000,"F"
44,2006,800,17553,"E",14912,"E"
44,2007,800,17484,"E",16699,"E"
44,2008,800,16225,"E",16162,"E"
44,2009,800,16732,"E",16062,"E"
44,2010,800,16268,"E",14222,"E"
44,2011,800,17604,"E",16393,"E"
49,1961,800,10000,"F",11100,"*"
49,1962,800,10000,"F",8800,"*"
49,1963,800,10000,"F",10000,"*"
49,1964,800,10000,"F",10000,"*"
49,1965,800,10000,"F",10000,"*"
49,1966,800,10000,"F",10000,"*"
49,1967,800,10000,"F",10500,"*"
49,1968,800,10000,"F",10500,"*"
49,1969,800,10000,"F",10500,"F"
49,1970,800,10000,"F",10500,"F"
49,1971,800,10000,"F",10500,"F"
49,1972,800,10000,"F",10500,"F"
49,1973,800,10000,"F",10700,"F"
49,1974,800,10000,"F",10800,"F"
49,1975,800,10000,"F",10900,"F"
49,1976,800,10000,"F",11000,"F"
49,1977,800,10000,"F",11100,"F"
49,1978,800,10000,"F",11200,"F"
49,1979,800,10000,"F",11300,"F"
49,1980,800,10000,"F",11400,"F"
49,1981,800,10000,"F",11500,"F"
49,1982,800,10000,"F",11600,"F"
49,1983,800,10000,"F",11600,"F"
49,1984,800,10000,"F",11700,"F"
49,1985,800,10000,"F",11800,"F"
49,1986,800,10000,"F",11800,"F"
49,1987,800,10000,"F",11900,"F"
49,1988,800,10000,"F",11900,"F"
49,1989,800,10000,"F",12000,"F"
49,1990,800,8863,"E",7423,"E"
49,1991,800,9308,"E",11500,"F"
49,1992,800,7695,"E",10591,"E"
49,1993,800,9881,"E",9211,"E"
49,1994,800,10961,"E",6679,"E"
49,1995,800,9190,"E",6088,"E"
49,1996,800,10635,"E",6979,"E"
49,1997,800,10053,"E",7282,"E"
49,1998,800,8982,"E",4832,"E"
49,1999,800,8302,"E",4259,"E"
