"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,221,0," ",0," "
2,1962,221,0," ",0," "
2,1963,221,0," ",0," "
2,1964,221,0," ",0," "
2,1965,221,0," ",0," "
2,1966,221,0," ",0," "
2,1967,221,0," ",0," "
2,1968,221,0," ",0," "
2,1969,221,0," ",0," "
2,1970,221,0," ",0," "
2,1971,221,0," ",0," "
2,1972,221,0," ",0," "
2,1973,221,0," ",0," "
2,1974,221,0," ",0," "
2,1975,221,0,"F",0,"F"
2,1976,221,5900,"F",9800,"F"
2,1977,221,6000,"F",9000,"F"
2,1978,221,6000,"F",12000,"F"
2,1979,221,6000,"F",10500,"F"
2,1980,221,5800,"F",9900,"F"
2,1981,221,5800,"F",8000,"F"
2,1982,221,5800,"F",11000,"F"
2,1983,221,5700,"F",9700,"F"
2,1984,221,5700,"F",10500,"F"
2,1985,221,5600,"F",9000,"F"
2,1986,221,5500,"F",10000,"F"
2,1987,221,5500,"F",9000,"F"
2,1988,221,5400,"F",9000,"F"
2,1989,221,5400,"F",8800,"F"
2,1990,221,6037,"E",9500,"F"
2,1991,221,5500," ",9000," "
2,1992,221,5500," ",9900," "
2,1993,221,5500," ",9000," "
2,1994,221,5500," ",9000," "
2,1995,221,5500," ",9000," "
2,1996,221,5500," ",9000," "
2,1997,221,5500," ",9000," "
2,1998,221,5500," ",9000," "
2,1999,221,5500," ",11000,"F"
2,2000,221,7000,"F",12000,"F"
2,2001,221,9000,"F",15000,"F"
2,2002,221,5500," ",15349,"E"
2,2003,221,5700," ",14000,"*"
2,2004,221,12000,"*",14700,"*"
2,2005,221,13265,"E",15630,"*"
2,2006,221,12000," ",20000," "
2,2007,221,12000," ",31481," "
2,2008,221,12000," ",42000," "
2,2009,221,11029," ",43183,"*"
2,2010,221,11210," ",56000," "
2,2011,221,13469," ",60611," "
4,1961,221,13300,"F",6000," "
4,1962,221,13300,"F",6000," "
4,1963,221,13300,"F",6000," "
4,1964,221,14200,"F",6400," "
4,1965,221,13800,"F",6200," "
4,1966,221,12700,"F",5700," "
4,1967,221,12900,"F",5818," "
4,1968,221,10000,"F",4497," "
4,1969,221,5500,"F",2466," "
4,1970,221,6700,"F",3000," "
4,1971,221,4600,"F",2070," "
4,1972,221,8300,"F",3747," "
4,1973,221,9200,"F",4142," "
4,1974,221,10150,"F",4567," "
4,1975,221,11000,"F",4996," "
4,1976,221,18250,"F",8208," "
4,1977,221,10400,"F",4666," "
4,1978,221,7100,"F",3192," "
4,1979,221,8100,"F",3631," "
4,1980,221,8700,"F",3900," "
4,1981,221,15960," ",7930," "
4,1982,221,15450," ",6637," "
4,1983,221,18030," ",7093," "
4,1984,221,16490," ",7476," "
4,1985,221,21100," ",9951," "
4,1986,221,20860," ",8060," "
4,1987,221,21000," ",8253," "
4,1988,221,21370," ",9676," "
4,1989,221,23610," ",12438," "
4,1990,221,25010," ",11733," "
4,1991,221,24240," ",15768," "
4,1992,221,24970," ",17901," "
4,1993,221,25880," ",24685," "
4,1994,221,26130," ",19106," "
4,1995,221,24860," ",19869," "
4,1996,221,25190," ",33561," "
4,1997,221,27440," ",19396," "
4,1998,221,26490," ",21641," "
4,1999,221,26820," ",25602," "
4,2000,221,27150," ",26483," "
4,2001,221,26980," ",25199," "
4,2002,221,27720," ",32287," "
4,2003,221,30630," ",33234," "
4,2004,221,52835," ",37985," "
4,2005,221,55209," ",45379," "
4,2006,221,59137," ",53673," "
4,2007,221,40890," ",34110," "
4,2008,221,39787," ",39521," "
4,2009,221,39313," ",47393," "
4,2010,221,39757," ",56973," "
4,2011,221,39805," ",22400," "
9,1961,221,0,"M",80,"F"
9,1962,221,0,"M",90,"F"
9,1963,221,0,"M",100,"F"
9,1964,221,0,"M",100,"F"
9,1965,221,0,"M",110,"F"
9,1966,221,0,"M",120,"F"
9,1967,221,0,"M",118," "
9,1968,221,0,"M",180," "
9,1969,221,0,"M",260," "
9,1970,221,0,"M",350," "
9,1971,221,0,"M",160," "
9,1972,221,0,"M",300," "
9,1973,221,0,"M",100," "
9,1974,221,0,"M",370," "
9,1975,221,0,"M",346," "
9,1976,221,0,"M",125," "
9,1977,221,0,"M",100," "
9,1978,221,0,"M",110," "
9,1979,221,0,"M",160," "
9,1980,221,0,"M",290," "
9,1981,221,0,"M",560," "
9,1982,221,0,"M",380," "
9,1983,221,0,"M",400,"F"
9,1984,221,0,"M",400,"F"
9,1985,221,235,"F",400,"F"
9,1986,221,235,"F",400,"F"
9,1987,221,235,"F",400,"F"
9,1988,221,235,"F",400,"F"
9,1989,221,235,"F",420,"F"
9,1990,221,257,"E",451,"E"
9,1991,221,322,"E",430,"F"
9,1992,221,346,"E",440,"F"
9,1993,221,360,"E",450,"F"
9,1994,221,340,"E",426,"E"
9,1995,221,351,"E",440,"E"
9,1996,221,281,"E",460,"F"
9,1997,221,295,"E",512,"E"
9,1998,221,313,"E",542,"E"
9,1999,221,240,"F",470,"F"
9,2000,221,245,"E",518,"E"
9,2001,221,246,"E",544,"E"
9,2002,221,250,"F",480,"F"
9,2003,221,251,"E",465,"E"
9,2004,221,254,"E",476,"E"
9,2005,221,258,"E",518,"E"
9,2006,221,260,"F",490,"F"
9,2007,221,270,"F",500,"F"
