"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,711,0,"M",0,"M"
2,1962,711,0,"M",0,"M"
2,1963,711,0,"M",0,"M"
2,1964,711,0,"M",0,"M"
2,1965,711,0,"M",0,"M"
2,1966,711,0,"M",0,"M"
2,1967,711,0,"M",0,"M"
2,1968,711,0,"M",0,"M"
2,1969,711,0,"M",0,"M"
2,1970,711,0,"M",0,"M"
2,1971,711,0,"M",0,"M"
2,1972,711,0,"M",0,"M"
2,1973,711,0,"M",0,"M"
2,1974,711,0,"M",0,"M"
2,1975,711,0,"M",0,"M"
2,1976,711,0,"M",0,"M"
2,1977,711,0,"M",0,"M"
2,1978,711,0,"M",0,"M"
2,1979,711,0,"M",0,"M"
2,1980,711,0,"M",0,"M"
2,1981,711,0,"M",0,"M"
2,1982,711,0,"M",0,"M"
2,1983,711,0,"M",0,"M"
2,1984,711,0,"M",0,"M"
2,1985,711,0,"M",0,"M"
2,1986,711,700,"F",500,"F"
2,1987,711,700,"F",500,"F"
2,1988,711,300,"F",200,"F"
2,1989,711,1100,"F",800,"F"
2,1990,711,1300,"F",1000,"F"
2,1991,711,1609,"E",1005,"E"
2,1992,711,700,"F",500,"F"
2,1993,711,918,"E",582,"E"
2,1994,711,638,"E",353,"E"
2,1995,711,3000,"F",2000,"F"
2,1996,711,7000,"F",4200,"F"
2,1997,711,4000,"F",2500,"F"
2,1998,711,12000,"F",7100,"F"
2,1999,711,12553,"E",7000,"F"
2,2000,711,4000,"F",2500,"F"
2,2001,711,1600,"F",1000,"F"
2,2002,711,3300,"F",2000,"F"
2,2003,711,6800,"F",4100,"F"
2,2004,711,15000,"F",9000,"F"
2,2005,711,16000,"F",10000,"F"
2,2006,711,16866,"E",10458,"E"
2,2007,711,28000,"F",17000,"F"
2,2008,711,15000,"F",9000,"F"
2,2009,711,10616,"E",8373,"E"
2,2010,711,17000,"F",10200,"F"
2,2011,711,18275,"E",12055,"E"
9,1961,711,0,"M",349," "
9,1962,711,0,"M",460," "
9,1963,711,0,"M",740," "
9,1964,711,0,"M",460," "
9,1965,711,0,"M",410," "
9,1966,711,0,"M",340," "
9,1967,711,0,"M",419," "
9,1968,711,0,"M",630," "
9,1969,711,0,"M",698," "
9,1970,711,0,"M",338," "
9,1971,711,0,"M",470," "
9,1972,711,0,"M",544," "
9,1973,711,0,"M",460," "
9,1974,711,0,"M",626," "
9,1975,711,0,"M",848," "
9,1976,711,0,"M",1000," "
9,1977,711,0,"M",1130," "
9,1978,711,0,"M",2000,"F"
9,1979,711,0,"M",1180," "
9,1980,711,0,"M",1140," "
9,1981,711,0,"M",520," "
9,1982,711,0,"M",1000," "
9,1983,711,0,"M",1100,"F"
9,1984,711,0,"M",1140," "
9,1985,711,1650,"F",1100,"F"
9,1986,711,1650,"F",1150,"F"
9,1987,711,1650,"F",1200,"F"
9,1988,711,3100,"F",2000,"F"
9,1989,711,3100,"F",2200,"F"
9,1990,711,3609,"E",2300,"F"
9,1991,711,4345,"E",2400,"F"
9,1992,711,3200,"F",2500,"F"
9,1993,711,3300,"F",2600,"F"
9,1994,711,3133,"E",2562,"E"
9,1995,711,3885,"E",3166,"E"
9,1996,711,4668,"E",2700,"F"
9,1997,711,4209,"E",3039,"E"
9,1998,711,4485,"E",3776,"E"
9,1999,711,3500,"F",2800,"F"
9,2000,711,3300,"F",2500,"F"
9,2001,711,3557,"E",2942,"E"
9,2002,711,3350,"F",2550,"F"
9,2003,711,3693,"E",3019,"E"
9,2004,711,3333,"F",2533,"F"
9,2005,711,3764,"E",2855,"E"
9,2006,711,3350,"F",2550,"F"
9,2007,711,3400,"F",2600,"F"
9,2008,711,3097,"E",2338,"E"
9,2009,711,2629,"E",2076,"E"
9,2010,711,3015,"E",2457,"E"
9,2011,711,3158,"E",2831,"E"
10,1961,711,0,"M",0,"M"
10,1962,711,0,"M",0,"M"
10,1963,711,0,"M",0,"M"
10,1964,711,0,"M",0,"M"
10,1965,711,0,"M",0,"M"
10,1966,711,0,"M",0,"M"
10,1967,711,0,"M",0,"M"
10,1968,711,0,"M",0,"M"
10,1969,711,0,"M",0,"M"
10,1970,711,0,"M",0,"M"
10,1971,711,0,"M",0,"M"
10,1972,711,0,"M",0,"M"
10,1973,711,0,"M",0,"M"
10,1974,711,0,"M",0,"M"
10,1975,711,0,"M",0,"M"
10,1976,711,0,"M",0,"M"
10,1977,711,0,"M",0,"M"
10,1978,711,0,"M",0,"M"
10,1979,711,0,"M",0,"M"
10,1980,711,0,"M",0,"M"
10,1981,711,0,"M",0,"M"
10,1982,711,0,"M",0,"M"
10,1983,711,21," ",101," "
10,1984,711,20," ",73," "
10,1985,711,25," ",91," "
10,1986,711,1994," ",2301," "
10,1987,711,2270," ",2257," "
10,1988,711,2796," ",2889," "
10,1989,711,3259," ",3689," "
10,1990,711,1073," ",1335," "
10,1991,711,1666," ",2525," "
10,1992,711,2137," ",3206," "
10,1993,711,3938," ",3777," "
10,1994,711,5390," ",2502," "
10,1995,711,2585," ",1743," "
10,1996,711,984," ",1162," "
10,1997,711,1998," ",2540," "
10,1998,711,3903," ",3596," "
10,1999,711,3080," ",3072," "
10,2000,711,894," ",598," "
10,2001,711,463," ",368," "
10,2002,711,300,"F",260,"F"
10,2003,711,301," ",146," "
10,2004,711,533," ",417," "
10,2005,711,442," ",581," "
10,2006,711,640,"*",1269," "
10,2007,711,1530,"*",2730," "
10,2008,711,1540,"*",2091," "
10,2009,711,1430,"*",2940," "
10,2010,711,1450,"F",3000,"F"
10,2011,711,1400,"F",2800,"F"
16,1961,711,,,600,"F"
16,1962,711,,,300,"F"
16,1963,711,,,300,"F"
16,1964,711,,,300,"F"
16,1965,711,,,300,"F"
16,1966,711,,,300,"F"
16,1967,711,,,300,"F"
16,1968,711,,,300,"F"
16,1969,711,,,300,"F"
16,1970,711,,,300,"F"
16,1971,711,,,400,"F"
16,1972,711,,,400,"F"
16,1973,711,,,500,"F"
16,1974,711,,,600,"F"
16,1975,711,,,800,"F"
16,1976,711,,,800,"F"
16,1977,711,,,1000,"F"
16,1978,711,,,800,"F"
16,1979,711,,,600,"F"
16,1980,711,,,400,"F"
16,1981,711,,,200,"F"
16,1982,711,,,0,"F"
16,1983,711,,,0," "
16,1984,711,,,0," "
16,1985,711,,,0," "
16,1986,711,,,0," "
16,1987,711,,,0," "
16,1988,711,,,0," "
16,1989,711,,,0," "
16,1990,711,,,0," "
16,1991,711,,,0," "
16,1992,711,,,0," "
16,1993,711,,,0,"M"
16,1994,711,,,0,"M"
16,1995,711,,,0,"M"
16,1996,711,,,0,"M"
16,1997,711,,,0,"M"
16,1998,711,,,0,"M"
16,1999,711,,,0,"M"
16,2000,711,,,0,"M"
16,2001,711,,,0,"M"
16,2002,711,,,0,"M"
16,2003,711,,,0,"M"
16,2004,711,,,0,"M"
16,2005,711,,,0,"M"
16,2006,711,,,0,"M"
16,2007,711,,,0,"M"
16,2008,711,,,0,"M"
16,2009,711,,,0,"M"
16,2010,711,,,0,"M"
16,2011,711,,,0,"M"
27,1961,711,1388," ",1500,"F"
27,1962,711,1845," ",1500,"F"
27,1963,711,2084," ",1600,"F"
27,1964,711,1296," ",700,"F"
27,1965,711,2661," ",1200,"F"
27,1966,711,5498," ",1000,"F"
27,1967,711,2639," ",1100,"F"
27,1968,711,2557," ",1200,"F"
27,1969,711,3689," ",1400,"F"
27,1970,711,2108," ",1500,"F"
27,1971,711,1670," ",2200,"F"
27,1972,711,1833," ",2700,"F"
27,1973,711,1854," ",70,"F"
27,1974,711,2340," ",25,"F"
27,1975,711,5444," ",83," "
27,1976,711,6388," ",92," "
27,1977,711,5710," ",112," "
27,1978,711,5176," ",271," "
27,1979,711,5187," ",261," "
27,1980,711,4200,"F",260,"F"
