"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,515,0,"M",0," "
1,1962,515,0,"M",0," "
1,1963,515,0,"M",0," "
1,1964,515,0,"M",0," "
1,1965,515,0,"M",0," "
1,1966,515,0,"M",0," "
1,1967,515,0,"M",0," "
1,1968,515,0,"M",0," "
1,1969,515,0,"M",0," "
1,1970,515,0,"M",0," "
1,1971,515,0,"M",0," "
1,1972,515,0,"M",0," "
1,1973,515,0,"M",0," "
1,1974,515,0,"M",0," "
1,1975,515,0,"M",0," "
1,1976,515,0,"M",0," "
1,1977,515,0,"M",0," "
1,1978,515,0,"M",0," "
1,1979,515,0,"M",0," "
1,1980,515,0,"M",0," "
1,1981,515,0,"M",0," "
1,1982,515,0,"M",0," "
1,1983,515,0,"M",0," "
1,1984,515,0,"M",0," "
1,1985,515,0,"M",0," "
1,1986,515,0,"M",0," "
1,1987,515,0,"M",0," "
1,1988,515,0,"M",0," "
1,1989,515,18000,"F",110500,"*"
1,1990,515,18000,"F",102000,"*"
1,1991,515,18000,"F",108500,"*"
1,1992,515,10000,"*",68800,"*"
1,1993,515,9600,"*",25300,"*"
1,1994,515,10700,"*",65900,"*"
1,1995,515,9600,"*",75500,"*"
1,1996,515,8800,"*",80400," "
1,1997,515,6500,"*",49470," "
1,1998,515,5800,"*",40700,"*"
1,1999,515,5847," ",23522," "
1,2000,515,5959," ",23230," "
1,2001,515,8846," ",35380," "
1,2002,515,8761," ",35200," "
1,2003,515,8000,"*",52800,"*"
1,2004,515,8000,"*",56000,"*"
1,2005,515,8300,"*",210000,"*"
1,2006,515,8000,"*",159700,"*"
1,2007,515,8942," ",111836," "
1,2008,515,8298," ",117199," "
1,2009,515,8811," ",120844," "
1,2010,515,9321," ",56487," "
1,2011,515,8962," ",77602," "
2,1961,515,2220,"F",15100,"*"
2,1962,515,2220,"F",15100,"F"
2,1963,515,2220,"F",15100,"F"
2,1964,515,2350,"F",18400,"F"
2,1965,515,2480,"F",20400,"F"
2,1966,515,2740,"F",22800,"F"
2,1967,515,3060,"F",27600,"F"
2,1968,515,2990,"F",27900,"F"
2,1969,515,3040,"F",28200,"F"
2,1970,515,3060,"F",27300,"F"
2,1971,515,3060,"F",21500,"F"
2,1972,515,3150,"F",26600,"F"
2,1973,515,3210,"F",27600,"F"
2,1974,515,3270,"F",27800,"F"
2,1975,515,3270,"F",27900,"F"
2,1976,515,3270,"F",26200,"F"
2,1977,515,3280,"F",15500,"F"
2,1978,515,3250,"F",22700,"F"
2,1979,515,3150,"F",21600,"F"
2,1980,515,3150,"F",22300,"F"
2,1981,515,3080,"F",22100,"F"
2,1982,515,2960,"F",21400,"F"
2,1983,515,2850,"F",20800,"F"
2,1984,515,2730,"F",20000,"F"
2,1985,515,2660,"F",19100,"F"
2,1986,515,2590,"F",19400,"F"
2,1987,515,2230,"F",16600,"F"
2,1988,515,2330,"F",16900,"F"
2,1989,515,2340,"F",16900,"F"
2,1990,515,2365,"E",16867,"E"
2,1991,515,2361,"E",16913,"E"
2,1992,515,2345,"E",17200,"F"
2,1993,515,2300,"F",17000,"F"
2,1994,515,2350,"F",17500,"F"
2,1995,515,2425,"E",17053,"E"
2,1996,515,2451,"E",16880,"E"
2,1997,515,2493,"E",17674,"E"
2,1998,515,2634,"E",17555,"E"
2,1999,515,2607,"E",17772,"E"
2,2000,515,2659,"E",16555,"E"
2,2001,515,2670,"E",18016,"E"
2,2002,515,2669,"E",17380,"E"
2,2003,515,3935," ",21134,"E"
2,2004,515,2311," ",21948,"E"
2,2005,515,2751," ",25732,"E"
2,2006,515,7000," ",52500,"F"
2,2007,515,7000," ",59500,"F"
2,2008,515,7000," ",59090,"E"
2,2009,515,8550," ",72765," "
2,2010,515,8550," ",59850," "
2,2011,515,8863," ",62041," "
3,1961,515,0,"M",10004," "
3,1962,515,0,"M",8039," "
3,1963,515,0,"M",7931," "
3,1964,515,0,"M",8498," "
3,1965,515,0,"M",8000,"*"
3,1966,515,0,"M",9000,"*"
3,1967,515,0,"M",10000,"*"
3,1968,515,0,"M",10000,"*"
3,1969,515,0,"M",11000,"*"
3,1970,515,0,"M",9000,"*"
3,1971,515,0,"M",10000,"F"
3,1972,515,0,"M",11000,"F"
3,1973,515,0,"M",14000,"F"
3,1974,515,0,"M",13000,"F"
3,1975,515,0,"M",14000,"F"
3,1976,515,0,"M",15000,"F"
3,1977,515,0,"M",13000,"F"
3,1978,515,0,"M",14000,"F"
3,1979,515,0,"M",15000,"F"
3,1980,515,0,"M",15000,"*"
3,1981,515,0,"M",15000,"F"
3,1982,515,0,"M",23000,"F"
3,1983,515,0,"M",21000,"*"
3,1984,515,0,"M",21000,"F"
3,1985,515,3600,"F",18200,"*"
3,1986,515,3000,"F",15000,"*"
3,1987,515,3000,"F",16000,"*"
3,1988,515,2800,"F",14000,"*"
3,1989,515,3500,"F",18000,"*"
3,1990,515,2600,"F",13100,"*"
