"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,526,0,"M",0," "
1,1962,526,0,"M",0," "
1,1963,526,0,"M",0," "
1,1964,526,0,"M",0," "
1,1965,526,0,"M",0," "
1,1966,526,0,"M",0," "
1,1967,526,0,"M",0," "
1,1968,526,0,"M",0," "
1,1969,526,0,"M",0," "
1,1970,526,0,"M",0," "
1,1971,526,0,"M",0," "
1,1972,526,0,"M",0," "
1,1973,526,0,"M",0," "
1,1974,526,0,"M",0," "
1,1975,526,0,"M",0," "
1,1976,526,0,"M",0," "
1,1977,526,0,"M",0," "
1,1978,526,0,"M",0," "
1,1979,526,0,"M",0," "
1,1980,526,0,"M",0," "
1,1981,526,0,"M",0," "
1,1982,526,0,"M",0," "
1,1983,526,0,"M",0," "
1,1984,526,0,"M",0," "
1,1985,526,0,"M",0," "
1,1986,526,0,"M",0," "
1,1987,526,0,"M",0," "
1,1988,526,0,"M",0," "
1,1989,526,0,"M",0," "
1,1990,526,3750,"F",14000,"*"
1,1991,526,3750,"F",17500,"*"
1,1992,526,5800,"*",16000,"*"
1,1993,526,5600,"*",5900,"*"
1,1994,526,6200,"*",15300,"*"
1,1995,526,6000,"*",17600,"*"
1,1996,526,5700,"*",18700,"*"
1,1997,526,4200,"*",14100,"*"
1,1998,526,3600,"*",22100,"*"
1,1999,526,3786," ",15382," "
1,2000,526,3300," ",36720," "
1,2001,526,3243," ",10800," "
1,2002,526,3200," ",5000," "
1,2003,526,3400,"*",4500,"*"
1,2004,526,5100,"*",5400,"*"
1,2005,526,5300,"*",10000,"*"
1,2006,526,5700,"*",13000,"*"
1,2007,526,8215," ",15681," "
1,2008,526,8140," ",8308," "
1,2009,526,7808," ",8064.3," "
1,2010,526,7928," ",7671," "
1,2011,526,7739," ",4935.7," "
2,1961,526,4820,"F",32000,"*"
2,1962,526,4820,"F",32000,"F"
2,1963,526,4820,"F",32000,"F"
2,1964,526,5100,"F",39200,"F"
2,1965,526,5370,"F",43400,"F"
2,1966,526,5930,"F",48400,"F"
2,1967,526,6620,"F",58700,"F"
2,1968,526,6480,"F",59400,"F"
2,1969,526,6590,"F",60000,"F"
2,1970,526,6630,"F",58100,"F"
2,1971,526,6630,"F",45700,"F"
2,1972,526,6810,"F",56500,"F"
2,1973,526,6950,"F",58800,"F"
2,1974,526,7070,"F",59200,"F"
2,1975,526,7080,"F",59500,"F"
2,1976,526,7080,"F",55700,"F"
2,1977,526,7100,"F",33100,"F"
2,1978,526,7050,"F",48300,"F"
2,1979,526,6810,"F",46000,"F"
2,1980,526,6820,"F",47500,"F"
2,1981,526,6680,"F",47100,"F"
2,1982,526,6410,"F",45400,"F"
2,1983,526,6170,"F",44300,"F"
2,1984,526,5920,"F",42500,"F"
2,1985,526,5750,"F",40700,"F"
2,1986,526,5610,"F",41300,"F"
2,1987,526,4830,"F",35300,"F"
2,1988,526,5050,"F",35900,"F"
2,1989,526,5060,"F",36100,"F"
2,1990,526,5115,"E",36030,"E"
2,1991,526,5107,"E",36128,"E"
2,1992,526,6912,"E",36700,"F"
2,1993,526,5100,"F",37000,"F"
2,1994,526,5199,"E",43184,"E"
2,1995,526,5150,"F",37500,"F"
2,1996,526,5288,"E",39392,"E"
2,1997,526,5364,"E",40496,"E"
2,1998,526,5437,"E",42462,"E"
2,1999,526,5519,"E",35558,"E"
2,2000,526,5711,"E",38207,"E"
2,2001,526,5200,"F",38000,"F"
2,2002,526,5497,"E",39532,"E"
2,2003,526,7007," ",41793,"E"
2,2004,526,5200,"F",44258,"E"
2,2005,526,5291,"E",48192,"E"
2,2006,526,8030," ",50000,"F"
2,2007,526,8000,"F",58000,"F"
2,2008,526,8000," ",57457,"E"
2,2009,526,8170," ",60000,"F"
2,2010,526,8320," ",66560," "
2,2011,526,8320," ",56043,"E"
3,1961,526,0,"M",900,"F"
3,1962,526,0,"M",700,"F"
3,1963,526,0,"M",600,"F"
3,1964,526,0,"M",600,"F"
3,1965,526,0,"M",600,"F"
3,1966,526,0,"M",600,"F"
3,1967,526,0,"M",500,"F"
3,1968,526,0,"M",600,"F"
3,1969,526,0,"M",700,"F"
3,1970,526,0,"M",900,"F"
3,1971,526,0,"M",900,"F"
3,1972,526,0,"M",900,"F"
3,1973,526,0,"M",900,"F"
3,1974,526,0,"M",1000,"F"
3,1975,526,0,"M",1000,"F"
3,1976,526,0,"M",1200,"F"
3,1977,526,0,"M",1200,"F"
3,1978,526,0,"M",1500,"F"
3,1979,526,0,"M",1500,"F"
3,1980,526,0,"M",1100," "
3,1981,526,0,"M",1200,"F"
3,1982,526,0,"M",1100,"F"
3,1983,526,0,"M",1100,"F"
3,1984,526,0,"M",1000,"F"
3,1985,526,530,"F",1000,"F"
3,1986,526,530,"F",1600,"F"
3,1987,526,530,"F",1300,"F"
3,1988,526,530,"F",1300,"F"
3,1989,526,530,"F",1600,"F"
3,1990,526,388,"E",1700,"F"
3,1991,526,400,"F",1200,"F"
3,1992,526,399,"E",886,"E"
3,1993,526,403,"E",1100,"F"
3,1994,526,412,"E",1000,"F"
3,1995,526,418,"E",600,"F"
3,1996,526,426,"E",340," "
3,1997,526,446,"E",400," "
3,1998,526,400," ",400," "
3,1999,526,400," ",400," "
3,2000,526,350,"E",670," "
3,2001,526,342,"E",1581," "
3,2002,526,358,"E",2000,"F"
3,2003,526,391,"E",2200,"F"
3,2004,526,350,"F",1800,"F"
3,2005,526,400,"F",2000,"F"
3,2006,526,380,"F",1900," "
3,2007,526,200,"F",2000," "
3,2008,526,290,"F",3500," "
3,2009,526,300,"F",3850," "
3,2010,526,280,"F",3471," "
3,2011,526,300," ",3900," "
4,1961,526,4200,"F",12720," "
4,1962,526,4600,"F",13800," "
4,1963,526,4000,"F",12000," "
4,1964,526,4200,"F",14900," "
4,1965,526,4000,"F",13709," "
4,1966,526,3900,"F",11626," "
4,1967,526,4500,"F",13095," "
4,1968,526,3800,"F",11483," "
4,1969,526,4000,"F",12476," "
4,1970,526,4000,"F",14200," "
4,1971,526,4300,"F",15099," "
4,1972,526,4300,"F",12888," "
4,1973,526,3600,"F",10891," "
4,1974,526,4500,"F",13293," "
4,1975,526,6500,"F",22735," "
4,1976,526,6000,"F",20833," "
4,1977,526,9200,"F",27607," "
4,1978,526,7300,"F",21818," "
4,1979,526,8700,"F",30192," "
4,1980,526,7700,"F",23285," "
4,1981,526,12000,"F",42412," "
4,1982,526,11000,"F",39896," "
4,1983,526,10000,"F",60519," "
4,1984,526,12000,"F",54638," "
4,1985,526,13000,"F",42408," "
4,1986,526,9300,"F",37033," "
4,1987,526,10500,"F",36430," "
4,1988,526,10200,"F",32500," "
4,1989,526,14300,"F",45925," "
4,1990,526,14010," ",34979," "
4,1991,526,12012," ",59263," "
4,1992,526,12290," ",40785," "
4,1993,526,12560," ",69187," "
4,1994,526,13170," ",42689," "
4,1995,526,13040," ",41233," "
4,1996,526,13460," ",80000," "
4,1997,526,13770," ",39850," "
4,1998,526,13680," ",58110," "
4,1999,526,13950," ",74140," "
4,2000,526,13390," ",56354," "
4,2001,526,13530," ",67724," "
4,2002,526,14660," ",73733," "
4,2003,526,16330," ",106469," "
4,2004,526,19375," ",87991," "
4,2005,526,22888," ",145097," "
4,2006,526,27362," ",167017," "
4,2007,526,31085," ",116438," "
4,2008,526,32849," ",172409," "
4,2009,526,34119," ",202806," "
4,2010,526,37190," ",198467," "
4,2011,526,38174," ",285897," "
9,1961,526,0,"M",15400," "
9,1962,526,0,"M",13400," "
9,1963,526,0,"M",13450," "
9,1964,526,0,"M",12100," "
9,1965,526,0,"M",12700," "
9,1966,526,0,"M",13000," "
9,1967,526,0,"M",17500," "
9,1968,526,0,"M",17600," "
9,1969,526,0,"M",17500," "
9,1970,526,0,"M",17000," "
9,1971,526,0,"M",17900," "
9,1972,526,0,"M",18100," "
9,1973,526,0,"M",7400," "
9,1974,526,0,"M",18100," "
9,1975,526,0,"M",19000," "
9,1976,526,0,"M",21600," "
9,1977,526,0,"M",26000," "
9,1978,526,0,"M",23000," "
9,1979,526,0,"M",25000," "
