"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
16,1961,226,82600," ",62995," "
16,1962,226,82600," ",55882," "
16,1963,226,82200," ",58931," "
16,1964,226,79700," ",56898," "
16,1965,226,71200," ",46738," "
16,1966,226,44900," ",24385," "
16,1967,226,38900," ",26925," "
16,1968,226,38000," ",28449," "
16,1969,226,40900," ",26400," "
16,1970,226,40100," ",26385," "
16,1971,226,40100," ",23369," "
16,1972,226,37683," ",21448," "
16,1973,226,37573," ",21550," "
16,1974,226,37116," ",21419," "
16,1975,226,37336," ",22424," "
16,1976,226,37049," ",23765," "
16,1977,226,37387," ",25665," "
16,1978,226,37118," ",25828," "
16,1979,226,36661," ",26458," "
16,1980,226,36227," ",23767," "
16,1981,226,36432," ",25051," "
16,1982,226,35368," ",24091," "
16,1983,226,35613," ",23000," "
16,1984,226,35182," ",24200," "
16,1985,226,34559," ",22700," "
16,1986,226,33945," ",23055," "
16,1987,226,34233," ",21765," "
16,1988,226,34648," ",22425," "
16,1989,226,34800," ",23000," "
16,1990,226,34912," ",22760," "
16,1991,226,35813," ",24120," "
16,1992,226,35916," ",24260," "
16,1993,226,35813," ",23855," "
16,1994,226,35600," ",26000," "
16,1995,226,36000," ",26000," "
16,1996,226,36400," ",27000," "
16,1997,226,36000," ",27000," "
16,1998,226,36000," ",28000," "
16,1999,226,77000," ",44000," "
16,2000,226,77000," ",45000," "
16,2001,226,77800," ",47000," "
16,2002,226,77296," ",51000," "
16,2003,226,77296," ",55000," "
16,2004,226,77700," ",55000," "
16,2005,226,167640," ",93820," "
16,2006,226,168680," ",97415," "
16,2007,226,165270," ",101240," "
16,2008,226,173380," ",97947," "
16,2009,226,176350," ",105448," "
16,2010,226,178630," ",91681," "
16,2011,226,182389," ",105953," "
18,1961,226,0,"M",0,"M"
18,1962,226,0,"M",0,"M"
18,1963,226,0,"M",0,"M"
18,1964,226,0,"M",0,"M"
18,1965,226,0,"M",0,"M"
18,1966,226,0,"M",0,"M"
18,1967,226,0,"M",0,"M"
18,1968,226,0,"M",0,"M"
18,1969,226,0,"M",0,"M"
18,1970,226,0,"M",0,"M"
18,1971,226,0,"M",0,"M"
18,1972,226,0,"M",0,"M"
18,1973,226,0,"M",0,"M"
18,1974,226,0,"M",0,"M"
18,1975,226,0,"M",0,"M"
18,1976,226,0,"M",0,"M"
18,1977,226,0,"M",0,"M"
18,1978,226,0,"M",0,"M"
18,1979,226,0,"M",0,"M"
