"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
4,1961,366,5000,"F",38000," "
4,1962,366,5000,"F",37000," "
4,1963,366,5000,"F",40000," "
4,1964,366,4520," ",28000," "
4,1965,366,5700," ",44000," "
4,1966,366,5080," ",31553," "
4,1967,366,4460," ",26945," "
4,1968,366,5270," ",31733," "
4,1969,366,4040," ",29838," "
4,1970,366,4000," ",39136," "
4,1971,366,5010," ",44974," "
4,1972,366,3070," ",18737," "
4,1973,366,3470," ",29361," "
4,1974,366,4090," ",29478," "
4,1975,366,4310," ",27068," "
4,1976,366,4730," ",34349," "
4,1977,366,3210," ",17768," "
4,1978,366,3310," ",20616," "
4,1979,366,3780," ",22248," "
4,1980,366,2670," ",13922," "
4,1981,366,1930," ",8054," "
4,1982,366,1340," ",3740," "
4,1983,366,1700," ",8770," "
4,1984,366,2010," ",10464," "
4,1985,366,800," ",3100," "
4,1986,366,830," ",4485," "
4,1987,366,1370," ",5980," "
4,1988,366,1310," ",6248," "
4,1989,366,1170," ",7615," "
4,1990,366,1170," ",6250," "
4,1991,366,1110," ",4703," "
4,1992,366,880," ",7588," "
4,1993,366,630," ",4872," "
4,1994,366,670," ",5687," "
4,1995,366,860," ",7169," "
4,1996,366,2590," ",19400," "
4,1997,366,3790," ",31052," "
4,1998,366,5390," ",45225," "
4,1999,366,3700," ",30132," "
4,2000,366,4140," ",39480," "
4,2001,366,3210," ",35207," "
4,2002,366,3200," ",34449," "
4,2003,366,2800," ",34721," "
4,2004,366,3316," ",50460," "
4,2005,366,2830," ",37030," "
4,2006,366,1713," ",25595," "
4,2007,366,1813," ",22856," "
4,2008,366,2304," ",34289," "
4,2009,366,2724," ",39535," "
4,2010,366,3112," ",47582," "
4,2011,366,3760," ",46808," "
9,1961,366,1500,"F",18000," "
9,1962,366,1502," ",18300," "
9,1963,366,1414," ",14650," "
9,1964,366,990," ",14050," "
9,1965,366,1125," ",19500," "
9,1966,366,2491," ",45850," "
9,1967,366,2738," ",52146," "
9,1968,366,3110," ",62400," "
9,1969,366,3380," ",65200," "
9,1970,366,3675," ",67600," "
9,1971,366,3790," ",69950," "
9,1972,366,4280," ",81500," "
9,1973,366,4030," ",75700," "
9,1974,366,4300," ",80800," "
9,1975,366,4376," ",83220," "
9,1976,366,2820," ",50000," "
9,1977,366,2800," ",51800," "
9,1978,366,2880," ",53300," "
9,1979,366,3000," ",55600," "
9,1980,366,2990," ",58800," "
9,1981,366,3030," ",61500," "
9,1982,366,3890," ",78300," "
9,1983,366,3795," ",76730," "
9,1984,366,3300," ",60900," "
9,1985,366,3840," ",76600," "
9,1986,366,3400," ",62900," "
9,1987,366,3800,"F",76000,"F"
9,1988,366,3500,"F",70000,"F"
9,1989,366,3500,"F",70000,"F"
9,1990,366,3600,"F",72000,"F"
9,1991,366,3935,"E",77381,"E"
