"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,367,450,"F",1000," "
9,1962,367,495," ",1350," "
9,1963,367,486," ",1250," "
9,1964,367,473," ",1400," "
9,1965,367,504," ",1450," "
9,1966,367,520," ",1700," "
9,1967,367,800," ",4020," "
9,1968,367,810," ",3150," "
9,1969,367,834," ",3270," "
9,1970,367,840," ",3155," "
9,1971,367,810," ",3421," "
9,1972,367,860," ",3820," "
9,1973,367,850," ",3800," "
9,1974,367,883," ",2700," "
9,1975,367,898," ",3412," "
9,1976,367,880," ",3700," "
9,1977,367,900," ",3800," "
9,1978,367,900," ",3600," "
9,1979,367,900," ",3660," "
9,1980,367,960," ",3000," "
9,1981,367,1000," ",3600," "
9,1982,367,980," ",3800," "
9,1983,367,940," ",4050," "
9,1984,367,1070," ",4700," "
9,1985,367,1080," ",4400," "
9,1986,367,1055," ",4540," "
9,1987,367,1100," ",4900," "
9,1988,367,1150,"F",4650,"F"
9,1989,367,1150,"F",4700,"F"
9,1990,367,1152,"E",4843,"E"
9,1991,367,1200,"F",4800,"F"
9,1992,367,1250,"F",4900,"F"
9,1993,367,1197,"E",4358,"E"
9,1994,367,1300,"F",5000,"F"
9,1995,367,1400,"F",5500,"F"
9,1996,367,1500,"F",6000,"F"
9,1997,367,1340,"E",5805,"E"
9,1998,367,1625,"E",6763,"E"
9,1999,367,1700,"F",6800,"F"
9,2000,367,1831,"E",6566,"E"
9,2001,367,1792,"E",7448,"E"
9,2002,367,1800,"F",6900,"F"
9,2003,367,1850,"F",7000,"F"
9,2004,367,1783,"F",7154,"E"
9,2005,367,1765,"E",7485,"E"
9,2006,367,1790,"F",7100,"F"
9,2007,367,1800,"F",7200,"F"
9,2008,367,2255,"E",8293,"E"
9,2009,367,2232,"E",7926,"E"
9,2010,367,2332,"E",8504,"E"
9,2011,367,2527,"E",9875,"E"
10,1961,367,1321," ",5262," "
10,1962,367,1426," ",5591," "
10,1963,367,1616," ",6296," "
10,1964,367,1646," ",5477," "
10,1965,367,1609," ",6053," "
10,1966,367,1711," ",5869," "
10,1967,367,1746," ",7546," "
10,1968,367,1679," ",6370," "
10,1969,367,1657," ",5284," "
10,1970,367,1876," ",5277," "
10,1971,367,1991," ",6711," "
10,1972,367,2450," ",6756," "
10,1973,367,2015," ",5516," "
10,1974,367,1798," ",4626," "
10,1975,367,2289," ",4555," "
10,1976,367,1637," ",4414," "
10,1977,367,1466," ",4262," "
10,1978,367,1470," ",4581," "
10,1979,367,1279," ",4758," "
10,1980,367,1100,"F",4000,"F"
10,1981,367,950,"*",4000,"*"
10,1982,367,1078," ",3193," "
10,1983,367,973," ",3519," "
10,1984,367,1165," ",6560," "
10,1985,367,1470," ",4658," "
10,1986,367,1650," ",4370," "
10,1987,367,1816," ",6145," "
10,1988,367,1967," ",5978," "
