"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,572,0,"M",2000," "
9,1962,572,0,"M",3000," "
9,1963,572,0,"M",2900," "
9,1964,572,0,"M",3030," "
9,1965,572,0,"M",3520," "
9,1966,572,0,"M",4213," "
9,1967,572,0,"M",4293," "
9,1968,572,0,"M",10525," "
9,1969,572,0,"M",11100," "
9,1970,572,0,"M",9150," "
9,1971,572,0,"M",9100," "
9,1972,572,0,"M",9200," "
9,1973,572,0,"M",8900," "
9,1974,572,0,"M",8860," "
9,1975,572,0,"M",6990," "
9,1976,572,0,"M",9050," "
9,1977,572,0,"M",10200," "
9,1978,572,0,"M",5500," "
9,1979,572,0,"M",6000," "
9,1980,572,0,"M",3200," "
9,1981,572,0,"M",3230," "
9,1982,572,0,"M",3000," "
9,1983,572,0,"M",3100," "
9,1984,572,0,"M",3300," "
9,1985,572,450,"F",2600," "
9,1986,572,450,"F",2700," "
9,1987,572,495,"F",3000,"F"
9,1988,572,495,"F",3000,"F"
9,1989,572,495,"F",3000,"F"
9,1990,572,444,"E",2843,"E"
9,1991,572,452,"E",3100,"F"
9,1992,572,520,"F",3200,"F"
9,1993,572,530,"F",3300,"F"
9,1994,572,540,"F",3400,"F"
9,1995,572,545,"E",3500,"F"
9,1996,572,544,"E",2954,"E"
9,1997,572,536,"E",3576,"E"
9,1998,572,500,"F",3300,"F"
9,1999,572,477,"E",3385,"E"
9,2000,572,466,"E",3386,"E"
9,2001,572,501,"E",3860,"E"
9,2002,572,550,"F",3500,"F"
9,2003,572,547,"E",3558,"E"
9,2004,572,533,"F",3433,"F"
9,2005,572,553,"E",3724,"E"
9,2006,572,550,"F",3450,"F"
9,2007,572,570,"F",3600,"F"
9,2008,572,597,"E",3500,"P"
9,2009,572,595,"E",3600,"F"
9,2010,572,582,"E",3622,"E"
9,2011,572,567,"E",4045,"E"
10,1961,572,0,"M",400,"F"
10,1962,572,0,"M",400,"F"
10,1963,572,0,"M",500,"F"
10,1964,572,0,"M",500,"F"
10,1965,572,0,"M",600,"F"
10,1966,572,0,"M",600,"F"
10,1967,572,0,"M",700,"F"
10,1968,572,0,"M",700,"F"
10,1969,572,0,"M",800,"F"
10,1970,572,0,"M",800,"F"
10,1971,572,0,"M",900,"F"
10,1972,572,0,"M",941," "
10,1973,572,0,"M",688," "
10,1974,572,0,"M",664," "
10,1975,572,0,"M",710," "
10,1976,572,0,"M",570," "
10,1977,572,0,"M",662," "
10,1978,572,0,"M",980," "
10,1979,572,0,"M",1400,"*"
10,1980,572,0,"M",1700,"*"
10,1981,572,0,"M",2400,"*"
10,1982,572,0,"M",3400,"*"
10,1983,572,0,"M",5400," "
10,1984,572,0,"M",6200," "
10,1985,572,2700,"F",7000," "
10,1986,572,3000,"F",9700," "
10,1987,572,3000,"F",9798," "
10,1988,572,3100,"F",11082," "
10,1989,572,3100,"F",11414," "
10,1990,572,2900,"F",12005," "
10,1991,572,3000,"F",11542," "
10,1992,572,3200,"F",12925," "
10,1993,572,3321,"E",12925," "
10,1994,572,3500,"F",14000,"F"
10,1995,572,3900,"F",15640," "
10,1996,572,4100,"F",16416," "
10,1997,572,5000,"F",20072," "
10,1998,572,5330,"E",20174," "
10,1999,572,6000,"F",24311," "
10,2000,572,6803,"E",23976," "
10,2001,572,6500,"F",29834," "
10,2002,572,6000,"F",28485," "
10,2003,572,8000,"F",40531," "
10,2004,572,8284,"E",41897," "
10,2005,572,7000,"F",32634," "
10,2006,572,7200,"F",34452," "
10,2007,572,9800,"F",47238," "
10,2008,572,9827,"E",45000,"F"
10,2009,572,10249,"E",38478," "
10,2010,572,9800,"E",37300,"E"
10,2011,572,9500,"F",36325," "
12,1961,572,0,"M",0,"M"
12,1962,572,0,"M",0,"M"
12,1963,572,0,"M",0,"M"
12,1964,572,0,"M",0,"M"
12,1965,572,0,"M",0,"M"
12,1966,572,0,"M",0,"M"
12,1967,572,0,"M",0,"M"
12,1968,572,0,"M",0,"M"
12,1969,572,0,"M",0,"M"
12,1970,572,0,"M",0,"M"
12,1971,572,0,"M",0,"M"
12,1972,572,0,"M",0,"M"
12,1973,572,0,"M",0,"M"
12,1974,572,0,"M",0,"M"
12,1975,572,0,"M",0,"M"
12,1976,572,0,"M",0,"M"
12,1977,572,0,"M",0,"M"
12,1978,572,0,"M",0,"M"
12,1979,572,0,"M",0,"M"
12,1980,572,0,"M",0,"M"
12,1981,572,0,"M",0,"M"
12,1982,572,0,"M",0,"M"
