"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
32,1961,203,11000,"F",7000,"F"
32,1962,203,12000,"F",7500,"F"
32,1963,203,13000,"F",8000,"F"
32,1964,203,13000,"F",8000,"F"
32,1965,203,13000,"F",8000,"F"
32,1966,203,11000,"F",7000,"F"
32,1967,203,11390," ",5127," "
32,1968,203,10211," ",4915," "
32,1969,203,15376," ",12120," "
32,1970,203,20874," ",11394," "
32,1971,203,19772," ",11461," "
32,1972,203,18500," ",13454," "
32,1973,203,20801," ",10845," "
32,1974,203,21174," ",11011," "
32,1975,203,28875," ",17335," "
32,1976,203,32258," ",18178," "
32,1977,203,34026," ",18824," "
32,1978,203,10000,"F",6350," "
32,1979,203,9200,"F",5654," "
32,1980,203,10500,"F",6580," "
32,1981,203,14500,"F",8900," "
32,1982,203,15500,"F",9500," "
32,1983,203,10500,"F",6500,"F"
32,1984,203,11000,"F",6909," "
32,1985,203,7800,"F",4865," "
32,1986,203,11000,"F",6856," "
32,1987,203,6700,"F",4180," "
32,1988,203,10500,"F",6529," "
32,1989,203,8900,"F",5528," "
32,1990,203,8000,"F",5000,"F"
32,1991,203,8400,"F",5200,"F"
32,1992,203,8800,"F",5500,"F"
32,1993,203,9400,"F",5800,"F"
32,1994,203,10000,"F",6200,"F"
32,1995,203,10500,"F",6500,"F"
32,1996,203,11000,"F",6800,"F"
32,1997,203,11500,"F",7300,"F"
32,1998,203,12200,"F",7600,"F"
32,1999,203,8934," ",8980," "
32,2000,203,8974," ",8495," "
32,2001,203,11508," ",8784," "
32,2002,203,12084," ",9082," "
32,2003,203,12688," ",9391," "
32,2004,203,13322," ",9711," "
32,2005,203,16192," ",20801," "
32,2006,203,16005," ",19630," "
32,2007,203,23438," ",22027," "
32,2008,203,25245," ",23882," "
32,2009,203,29805," ",25644," "
32,2010,203,30836," ",29308," "
32,2011,203,36220," ",30876," "
133,1961,203,10000,"F",8000,"F"
133,1962,203,10000,"F",8000,"F"
133,1963,203,10000,"F",8000,"F"
133,1964,203,10000,"F",8000,"F"
133,1965,203,10000,"F",8000,"F"
133,1966,203,10000,"F",8000,"F"
133,1967,203,10000,"F",8000,"F"
133,1968,203,10000,"F",8000,"F"
133,1969,203,10000,"F",8000,"F"
133,1970,203,10000,"F",8000,"F"
133,1971,203,10000,"F",8000,"F"
133,1972,203,10000,"F",8000,"F"
133,1973,203,10000,"F",8000,"F"
133,1974,203,10000,"F",8000,"F"
133,1975,203,10000,"F",8000,"F"
133,1976,203,10000,"F",8000,"F"
133,1977,203,10000,"F",8000,"F"
133,1978,203,10000,"F",8000,"F"
133,1979,203,10000,"F",8000,"F"
133,1980,203,14000,"F",8261," "
133,1981,203,12000,"F",6811," "
133,1982,203,15000,"F",8840," "
133,1983,203,9065," ",4653," "
133,1984,203,19200," ",10447," "
133,1985,203,18024," ",8460," "
133,1986,203,19136," ",13248," "
133,1987,203,19218," ",12402," "
133,1988,203,26420," ",12622," "
133,1989,203,16159," ",7305," "
133,1990,203,24000,"F",16620," "
133,1991,203,24369," ",19402," "
133,1992,203,25000,"F",18452," "
133,1993,203,26000,"F",13907," "
133,1994,203,28564," ",5880," "
133,1995,203,9206," ",7165," "
133,1996,203,16034," ",8406," "
133,1997,203,14562," ",9321," "
133,1998,203,12453," ",9809," "
133,1999,203,26738," ",21717," "
133,2000,203,24244," ",16562," "
133,2001,203,20000,"F",13000,"F"
133,2002,203,16861," ",11618,"E"
133,2003,203,45351," ",33321," "
133,2004,203,20000,"F",19000,"F"
133,2005,203,20120," ",17169," "
133,2006,203,28858," ",18049," "
133,2007,203,22750," ",18884," "
133,2008,203,45302," ",26114," "
133,2009,203,39416," ",24978," "
133,2010,203,37098," ",25956," "
133,2011,203,37700,"F",26000,"F"
158,1961,203,0,"M",0,"M"
158,1962,203,0,"M",0,"M"
158,1963,203,0,"M",0,"M"
158,1964,203,0,"M",0,"M"
158,1965,203,0,"M",0,"M"
158,1966,203,0,"M",0,"M"
158,1967,203,0,"M",0,"M"
158,1968,203,0,"M",0,"M"
158,1969,203,0,"M",0,"M"
158,1970,203,0,"M",0,"M"
158,1971,203,0,"M",0,"M"
158,1972,203,0,"M",0,"M"
158,1973,203,0,"M",0,"M"
158,1974,203,0,"M",0,"M"
158,1975,203,0,"M",0,"M"
