"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
4,1961,486,0,"M",0,"M"
4,1962,486,0,"M",0,"M"
4,1963,486,0,"M",0,"M"
4,1964,486,0,"M",0,"M"
4,1965,486,0,"M",0,"M"
4,1966,486,0,"M",0,"M"
4,1967,486,0,"M",0,"M"
4,1968,486,0,"M",0,"M"
4,1969,486,0,"M",0,"M"
4,1970,486,0,"M",0,"M"
4,1971,486,0,"M",0,"M"
4,1972,486,0,"M",0,"M"
4,1973,486,0,"M",0,"M"
4,1974,486,0,"M",0,"M"
4,1975,486,0,"M",0,"M"
4,1976,486,0,"M",0,"M"
4,1977,486,0,"M",0,"M"
4,1978,486,0,"M",0,"M"
4,1979,486,0,"M",0,"M"
4,1980,486,0,"M",0,"M"
4,1981,486,0,"M",0,"M"
4,1982,486,0,"M",0,"M"
4,1983,486,0,"M",0,"M"
4,1984,486,0,"M",0,"M"
4,1985,486,0,"M",0,"M"
4,1986,486,0,"M",0,"M"
4,1987,486,0,"M",0,"M"
4,1988,486,0,"M",0,"M"
4,1989,486,0,"M",0,"M"
4,1990,486,0,"M",0,"M"
4,1991,486,0,"M",0,"M"
4,1992,486,0,"M",0,"M"
4,1993,486,0,"M",0,"M"
4,1994,486,0,"M",0,"M"
4,1995,486,0,"M",0,"M"
4,1996,486,0,"M",0,"M"
4,1997,486,0,"M",0,"M"
4,1998,486,0,"M",0,"M"
4,1999,486,0,"M",0,"M"
4,2000,486,0,"M",0,"M"
4,2001,486,0,"M",0,"M"
4,2002,486,0,"M",0,"M"
4,2003,486,0,"M",0,"M"
4,2004,486,14," ",374," "
4,2005,486,12," ",278," "
4,2006,486,1," ",11," "
4,2007,486,10,"F",200,"F"
4,2008,486,10,"F",239,"E"
4,2009,486,12,"E",273,"E"
4,2010,486,11,"E",323,"E"
4,2011,486,12,"E",329,"E"
5,1961,486,500,"F",600," "
5,1962,486,500,"F",600," "
5,1963,486,500,"F",720," "
5,1964,486,500,"F",1130," "
5,1965,486,405," ",907," "
5,1966,486,486," ",680," "
5,1967,486,550,"F",1179," "
5,1968,486,630,"F",1125," "
5,1969,486,700,"F",1910," "
5,1970,486,700,"F",2368," "
5,1971,486,500,"F",1500,"F"
5,1972,486,470,"F",1400,"F"
5,1973,486,400,"F",1300,"F"
5,1974,486,400,"F",1200,"F"
5,1975,486,400,"F",1100,"F"
5,1976,486,350,"F",1000,"F"
5,1977,486,350,"F",1000,"F"
5,1978,486,350,"F",1000,"F"
5,1979,486,350,"F",1000,"*"
5,1980,486,350,"F",1000,"F"
5,1981,486,350,"F",1000,"F"
5,1982,486,350,"F",1100,"F"
5,1983,486,350,"F",1100,"F"
5,1984,486,350,"F",1000,"F"
5,1985,486,350,"F",1000,"F"
5,1986,486,350,"F",1000,"F"
5,1987,486,350,"F",1000,"F"
5,1988,486,350,"F",1000,"F"
5,1989,486,350,"F",1010," "
5,1990,486,349,"E",1000,"F"
5,1991,486,350,"E",924,"E"
5,1992,486,300,"F",750,"F"
5,1993,486,318,"E",905,"E"
5,1994,486,323,"E",929,"E"
5,1995,486,306,"E",884,"E"
5,1996,486,328,"E",932,"E"
5,1997,486,354,"E",849,"E"
5,1998,486,387,"E",930,"E"
5,1999,486,421,"E",940,"E"
5,2000,486,468,"E",1053,"E"
5,2001,486,422,"E",1420,"E"
5,2002,486,453,"E",1256,"E"
5,2003,486,384,"E",1060,"E"
5,2004,486,391,"E",1032,"E"
5,2005,486,373,"E",1067,"E"
5,2006,486,320,"F",770,"F"
5,2007,486,330,"F",790,"F"
5,2008,486,345,"E",786,"E"
5,2009,486,343,"E",997,"E"
5,2010,486,380,"F",1113,"E"
5,2011,486,369,"E",747,"E"
7,1961,486,20000,"F",175000,"*"
7,1962,486,20000,"F",185000,"*"
7,1963,486,22000,"F",2e+05,"*"
7,1964,486,22000,"F",205000,"*"
7,1965,486,24000,"F",210000,"*"
7,1966,486,24000,"F",210000,"*"
7,1967,486,24000,"F",213000,"*"
7,1968,486,24000,"F",213000,"*"
7,1969,486,30000,"F",250000," "
7,1970,486,30000,"F",3e+05," "
7,1971,486,30000,"F",3e+05,"F"
7,1972,486,30000,"F",250000,"F"
7,1973,486,30000,"F",3e+05,"F"
7,1974,486,30000,"F",320000,"F"
7,1975,486,30000,"F",250000,"F"
7,1976,486,30000,"F",3e+05,"F"
