"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,44,0," ",46000," "
1,1962,44,0," ",102000," "
1,1963,44,0," ",73000," "
1,1964,44,0," ",70000," "
1,1965,44,72000," ",90000," "
1,1966,44,68000," ",81000," "
1,1967,44,62000," ",81000," "
1,1968,44,59000," ",56000," "
1,1969,44,63000," ",62000," "
1,1970,44,59000," ",69000," "
1,1971,44,54700," ",79700," "
1,1972,44,61500," ",95200," "
1,1973,44,65000," ",99000," "
1,1974,44,72300," ",110000," "
1,1975,44,64000," ",0,"M"
1,1976,44,0," ",0," "
1,1977,44,62000," ",108000," "
1,1978,44,62000," ",97000," "
1,1979,44,74000," ",150000," "
1,1980,44,69000," ",76000," "
1,1981,44,63000," ",129000," "
1,1982,44,61000," ",95000,"*"
1,1983,44,61000," ",103000,"*"
1,1984,44,57000," ",1e+05,"*"
1,1985,44,57000," ",114000," "
1,1986,44,63000," ",149000," "
1,1987,44,58000," ",101000," "
1,1988,44,58000," ",151000," "
1,1989,44,58000," ",69000," "
1,1990,44,56340," ",94626," "
1,1991,44,64978," ",118115," "
1,1992,44,92851," ",150900," "
1,1993,44,80500," ",83300," "
1,1994,44,70000," ",69100," "
1,1995,44,70000," ",89300," "
1,1996,44,77400," ",105200," "
1,1997,44,74200," ",59327," "
1,1998,44,61000," ",71211," "
1,1999,44,51000," ",65200," "
1,2000,44,47100," ",32944," "
1,2001,44,79600," ",107451," "
1,2002,44,61701," ",109495," "
1,2003,44,60392," ",68273," "
1,2004,44,64628," ",131138," "
1,2005,44,65462," ",110771," "
1,2006,44,49400," ",49476," "
1,2007,44,65180," ",162533," "
1,2008,44,66260," ",149091," "
1,2009,44,66511," ",145141," "
1,2010,44,60954," ",118574," "
1,2011,44,67873," ",178226," "
2,1961,44,350000," ",378000," "
2,1962,44,350000," ",378000," "
2,1963,44,350000," ",378000," "
2,1964,44,350000," ",380000," "
2,1965,44,350000," ",380000," "
2,1966,44,350000," ",375000," "
2,1967,44,316000," ",357000," "
2,1968,44,317000," ",361000," "
2,1969,44,317000," ",365000," "
2,1970,44,315000," ",370000," "
2,1971,44,315000," ",355000," "
2,1972,44,320000," ",350000," "
2,1973,44,320000," ",360000," "
2,1974,44,340200," ",380000," "
2,1975,44,320000," ",384000," "
2,1976,44,310000," ",4e+05," "
2,1977,44,310000," ",3e+05," "
2,1978,44,310000," ",325000," "
2,1979,44,304000," ",318000," "
2,1980,44,306000," ",321000," "
2,1981,44,278000,"F",3e+05,"F"
2,1982,44,257000,"*",276000,"*"
2,1983,44,242000,"*",266000,"*"
2,1984,44,234000,"*",254000,"*"
2,1985,44,221000,"*",240000,"*"
2,1986,44,213000," ",231000," "
2,1987,44,213000,"F",231000,"F"
2,1988,44,212000,"*",235000,"*"
2,1989,44,211000,"*",231000,"*"
2,1990,44,205000,"*",216000,"*"
2,1991,44,204000,"*",217000,"*"
