"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,176,0," ",0," "
1,1962,176,0," ",0," "
1,1963,176,0," ",0," "
1,1964,176,0," ",0," "
1,1965,176,0," ",0," "
1,1966,176,0," ",0," "
1,1967,176,0," ",0," "
1,1968,176,0," ",0," "
1,1969,176,0," ",0," "
1,1970,176,0," ",0," "
1,1971,176,0," ",0," "
1,1972,176,0," ",0," "
1,1973,176,0," ",0," "
1,1974,176,0," ",0," "
1,1975,176,0," ",0," "
1,1976,176,0," ",0," "
1,1977,176,0," ",0," "
1,1978,176,0," ",0," "
1,1979,176,0," ",0," "
1,1980,176,0," ",0," "
1,1981,176,0," ",0," "
1,1982,176,0," ",0," "
1,1983,176,0," ",0," "
1,1984,176,0," ",0," "
1,1985,176,0," ",0," "
1,1986,176,0," ",0," "
1,1987,176,0," ",0," "
1,1988,176,0," ",0," "
1,1989,176,0," ",0," "
1,1990,176,1020," ",2417," "
1,1991,176,822," ",1948," "
1,1992,176,1514," ",2445," "
1,1993,176,1776," ",3599," "
1,1994,176,2000,"*",4800,"*"
1,1995,176,2260,"*",3400,"*"
1,1996,176,2165," ",5210,"*"
1,1997,176,1900,"*",3900,"*"
1,1998,176,1700,"*",3195,"*"
1,1999,176,1746," ",3550," "
1,2000,176,1994," ",3838," "
1,2001,176,1769," ",3067," "
1,2002,176,1687," ",3309," "
1,2003,176,1777," ",4470," "
1,2004,176,1799," ",4959," "
1,2005,176,1688," ",4085," "
1,2006,176,1770," ",3717," "
1,2007,176,1884," ",4951," "
1,2008,176,2083," ",5903," "
1,2009,176,1952," ",5549.4," "
1,2010,176,1765," ",4185," "
1,2011,176,1864," ",4930," "
3,1961,176,13100,"*",9247," "
3,1962,176,12700,"*",8929," "
3,1963,176,20000,"*",14016," "
3,1964,176,18300,"*",12790," "
3,1965,176,12000,"*",8359," "
3,1966,176,17700,"*",12392," "
3,1967,176,19100,"*",13443," "
3,1968,176,21100,"*",14767," "
3,1969,176,18000,"*",12573," "
3,1970,176,18700,"*",13131," "
3,1971,176,18000,"*",13079," "
3,1972,176,17000,"F",12000,"F"
3,1973,176,13800,"F",11000," "
3,1974,176,16600,"F",13300,"F"
3,1975,176,12500,"F",10000,"F"
3,1976,176,18100,"F",14500,"F"
3,1977,176,20600,"F",16500,"F"
3,1978,176,21200,"F",17000,"F"
3,1979,176,23000,"F",18500,"F"
3,1980,176,22500,"F",18000,"F"
3,1981,176,23000,"F",20000,"F"
3,1982,176,21000,"F",20000,"F"
