"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,414,0,"M",0,"M"
3,1962,414,0,"M",0,"M"
3,1963,414,0,"M",0,"M"
3,1964,414,0,"M",0,"M"
3,1965,414,0,"M",0,"M"
3,1966,414,0,"M",0,"M"
3,1967,414,0,"M",0,"M"
3,1968,414,0,"M",0,"M"
3,1969,414,0,"M",0,"M"
3,1970,414,0,"M",0,"M"
3,1971,414,0,"M",0,"M"
3,1972,414,0,"M",0,"M"
3,1973,414,0,"M",0,"M"
3,1974,414,0,"M",0,"M"
3,1975,414,0,"M",0,"M"
3,1976,414,0,"M",0,"M"
3,1977,414,0,"M",0,"M"
3,1978,414,0,"M",0,"M"
3,1979,414,0,"M",0,"M"
3,1980,414,0,"M",0,"M"
3,1981,414,0,"M",0,"M"
3,1982,414,0,"M",0,"M"
3,1983,414,0,"M",0,"M"
3,1984,414,0,"M",0,"M"
3,1985,414,0,"M",0,"M"
3,1986,414,0,"M",0,"M"
3,1987,414,0,"M",0,"M"
3,1988,414,0,"M",0,"M"
3,1989,414,0,"M",0,"M"
3,1990,414,0,"M",0,"M"
3,1991,414,0,"M",0,"M"
3,1992,414,0,"M",0,"M"
3,1993,414,0,"M",0,"M"
3,1994,414,30,"F",200,"F"
3,1995,414,65,"F",500,"F"
3,1996,414,125,"F",1000,"F"
3,1997,414,200,"F",1600,"F"
3,1998,414,250,"F",2400,"*"
3,1999,414,300,"F",3000,"F"
3,2000,414,500,"*",3800,"F"
3,2001,414,700," ",5620," "
3,2002,414,690," ",5400," "
3,2003,414,500," ",7500," "
3,2004,414,520," ",7600," "
3,2005,414,600," ",7800," "
3,2006,414,600,"*",16000,"*"
3,2007,414,600,"*",7000," "
3,2008,414,695," ",7100," "
3,2009,414,587," ",6902," "
3,2010,414,797," ",9307," "
3,2011,414,800," ",8200," "
4,1961,414,2800," ",14000," "
4,1962,414,2600," ",12900," "
4,1963,414,2400,"F",13000," "
4,1964,414,1840," ",7399," "
4,1965,414,1750," ",5727," "
4,1966,414,1620," ",5644," "
4,1967,414,1970," ",6594," "
4,1968,414,2830," ",20468," "
4,1969,414,2390," ",7290," "
4,1970,414,2400," ",7476," "
4,1971,414,2470," ",6695," "
4,1972,414,2470," ",6540," "
4,1973,414,2360," ",5998," "
4,1974,414,2470," ",6483," "
4,1975,414,2860," ",7495," "
4,1976,414,2810," ",7874," "
4,1977,414,3160," ",7759," "
4,1978,414,2510," ",6626," "
4,1979,414,2580," ",6074," "
4,1980,414,2670," ",6418," "
4,1981,414,2960," ",7697," "
4,1982,414,3270," ",8740," "
4,1983,414,3410," ",9667," "
4,1984,414,3340," ",9993," "
4,1985,414,3780," ",11165," "
4,1986,414,4030," ",13999," "
4,1987,414,4110," ",16090," "
4,1988,414,4160," ",16417," "
4,1989,414,4050," ",16547," "
4,1990,414,4200," ",16918," "
4,1991,414,4940," ",18327," "
4,1992,414,5910," ",21661," "
4,1993,414,5510," ",24728," "
4,1994,414,4780," ",20506," "
4,1995,414,4760," ",20451," "
4,1996,414,4840," ",20990," "
4,1997,414,4880," ",23648," "
4,1998,414,5440," ",22283," "
4,1999,414,7110," ",26306," "
4,2000,414,5990," ",25523," "
4,2001,414,6000," ",29527," "
4,2002,414,6320,"E",29750," "
4,2003,414,6730," ",40681," "
4,2004,414,7534," ",41100," "
4,2005,414,6928," ",33265," "
4,2006,414,7766," ",35508," "
4,2007,414,8532," ",41322," "
4,2008,414,8622," ",40121," "
4,2009,414,8918," ",45096," "
4,2010,414,9599," ",53487," "
4,2011,414,9197," ",54581," "
5,1961,414,0,"M",0,"M"
5,1962,414,0,"M",0,"M"
5,1963,414,0,"M",0,"M"
5,1964,414,0,"M",0,"M"
5,1965,414,0,"M",0,"M"
5,1966,414,0,"M",0,"M"
5,1967,414,0,"M",0,"M"
5,1968,414,0,"M",0,"M"
5,1969,414,0,"M",0,"M"
5,1970,414,0,"M",0,"M"
5,1971,414,0,"M",0,"M"
5,1972,414,0,"M",0,"M"
5,1973,414,0,"M",0,"M"
5,1974,414,0,"M",0,"M"
5,1975,414,0,"M",0,"M"
5,1976,414,0,"M",0,"M"
5,1977,414,0,"M",0,"M"
5,1978,414,0,"M",0,"M"
5,1979,414,0,"M",0,"M"
5,1980,414,0,"M",0,"M"
5,1981,414,0,"M",0,"M"
5,1982,414,0,"M",0,"M"
5,1983,414,0,"M",0,"M"
5,1984,414,0,"M",0,"M"
5,1985,414,0,"M",0,"M"
5,1986,414,0,"M",0,"M"
5,1987,414,0,"M",0,"M"
5,1988,414,0,"M",0,"M"
5,1989,414,0,"M",0,"M"
5,1990,414,0,"M",0,"M"
5,1991,414,0,"M",0,"M"
5,1992,414,0,"M",0,"M"
5,1993,414,0,"M",0,"M"
5,1994,414,0,"M",0,"M"
5,1995,414,0,"M",0,"M"
5,1996,414,0,"M",0,"M"
5,1997,414,0,"M",0,"M"
5,1998,414,8," ",53," "
5,1999,414,10,"F",60,"F"
5,2000,414,20,"F",80,"F"
5,2001,414,30,"F",110,"F"
5,2002,414,40,"F",130,"F"
5,2003,414,48," ",140," "
5,2004,414,50,"F",150,"F"
5,2005,414,42,"E",162,"E"
5,2006,414,50,"E",182,"E"
5,2007,414,48,"E",139,"E"
5,2008,414,42,"E",130,"E"
5,2009,414,37,"E",134,"E"
5,2010,414,39,"E",135,"E"
5,2011,414,40,"E",118,"E"
8,1961,414,1,"F",4,"F"
8,1962,414,1,"F",4,"F"
8,1963,414,2,"F",6,"F"
8,1964,414,2,"F",8,"F"
8,1965,414,2,"F",10,"F"
8,1966,414,2,"F",10,"F"
8,1967,414,5,"F",20,"F"
8,1968,414,7,"F",35,"F"
8,1969,414,10,"F",45,"F"
8,1970,414,12,"F",60,"F"
8,1971,414,15,"F",80,"F"
8,1972,414,20,"F",98," "
8,1973,414,7,"F",35," "
8,1974,414,4,"F",15," "
8,1975,414,6,"F",28," "
8,1976,414,8,"F",37," "
8,1977,414,5,"F",20," "
8,1978,414,5,"F",19," "
8,1979,414,10,"F",43," "
8,1980,414,13," ",15," "
8,1981,414,25," ",22," "
8,1982,414,23," ",78," "
8,1983,414,13," ",54," "
8,1984,414,2,"F",7," "
8,1985,414,22,"F",99," "
8,1986,414,17,"F",70,"F"
8,1987,414,9,"F",34," "
8,1988,414,11,"F",41," "
8,1989,414,12,"F",45,"F"
8,1990,414,13,"F",50,"F"
8,1991,414,15,"F",60,"F"
8,1992,414,20,"F",80,"F"
8,1993,414,18,"E",74,"E"
8,1994,414,17,"E",69,"E"
8,1995,414,18,"F",65,"F"
8,1996,414,20,"E",72,"E"
8,1997,414,19,"E",67,"E"
8,1998,414,24,"E",68,"E"
8,1999,414,25,"E",93,"E"
8,2000,414,20,"F",70,"F"
8,2001,414,19,"E",75,"F"
8,2002,414,22,"F",80,"F"
8,2003,414,24,"F",90,"F"
8,2004,414,25,"F",95,"F"
8,2005,414,24,"E",93,"E"
8,2006,414,25,"F",77,"E"
8,2007,414,25,"E",74,"E"
8,2008,414,22,"E",71,"E"
8,2009,414,30,"E",75,"E"
8,2010,414,26,"E",87,"F"
8,2011,414,24,"E",94,"E"
9,1961,414,1991," ",6500," "
9,1962,414,1801," ",6200," "
9,1963,414,1606," ",5650," "
9,1964,414,1541," ",6000," "
9,1965,414,1145," ",4500," "
9,1966,414,1115," ",4750," "
9,1967,414,1063," ",4630," "
9,1968,414,911," ",3800," "
9,1969,414,786," ",3560," "
