"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,558,0,"M",0,"M"
1,1962,558,0,"M",0,"M"
1,1963,558,0,"M",0,"M"
1,1964,558,0,"M",0,"M"
1,1965,558,0,"M",0,"M"
1,1966,558,0,"M",0,"M"
1,1967,558,0,"M",0,"M"
1,1968,558,0,"M",0,"M"
1,1969,558,0,"M",0,"M"
1,1970,558,0,"M",0,"M"
1,1971,558,0,"M",0,"M"
1,1972,558,0,"M",0,"M"
1,1973,558,0,"M",0,"M"
1,1974,558,0,"M",0,"M"
1,1975,558,0,"M",0,"M"
1,1976,558,0,"M",0,"M"
1,1977,558,0,"M",0,"M"
1,1978,558,0,"M",0,"M"
1,1979,558,0,"M",0,"M"
1,1980,558,0,"M",0,"M"
1,1981,558,0,"M",0,"M"
1,1982,558,0,"M",0,"M"
1,1983,558,0,"M",0,"M"
1,1984,558,0,"M",0,"M"
1,1985,558,0,"M",0,"M"
1,1986,558,0,"M",0,"M"
1,1987,558,0,"M",0,"M"
1,1988,558,0,"M",0,"M"
1,1989,558,0,"M",0,"M"
1,1990,558,0,"M",0,"M"
1,1991,558,0,"M",0,"M"
1,1992,558,300,"*",300,"*"
1,1993,558,300,"*",100,"*"
1,1994,558,300,"*",200,"*"
1,1995,558,400,"*",300,"*"
1,1996,558,300,"*",300,"*"
1,1997,558,200,"*",300,"*"
1,1998,558,200,"*",400,"*"
1,1999,558,200,"*",300,"*"
1,2000,558,200,"*",400,"*"
1,2001,558,100,"*",400,"*"
1,2002,558,167," ",378," "
1,2003,558,170," ",428," "
1,2004,558,1016," ",2381," "
1,2005,558,1100,"*",5000,"*"
1,2006,558,1300,"*",8000,"*"
1,2007,558,2223," ",12949," "
1,2008,558,2069," ",15506," "
1,2009,558,2084," ",14140," "
1,2010,558,2089," ",10084," "
1,2011,558,2291," ",12627," "
2,1961,558,6800,"F",60000,"*"
2,1962,558,6800,"F",60000,"F"
2,1963,558,6800,"F",60000,"F"
2,1964,558,6800,"F",60000,"F"
2,1965,558,6800,"F",60000,"F"
2,1966,558,6800,"F",60000,"F"
2,1967,558,6800,"F",60000,"*"
2,1968,558,6900,"F",60500,"F"
2,1969,558,6900,"F",60500,"F"
2,1970,558,6500,"F",55000,"F"
2,1971,558,6500,"F",50000,"F"
2,1972,558,6900,"F",60500,"F"
2,1973,558,6900,"F",60500,"F"
2,1974,558,6900,"F",60500,"F"
2,1975,558,6800,"F",61000,"F"
2,1976,558,6500,"F",55000,"F"
2,1977,558,6500,"F",40000,"F"
2,1978,558,6800,"F",60000,"F"
2,1979,558,6800,"F",60000,"F"
2,1980,558,6800,"F",60000,"F"
2,1981,558,6800,"F",60000,"F"
2,1982,558,6800,"F",60000,"F"
2,1983,558,6800,"F",59000,"F"
2,1984,558,6800,"F",59000,"F"
2,1985,558,6800,"F",59000,"F"
2,1986,558,6700,"F",58000,"F"
2,1987,558,6700,"F",58000,"F"
2,1988,558,6700,"F",58000,"F"
2,1989,558,6600,"F",57000,"F"
2,1990,558,6671,"E",56890,"E"
2,1991,558,6660,"E",57045,"E"
2,1992,558,6903,"E",51575,"E"
2,1993,558,7317,"E",53590,"E"
2,1994,558,7582,"E",58065,"E"
2,1995,558,7720,"E",56471,"E"
2,1996,558,7944,"E",59404,"E"
2,1997,558,8270,"E",66649,"E"
2,1998,558,8939,"E",71345,"E"
2,1999,558,8857,"E",72462,"E"
2,2000,558,9016,"E",69846,"E"
2,2001,558,9176,"E",71826,"E"
2,2002,558,9263,"E",70570,"E"
2,2003,558,9255,"E",74606,"E"
2,2004,558,10771,"E",79006,"E"
2,2005,558,6000,"F",51000,"F"
2,2006,558,5000,"F",42500,"F"
2,2007,558,5586," ",48000,"F"
2,2008,558,5500," ",47000,"F"
2,2009,558,3800," ",32300,"F"
2,2010,558,3800," ",24764,"E"
2,2011,558,3800," ",24606,"E"
10,1961,558,216," ",1555," "
10,1962,558,227," ",1189," "
10,1963,558,229," ",1113," "
10,1964,558,186," ",833," "
10,1965,558,174," ",811," "
10,1966,558,193," ",871," "
10,1967,558,149," ",755," "
10,1968,558,161," ",732," "
10,1969,558,148," ",706," "
10,1970,558,150,"F",800,"F"
10,1971,558,161," ",762," "
10,1972,558,138," ",724," "
10,1973,558,125,"F",600,"F"
10,1974,558,121," ",599," "
10,1975,558,112," ",413," "
10,1976,558,105," ",488," "
10,1977,558,87," ",400,"F"
10,1978,558,86," ",400,"F"
10,1979,558,85," ",400,"F"
10,1980,558,110," ",600,"F"
10,1981,558,99," ",400,"F"
10,1982,558,99," ",400,"F"
10,1983,558,100,"F",300,"F"
10,1984,558,100,"F",300,"F"
10,1985,558,100,"F",300,"F"
10,1986,558,100,"F",300,"F"
10,1987,558,161," ",373," "
10,1988,558,194," ",388," "
10,1989,558,216," ",273," "
10,1990,558,190," ",877," "
10,1991,558,236," ",483," "
10,1992,558,364," ",1185," "
10,1993,558,400,"F",1300,"F"
10,1994,558,300,"F",1000,"F"
10,1995,558,288,"E",800,"F"
10,1996,558,308,"E",872,"E"
10,1997,558,333,"E",883,"E"
10,1998,558,355,"E",914,"E"
10,1999,558,412,"E",964,"E"
10,2000,558,467,"E",1019,"E"
10,2001,558,542,"E",1149,"E"
10,2002,558,350,"F",1000,"F"
10,2003,558,500,"F",1500,"F"
10,2004,558,650,"F",2000,"F"
10,2005,558,800,"F",2500,"F"
10,2006,558,950,"F",3000,"F"
10,2007,558,953," ",3439," "
10,2008,558,900,"F",3200,"F"
10,2009,558,787," ",2860," "
10,2010,558,300,"F",1200,"F"
10,2011,558,895," ",3263," "
11,1961,558,215,"F",1000,"F"
11,1962,558,215,"F",1000,"F"
11,1963,558,215,"F",1000,"F"
11,1964,558,215,"F",1000,"F"
11,1965,558,215,"F",1000,"F"
11,1966,558,215,"F",1000,"F"
11,1967,558,215,"F",1000,"F"
11,1968,558,215,"F",1000,"F"
11,1969,558,215,"F",1000,"F"
11,1970,558,215,"F",1000,"F"
11,1971,558,215,"F",1000,"F"
11,1972,558,215,"F",1000,"F"
11,1973,558,215,"F",1000,"F"
