"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
27,1961,552,0,"M",0,"M"
27,1962,552,0,"M",0,"M"
27,1963,552,0,"M",0,"M"
27,1964,552,0,"M",0,"M"
27,1965,552,0,"M",0,"M"
27,1966,552,0,"M",0,"M"
27,1967,552,0,"M",0,"M"
27,1968,552,0,"M",0,"M"
27,1969,552,0,"M",0,"M"
27,1970,552,0,"M",0,"M"
27,1971,552,0,"M",0,"M"
27,1972,552,0,"M",0,"M"
27,1973,552,0,"M",0,"M"
27,1974,552,0,"M",0,"M"
27,1975,552,0,"M",0,"M"
27,1976,552,0,"M",0,"M"
27,1977,552,0,"M",0,"M"
27,1978,552,0,"M",0,"M"
27,1979,552,0,"M",0,"M"
27,1980,552,0,"M",0,"M"
27,1981,552,0,"M",0,"M"
27,1982,552,0,"M",0,"M"
27,1983,552,0,"M",0,"M"
27,1984,552,0,"M",0,"M"
27,1985,552,0,"M",0,"M"
27,1986,552,0,"M",0,"M"
27,1987,552,0,"M",0,"M"
27,1988,552,0,"M",0,"M"
27,1989,552,0,"M",0,"M"
27,1990,552,0,"M",0,"M"
27,1991,552,0,"M",0,"M"
27,1992,552,0,"M",0,"M"
27,1993,552,0,"M",0,"M"
27,1994,552,0,"M",0,"M"
27,1995,552,0,"M",0,"M"
27,1996,552,0,"M",0,"M"
27,1997,552,0,"M",0,"M"
27,1998,552,0,"M",0,"M"
27,1999,552,0,"M",0,"M"
27,2000,552,0,"M",0,"M"
27,2001,552,0,"M",0,"M"
27,2002,552,0,"M",0,"M"
27,2003,552,0,"M",0,"M"
27,2004,552,0,"M",0,"M"
27,2005,552,0,"M",0,"M"
27,2006,552,20,"F",100,"F"
27,2007,552,20,"F",100,"F"
27,2008,552,20,"F",100,"F"
27,2009,552,17,"E",92,"E"
27,2010,552,15,"E",90,"E"
27,2011,552,14,"E",96,"E"
33,1961,552,2800,"F",8194," "
33,1962,552,2750,"F",8266," "
33,1963,552,3900,"F",10865," "
33,1964,552,3260,"F",9463," "
33,1965,552,2840,"F",8230," "
33,1966,552,6100,"F",17014," "
33,1967,552,4900,"F",14120," "
33,1968,552,2860,"F",7159," "
33,1969,552,4650,"F",13018," "
33,1970,552,4470,"F",12959," "
33,1971,552,3500,"F",10192," "
33,1972,552,4100,"F",11894," "
33,1973,552,5830,"F",16335," "
33,1974,552,3050,"F",8843," "
33,1975,552,5140,"F",14389," "
33,1976,552,3950,"F",11311," "
33,1977,552,5050,"F",15861," "
33,1978,552,5000,"F",14564," "
33,1979,552,4700,"F",15606," "
33,1980,552,5400,"F",13647," "
33,1981,552,6200,"F",18033," "
33,1982,552,8200,"F",23235," "
33,1983,552,7800,"F",22545," "
33,1984,552,5900,"F",17056," "
33,1985,552,7700,"F",22431," "
33,1986,552,6600,"F",16630," "
33,1987,552,10300,"F",29783," "
33,1988,552,9687," ",31832," "
33,1989,552,14063," ",27525," "
33,1990,552,13741," ",36114," "
33,1991,552,15100," ",35860," "
33,1992,552,18231," ",38960," "
33,1993,552,19492," ",39670," "
33,1994,552,17943," ",40640," "
33,1995,552,18250," ",42980," "
33,1996,552,19888," ",49090," "
33,1997,552,20048," ",43500," "
33,1998,552,19955," ",35118," "
33,1999,552,22511," ",63794," "
33,2000,552,23921," ",59035," "
33,2001,552,25000,"F",67708," "
33,2002,552,25817," ",64861," "
33,2003,552,27142," ",78608," "
33,2004,552,28162," ",82310," "
33,2005,552,29704," ",69410," "
33,2006,552,31485," ",82530," "
33,2007,552,30274," ",77400," "
33,2008,552,34109," ",95516," "
33,2009,552,34848," ",102750," "
33,2010,552,34277," ",83550," "
33,2011,552,38493," ",105140," "
54,1961,552,0,"M",0,"M"
54,1962,552,0,"M",0,"M"
54,1963,552,0,"M",0,"M"
54,1964,552,0,"M",0,"M"
54,1965,552,0,"M",0,"M"
54,1966,552,0,"M",0,"M"
54,1967,552,0,"M",0,"M"
54,1968,552,0,"M",0,"M"
54,1969,552,0,"M",0,"M"
54,1970,552,0,"M",0,"M"
54,1971,552,0,"M",0,"M"
54,1972,552,0,"M",0,"M"
54,1973,552,0,"M",0,"M"
54,1974,552,0,"M",0,"M"
54,1975,552,0,"M",0,"M"
54,1976,552,0,"M",0,"M"
54,1977,552,0,"M",0,"M"
54,1978,552,0,"M",0,"M"
54,1979,552,0,"M",0,"M"
54,1980,552,0,"M",0,"M"
54,1981,552,0,"M",0,"M"
54,1982,552,0,"M",0,"M"
54,1983,552,0,"M",0,"M"
54,1984,552,0,"M",0,"M"
54,1985,552,0,"M",0,"M"
54,1986,552,0,"M",0,"M"
54,1987,552,0,"M",0,"M"
54,1988,552,0,"M",0,"M"
54,1989,552,0,"M",0,"M"
54,1990,552,0,"M",0,"M"
