"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
19,1961,216,,,2834," "
19,1962,216,,,3117," "
19,1963,216,,,4306," "
19,1964,216,,,5000," "
19,1965,216,,,6000," "
19,1966,216,,,6000," "
19,1967,216,,,7000," "
19,1968,216,,,7000," "
19,1969,216,,,6200," "
19,1970,216,,,8500," "
19,1971,216,,,10500," "
19,1972,216,,,11400," "
19,1973,216,,,7500," "
19,1974,216,,,10700," "
19,1975,216,,,11800," "
19,1976,216,,,14750," "
19,1977,216,,,11900," "
19,1978,216,,,11350," "
19,1979,216,,,8700,"*"
19,1980,216,,,9380,"*"
19,1981,216,,,10412,"*"
19,1982,216,,,11000,"F"
19,1983,216,,,13000,"F"
19,1984,216,,,11500,"F"
19,1985,216,,,12000,"F"
19,1986,216,,,21366," "
19,1987,216,,,17777," "
19,1988,216,,,16080," "
19,1989,216,,,17496," "
19,1990,216,,,17000,"F"
19,1991,216,,,18000,"F"
19,1992,216,,,18500,"F"
19,1993,216,,,17500,"F"
19,1994,216,,,16500,"F"
19,1995,216,,,15400,"*"
19,1996,216,,,18000,"F"
19,1997,216,,,23000,"F"
19,1998,216,,,15400," "
19,1999,216,,,30000," "
19,2000,216,,,36000," "
19,2001,216,,,38000,"F"
19,2002,216,,,36582,"E"
19,2003,216,,,38500,"F"
19,2004,216,,,40000,"F"
19,2005,216,,,43259,"E"
19,2006,216,,,41000,"F"
19,2007,216,,,42000,"F"
19,2008,216,,,42629,"E"
19,2009,216,,,45000,"F"
19,2010,216,,,45000,"F"
19,2011,216,,,45000,"F"
21,1961,216,,,51713," "
21,1962,216,,,45442," "
21,1963,216,,,40431," "
21,1964,216,,,44223," "
21,1965,216,,,40798," "
21,1966,216,,,55470," "
21,1967,216,,,34164," "
21,1968,216,,,50977," "
21,1969,216,,,40004," "
21,1970,216,,,104487," "
21,1971,216,,,67005," "
21,1972,216,,,70000,"F"
21,1973,216,,,52095," "
21,1974,216,,,35776," "
21,1975,216,,,51719," "
21,1976,216,,,61043," "
21,1977,216,,,53958," "
21,1978,216,,,40449," "
21,1979,216,,,43242," "
21,1980,216,,,40456," "
21,1981,216,,,36702," "
21,1982,216,,,36849," "
21,1983,216,,,50860," "
21,1984,216,,,40710," "
21,1985,216,,,45020," "
21,1986,216,,,36136," "
21,1987,216,,,36241," "
21,1988,216,,,29391," "
21,1989,216,,,25672," "
21,1990,216,,,51195," "
21,1991,216,,,35838," "
21,1992,216,,,25303," "
21,1993,216,,,26505," "
21,1994,216,,,38882," "
21,1995,216,,,40216," "
21,1996,216,,,21469," "
21,1997,216,,,22786," "
21,1998,216,,,23111," "
21,1999,216,,,26856," "
21,2000,216,,,33431," "
21,2001,216,,,28467," "
21,2002,216,,,27389," "
21,2003,216,,,28000,"F"
21,2004,216,,,28500,"F"
21,2005,216,,,30000,"F"
21,2006,216,,,28806," "
21,2007,216,,,30406," "
21,2008,216,,,30815," "
21,2009,216,,,37467," "
21,2010,216,,,40357," "
21,2011,216,,,42152," "
75,1961,216,,,0,"M"
75,1962,216,,,0,"M"
75,1963,216,,,0,"M"
75,1964,216,,,0,"M"
75,1965,216,,,0,"M"
75,1966,216,,,0,"M"
75,1967,216,,,0,"M"
75,1968,216,,,0,"M"
75,1969,216,,,0,"M"
75,1970,216,,,0,"M"
75,1971,216,,,0,"M"
75,1972,216,,,0,"M"
75,1973,216,,,0,"M"
75,1974,216,,,0,"M"
75,1975,216,,,0,"M"
75,1976,216,,,0,"M"
75,1977,216,,,0,"M"
75,1978,216,,,0,"M"
75,1979,216,,,0,"M"
75,1980,216,,,0,"M"
75,1981,216,,,0,"M"
75,1982,216,,,0,"M"
75,1983,216,,,0,"M"
75,1984,216,,,0,"M"
75,1985,216,,,0,"M"
75,1986,216,,,0,"M"
75,1987,216,,,0,"M"
75,1988,216,,,0,"M"
75,1989,216,,,0,"M"
75,1990,216,,,0,"M"
75,1991,216,,,0,"M"
75,1992,216,,,0,"M"
75,1993,216,,,0,"M"
75,1994,216,,,0,"M"
75,1995,216,,,0,"M"
75,1996,216,,,0,"M"
75,1997,216,,,0,"M"
75,1998,216,,,0,"M"
75,1999,216,,,0,"M"
75,2000,216,,,0,"M"
75,2001,216,,,0,"M"
75,2002,216,,,0,"M"
75,2003,216,,,0,"M"
75,2004,216,,,0,"M"
75,2005,216,,,0,"M"
75,2006,216,,,0,"M"
75,2007,216,,,0,"M"
