"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,181,0,"M",0,"M"
3,1962,181,0,"M",0,"M"
3,1963,181,0,"M",0,"M"
3,1964,181,0,"M",0,"M"
3,1965,181,0,"M",0,"M"
3,1966,181,0,"M",0,"M"
3,1967,181,0,"M",0,"M"
3,1968,181,0,"M",0,"M"
3,1969,181,0,"M",0,"M"
3,1970,181,0,"M",0,"M"
3,1971,181,0,"M",0,"M"
3,1972,181,0,"M",0,"M"
3,1973,181,0,"M",0,"M"
3,1974,181,0,"M",0,"M"
3,1975,181,0,"M",0,"M"
3,1976,181,0,"M",0,"M"
3,1977,181,0,"M",0,"M"
3,1978,181,0,"M",0,"M"
3,1979,181,0,"M",0,"M"
3,1980,181,0,"M",0,"M"
3,1981,181,0,"M",0,"M"
3,1982,181,0,"M",0,"M"
3,1983,181,0,"M",0,"M"
3,1984,181,0,"M",0,"M"
3,1985,181,0,"M",0,"M"
3,1986,181,0,"M",0,"M"
3,1987,181,0,"M",0,"M"
3,1988,181,0,"M",0,"M"
3,1989,181,0,"M",0,"M"
3,1990,181,0,"M",0,"M"
3,1991,181,0,"M",0,"M"
3,1992,181,0,"M",0,"M"
3,1993,181,0,"M",0,"M"
3,1994,181,0,"M",0,"M"
3,1995,181,70,"F",100,"F"
3,1996,181,190,"F",300,"F"
3,1997,181,130,"F",200,"F"
3,1998,181,126,"E",221,"E"
3,1999,181,137,"E",253,"E"
3,2000,181,135,"E",245,"E"
3,2001,181,111,"E",215,"E"
3,2002,181,104,"E",238,"E"
3,2003,181,111,"E",173,"E"
3,2004,181,115,"E",218,"E"
3,2005,181,129,"E",230,"E"
3,2006,181,99,"E",237,"E"
3,2007,181,93,"E",203,"E"
3,2008,181,150,"F",213,"E"
3,2009,181,147,"E",225,"E"
3,2010,181,150,"F",200,"F"
3,2011,181,183,"E",211,"E"
4,1961,181,27000," ",11012," "
4,1962,181,65000," ",16000," "
4,1963,181,65000," ",17000," "
4,1964,181,22890," ",21083," "
4,1965,181,23620," ",15906," "
4,1966,181,21700," ",13901," "
4,1967,181,23180," ",15144," "
4,1968,181,23030," ",13793," "
4,1969,181,23890," ",14454," "
4,1970,181,29290," ",17232," "
4,1971,181,29760," ",25304," "
4,1972,181,29660," ",17757," "
4,1973,181,27450," ",18186," "
4,1974,181,34000," ",22778," "
4,1975,181,35290," ",34231," "
4,1976,181,36480," ",34426," "
4,1977,181,35450," ",28713," "
4,1978,181,39280," ",29957," "
4,1979,181,45580," ",27389," "
4,1980,181,52480," ",28273," "
4,1981,181,45880," ",26527," "
4,1982,181,42680," ",19534," "
4,1983,181,49900," ",21108," "
4,1984,181,64752," ",26146," "
4,1985,181,72600," ",31589," "
4,1986,181,72950," ",41027," "
4,1987,181,68590," ",32980," "
4,1988,181,57830," ",15500," "
4,1989,181,53000," ",23157," "
4,1990,181,46160," ",16225," "
4,1991,181,48100," ",32570," "
4,1992,181,48470," ",31151," "
4,1993,181,47050," ",20301," "
4,1994,181,49820," ",19145," "
4,1995,181,51950," ",21454," "
4,1996,181,45560," ",36959," "
4,1997,181,37780," ",9067," "
4,1998,181,37000," ",21352," "
4,1999,181,35000," ",21706," "
4,2000,181,34250," ",12895," "
4,2001,181,31450," ",21230," "
4,2002,181,33610," ",22933," "
4,2003,181,34050,"*",30700," "
4,2004,181,36777," ",32053," "
4,2005,181,35082," ",26886," "
4,2006,181,33537," ",24298," "
4,2007,181,31284," ",27974," "
4,2008,181,30688," ",23521," "
4,2009,181,32278," ",36495," "
4,2010,181,34210," ",36625," "
4,2011,181,37090," ",37982," "
9,1961,181,1177," ",4500," "
9,1962,181,1236," ",5000," "
9,1963,181,1313," ",5200," "
9,1964,181,1658," ",6500," "
9,1965,181,1696," ",6600," "
9,1966,181,1754," ",6900," "
9,1967,181,1570," ",5400," "
9,1968,181,1440," ",5200," "
9,1969,181,1450," ",5100," "
9,1970,181,1050," ",3200," "
9,1971,181,875," ",2800," "
9,1972,181,1055," ",2600," "
9,1973,181,1000,"F",2800," "
9,1974,181,1140," ",2700," "
9,1975,181,1000," ",2470," "
9,1976,181,940," ",3300," "
9,1977,181,1000," ",3600," "
9,1978,181,870," ",3000," "
9,1979,181,830," ",3700," "
9,1980,181,780," ",3300," "
9,1981,181,1290,"F",5700," "
9,1982,181,2400,"F",9600," "
9,1983,181,2300,"F",9200," "
9,1984,181,1700,"F",7140," "
9,1985,181,1950,"F",7800," "
9,1986,181,2050,"F",8700," "
9,1987,181,2300,"F",10000,"F"
9,1988,181,2300,"F",10000,"F"
9,1989,181,2300,"F",10000,"F"
9,1990,181,1100,"F",10000,"F"
9,1991,181,1100,"F",10000,"F"
9,1992,181,1150,"F",10500,"F"
9,1993,181,1200,"F",11000,"F"
9,1994,181,1200,"F",11000,"F"
9,1995,181,1250,"F",11300,"F"
9,1996,181,1250,"F",11400,"F"
9,1997,181,1350,"F",12300,"F"
9,1998,181,1350,"F",12300,"F"
9,1999,181,1550,"F",14000,"F"
9,2000,181,1550,"F",14000,"F"
9,2001,181,1600,"F",14500,"F"
9,2002,181,1600,"F",14500,"F"
9,2003,181,1650,"F",15000,"F"
9,2004,181,1650,"F",15000,"F"
9,2005,181,1650,"F",15000,"F"
9,2006,181,1660,"F",15200,"F"
9,2007,181,1700,"F",15500,"F"
9,2008,181,1700,"F",15500,"F"
9,2009,181,1872,"E",14780,"E"
9,2010,181,1750,"F",15966,"E"
9,2011,181,1780,"E",15714,"E"
10,1961,181,400,"F",157," "
10,1962,181,405," ",494," "
10,1963,181,405," ",359," "
10,1964,181,202," ",182," "
10,1965,181,202," ",226," "
10,1966,181,206," ",260," "
10,1967,181,202," ",126," "
10,1968,181,202,"F",100,"F"
10,1969,181,202," ",94," "
10,1970,181,202," ",116," "
10,1971,181,200,"F",110,"F"
10,1972,181,200,"F",115,"F"
10,1973,181,233," ",150,"F"
10,1974,181,189," ",120,"F"
10,1975,181,6360," ",4035," "
10,1976,181,15038," ",5530," "
10,1977,181,6835," ",3074," "
10,1978,181,12000," ",6000,"F"
10,1979,181,10000," ",6000,"F"
10,1980,181,10000," ",8500,"F"
10,1981,181,11300," ",9000,"F"
10,1982,181,18800," ",10200,"F"
10,1983,181,22300," ",6000," "
10,1984,181,33400," ",10300," "
10,1985,181,19400," ",28700," "
10,1986,181,38000," ",62900," "
10,1987,181,51101," ",72870," "
10,1988,181,51537," ",64090," "
10,1989,181,45670," ",73586," "
10,1990,181,57008," ",60217," "
10,1991,181,58100," ",64400," "
10,1992,181,82000," ",99000," "
10,1993,181,87000," ",135000," "
10,1994,181,86000," ",50000," "
10,1995,181,80400," ",127600," "
10,1996,181,97000," ",170800," "
10,1997,181,154800," ",162700," "
10,1998,181,135300," ",194300," "
10,1999,181,146800," ",226400," "
10,2000,181,178000," ",253000," "
10,2001,181,180000," ",350000," "
10,2002,181,175073," ",147313," "
10,2003,181,155000," ",277000," "
10,2004,181,194500," ",167500," "
10,2005,181,183000," ",329000," "
10,2006,181,186637," ",108000," "
10,2007,181,133000," ",138000," "
10,2008,181,129000," ",217000," "
10,2009,181,134000," ",192000," "
10,2010,181,165000,"F",250000,"F"
10,2011,181,174995," ",349958," "
11,1961,181,659," ",1635," "
11,1962,181,860," ",1976," "
11,1963,181,2348," ",6135," "
11,1964,181,2313," ",7076," "
11,1965,181,2509," ",7735," "
11,1966,181,5035," ",15506," "
11,1967,181,5102," ",16805," "
11,1968,181,4218," ",12258," "
11,1969,181,814," ",2496," "
11,1970,181,705," ",2312," "
11,1971,181,589," ",1621," "
11,1972,181,507," ",1308," "
11,1973,181,303," ",901," "
11,1974,181,364," ",1058," "
11,1975,181,372,"*",1100,"F"
11,1976,181,365,"*",1115,"F"
11,1977,181,370,"F",1100,"F"
11,1978,181,1000,"F",3000,"F"
11,1979,181,1600,"F",4800,"F"
11,1980,181,2300,"F",7100,"F"
11,1981,181,2900,"F",9000,"F"
11,1982,181,3600,"F",11500,"F"
11,1983,181,4300,"F",14000,"F"
11,1984,181,5000,"F",16500,"F"
11,1985,181,5600,"F",19000,"F"
11,1986,181,6041," ",21034," "
11,1987,181,9126," ",31298," "
11,1988,181,9100,"F",34000," "
11,1989,181,9000,"F",29800,"F"
11,1990,181,9800,"F",30000,"F"
11,1991,181,9300,"F",26000,"F"
11,1992,181,14000," ",30900," "
11,1993,181,10640," ",28993," "
11,1994,181,10081," ",26597," "
11,1995,181,6886," ",17014," "
11,1996,181,4574," ",9605," "
11,1997,181,2783," ",6282," "
11,1998,181,2043," ",5254," "
11,1999,181,2333," ",6200," "
11,2000,181,2952," ",7117," "
11,2001,181,2789," ",7431," "
11,2002,181,3415," ",8949," "
11,2003,181,3465," ",9271," "
11,2004,181,2835," ",7764," "
11,2005,181,3549," ",10234," "
11,2006,181,4555," ",12261," "
11,2007,181,4479," ",10522," "
11,2008,181,3695," ",8118," "
11,2009,181,2819," ",6728," "
11,2010,181,4200," ",10500," "
11,2011,181,6028," ",17592," "
15,1961,181,3685," ",12197," "
15,1962,181,4295," ",14088," "
15,1963,181,3142," ",9138," "
15,1964,181,2960," ",7153," "
15,1965,181,2536," ",5978," "
15,1966,181,2102," ",5423," "
15,1967,181,2168," ",6158," "
15,1968,181,1764," ",4838," "
15,1969,181,1740," ",5244," "
15,1970,181,1084," ",2732," "
15,1971,181,1144," ",3629," "
15,1972,181,1026," ",3232," "
15,1973,181,0,"F",0,"F"
15,1974,181,0," ",0," "
15,1975,181,707," ",1131," "
15,1976,181,614," ",737," "
15,1977,181,346," ",1138," "
15,1978,181,320," ",1222," "
15,1979,181,417," ",1701," "
15,1980,181,384," ",922," "
15,1981,181,322," ",827," "
15,1982,181,221," ",962," "
15,1983,181,157," ",543," "
15,1984,181,149," ",600," "
15,1985,181,185," ",727," "
15,1986,181,306," ",1166," "
15,1987,181,754," ",2677," "
15,1988,181,649," ",2577," "
15,1989,181,483," ",1719," "
15,1990,181,693," ",2901," "
15,1991,181,766," ",2915," "
15,1992,181,664," ",2832," "
15,1993,181,1630," ",7084," "
15,1994,181,1965," ",6835," "
15,1995,181,711," ",2494," "
15,1996,181,621," ",2285," "
15,1997,181,594," ",2604," "
15,1998,181,641," ",2494," "
15,1999,181,586," ",2697," "
15,2000,181,375," ",1248," "
15,2001,181,400,"F",1300,"F"
15,2002,181,400,"F",1300,"F"
15,2003,181,400,"T",1300,"T"
15,2004,181,400,"T",1300,"T"
15,2005,181,400,"T",1300,"T"
15,2006,181,400,"T",1300,"T"
15,2007,181,400,"T",1300,"T"
15,2008,181,400,"T",1300,"T"
15,2009,181,400,"T",1300,"T"
15,2010,181,400,"T",1300,"T"
15,2011,181,400,"T",1300,"T"
19,1961,181,6000," ",4000," "
19,1962,181,6000," ",4000," "
19,1963,181,6000," ",4000," "
19,1964,181,6000," ",4000," "
19,1965,181,6000," ",4000," "
19,1966,181,5697," ",4000," "
