"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
11,1961,89,224," ",256," "
11,1962,89,214," ",246," "
11,1963,89,192," ",202," "
11,1964,89,168," ",201," "
11,1965,89,155," ",183," "
11,1966,89,290," ",326," "
11,1967,89,74," ",82," "
11,1968,89,48," ",56," "
11,1969,89,0," ",0," "
11,1970,89,0," ",0," "
11,1971,89,0," ",0," "
11,1972,89,0," ",0," "
11,1973,89,0," ",0," "
11,1974,89,0," ",0," "
11,1975,89,0," ",0," "
11,1976,89,0," ",0," "
11,1977,89,0," ",0," "
11,1978,89,0," ",0," "
11,1979,89,0," ",0," "
11,1980,89,0," ",0," "
11,1981,89,0," ",0," "
11,1982,89,0," ",0," "
11,1983,89,0," ",0," "
11,1984,89,0," ",0," "
11,1985,89,0,"F",0,"F"
11,1986,89,0,"F",0,"F"
11,1987,89,0," ",0," "
11,1988,89,0," ",0," "
11,1989,89,0," ",0," "
11,1990,89,0," ",0," "
11,1991,89,0," ",0," "
11,1992,89,0," ",0," "
11,1993,89,0," ",0," "
11,1994,89,0," ",0," "
11,1995,89,0," ",0," "
11,1996,89,0,"F",0,"F"
11,1997,89,0,"T",0,"T"
11,1998,89,0,"T",0,"T"
11,1999,89,0,"T",0,"T"
11,2000,89,0,"T",0,"T"
11,2001,89,0,"T",0,"T"
11,2002,89,0,"T",0,"T"
11,2003,89,0,"T",0,"T"
11,2004,89,0,"T",0,"T"
11,2005,89,0,"T",0,"T"
11,2006,89,0,"F",0,"F"
11,2007,89,0,"T",0,"T"
11,2008,89,0,"T",0,"T"
11,2009,89,0,"T",0,"T"
11,2010,89,0,"T",0,"T"
11,2011,89,0,"T",0,"T"
18,1961,89,4300,"F",3000,"F"
18,1962,89,4400,"F",3100,"F"
18,1963,89,4600,"F",3200,"F"
18,1964,89,4700,"F",3300,"F"
18,1965,89,4850,"F",3400,"F"
18,1966,89,5000,"F",3500,"F"
18,1967,89,5150,"F",3600,"F"
18,1968,89,5300,"F",3700,"F"
18,1969,89,5300,"F",3800,"F"
18,1970,89,5400,"F",3900,"F"
18,1971,89,5500,"F",4000,"*"
18,1972,89,5500,"F",4100,"F"
18,1973,89,5600,"F",4200,"F"
18,1974,89,5600,"F",4300,"F"
18,1975,89,5850,"F",4400,"F"
18,1976,89,6100,"F",4600,"F"
18,1977,89,6100,"F",4800,"F"
18,1978,89,6300,"F",5000,"F"
18,1979,89,6950,"F",5500,"F"
18,1980,89,7350,"F",5800,"F"
18,1981,89,7100,"*",5650,"*"
18,1982,89,7850,"F",6200,"F"
18,1983,89,8200,"F",6500,"F"
18,1984,89,9447," ",7968," "
18,1985,89,8900,"F",7100,"F"
18,1986,89,7000,"F",5850,"F"
18,1987,89,6900,"*",5800,"*"
18,1988,89,7190," ",6000,"F"
18,1989,89,7200,"F",6100,"F"
18,1990,89,7134,"E",7825,"E"
18,1991,89,7006,"E",7831,"E"
18,1992,89,6970,"E",8123,"E"
18,1993,89,7000,"F",6000,"F"
18,1994,89,6965,"E",6004,"E"
18,1995,89,6934,"E",6075,"E"
18,1996,89,6000,"F",5000,"F"
18,1997,89,5987,"E",5078,"E"
18,1998,89,6052,"E",5279,"E"
18,1999,89,4700,"F",4000,"F"
18,2000,89,3500," ",3000," "
18,2001,89,4700,"F",4000,"F"
18,2002,89,3620," ",2786," "
18,2003,89,3767," ",2190," "
18,2004,89,2543," ",2508," "
18,2005,89,6632," ",7090," "
18,2006,89,7868," ",8523," "
18,2007,89,8613," ",7994," "
18,2008,89,3526," ",5275," "
18,2009,89,3862," ",3898," "
18,2010,89,3036.827195," ",3950," "
18,2011,89,4268.312424," ",8337," "
21,1961,89,450,"F",500,"F"
21,1962,89,950,"F",1200,"F"
21,1963,89,10000,"F",11000,"F"
21,1964,89,8000,"F",8500,"F"
21,1965,89,6100,"F",6500,"F"
21,1966,89,3300,"F",3500,"F"
21,1967,89,4300,"F",5500,"F"
21,1968,89,19000,"F",21500,"F"
21,1969,89,9600,"F",11000,"F"
21,1970,89,9600,"F",10500,"F"
21,1971,89,8200,"F",9500,"F"
21,1972,89,7700,"F",9500,"F"
21,1973,89,24000,"F",28000,"F"
21,1974,89,31000,"F",35500,"F"
21,1975,89,41000,"F",46000,"F"
21,1976,89,25000,"F",28500,"F"
21,1977,89,21000,"F",22000," "
21,1978,89,43000,"F",44500," "
21,1979,89,30000,"F",31500," "
21,1980,89,26000,"F",27000," "
21,1981,89,49000,"F",50000,"*"
21,1982,89,43000,"F",44000," "
21,1983,89,34000,"F",35000,"*"
21,1984,89,29000,"F",30000,"*"
21,1985,89,29000,"F",30000,"F"
21,1986,89,34000,"F",35000,"F"
21,1987,89,39000,"F",40000,"F"
21,1988,89,54000,"F",56000," "
21,1989,89,42000,"F",44000," "
21,1990,89,50000,"F",52000," "
21,1991,89,45000,"F",47000," "
21,1992,89,36000,"F",38000," "
21,1993,89,50000,"F",53000,"*"
21,1994,89,54862,"E",56420,"E"
21,1995,89,47000,"F",50000,"F"
21,1996,89,41572,"E",45282,"E"
21,1997,89,42333,"E",45195,"E"
21,1998,89,37549,"E",41028,"E"
21,1999,89,41476,"E",47771,"E"
21,2000,89,41032,"E",46224,"E"
21,2001,89,43156,"E",57536,"E"
21,2002,89,45000,"F",48000,"F"
21,2003,89,50167,"E",63651,"E"
21,2004,89,51417,"E",60345,"E"
21,2005,89,46000,"F",50000,"F"
21,2006,89,47000,"F",51000,"F"
21,2007,89,48000,"F",52000,"F"
21,2008,89,51130,"E",59721,"E"
21,2009,89,49653,"E",53487,"E"
21,2010,89,45900,"E",56700,"E"
21,2011,89,46000,"F",57000,"F"
27,1961,89,0,"M",0,"M"
27,1962,89,0,"M",0,"M"
27,1963,89,0,"M",0,"M"
27,1964,89,0,"M",0,"M"
27,1965,89,0,"M",0,"M"
27,1966,89,0,"M",0,"M"
27,1967,89,0,"M",0,"M"
27,1968,89,0,"M",0,"M"
27,1969,89,0,"M",0,"M"
27,1970,89,0,"M",0,"M"
27,1971,89,0,"M",0,"M"
27,1972,89,0,"M",0,"M"
27,1973,89,0,"M",0,"M"
27,1974,89,0,"M",0,"M"
27,1975,89,0,"M",0,"M"
27,1976,89,0,"M",0,"M"
27,1977,89,0,"M",0,"M"
27,1978,89,0,"M",0,"M"
27,1979,89,0,"M",0,"M"
27,1980,89,0,"M",0,"M"
27,1981,89,0,"M",0,"M"
27,1982,89,0,"M",0,"M"
27,1983,89,0,"M",0,"M"
27,1984,89,0,"M",0,"M"
27,1985,89,0,"M",0,"M"
27,1986,89,0,"M",0,"M"
27,1987,89,0,"M",0,"M"
27,1988,89,0,"M",0,"M"
27,1989,89,0,"M",0,"M"
27,1990,89,0,"M",0,"M"
27,1991,89,0,"M",0,"M"
27,1992,89,0,"M",0,"M"
27,1993,89,1000,"F",2000,"F"
27,1994,89,1015,"E",2262,"E"
27,1995,89,2000,"F",5000,"F"
27,1996,89,0,"M",0,"M"
27,1997,89,0,"M",0,"M"
27,1998,89,0,"M",0,"M"
27,1999,89,0,"M",0,"M"
27,2000,89,0,"M",0,"M"
27,2001,89,0,"M",0,"M"
27,2002,89,0,"M",0,"M"
27,2003,89,0,"M",0,"M"
27,2004,89,0,"M",0,"M"
27,2005,89,0,"M",0,"M"
27,2006,89,0,"M",0,"M"
27,2007,89,0,"M",0,"M"
27,2008,89,0,"M",0,"M"
27,2009,89,0,"M",0,"M"
27,2010,89,0,"M",0,"M"
27,2011,89,0,"M",0,"M"
33,1961,89,23269," ",26496," "
33,1962,89,18858," ",25060," "
33,1963,89,20679," ",26061," "
33,1964,89,24362," ",27738," "
33,1965,89,22298," ",19334," "
33,1966,89,22096," ",25343," "
33,1967,89,30796," ",28412," "
33,1968,89,33427," ",30568," "
33,1969,89,40873," ",37339," "
33,1970,89,61997," ",61941," "
33,1971,89,49533," ",54974," "
33,1972,89,41601," ",37252," "
33,1973,89,36017," ",30024," "
33,1974,89,25738," ",26475," "
33,1975,89,21100," ",22000," "
33,1976,89,27200," ",19800," "
33,1977,89,43300," ",43800," "
33,1978,89,60300," ",72700," "
33,1979,89,66300," ",36100," "
33,1980,89,46500," ",25600," "
33,1981,89,56800," ",52800," "
33,1982,89,55400," ",29000," "
33,1983,89,46100," ",35900," "
33,1984,89,34800," ",23100," "
33,1985,89,19400," ",21700," "
33,1986,89,36300," ",38600," "
33,1987,89,33500," ",44100," "
33,1988,89,35600," ",22700," "
33,1989,89,22400," ",18800," "
33,1990,89,27500," ",30700," "
33,1991,89,21800," ",23300," "
33,1992,89,17200," ",10750," "
33,1993,89,9400," ",7600," "
33,1994,89,10700," ",12400," "
33,1995,89,16800," ",21200," "
33,1996,89,17100," ",22200," "
33,1997,89,15000," ",16500," "
33,1998,89,14400," ",14800," "
33,1999,89,13200," ",12500," "
33,2000,89,14800," ",13600," "
33,2001,89,14300," ",16300," "
33,2002,89,11900," ",12200," "
33,2003,89,9300," ",9900," "
33,2004,89,4000," ",1500," "
33,2005,89,4000," ",4600," "
33,2006,89,6900," ",7400," "
33,2007,89,2000," ",2300," "
33,2008,89,0," ",0," "
33,2009,89,0," ",0," "
33,2010,89,0," ",0," "
33,2011,89,0," ",0," "
41,1961,89,2500000,"F",1500000,"F"
41,1962,89,3300000,"F",1700000,"F"
41,1963,89,2700000,"F",1400000,"F"
41,1964,89,2500000,"F",1400000,"F"
41,1965,89,2500000,"F",1700000,"F"
41,1966,89,2800000,"F",1600000,"F"
41,1967,89,2400000,"F",1600000,"F"
41,1968,89,2200000,"F",1500000,"F"
41,1969,89,2460000,"F",1700000,"F"
41,1970,89,2530000,"F",1900000,"F"
41,1971,89,2300000,"F",2e+06,"F"
41,1972,89,2450000,"F",2e+06,"F"
41,1973,89,2230000,"F",2200000,"F"
41,1974,89,2120000,"F",2400000,"F"
41,1975,89,2030000,"F",2700000,"F"
41,1976,89,2e+06,"F",2563000,"F"
41,1977,89,1809000,"F",2007000,"F"
41,1978,89,2e+06,"F",2550000,"F"
41,1979,89,1830000,"F",2799000,"F"
41,1980,89,1680000,"F",2150000,"F"
41,1981,89,1800000,"F",2600000,"F"
41,1982,89,1500000,"F",2400000,"F"
41,1983,89,1750000,"F",2450000,"F"
41,1984,89,1750000,"F",2658000,"F"
41,1985,89,1680000,"F",2100000,"F"
41,1986,89,1600000,"F",1805000,"F"
41,1987,89,1600000,"F",2100000,"F"
41,1988,89,1600000,"F",1900000,"F"
41,1989,89,1450000,"F",1700000,"F"
41,1990,89,1500000,"F",1900000,"F"
41,1991,89,1700000,"F",2500000,"F"
41,1992,89,1990000,"F",3100000,"F"
41,1993,89,1436000,"F",2500000,"F"
41,1994,89,1269000,"F",2314000,"F"
41,1995,89,1200000,"F",2200000,"F"
41,1996,89,1190000,"F",2180000,"F"
41,1997,89,1148000,"F",2365000,"F"
41,1998,89,1082000,"F",2e+06,"F"
41,1999,89,1006000,"F",1700000,"F"
41,2000,89,1150000,"F",1950000,"F"
41,2001,89,1071000,"F",1250000,"F"
41,2002,89,860000,"F",968000,"F"
41,2003,89,820000,"F",1340000,"F"
41,2004,89,8e+05,"F",9e+05,"F"
41,2005,89,834000,"F",750000,"F"
41,2006,89,868000,"F",440000,"F"
41,2007,89,750000,"F",650000,"F"
41,2008,89,725200,"F",640000,"F"
41,2009,89,724000,"F",570000,"F"
41,2010,89,7e+05,"F",5e+05,"F"
41,2011,89,748000,"F",680000,"F"
51,1961,89,889," ",634," "
51,1962,89,680," ",482," "
51,1963,89,749," ",524," "
51,1964,89,574," ",402," "
51,1965,89,496," ",346," "
51,1966,89,547," ",520," "
51,1967,89,480," ",683," "
51,1968,89,255," ",306," "
51,1969,89,249," ",296," "
51,1970,89,207," ",244,"F"
51,1971,89,158," ",186,"F"
51,1972,89,195," ",230,"F"
51,1973,89,71," ",90,"F"
51,1974,89,75," ",90,"F"
51,1975,89,14," ",16,"F"
51,1976,89,12," ",14,"F"
51,1977,89,2," ",2,"F"
51,1978,89,2," ",2,"F"
51,1979,89,2," ",2,"F"
51,1980,89,12," ",14,"F"
51,1981,89,20," ",24,"F"
51,1982,89,59," ",71,"F"
51,1983,89,16," ",19,"F"
51,1984,89,10," ",15,"F"
51,1985,89,10," ",12,"F"
51,1986,89,2," ",2,"F"
51,1987,89,4," ",2,"F"
51,1988,89,0,"F",0,"F"
51,1989,89,0," ",0," "
51,1990,89,0," ",0," "
51,1991,89,0," ",0," "
51,1992,89,0," ",0," "
51,1993,89,0,"M",0,"M"
51,1994,89,0,"M",0,"M"
51,1995,89,0,"M",0,"M"
51,1996,89,0,"M",0,"M"
51,1997,89,0,"M",0,"M"
51,1998,89,0,"M",0,"M"
51,1999,89,0,"M",0,"M"
51,2000,89,0,"M",0,"M"
51,2001,89,0,"M",0,"M"
51,2002,89,0,"M",0,"M"
51,2003,89,0,"M",0,"M"
51,2004,89,0,"M",0,"M"
51,2005,89,0,"M",0,"M"
51,2006,89,0,"M",0,"M"
51,2007,89,0,"M",0,"M"
51,2008,89,0,"M",0,"M"
51,2009,89,0,"M",0,"M"
51,2010,89,0,"M",0,"M"
51,2011,89,0,"M",0,"M"
57,1961,89,168000," ",73000," "
57,1962,89,175000," ",34000," "
57,1963,89,96000," ",19000," "
57,1964,89,65000," ",30000," "
57,1965,89,95500," ",49400," "
57,1966,89,102000," ",47000," "
57,1967,89,85000," ",46000," "
57,1968,89,79000," ",61000," "
57,1969,89,69000," ",46000," "
57,1970,89,40500," ",24800," "
57,1971,89,48000," ",21000," "
57,1972,89,62000," ",23000," "
57,1973,89,51000," ",28000," "
57,1974,89,37000," ",9900," "
57,1975,89,29400," ",5100," "
57,1976,89,31700," ",5200," "
57,1977,89,43900," ",19900," "
57,1978,89,44000," ",14000," "
57,1979,89,44000," ",13000," "
57,1980,89,44000," ",18000," "
57,1981,89,44000," ",15000," "
57,1982,89,43000," ",11000,"*"
57,1983,89,44000," ",14000,"*"
57,1984,89,43000," ",15000,"*"
57,1985,89,38000," ",13000," "
57,1986,89,38000," ",16000," "
57,1987,89,34000," ",23000," "
57,1988,89,25000," ",15000," "
57,1989,89,22000," ",12000," "
57,1990,89,18000," ",11000," "
57,1991,89,19000," ",15000," "
57,1992,89,23000," ",8000," "
57,1993,89,20000," ",18000," "
57,1994,89,24000," ",4000," "
57,1995,89,18000," ",13700," "
57,1996,89,19000," ",17800," "
57,1997,89,19000," ",15000," "
57,1998,89,16000," ",14000," "
57,1999,89,22900," ",8800," "
57,2000,89,22000," ",18000," "
57,2001,89,27800," ",16000," "
57,2002,89,14100," ",7000," "
57,2003,89,11088," ",11605," "
57,2004,89,11542," ",11893," "
57,2005,89,7106," ",7268," "
57,2006,89,7935," ",5142," "
57,2007,89,11452," ",12997," "
57,2008,89,15524," ",18016," "
57,2009,89,20582," ",19430," "
57,2010,89,25293," ",18400," "
57,2011,89,40754," ",44471," "
63,1961,89,0," ",0," "
63,1962,89,0," ",0," "
63,1963,89,0," ",0," "
63,1964,89,0," ",0," "
63,1965,89,0," ",0," "
63,1966,89,0," ",0," "
63,1967,89,0," ",0," "
63,1968,89,0," ",0," "
63,1969,89,0," ",0," "
63,1970,89,0," ",0," "
63,1971,89,0," ",0," "
63,1972,89,0," ",0," "
63,1973,89,0," ",0," "
63,1974,89,0," ",0," "
63,1975,89,0," ",0," "
63,1976,89,0," ",0," "
63,1977,89,0," ",0," "
63,1978,89,0," ",0," "
63,1979,89,0," ",0," "
63,1980,89,0," ",0," "
63,1981,89,0," ",0," "
63,1982,89,0," ",0," "
63,1983,89,0," ",0," "
63,1984,89,0," ",0," "
63,1985,89,0," ",0," "
63,1986,89,0," ",0," "
63,1987,89,0," ",0," "
63,1988,89,0," ",0," "
63,1989,89,11," ",2," "
63,1990,89,137," ",200," "
63,1991,89,143," ",200," "
63,1992,89,100," ",102,"E"
63,1993,89,83,"E",105,"E"
63,1994,89,71,"E",100,"F"
63,1995,89,80,"F",50,"F"
63,1996,89,80," ",46," "
63,1997,89,41," ",47," "
63,1998,89,100," ",157," "
63,1999,89,100," ",64," "
63,2000,89,500," ",548," "
63,2001,89,691," ",585," "
63,2002,89,68," ",67," "
63,2003,89,80," ",159," "
63,2004,89,231," ",144," "
63,2005,89,676," ",485," "
63,2006,89,101," ",83," "
63,2007,89,270," ",337," "
63,2008,89,400," ",200," "
63,2009,89,148," ",91," "
63,2010,89,300," ",100," "
63,2011,89,300," ",200," "
68,1961,89,45200," ",55660," "
68,1962,89,40600," ",45470," "
68,1963,89,44800," ",46010," "
68,1964,89,35400," ",33550," "
68,1965,89,33200," ",33620," "
68,1966,89,27900," ",30010," "
68,1967,89,22100," ",26650," "
68,1968,89,17900," ",21830," "
68,1969,89,17200," ",20870," "
68,1970,89,15800," ",18510," "
68,1971,89,14600," ",18990," "
68,1972,89,11900," ",15490," "
