"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,358,0," ",0," "
1,1962,358,0," ",0," "
1,1963,358,0," ",0," "
1,1964,358,0," ",0," "
1,1965,358,0," ",0," "
1,1966,358,0," ",0," "
1,1967,358,0," ",0," "
1,1968,358,0," ",0," "
1,1969,358,0," ",0," "
1,1970,358,0," ",0," "
1,1971,358,0," ",0," "
1,1972,358,0," ",0," "
1,1973,358,0," ",0," "
1,1974,358,0," ",0," "
1,1975,358,0," ",0," "
1,1976,358,0," ",0," "
1,1977,358,0," ",0," "
1,1978,358,0," ",0," "
1,1979,358,0," ",0," "
1,1980,358,0," ",0," "
1,1981,358,0," ",0," "
1,1982,358,0," ",0," "
1,1983,358,0," ",0," "
1,1984,358,0," ",0," "
1,1985,358,0," ",0," "
1,1986,358,0," ",0," "
1,1987,358,0," ",0," "
1,1988,358,2700,"*",102000,"*"
1,1989,358,2700,"*",87000," "
1,1990,358,2700,"*",82000,"*"
1,1991,358,2600,"*",47000,"*"
1,1992,358,8300,"*",131500,"*"
1,1993,358,4300,"*",103000,"*"
1,1994,358,5500,"*",105000,"*"
1,1995,358,5000,"*",106000,"*"
1,1996,358,4091," ",82137," "
1,1997,358,4500,"*",88000,"*"
1,1998,358,4000,"*",90200,"*"
1,1999,358,3792," ",94019," "
1,2000,358,3083," ",51540," "
1,2001,358,3239," ",80356," "
1,2002,358,3425," ",82688," "
1,2003,358,3290," ",92585," "
1,2004,358,3202," ",93789," "
1,2005,358,3444," ",107172," "
1,2006,358,3573," ",115934," "
1,2007,358,3531," ",132443," "
1,2008,358,3418," ",122702," "
1,2009,358,3070," ",115889," "
1,2010,358,3217," ",114279," "
1,2011,358,3453," ",128459," "
3,1961,358,0,"M",0,"M"
3,1962,358,0,"M",0,"M"
3,1963,358,0,"M",0,"M"
3,1964,358,0,"M",0,"M"
3,1965,358,0,"M",0,"M"
3,1966,358,0,"M",0,"M"
3,1967,358,0,"M",0,"M"
3,1968,358,0,"M",0,"M"
3,1969,358,0,"M",0,"M"
3,1970,358,0,"M",0,"M"
3,1971,358,0,"M",0,"M"
3,1972,358,0,"M",0,"M"
