"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,101,36400," ",24800," "
9,1962,101,46540," ",37400," "
9,1963,101,58670," ",43600," "
9,1964,101,53550," ",46800," "
9,1965,101,39800," ",36700," "
9,1966,101,33300," ",28200," "
9,1967,101,35000," ",32200," "
9,1968,101,33100," ",25800," "
9,1969,101,57100," ",44100," "
9,1970,101,117300," ",107000," "
9,1971,101,68100," ",39300," "
9,1972,101,39750," ",26200," "
9,1973,101,42650," ",35000," "
9,1974,101,43100," ",34000," "
9,1975,101,36900," ",25400," "
9,1976,101,42300," ",32800," "
9,1977,101,40500," ",39000," "
9,1978,101,70000," ",60000," "
9,1979,101,57000," ",51000," "
9,1980,101,54400," ",42000," "
9,1981,101,46800," ",35200," "
9,1982,101,50300," ",32300," "
9,1983,101,57200," ",63000," "
9,1984,101,59900," ",50000," "
9,1985,101,56800," ",53000," "
9,1986,101,25300," ",23500," "
9,1987,101,58000," ",57500," "
9,1988,101,46310," ",48000," "
9,1989,101,58810," ",59000," "
9,1990,101,58060," ",56900," "
9,1991,101,39200," ",42200," "
9,1992,101,33100," ",32120," "
9,1993,101,28775," ",33242," "
9,1994,101,21220," ",23059," "
9,1995,101,20305," ",22717," "
9,1996,101,18685," ",17697," "
9,1997,101,23985," ",24976," "
9,1998,101,24330," ",29493," "
9,1999,101,26110," ",23917," "
9,2000,101,23415," ",22217," "
9,2001,101,19825," ",19255," "
9,2002,101,15575," ",16660," "
9,2003,101,18460," ",18216," "
9,2004,101,16125," ",17456," "
9,2005,101,15395," ",16502," "
9,2006,101,13260," ",14704," "
9,2007,101,10215," ",8930," "
9,2008,101,11065," ",10023," "
9,2009,101,10480," ",9763," "
9,2010,101,16685," ",27419," "
9,2011,101,14270," ",23280," "
10,1961,101,20824," ",8585," "
10,1962,101,27844," ",18542," "
10,1963,101,15383," ",9652," "
10,1964,101,4627," ",3566," "
10,1965,101,5439," ",3607," "
10,1966,101,1796," ",1626," "
10,1967,101,2889," ",1520," "
10,1968,101,9524," ",6000," "
10,1969,101,27667," ",18000," "
10,1970,101,8869," ",5000," "
10,1971,101,6260," ",4000," "
10,1972,101,6901," ",4000," "
10,1973,101,9954," ",7000," "
10,1974,101,6771," ",6248," "
10,1975,101,18000," ",15680," "
10,1976,101,20781," ",20000," "
10,1977,101,31054," ",13565," "
10,1978,101,18313," ",21821," "
10,1979,101,11831," ",9464," "
10,1980,101,6275," ",2661," "
10,1981,101,8070," ",5388," "
10,1982,101,11640," ",7964," "
10,1983,101,9401," ",9100," "
10,1984,101,8982," ",7219," "
10,1985,101,14227," ",15971," "
10,1986,101,15199," ",10588," "
10,1987,101,13000," ",11000," "
10,1988,101,11180," ",8120," "
10,1989,101,12422," ",9352," "
10,1990,101,11844," ",8273," "
10,1991,101,11021," ",9730," "
10,1992,101,4763," ",1865," "
10,1993,101,7382," ",9703," "
10,1994,101,7000,"F",4000,"F"
10,1995,101,6000,"F",3000,"F"
10,1996,101,6862,"E",3000," "
10,1997,101,6553,"E",2629,"E"
10,1998,101,7500,"F",4500,"F"
10,1999,101,8000,"F",5000,"F"
10,2000,101,8500,"F",5500,"F"
10,2001,101,8484,"E",6209,"E"
10,2002,101,8467,"E",5500,"F"
10,2003,101,9651,"E",5500,"F"
10,2004,101,9822,"E",5500,"F"
10,2005,101,9245,"E",5500,"F"
10,2006,101,5000,"F",3000,"F"
10,2007,101,7000,"F",4000,"F"
10,2008,101,8000,"F",5000,"F"
10,2009,101,7822,"E",4899,"E"
10,2010,101,7469,"E",4758,"E"
10,2011,101,7500,"F",5000,"F"
33,1961,101,0," ",0," "
33,1962,101,0," ",0," "
33,1963,101,0," ",0," "
33,1964,101,0," ",0," "
33,1965,101,0," ",0," "
33,1966,101,0," ",0," "
33,1967,101,0," ",0," "
33,1968,101,0," ",0," "
33,1969,101,0," ",0," "
33,1970,101,0," ",0," "
33,1971,101,0," ",0," "
33,1972,101,0," ",0," "
33,1973,101,0," ",0," "
33,1974,101,0," ",0," "
33,1975,101,0," ",0," "
33,1976,101,0," ",0," "
33,1977,101,0," ",0," "
33,1978,101,0," ",0," "
33,1979,101,0," ",0," "
33,1980,101,21000,"F",23000,"F"
33,1981,101,30000,"F",31000,"F"
33,1982,101,48000,"F",53000,"F"
33,1983,101,58000,"F",64000,"F"
33,1984,101,38000,"F",42500,"F"
33,1985,101,31500,"F",39300," "
33,1986,101,89200," ",126100," "
33,1987,101,82900," ",99600," "
33,1988,101,103200," ",59900," "
33,1989,101,119400," ",115500," "
33,1990,101,121000," ",172300," "
33,1991,101,95165," ",100300," "
33,1992,101,92000," ",124100," "
33,1993,101,123000," ",127800," "
33,1994,101,204300," ",240400," "
33,1995,101,145600," ",154600," "
33,1996,101,234700," ",284600," "
33,1997,101,113300," ",115000," "
33,1998,101,208400," ",235300," "
33,1999,101,145700," ",166000," "
33,2000,101,163900," ",170800," "
33,2001,101,163400," ",113900," "
33,2002,101,226600," ",177500," "
33,2003,101,246800," ",226400," "
33,2004,101,317600," ",300500," "
33,2005,101,182200," ",227200," "
33,2006,101,131100," ",133100," "
33,2007,101,174000," ",162000," "
33,2008,101,163900," ",195600," "
33,2009,101,143700," ",196100," "
33,2010,101,153800," ",153500," "
33,2011,101,93000," ",102300," "
97,1961,101,0,"M",0,"M"
97,1962,101,0,"M",0,"M"
97,1963,101,0,"M",0,"M"
97,1964,101,0,"M",0,"M"
97,1965,101,0,"M",0,"M"
97,1966,101,0,"M",0,"M"
97,1967,101,0,"M",0,"M"
97,1968,101,0,"M",0,"M"
97,1969,101,0,"M",0,"M"
97,1970,101,0,"M",0,"M"
97,1971,101,0,"M",0,"M"
97,1972,101,0,"M",0,"M"
97,1973,101,0,"M",0,"M"
97,1974,101,0,"M",0,"M"
97,1975,101,0,"M",0,"M"
97,1976,101,0,"M",0,"M"
97,1977,101,0,"M",0,"M"
97,1978,101,0,"M",0,"M"
97,1979,101,0,"M",0,"M"
97,1980,101,0,"M",0,"M"
97,1981,101,0,"M",0,"M"
97,1982,101,0,"M",0,"M"
97,1983,101,0,"M",0,"M"
97,1984,101,0,"M",0,"M"
97,1985,101,0,"M",0,"M"
97,1986,101,0,"M",0,"M"
97,1987,101,0,"M",0,"M"
97,1988,101,0,"M",0,"M"
97,1989,101,0,"M",0,"M"
97,1990,101,0,"M",0,"M"
97,1991,101,26000,"F",35000,"F"
97,1992,101,30000,"F",30000,"F"
97,1993,101,28000,"F",28000,"F"
97,1994,101,27000,"F",38517,"E"
97,1995,101,30000,"F",30000,"F"
97,1996,101,29437," ",36073," "
97,1997,101,18415," ",18467," "
97,1998,101,26851," ",32845," "
97,1999,101,18348," ",16832," "
97,2000,101,20081," ",11288," "
97,2001,101,5668," ",5134," "
97,2002,101,8949," ",8391," "
97,2003,101,15573," ",7802," "
97,2004,101,11449," ",20134," "
97,2005,101,10055," ",12934," "
97,2006,101,7883," ",9449," "
97,2007,101,6083," ",5972," "
97,2008,101,6193," ",12343," "
97,2009,101,6570," ",5389," "
97,2010,101,4101," ",3118," "
97,2011,101,3161," ",2551," "
138,1961,101,3088," ",2606," "
138,1962,101,3168," ",2883," "
138,1963,101,3137," ",2936," "
138,1964,101,3222," ",3029," "
138,1965,101,3275," ",3161," "
138,1966,101,3420," ",3198," "
138,1967,101,6116," ",6505," "
138,1968,101,6722," ",7951," "
138,1969,101,10051," ",13736," "
138,1970,101,14895," ",17606," "
138,1971,101,5865," ",7520," "
138,1972,101,7080," ",10758," "
138,1973,101,7544," ",11535," "
138,1974,101,5283," ",6767," "
138,1975,101,7656," ",8505," "
138,1976,101,8747," ",10428," "
138,1977,101,12981," ",14871," "
138,1978,101,18095," ",22393," "
138,1979,101,7077," ",8966," "
138,1980,101,4039," ",3664," "
138,1981,101,4958," ",4945," "
138,1982,101,6167," ",11444," "
138,1983,101,10008," ",14267," "
138,1984,101,11329," ",13377," "
138,1985,101,6664," ",6697," "
138,1986,101,6637," ",7941," "
138,1987,101,9489," ",8737," "
138,1988,101,10264," ",10859," "
138,1989,101,10694," ",13136," "
138,1990,101,8635," ",9499," "
138,1991,101,2821," ",2648," "
138,1992,101,1291," ",1132," "
138,1993,101,1254," ",1064," "
138,1994,101,615," ",427," "
138,1995,101,1523," ",1280," "
138,1996,101,1338," ",1181," "
138,1997,101,852," ",628," "
138,1998,101,485," ",412," "
