"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
4,1961,461,11000,"F",23950," "
4,1962,461,9000,"F",20000,"F"
4,1963,461,9000,"F",20000,"F"
4,1964,461,9700,"F",21338," "
4,1965,461,10000,"F",22359," "
4,1966,461,8500,"F",18700," "
4,1967,461,8300,"F",18300," "
4,1968,461,7800,"F",17200," "
4,1969,461,8500,"F",18900," "
4,1970,461,8800,"F",19400," "
4,1971,461,7700,"F",17000,"F"
4,1972,461,7200,"F",15852," "
4,1973,461,6700,"F",14685," "
4,1974,461,5500,"F",12213," "
4,1975,461,6000,"F",13458," "
4,1976,461,4400,"F",8872," "
4,1977,461,4200,"F",8477," "
4,1978,461,3700,"F",7434," "
4,1979,461,3500,"F",7030," "
4,1980,461,1000,"F",2156," "
4,1981,461,850,"F",1693," "
4,1982,461,850,"F",1700," "
4,1983,461,1000,"F",2188," "
4,1984,461,1000,"F",2074," "
4,1985,461,900,"F",1850," "
4,1986,461,970,"F",1941," "
4,1987,461,1500,"F",2976," "
4,1988,461,1600,"F",3150," "
4,1989,461,2700,"F",5638," "
4,1990,461,1960," ",3684," "
4,1991,461,1850," ",5658," "
4,1992,461,1770," ",2768," "
4,1993,461,1720," ",3978," "
4,1994,461,1670," ",2966," "
4,1995,461,1250," ",2909," "
4,1996,461,1280," ",3223," "
4,1997,461,1270," ",2400," "
4,1998,461,1270," ",3766," "
4,1999,461,1240," ",4135," "
4,2000,461,1210," ",3952," "
4,2001,461,1160," ",4640," "
4,2002,461,1160," ",4592," "
4,2003,461,1140," ",3886," "
4,2004,461,1066," ",4191," "
4,2005,461,1048," ",3003," "
4,2006,461,1028," ",3711," "
4,2007,461,982," ",4138," "
4,2008,461,911," ",3216," "
4,2009,461,921," ",3384," "
4,2010,461,868," ",2829," "
4,2011,461,827," ",2865," "
50,1961,461,26570,"*",42672," "
50,1962,461,26800,"*",55880," "
50,1963,461,27030,"*",71120," "
50,1964,461,27150,"*",37592," "
50,1965,461,27370,"*",42672," "
50,1966,461,27890,"*",60960," "
50,1967,461,28350,"*",55880," "
50,1968,461,29150,"*",61976," "
50,1969,461,29260,"*",40640," "
50,1970,461,29432," ",48768," "
50,1971,461,29432," ",32512," "
50,1972,461,28094," ",38608," "
50,1973,461,26756," ",14224," "
50,1974,461,17391," ",6096," "
50,1975,461,17391," ",20320," "
50,1976,461,17391," ",32572," "
50,1977,461,17391," ",19304," "
50,1978,461,8027," ",18288," "
50,1979,461,8027," ",18491," "
50,1980,461,8027," ",12700," "
50,1981,461,8027," ",27432," "
50,1982,461,8027," ",12802," "
50,1983,461,7759," ",13200," "
50,1984,461,7625," ",10400," "
50,1985,461,4415," ",7600," "
50,1986,461,4415," ",25000," "
50,1987,461,4415," ",7000," "
50,1988,461,4200," ",15500," "
50,1989,461,4200," ",8500," "
50,1990,461,4000," ",9400," "
50,1991,461,3900," ",5730," "
50,1992,461,3800," ",5100," "
50,1993,461,3700," ",17000," "
50,1994,461,2500," ",2600," "
50,1995,461,2500," ",6300," "
50,1996,461,2500," ",8800," "
50,1997,461,2500," ",5100," "
50,1998,461,2500," ",4850," "
50,1999,461,2400," ",5400," "
50,2000,461,2400," ",7300," "
50,2001,461,2400," ",2850," "
50,2002,461,2350," ",7200," "
50,2003,461,1531," ",6550," "
50,2004,461,1907," ",6250," "
50,2005,461,1931," ",6942," "
50,2006,461,1997," ",5650," "
50,2007,461,1247," ",3839," "
50,2008,461,1227," ",6519," "
50,2009,461,2094," ",3514," "
50,2010,461,1286," ",10560," "
50,2011,461,1353," ",10560," "
84,1961,461,0,"M",39295,"*"
84,1962,461,0,"M",26930,"*"
84,1963,461,0,"M",47750,"*"
84,1964,461,0,"M",38160,"*"
84,1965,461,0,"M",42370,"*"
84,1966,461,0,"M",34650,"*"
84,1967,461,0,"M",45900,"*"
84,1968,461,0,"M",23900,"*"
84,1969,461,0,"M",31050,"*"
84,1970,461,0,"M",21540,"*"
84,1971,461,0,"M",25310,"*"
84,1972,461,0,"M",26480,"*"
84,1973,461,0,"M",27330,"*"
84,1974,461,0,"M",29130,"*"
84,1975,461,0,"M",27800,"*"
84,1976,461,0,"M",22370,"*"
84,1977,461,0,"M",21410,"*"
84,1978,461,0,"M",24050,"*"
84,1979,461,0,"M",24240,"*"
84,1980,461,0,"M",23550,"*"
84,1981,461,0,"M",26410,"*"
84,1982,461,0,"M",24400,"*"
84,1983,461,0,"M",23200,"*"
84,1984,461,0,"M",19820," "
84,1985,461,17100,"F",21264," "
84,1986,461,16110,"F",20906," "
84,1987,461,16110,"F",16057," "
84,1988,461,16110,"F",22491," "
84,1989,461,18000,"F",20368," "
84,1990,461,15210,"F",16131," "
84,1991,461,14850,"F",18517," "
84,1992,461,13770,"F",18930," "
84,1993,461,12000,"F",16006," "
84,1994,461,12435,"E",16320," "
84,1995,461,10281,"E",15748," "
84,1996,461,10035,"E",17034," "
84,1997,461,10146,"E",19134," "
84,1998,461,9979,"E",18494," "
84,1999,461,9893,"E",18612," "
84,2000,461,9762,"E",20192," "
84,2001,461,12000,"*",16464," "
84,2002,461,12000,"*",15015," "
84,2003,461,5000,"F",14789," "
84,2004,461,4689," ",14594," "
84,2005,461,4861," ",14815," "
84,2006,461,4613," ",14506," "
84,2007,461,5000,"F",15000,"F"
84,2008,461,6098,"E",15822,"E"
84,2009,461,6195,"E",14465,"E"
84,2010,461,5769,"E",15105,"E"
84,2011,461,5284,"E",20901,"E"
98,1961,461,0,"M",0,"M"
98,1962,461,0,"M",0,"M"
98,1963,461,0,"M",0,"M"
98,1964,461,0,"M",0,"M"
98,1965,461,0,"M",0,"M"
98,1966,461,0,"M",0,"M"
98,1967,461,0,"M",0,"M"
98,1968,461,0,"M",0,"M"
98,1969,461,0,"M",0,"M"
98,1970,461,0,"M",0,"M"
98,1971,461,0,"M",0,"M"
98,1972,461,0,"M",0,"M"
98,1973,461,0,"M",0,"M"
98,1974,461,0,"M",0,"M"
98,1975,461,0,"M",0,"M"
98,1976,461,0,"M",0,"M"
98,1977,461,0,"M",0,"M"
98,1978,461,0,"M",0,"M"
98,1979,461,0,"M",0,"M"
98,1980,461,0,"M",0,"M"
98,1981,461,0,"M",0,"M"
98,1982,461,0,"M",0,"M"
98,1983,461,0,"M",0,"M"
98,1984,461,0,"M",0,"M"
98,1985,461,0,"M",0,"M"
98,1986,461,0,"M",0,"M"
98,1987,461,0,"M",0,"M"
98,1988,461,0,"M",0,"M"
98,1989,461,0,"M",0,"M"
98,1990,461,0,"M",0,"M"
98,1991,461,0,"M",0,"M"
98,1992,461,0,"M",0,"M"
98,1993,461,0,"M",0,"M"
98,1994,461,550,"F",500,"F"
98,1995,461,669,"E",626,"E"
98,1996,461,744,"E",669,"E"
98,1997,461,857,"E",622,"E"
98,1998,461,843,"E",610,"E"
98,1999,461,836,"E",564,"E"
98,2000,461,825,"E",572,"E"
98,2001,461,722,"E",403,"E"
98,2002,461,700,"E",510,"E"
98,2003,461,707,"E",409,"E"
98,2004,461,700,"E",479,"E"
98,2005,461,698,"E",413,"E"
98,2006,461,500,"F",378,"E"
