"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,426,0," ",0," "
1,1962,426,0," ",0," "
1,1963,426,0," ",0," "
1,1964,426,0," ",0," "
1,1965,426,0," ",0," "
1,1966,426,0," ",0," "
1,1967,426,0," ",0," "
1,1968,426,0," ",0," "
1,1969,426,0," ",0," "
1,1970,426,0," ",0," "
1,1971,426,0," ",0," "
1,1972,426,0," ",0," "
1,1973,426,0," ",0," "
1,1974,426,0," ",0," "
1,1975,426,0," ",0," "
1,1976,426,0," ",0," "
1,1977,426,0," ",0," "
1,1978,426,0," ",0," "
1,1979,426,0," ",0," "
1,1980,426,0," ",0," "
1,1981,426,0," ",0," "
1,1982,426,0," ",0," "
1,1983,426,0," ",0," "
1,1984,426,0," ",0," "
1,1985,426,0," ",0," "
1,1986,426,0," ",0," "
1,1987,426,0," ",0," "
1,1988,426,450,"*",11000,"*"
1,1989,426,500,"*",9000,"*"
1,1990,426,450,"*",8000,"*"
1,1991,426,800,"*",9000,"*"
1,1992,426,700,"*",15000,"*"
1,1993,426,1000,"*",12000,"*"
1,1994,426,1000,"*",14000,"*"
1,1995,426,1000,"*",17000,"*"
1,1996,426,704," ",12151," "
1,1997,426,700,"*",10000,"*"
1,1998,426,700,"*",12000,"*"
1,1999,426,810," ",18314," "
1,2000,426,800," ",6631," "
1,2001,426,845," ",14114," "
1,2002,426,720," ",12420," "
1,2003,426,888," ",11811," "
1,2004,426,936," ",14382," "
1,2005,426,919," ",17075," "
1,2006,426,999," ",16030," "
1,2007,426,964," ",27236," "
1,2008,426,970," ",26970," "
1,2009,426,913," ",23404.8," "
1,2010,426,940," ",20414," "
1,2011,426,980," ",23891," "
3,1961,426,0,"M",0,"M"
3,1962,426,0,"M",0,"M"
3,1963,426,0,"M",0,"M"
3,1964,426,0,"M",0,"M"
3,1965,426,0,"M",0,"M"
3,1966,426,0,"M",0,"M"
3,1967,426,0,"M",0,"M"
3,1968,426,0,"M",0,"M"
3,1969,426,0,"M",0,"M"
3,1970,426,0,"M",0,"M"
3,1971,426,0,"M",0,"M"
3,1972,426,0,"M",0,"M"
3,1973,426,0,"M",0,"M"
3,1974,426,0,"M",0,"M"
3,1975,426,0,"M",0,"M"
3,1976,426,0,"M",0,"M"
3,1977,426,0,"M",0,"M"
3,1978,426,0,"M",0,"M"
3,1979,426,0,"M",0,"M"
3,1980,426,0,"M",0,"M"
3,1981,426,0,"M",0,"M"
3,1982,426,0,"M",0,"M"
3,1983,426,0,"M",0,"M"
3,1984,426,0,"M",0,"M"
3,1985,426,0,"M",0,"M"
3,1986,426,0,"M",0,"M"
3,1987,426,0,"M",0,"M"
3,1988,426,0,"M",0,"M"
3,1989,426,0,"M",0,"M"
3,1990,426,260,"*",3900,"*"
3,1991,426,200,"*",3000,"*"
3,1992,426,300,"*",4600,"*"
3,1993,426,350,"*",5200,"*"
3,1994,426,370,"*",5900,"*"
3,1995,426,370,"*",5800,"*"
3,1996,426,300,"*",4800,"*"
3,1997,426,380,"*",6000,"*"
3,1998,426,380,"*",6000,"*"
3,1999,426,370,"*",5900,"*"
3,2000,426,370,"*",6200,"*"
3,2001,426,380,"*",6500,"*"
3,2002,426,400,"*",6700,"*"
3,2003,426,200," ",3500," "
3,2004,426,200," ",3800," "
3,2005,426,250," ",4000," "
3,2006,426,57," ",1268," "
3,2007,426,200,"*",4000," "
3,2008,426,290," ",6400," "
3,2009,426,198," ",6608," "
3,2010,426,392," ",6303," "
3,2011,426,300," ",9200," "
4,1961,426,5000,"*",40000," "
4,1962,426,5000,"*",83000,"*"
4,1963,426,5000,"*",59000,"*"
4,1964,426,4860," ",56459," "
4,1965,426,3560," ",31000," "
4,1966,426,4040," ",42503," "
4,1967,426,3600," ",38508," "
4,1968,426,3740," ",31634," "
4,1969,426,3570," ",26096," "
4,1970,426,3620," ",30317," "
4,1971,426,3570," ",24977," "
4,1972,426,3630," ",22353," "
4,1973,426,3640," ",22596," "
4,1974,426,3640," ",27458," "
4,1975,426,4530," ",33043," "
4,1976,426,4350," ",26492," "
4,1977,426,5280," ",38288," "
4,1978,426,4680," ",32992," "
4,1979,426,6250," ",44452," "
4,1980,426,6000," ",42533," "
4,1981,426,6110," ",40200," "
4,1982,426,5870," ",40380," "
4,1983,426,5460," ",45960," "
4,1984,426,11570," ",66556," "
4,1985,426,12430," ",107790," "
4,1986,426,12300," ",141600," "
4,1987,426,13300," ",134770," "
4,1988,426,13930," ",136470," "
4,1989,426,13740," ",153213," "
4,1990,426,13960," ",100934," "
4,1991,426,14490," ",117061," "
4,1992,426,14680," ",159183," "
4,1993,426,12490," ",128461," "
4,1994,426,12150," ",158492," "
4,1995,426,11150," ",132477," "
4,1996,426,10980," ",128544," "
4,1997,426,9970," ",125428," "
4,1998,426,10280," ",141145," "
4,1999,426,11090," ",134950," "
4,2000,426,10830," ",148636," "
4,2001,426,11500," ",156140," "
4,2002,426,12460," ",158660," "
4,2003,426,11510," ",160720," "
4,2004,426,12982," ",198190," "
4,2005,426,13413," ",163579," "
4,2006,426,15390," ",229295," "
4,2007,426,14583," ",252775," "
4,2008,426,15025," ",254000," "
4,2009,426,16337," ",271219," "
4,2010,426,17505," ",323857," "
4,2011,426,17893," ",342184," "
8,1961,426,1,"F",3,"F"
8,1962,426,1,"F",5,"F"
8,1963,426,2,"F",8,"F"
8,1964,426,2,"F",10,"F"
8,1965,426,2,"F",10,"F"
8,1966,426,2,"F",10,"F"
8,1967,426,3,"F",15,"F"
8,1968,426,5,"F",20,"F"
8,1969,426,6,"F",28,"F"
8,1970,426,9,"F",40,"F"
8,1971,426,12,"F",50,"F"
8,1972,426,13,"F",56," "
8,1973,426,6,"F",27," "
8,1974,426,2,"F",11," "
8,1975,426,3,"F",14," "
8,1976,426,15,"F",66," "
8,1977,426,15,"F",61," "
8,1978,426,16,"F",88," "
8,1979,426,23,"F",147," "
8,1980,426,19," ",124," "
8,1981,426,23," ",178," "
8,1982,426,14," ",118," "
8,1983,426,35," ",148," "
8,1984,426,30,"F",147," "
8,1985,426,30,"F",138," "
8,1986,426,30,"F",140,"F"
8,1987,426,35,"F",148," "
8,1988,426,42,"F",177," "
8,1989,426,45,"F",180,"F"
8,1990,426,49,"E",200,"F"
8,1991,426,52,"F",220,"F"
8,1992,426,54,"F",260,"F"
8,1993,426,57,"E",307,"E"
8,1994,426,61,"E",357,"E"
8,1995,426,52,"F",210,"F"
8,1996,426,56,"E",200,"E"
8,1997,426,40,"E",156,"E"
