"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
7,1961,217,3000,"F",1000,"F"
7,1962,217,3000,"F",1000,"F"
7,1963,217,3000,"F",1000,"F"
7,1964,217,3000,"F",1000,"F"
7,1965,217,3000,"F",1000,"F"
7,1966,217,3000,"F",1100,"F"
7,1967,217,3000,"F",1200,"F"
7,1968,217,3000,"F",1200,"F"
7,1969,217,3000,"F",1200,"F"
7,1970,217,3000,"F",1300,"F"
7,1971,217,3000,"F",1300,"F"
7,1972,217,3000,"F",1300,"F"
7,1973,217,3000,"F",1400,"F"
7,1974,217,3000,"F",1400,"F"
7,1975,217,3000,"F",1400,"F"
7,1976,217,3000,"F",1400,"F"
7,1977,217,3000,"F",1500,"F"
7,1978,217,3000,"F",1200,"F"
7,1979,217,3000,"F",1200,"F"
7,1980,217,3000,"F",1200,"F"
7,1981,217,3000,"F",1200,"F"
7,1982,217,3000,"F",1200,"F"
7,1983,217,3000,"F",1200,"F"
7,1984,217,3000,"F",1200,"F"
7,1985,217,3000,"F",1200,"F"
7,1986,217,3000,"F",1200,"F"
7,1987,217,3000,"F",1200,"F"
7,1988,217,3000,"F",1200,"F"
7,1989,217,3000,"F",1200,"F"
7,1990,217,3000,"F",816,"E"
7,1991,217,3000,"F",958,"E"
7,1992,217,2483,"E",1008,"E"
7,1993,217,2800,"F",1100,"F"
7,1994,217,2300,"F",800,"F"
7,1995,217,2856,"E",900,"F"
7,1996,217,2500,"F",1000,"F"
7,1997,217,2800,"F",1100,"F"
7,1998,217,3000,"F",1200,"F"
7,1999,217,2500,"F",1000,"F"
7,2000,217,2800,"F",1100,"F"
7,2001,217,2564,"E",1174,"E"
7,2002,217,2800,"F",1139,"E"
7,2003,217,2800,"F",1186,"E"
7,2004,217,2800,"F",1307,"E"
7,2005,217,2800,"F",1530,"E"
7,2006,217,2800,"F",1590,"E"
7,2007,217,2800,"F",1894,"E"
7,2008,217,2800,"F",2088,"E"
7,2009,217,2800,"F",2113,"E"
7,2010,217,2800,"F",1750,"F"
7,2011,217,2800,"F",2085,"E"
21,1961,217,0,"M",9670," "
21,1962,217,0,"M",11987," "
21,1963,217,0,"M",13621," "
21,1964,217,0,"M",9643," "
21,1965,217,0,"M",13789," "
21,1966,217,0,"M",13677," "
21,1967,217,0,"M",24181," "
21,1968,217,0,"M",23683," "
21,1969,217,0,"M",23443," "
21,1970,217,0,"M",20309," "
21,1971,217,0,"M",28602," "
21,1972,217,0,"M",35000,"F"
21,1973,217,0,"M",36936," "
21,1974,217,0,"M",34901," "
21,1975,217,0,"M",20490," "
21,1976,217,0,"M",36800,"*"
21,1977,217,0,"M",60000,"*"
21,1978,217,0,"M",77000,"*"
21,1979,217,0,"M",65000,"*"
21,1980,217,0,"M",75000,"*"
21,1981,217,0,"M",74000,"*"
21,1982,217,0,"M",80000,"*"
21,1983,217,0,"M",90000,"*"
21,1984,217,0,"M",74000,"*"
21,1985,217,0,"M",115000,"*"
21,1986,217,0,"M",120000,"*"
21,1987,217,0,"M",75000,"*"
21,1988,217,0,"M",128080," "
21,1989,217,0,"M",136130," "
21,1990,217,582818," ",107664," "
21,1991,217,644608," ",185965," "
21,1992,217,695483," ",107955," "
21,1993,217,726140," ",77098," "
21,1994,217,680615," ",149804," "
21,1995,217,699936," ",185229," "
21,1996,217,547720," ",167211," "
21,1997,217,582210," ",125397," "
21,1998,217,621419," ",54124," "
21,1999,217,612735," ",145437," "
21,2000,217,651169," ",138608," "
21,2001,217,638556," ",124073," "
21,2002,217,665014," ",164539," "
21,2003,217,682503," ",183094," "
21,2004,217,691059," ",187839," "
21,2005,217,700367," ",152751," "
21,2006,217,710181," ",243770," "
21,2007,217,731412," ",140675," "
21,2008,217,747434," ",243253," "
21,2009,217,758085," ",220505," "
21,2010,217,758988," ",104342," "
21,2011,217,764472," ",230785," "
23,1961,217,0,"M",0,"M"
23,1962,217,0,"M",0,"M"
23,1963,217,0,"M",0,"M"
23,1964,217,0,"M",0,"M"
23,1965,217,0,"M",0,"M"
23,1966,217,0,"M",0,"M"
23,1967,217,0,"M",0,"M"
23,1968,217,0,"M",0,"M"
23,1969,217,0,"M",0,"M"
23,1970,217,0,"M",0,"M"
23,1971,217,0,"M",0,"M"
23,1972,217,0,"M",0,"M"
23,1973,217,0,"M",0,"M"
23,1974,217,0,"M",0,"M"
23,1975,217,0,"M",0,"M"
23,1976,217,0,"M",0,"M"
23,1977,217,0,"M",0,"M"
23,1978,217,0,"M",0,"M"
23,1979,217,0,"M",0,"M"
23,1980,217,0,"M",0,"M"
23,1981,217,0,"M",0,"M"
23,1982,217,0,"M",0,"M"
23,1983,217,0,"M",0,"M"
23,1984,217,0,"M",0,"M"
23,1985,217,0,"M",0,"M"
23,1986,217,0,"M",0,"M"
23,1987,217,0,"M",0,"M"
23,1988,217,0,"M",0,"M"
23,1989,217,0,"M",0,"M"
23,1990,217,0,"M",0,"M"
23,1991,217,0,"M",0,"M"
23,1992,217,0,"M",0,"M"
23,1993,217,0,"M",0,"M"
23,1994,217,0,"M",0,"M"
23,1995,217,0,"M",0,"M"
23,1996,217,0,"M",0,"M"
23,1997,217,0,"M",0,"M"
23,1998,217,0,"M",0,"M"
23,1999,217,150,"F",350,"F"
23,2000,217,321," ",720," "
23,2001,217,619," ",1155," "
23,2002,217,802," ",1370,"F"
23,2003,217,795," ",1250,"F"
23,2004,217,931," ",1430,"F"
23,2005,217,930,"F",1183,"E"
23,2006,217,945," ",1450,"F"
23,2007,217,868," ",1340,"F"
23,2008,217,707," ",1090,"F"
23,2009,217,698," ",1080,"F"
23,2010,217,699,"E",656,"E"
23,2011,217,704,"E",670,"F"
38,1961,217,0,"M",4240,"*"
38,1962,217,0,"M",3520,"*"
38,1963,217,0,"M",1090,"*"
38,1964,217,0,"M",2710,"*"
38,1965,217,0,"M",8800,"*"
38,1966,217,0,"M",6620,"*"
38,1967,217,0,"M",5550,"*"
38,1968,217,0,"M",5380,"*"
38,1969,217,0,"M",2340,"*"
38,1970,217,0,"M",2770,"*"
38,1971,217,0,"M",3100,"*"
38,1972,217,0,"M",2790,"*"
38,1973,217,0,"M",5160,"*"
38,1974,217,0,"M",4970,"*"
38,1975,217,0,"M",4330,"*"
38,1976,217,0,"M",4950,"*"
38,1977,217,0,"M",5440,"*"
38,1978,217,0,"M",8010,"*"
38,1979,217,0,"M",8850,"*"
38,1980,217,26000,"F",8260,"*"
38,1981,217,25000,"F",8090,"*"
38,1982,217,25000,"F",8090,"*"
38,1983,217,20000,"F",4140,"*"
38,1984,217,20000,"F",4110,"*"
38,1985,217,27000,"F",9500,"*"
38,1986,217,26000,"F",8941,"*"
38,1987,217,27000,"F",9184,"*"
38,1988,217,29500,"F",10892,"*"
38,1989,217,28000,"F",9771,"*"
38,1990,217,26000,"F",9000,"F"
38,1991,217,25000,"F",8500,"F"
