"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
21,1961,591,50000,"F",251550," "
21,1962,591,58000,"F",288961," "
21,1963,591,68000,"F",341388," "
21,1964,591,62000,"F",311816," "
21,1965,591,64408," ",340244," "
21,1966,591,73472," ",339770," "
21,1967,591,77275," ",408448," "
21,1968,591,72182," ",454004," "
21,1969,591,75113," ",447717," "
21,1970,591,81220," ",405762," "
21,1971,591,105000,"F",543464," "
21,1972,591,90000,"F",494774," "
21,1973,591,66223," ",387320," "
21,1974,591,84727," ",478982," "
21,1975,591,110052," ",466129," "
21,1976,591,122961," ",620789," "
21,1977,591,135081," ",671273," "
21,1978,591,154329," ",920438," "
21,1979,591,169626," ",585876," "
21,1980,591,184151," ",660054," "
21,1981,591,202589," ",735214," "
21,1982,591,232177," ",941663," "
21,1983,591,231431," ",353134," "
21,1984,591,319302," ",1129738," "
21,1985,591,365155," ",1141675," "
21,1986,591,406095," ",820576," "
21,1987,591,439136," ",1043747," "
21,1988,591,449017," ",1100000,"F"
21,1989,591,514937," ",1250000,"F"
21,1990,591,551844," ",1350000,"F"
21,1991,591,616674," ",1500000,"F"
21,1992,591,664682," ",1650000,"F"
21,1993,591,689302," ",1700000,"F"
21,1994,591,627559," ",1550000,"F"
21,1995,591,647499," ",1600000,"F"
21,1996,591,655960," ",1650000,"F"
21,1997,591,679921," ",1700000,"F"
21,1998,591,579288," ",1450000,"F"
21,1999,591,580000,"F",1500000,"F"
21,2000,591,537855,"E",1475726,"E"
21,2001,591,590000,"F",1550000,"F"
21,2002,591,595000,"F",1600000,"F"
21,2003,591,598000,"F",1603000,"F"
21,2004,591,6e+05,"F",1610000,"F"
21,2005,591,594763,"E",1650000,"F"
21,2006,591,610000,"F",1660000,"F"
21,2007,591,621363,"E",1714063,"E"
21,2008,591,622371,"E",1690660,"E"
21,2009,591,591211,"E",1622621,"E"
21,2010,591,602395,"E",1694162,"E"
21,2011,591,618542,"E",1788312,"E"
91,1961,591,0,"M",0,"M"
91,1962,591,0,"M",0,"M"
91,1963,591,0,"M",0,"M"
91,1964,591,0,"M",0,"M"
91,1965,591,0,"M",0,"M"
91,1966,591,0,"M",0,"M"
91,1967,591,0,"M",0,"M"
91,1968,591,0,"M",0,"M"
91,1969,591,0,"M",0,"M"
91,1970,591,0,"M",0,"M"
91,1971,591,0,"M",0,"M"
91,1972,591,0,"M",0,"M"
91,1973,591,0,"M",0,"M"
91,1974,591,0,"M",0,"M"
91,1975,591,0,"M",0,"M"
91,1976,591,0,"M",0,"M"
91,1977,591,0,"M",0,"M"
91,1978,591,0,"M",0,"M"
91,1979,591,0,"M",0,"M"
91,1980,591,0,"M",0,"M"
91,1981,591,0,"M",0,"M"
91,1982,591,0,"M",0,"M"
91,1983,591,0,"M",0,"M"
91,1984,591,0,"M",0,"M"
91,1985,591,0,"M",0,"M"
91,1986,591,0,"M",0,"M"
91,1987,591,0,"M",0,"M"
91,1988,591,0,"M",0,"M"
91,1989,591,0,"M",0,"M"
91,1990,591,0,"M",0,"M"
91,1991,591,0,"M",0,"M"
91,1992,591,0,"M",0,"M"
91,1993,591,0,"M",0,"M"
91,1994,591,0,"M",0,"M"
91,1995,591,0,"M",0,"M"
91,1996,591,0,"M",0,"M"
91,1997,591,0,"M",0,"M"
91,1998,591,0,"M",0,"M"
91,1999,591,0,"M",0,"M"
91,2000,591,1,"F",8," "
91,2001,591,1,"F",7," "
91,2002,591,1,"F",6,"E"
91,2003,591,1,"F",5,"E"
91,2004,591,1,"F",6,"F"
91,2005,591,1,"F",11,"E"
91,2006,591,1,"F",5,"F"
91,2007,591,1,"F",4,"E"
91,2008,591,1,"F",5,"F"
91,2009,591,1,"F",5,"F"
91,2010,591,1,"F",5,"F"
91,2011,591,1,"F",5,"F"
129,1961,591,18000,"F",42000,"F"
129,1962,591,18000,"F",42000,"F"
129,1963,591,19000,"F",44000,"F"
129,1964,591,19000,"F",44000,"F"
129,1965,591,19000,"F",45000,"F"
129,1966,591,19000,"F",45000,"F"
129,1967,591,19000,"F",45000,"F"
129,1968,591,20000,"F",46000,"F"
129,1969,591,20000,"F",46000,"F"
129,1970,591,20000,"F",46000,"F"
129,1971,591,20000,"F",47000,"F"
129,1972,591,20000,"F",47000,"F"
129,1973,591,20000,"F",47000,"F"
129,1974,591,20000,"F",48000,"F"
129,1975,591,21000,"F",50000,"F"
129,1976,591,21000,"F",50000,"F"
129,1977,591,21000,"F",50000,"F"
129,1978,591,22000,"F",52000,"F"
129,1979,591,22000,"F",52725," "
129,1980,591,24000,"F",56860," "
129,1981,591,24000,"F",57015," "
129,1982,591,24000,"F",58000,"F"
129,1983,591,25000,"F",59000,"F"
129,1984,591,25000,"F",60000,"F"
129,1985,591,25000,"F",62500,"F"
129,1986,591,25000,"F",61700,"F"
129,1987,591,25000,"F",62000,"F"
129,1988,591,25000,"F",63000,"F"
129,1989,591,25000,"F",64000,"F"
129,1990,591,25869,"E",65000,"F"
129,1991,591,26525,"E",67604,"E"
129,1992,591,26988,"E",66000,"F"
129,1993,591,27604,"E",66500,"F"
129,1994,591,27848,"E",65000,"F"
129,1995,591,27490,"E",66000,"F"
129,1996,591,27736,"E",67000,"F"
129,1997,591,26000,"F",68000,"F"
129,1998,591,28587,"E",72617,"E"
129,1999,591,27408,"E",69000,"F"
129,2000,591,28152,"E",68000,"F"
129,2001,591,29069,"E",68943,"E"
129,2002,591,30290,"E",79261,"E"
129,2003,591,30912,"E",74289,"E"
129,2004,591,29914,"E",79006,"E"
129,2005,591,30013,"E",74493,"E"
129,2006,591,26500,"F",69000,"F"
129,2007,591,27000,"F",70000,"F"
129,2008,591,27238,"E",69895,"E"
129,2009,591,28138,"E",74674,"E"
129,2010,591,26297,"E",75594,"E"
129,2011,591,26909,"E",74296,"E"
133,1961,591,3500,"F",7000,"F"
133,1962,591,10000,"F",30000,"F"
133,1963,591,10000,"F",30000,"F"
133,1964,591,10000,"F",30000,"F"
133,1965,591,12000,"F",36000,"F"
133,1966,591,12000,"F",36000,"F"
133,1967,591,12000,"F",36000,"F"
133,1968,591,12000,"F",36000,"F"
133,1969,591,15000,"F",45000,"F"
133,1970,591,15000,"F",45000,"F"
133,1971,591,15000,"F",45000,"F"
133,1972,591,15000,"F",45000,"F"
133,1973,591,15000,"F",45000,"F"
133,1974,591,16000,"F",48000,"F"
133,1975,591,16000,"F",48000,"F"
133,1976,591,16000,"F",48000,"F"
133,1977,591,16000,"F",48000,"F"
133,1978,591,16000,"F",48000,"F"
133,1979,591,16000,"F",48000,"F"
133,1980,591,18000,"F",54000,"F"
133,1981,591,18000,"F",54000,"F"
133,1982,591,18000,"F",54000,"F"
133,1983,591,18000,"F",54000,"F"
133,1984,591,18000,"F",54000,"F"
133,1985,591,20000,"F",60000,"F"
133,1986,591,20000,"F",60000,"F"
133,1987,591,20000,"F",60000,"F"
133,1988,591,20000,"F",60000,"F"
133,1989,591,21000,"F",63000,"F"
133,1990,591,18654,"E",61106,"E"
133,1991,591,21770,"E",69117,"E"
133,1992,591,24000,"F",72000,"F"
133,1993,591,27179,"E",79296,"E"
133,1994,591,30000,"F",90000,"F"
133,1995,591,32197,"E",92159,"E"
133,1996,591,33754,"E",97213,"E"
133,1997,591,33000,"F",1e+05,"F"
133,1998,591,35000,"F",104445,"E"
133,1999,591,40501,"E",108373,"E"
133,2000,591,36000,"F",110000,"F"
133,2001,591,37268,"E",140539,"E"
133,2002,591,40000,"F",120000,"F"
133,2003,591,40329,"E",123841,"E"
133,2004,591,40375,"E",127300,"E"
133,2005,591,42389," ",122506," "
133,2006,591,42389," ",120600," "
133,2007,591,43500,"F",120600," "
133,2008,591,44000,"F",127000,"F"
133,2009,591,46000,"F",134000,"F"
133,2010,591,46000,"F",134000,"F"
133,2011,591,42000,"F",122000,"F"
