"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
26,1961,378,0,"M",0,"M"
26,1962,378,0,"M",0,"M"
26,1963,378,0,"M",0,"M"
26,1964,378,0,"M",0,"M"
26,1965,378,0,"M",0,"M"
26,1966,378,0,"M",0,"M"
26,1967,378,0,"M",0,"M"
26,1968,378,0,"M",0,"M"
26,1969,378,0,"M",0,"M"
26,1970,378,0,"M",0,"M"
26,1971,378,0,"M",0,"M"
26,1972,378,0,"M",0,"M"
26,1973,378,0,"M",0,"M"
26,1974,378,0,"M",0,"M"
26,1975,378,0,"M",0,"M"
26,1976,378,0,"M",0,"M"
26,1977,378,0,"M",0,"M"
26,1978,378,0,"M",0,"M"
26,1979,378,0,"M",0,"M"
26,1980,378,0,"M",0,"M"
26,1981,378,0,"M",0,"M"
26,1982,378,0,"M",0,"M"
26,1983,378,0,"M",0,"M"
26,1984,378,0,"M",0,"M"
26,1985,378,0,"M",0,"M"
26,1986,378,0,"M",0,"M"
26,1987,378,0,"M",0,"M"
26,1988,378,0,"M",0,"M"
26,1989,378,0,"M",0,"M"
26,1990,378,0,"M",0,"M"
26,1991,378,0,"M",0,"M"
26,1992,378,0,"M",0,"M"
26,1993,378,0,"M",0,"M"
26,1994,378,0,"M",0,"M"
26,1995,378,0,"M",0,"M"
26,1996,378,0,"M",0,"M"
26,1997,378,0,"M",0,"M"
26,1998,378,0,"M",0,"M"
26,1999,378,0,"M",0,"M"
26,2000,378,0,"M",0,"M"
26,2001,378,0,"M",0,"M"
26,2002,378,0,"M",0,"M"
26,2003,378,0,"M",0,"M"
26,2004,378,0,"M",0,"M"
26,2005,378,0,"M",0,"M"
26,2006,378,0,"M",0,"M"
26,2007,378,1,"F",7,"F"
26,2008,378,0,"M",0,"M"
26,2009,378,0,"M",0,"M"
26,2010,378,0,"M",0,"M"
26,2011,378,0,"M",0,"M"
46,1961,378,0,"M",0,"M"
46,1962,378,0,"M",0,"M"
46,1963,378,0,"M",0,"M"
46,1964,378,0,"M",0,"M"
46,1965,378,0,"M",0,"M"
46,1966,378,0,"M",0,"M"
46,1967,378,0,"M",0,"M"
46,1968,378,0,"M",0,"M"
46,1969,378,0,"M",0,"M"
46,1970,378,0,"M",0,"M"
46,1971,378,0,"M",0,"M"
46,1972,378,0,"M",0,"M"
46,1973,378,0,"M",0,"M"
46,1974,378,0,"M",0,"M"
46,1975,378,0,"M",0,"M"
46,1976,378,0,"M",0,"M"
46,1977,378,0,"M",0,"M"
46,1978,378,0,"M",0,"M"
46,1979,378,0,"M",0,"M"
46,1980,378,0,"M",0,"M"
46,1981,378,0,"M",0,"M"
46,1982,378,0,"M",0,"M"
46,1983,378,0,"M",0,"M"
46,1984,378,0,"M",0,"M"
46,1985,378,0,"M",0,"M"
46,1986,378,0,"M",0,"M"
46,1987,378,0,"M",0,"M"
46,1988,378,0,"M",0,"M"
46,1989,378,0,"M",0,"M"
46,1990,378,3500,"F",35000,"F"
46,1991,378,3600,"F",36000,"F"
46,1992,378,3700,"F",37000,"F"
46,1993,378,3800,"F",38000,"F"
46,1994,378,3900,"F",39000,"F"
46,1995,378,4000,"F",40000,"F"
46,1996,378,4100,"F",41000,"F"
46,1997,378,4200,"F",42000,"F"
46,1998,378,4300,"F",43000,"F"
46,1999,378,4400,"F",44000,"F"
46,2000,378,4500,"F",45000,"F"
46,2001,378,4600,"F",46000,"F"
46,2002,378,4700,"F",47000,"F"
46,2003,378,4800,"F",48557," "
46,2004,378,5000,"F",50274," "
46,2005,378,5200,"F",52000,"F"
46,2006,378,4483,"E",61867,"E"
46,2007,378,4230,"E",64850,"E"
46,2008,378,4372,"E",67494,"E"
46,2009,378,4549,"E",68843,"E"
46,2010,378,7700,"E",85000,"F"
46,2011,378,7700,"F",85000,"F"
