"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
5,1961,125,3,"F",40,"F"
5,1962,125,3,"F",40,"F"
5,1963,125,3," ",41," "
5,1964,125,6," ",76," "
5,1965,125,2," ",15,"F"
5,1966,125,2," ",17,"F"
5,1967,125,6," ",50,"F"
5,1968,125,2,"F",17,"F"
5,1969,125,2,"F",17,"F"
5,1970,125,2,"F",18,"F"
5,1971,125,2,"F",20,"F"
5,1972,125,3,"F",26,"F"
5,1973,125,3,"F",20,"F"
5,1974,125,3,"F",15,"F"
5,1975,125,3,"F",16,"F"
5,1976,125,3,"F",17,"F"
5,1977,125,3,"F",16,"F"
5,1978,125,3,"F",13,"F"
5,1979,125,3," ",11,"F"
5,1980,125,4,"F",20,"F"
5,1981,125,4,"F",26,"F"
5,1982,125,4,"F",27,"F"
5,1983,125,4,"F",19,"F"
5,1984,125,4,"F",18,"F"
5,1985,125,4,"F",18,"F"
5,1986,125,4,"F",19,"F"
5,1987,125,4,"F",20,"F"
5,1988,125,4,"F",20,"F"
5,1989,125,3," ",20,"T"
5,1990,125,7,"E",22,"E"
5,1991,125,3,"F",21,"E"
5,1992,125,3,"F",22,"E"
5,1993,125,52,"E",23,"E"
5,1994,125,48,"E",327,"E"
5,1995,125,49,"E",347,"E"
5,1996,125,52,"E",385,"E"
5,1997,125,58,"E",365,"E"
5,1998,125,50," ",353," "
5,1999,125,15,"F",100,"F"
5,2000,125,15,"F",103,"E"
5,2001,125,15,"F",107,"E"
5,2002,125,15,"F",115,"E"
5,2003,125,34," ",102," "
5,2004,125,15,"F",100,"F"
5,2005,125,15,"F",99,"E"
5,2006,125,15,"F",83,"E"
5,2007,125,14,"E",102,"E"
5,2008,125,17,"E",93,"E"
5,2009,125,13,"E",71,"E"
5,2010,125,15,"E",87,"E"
5,2011,125,13,"E",77,"E"
7,1961,125,350000,"F",1250000,"*"
7,1962,125,4e+05,"F",1275000,"*"
7,1963,125,4e+05,"F",1300000,"*"
7,1964,125,4e+05,"F",1320000,"*"
7,1965,125,420000,"F",1400000,"*"
7,1966,125,450000,"F",1500000,"*"
7,1967,125,450000,"F",1525000,"*"
7,1968,125,450000,"F",1545000,"*"
7,1969,125,450000,"F",1590000,"*"
7,1970,125,450000,"F",1600000,"*"
7,1971,125,450000,"F",1600000,"F"
7,1972,125,450000,"F",1600000,"F"
7,1973,125,430000,"F",1580000,"F"
7,1974,125,4e+05,"F",1450000,"F"
7,1975,125,380000,"F",1350000,"F"
7,1976,125,360000,"F",1300000,"F"
7,1977,125,360000,"F",1300000,"F"
7,1978,125,360000,"F",1300000,"F"
7,1979,125,340000,"F",1150000,"F"
7,1980,125,340000,"F",1150000,"F"
7,1981,125,340000,"F",1150000,"F"
7,1982,125,340000,"F",1160000,"F"
7,1983,125,350000,"F",1180000,"F"
7,1984,125,370000,"F",1270000,"F"
7,1985,125,4e+05,"F",1370000,"F"
7,1986,125,410000,"F",1430000,"F"
7,1987,125,420000,"F",1470000,"F"
7,1988,125,4e+05,"F",1500000," "
7,1989,125,4e+05,"F",1600000," "
7,1990,125,388571,"E",1600000," "
