"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
7,1961,265,13300,"F",4989,"*"
7,1962,265,13400,"F",5000,"F"
7,1963,265,13400,"F",5000,"F"
7,1964,265,13500,"F",5000,"F"
7,1965,265,13000,"F",5000,"F"
7,1966,265,13000,"F",5000,"*"
7,1967,265,13000,"F",5000,"*"
7,1968,265,13000,"F",5000,"*"
7,1969,265,11000,"F",2800," "
7,1970,265,11000,"F",2800," "
7,1971,265,12000,"F",3000,"*"
7,1972,265,12000,"F",3000,"*"
7,1973,265,12000,"F",3000,"*"
7,1974,265,12000,"F",3500,"F"
7,1975,265,12000,"F",3000,"F"
7,1976,265,12000,"F",3000,"F"
7,1977,265,12000,"F",3500,"F"
7,1978,265,12000,"F",3000,"F"
7,1979,265,12000,"F",3000,"F"
7,1980,265,12000,"F",3100,"F"
7,1981,265,12000,"F",3000,"F"
7,1982,265,12000,"F",3000,"F"
7,1983,265,12000,"F",3100,"F"
7,1984,265,12000,"F",3000,"F"
7,1985,265,12000,"F",2900,"F"
7,1986,265,12000,"F",3000,"F"
7,1987,265,12000,"F",3100,"F"
7,1988,265,12500,"F",3200,"F"
7,1989,265,13000,"F",3300,"F"
7,1990,265,12500,"F",3200,"F"
7,1991,265,14000,"F",3500,"F"
7,1992,265,15750,"E",3600,"F"
7,1993,265,13500,"F",3400,"F"
7,1994,265,13000,"F",3200,"F"
7,1995,265,13500,"F",3300,"F"
7,1996,265,13830,"E",3400,"F"
7,1997,265,15492,"E",3500,"F"
7,1998,265,14962,"E",3517,"E"
7,1999,265,13000,"F",3300,"F"
7,2000,265,13500,"F",3500,"F"
7,2001,265,14179,"E",3810,"E"
7,2002,265,13944,"E",3775,"E"
7,2003,265,14107,"E",3755,"E"
7,2004,265,14331,"E",3944,"E"
7,2005,265,15119,"E",4382,"E"
7,2006,265,14104,"E",3748,"E"
7,2007,265,13453,"E",3096,"E"
7,2008,265,14721,"E",3694,"E"
7,2009,265,23033,"E",3433,"E"
7,2010,265,15000,"F",4000,"F"
7,2011,265,16000,"F",4000,"F"
9,1961,265,9636," ",7270," "
9,1962,265,7500," ",6100," "
9,1963,265,8770," ",6110," "
9,1964,265,8350," ",4880," "
9,1965,265,6953," ",4430," "
9,1966,265,6100," ",3700," "
9,1967,265,6350," ",4200," "
9,1968,265,5675," ",4180," "
9,1969,265,9870," ",9500," "
9,1970,265,6200," ",4070," "
9,1971,265,3835," ",2648," "
9,1972,265,1690," ",1050," "
9,1973,265,945," ",695," "
9,1974,265,1789," ",640," "
9,1975,265,804," ",1070," "
9,1976,265,268," ",290," "
9,1977,265,14," ",9," "
9,1978,265,10," ",10," "
9,1979,265,2," ",1," "
9,1980,265,0,"F",0,"F"
9,1981,265,0," ",0," "
9,1982,265,0," ",0," "
9,1983,265,0," ",0," "
9,1984,265,0," ",0," "
9,1985,265,0," ",0," "
9,1986,265,0," ",0," "
9,1987,265,0," ",0," "
9,1988,265,0," ",0," "
9,1989,265,0," ",0," "
9,1990,265,0," ",0," "
9,1991,265,0," ",0," "
9,1992,265,0," ",0," "
9,1993,265,0,"M",0,"M"
9,1994,265,0,"M",0,"M"
9,1995,265,0,"M",0,"M"
9,1996,265,0,"M",0,"M"
9,1997,265,0,"M",0,"M"
9,1998,265,0,"M",0,"M"
9,1999,265,0,"M",0,"M"
9,2000,265,0,"M",0,"M"
9,2001,265,0,"M",0,"M"
9,2002,265,0,"M",0,"M"
9,2003,265,0,"M",0,"M"
9,2004,265,0,"M",0,"M"
9,2005,265,0,"M",0,"M"
9,2006,265,0,"M",0,"M"
9,2007,265,0,"M",0,"M"
9,2008,265,0,"M",0,"M"
9,2009,265,0,"M",0,"M"
9,2010,265,0,"M",0,"M"
9,2011,265,0,"M",0,"M"
16,1961,265,405," ",203," "
16,1962,265,405," ",203," "
16,1963,265,405," ",203," "
16,1964,265,405," ",203," "
16,1965,265,405," ",203," "
16,1966,265,405," ",203," "
16,1967,265,405," ",203," "
16,1968,265,425," ",264," "
16,1969,265,426," ",269," "
16,1970,265,439," ",284," "
16,1971,265,389," ",243," "
16,1972,265,350," ",202," "
16,1973,265,346," ",202," "
16,1974,265,276," ",150," "
16,1975,265,282," ",166," "
16,1976,265,344," ",189," "
16,1977,265,372," ",215," "
16,1978,265,372," ",203," "
16,1979,265,350," ",198," "
16,1980,265,490," ",366," "
16,1981,265,437," ",284," "
16,1982,265,480," ",260," "
16,1983,265,461," ",280," "
16,1984,265,475," ",280," "
16,1985,265,475," ",280," "
16,1986,265,500," ",300," "
16,1987,265,485," ",280," "
16,1988,265,554," ",360," "
16,1989,265,475," ",320," "
16,1990,265,406," ",255," "
16,1991,265,279," ",180," "
16,1992,265,308," ",185," "
16,1993,265,261," ",161," "
16,1994,265,295," ",195," "
16,1995,265,295,"*",195,"*"
16,1996,265,295,"*",195,"*"
16,1997,265,403," ",265," "
16,1998,265,473," ",280," "
16,1999,265,404," ",250," "
16,2000,265,404," ",280," "
16,2001,265,405," ",270," "
16,2002,265,405," ",270," "
16,2003,265,405," ",290," "
16,2004,265,405," ",300," "
16,2005,265,400,"F",300,"F"
16,2006,265,470," ",335," "
16,2007,265,470," ",335," "
16,2008,265,335," ",226," "
16,2009,265,300,"F",200,"F"
16,2010,265,270,"F",180,"F"
16,2011,265,275,"E",184,"E"
21,1961,265,283405," ",207801," "
21,1962,265,284180," ",224961," "
21,1963,265,307187," ",239860," "
21,1964,265,347600," ",310270," "
21,1965,265,394146," ",355026," "
21,1966,265,347133," ",329324," "
21,1967,265,360622," ",355159," "
21,1968,265,377048," ",370334," "
21,1969,265,377636," ",378398," "
21,1970,265,380986," ",348546," "
21,1971,265,361000," ",362000," "
21,1972,265,376726," ",385058," "
21,1973,265,496026," ",448703," "
21,1974,265,640781," ",573123," "
21,1975,265,398709," ",353904," "
21,1976,265,266776," ",216868," "
21,1977,265,254335," ",224110," "
21,1978,265,350336," ",317083," "
21,1979,265,374798," ",325149," "
21,1980,265,440511," ",280688," "
21,1981,265,447364," ",291812," "
21,1982,265,461824," ",192148," "
21,1983,265,270130," ",171777," "
21,1984,265,412955," ",222678," "
21,1985,265,496844," ",417657," "
21,1986,265,456215," ",260984," "
21,1987,265,262900," ",106702," "
21,1988,265,273153," ",144881," "
21,1989,265,268618," ",128079," "
21,1990,265,286703," ",147971," "
21,1991,265,233555," ",129678," "
21,1992,265,175336," ",102120," "
21,1993,265,141074," ",43188," "
21,1994,265,106319," ",54039," "
21,1995,265,76427," ",33149," "
21,1996,265,119849," ",41346," "
21,1997,265,153138," ",97445," "
21,1998,265,63233," ",16683," "
21,1999,265,103763," ",33357," "
21,2000,265,195045," ",100732," "
21,2001,265,171618," ",99941," "
21,2002,265,136109," ",170897," "
21,2003,265,133879," ",83682," "
21,2004,265,172704," ",138745," "
21,2005,265,230911," ",168802," "
21,2006,265,151060," ",95000," "
21,2007,265,163034," ",98142," "
21,2008,265,157626," ",122140," "
21,2009,265,159409," ",91076," "
21,2010,265,151865," ",95183," "
21,2011,265,208476," ",120166," "
27,1961,265,1765," ",1337," "
27,1962,265,999," ",731," "
27,1963,265,672," ",436," "
27,1964,265,107," ",69," "
27,1965,265,112," ",72," "
27,1966,265,80," ",108," "
27,1967,265,27," ",37," "
27,1968,265,486," ",332," "
27,1969,265,963," ",1315," "
27,1970,265,808," ",985," "
27,1971,265,428," ",578," "
27,1972,265,223," ",205," "
27,1973,265,77," ",90," "
27,1974,265,4," ",2," "
27,1975,265,0,"F",0,"F"
27,1976,265,0,"F",0,"F"
27,1977,265,0," ",0," "
27,1978,265,0," ",0," "
27,1979,265,0," ",0," "
27,1980,265,0," ",0," "
27,1981,265,0," ",0," "
27,1982,265,0," ",0," "
27,1983,265,0," ",0," "
27,1984,265,0," ",0," "
27,1985,265,0," ",0," "
27,1986,265,0," ",0," "
27,1987,265,0," ",0," "
27,1988,265,0," ",0," "
27,1989,265,0," ",0," "
27,1990,265,0," ",0," "
27,1991,265,0," ",0," "
27,1992,265,0," ",0," "
27,1993,265,0,"M",0,"M"
27,1994,265,0,"M",0,"M"
27,1995,265,0,"M",0,"M"
27,1996,265,0,"M",0,"M"
27,1997,265,0,"M",0,"M"
27,1998,265,0,"M",0,"M"
27,1999,265,0,"M",0,"M"
27,2000,265,0,"M",0,"M"
27,2001,265,0,"M",0,"M"
27,2002,265,0,"M",0,"M"
27,2003,265,0,"M",0,"M"
27,2004,265,0,"M",0,"M"
27,2005,265,0,"M",0,"M"
27,2006,265,0,"M",0,"M"
27,2007,265,0,"M",0,"M"
27,2008,265,0,"M",0,"M"
27,2009,265,0,"M",0,"M"
27,2010,265,0,"M",0,"M"
27,2011,265,0,"M",0,"M"
29,1961,265,2600,"F",500," "
29,1962,265,2000,"F",400," "
29,1963,265,1500,"F",300," "
29,1964,265,1000,"F",200," "
29,1965,265,500,"F",100," "
29,1966,265,700,"F",140,"F"
29,1967,265,700,"F",140,"F"
29,1968,265,450,"F",90,"F"
29,1969,265,200,"F",40,"F"
29,1970,265,100,"F",20,"F"
29,1971,265,75,"F",15,"F"
29,1972,265,50,"F",10,"F"
29,1973,265,50,"F",10,"F"
29,1974,265,0,"F",0,"F"
29,1975,265,0,"F",0,"F"
29,1976,265,0,"F",0,"F"
29,1977,265,0,"F",0,"F"
29,1978,265,0,"F",0,"F"
29,1979,265,0,"F",0,"F"
29,1980,265,0,"F",0,"F"
29,1981,265,0,"F",0,"F"
29,1982,265,0,"F",0,"F"
29,1983,265,0,"F",0,"F"
29,1984,265,0,"F",0,"F"
29,1985,265,0,"F",0,"F"
29,1986,265,0,"F",0,"F"
29,1987,265,0,"F",0,"F"
29,1988,265,0,"F",0,"F"
29,1989,265,0,"F",0,"F"
29,1990,265,0,"F",0,"F"
29,1991,265,0,"F",0,"F"
29,1992,265,0,"F",0,"F"
29,1993,265,0,"F",0,"F"
29,1994,265,0,"F",0,"F"
29,1995,265,0,"F",0,"F"
29,1996,265,0,"F",0,"F"
29,1997,265,0,"F",0,"F"
29,1998,265,0," ",0," "
29,1999,265,0,"F",0,"F"
29,2000,265,0,"F",0,"F"
29,2001,265,0,"F",0,"F"
29,2002,265,0,"F",0,"F"
29,2003,265,0,"F",0,"F"
29,2004,265,0,"F",0,"F"
29,2005,265,0,"F",0,"F"
29,2006,265,0,"F",0,"F"
29,2007,265,0,"F",0,"F"
29,2008,265,0,"F",0,"F"
29,2009,265,0,"F",0,"F"
29,2010,265,0,"F",0,"F"
29,2011,265,0,"F",0,"F"
35,1961,265,80,"F",60,"F"
35,1962,265,80,"F",60,"F"
35,1963,265,80,"F",60,"F"
35,1964,265,80,"F",60,"F"
35,1965,265,90,"F",75,"F"
35,1966,265,100,"F",80,"F"
35,1967,265,90,"F",75,"F"
35,1968,265,80,"F",65,"F"
35,1969,265,90,"F",70,"F"
35,1970,265,85,"F",65,"F"
35,1971,265,50,"F",25,"F"
35,1972,265,50,"F",30,"F"
35,1973,265,50,"F",30,"F"
35,1974,265,50,"F",30,"F"
35,1975,265,50,"F",30,"F"
35,1976,265,50,"F",30,"F"
35,1977,265,50,"F",30,"F"
35,1978,265,80,"F",50,"F"
35,1979,265,50,"F",30,"F"
35,1980,265,50,"F",30,"F"
35,1981,265,150,"F",100,"F"
35,1982,265,120,"F",80,"F"
35,1983,265,150,"F",100,"F"
35,1984,265,60,"F",35,"F"
35,1985,265,120,"F",80,"F"
35,1986,265,120,"F",80,"F"
35,1987,265,50,"F",30,"F"
35,1988,265,50,"F",30,"F"
35,1989,265,50,"F",30,"F"
35,1990,265,55,"E",35,"E"
35,1991,265,58,"E",37,"E"
35,1992,265,59,"E",36,"E"
35,1993,265,54,"E",37,"E"
35,1994,265,65,"E",40,"E"
35,1995,265,69,"E",44,"E"
35,1996,265,78,"E",50,"E"
35,1997,265,77,"E",52,"E"
35,1998,265,96,"E",54,"E"
