"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,393,0," ",0," "
1,1962,393,0," ",0," "
1,1963,393,0," ",0," "
1,1964,393,0," ",0," "
1,1965,393,0," ",0," "
1,1966,393,0," ",0," "
1,1967,393,0," ",0," "
1,1968,393,0," ",0," "
1,1969,393,0," ",0," "
1,1970,393,0," ",0," "
1,1971,393,0," ",0," "
1,1972,393,0," ",0," "
1,1973,393,0," ",0," "
1,1974,393,0," ",0," "
1,1975,393,0," ",0," "
1,1976,393,0," ",0," "
1,1977,393,0," ",0," "
1,1978,393,0," ",0," "
1,1979,393,0," ",0," "
1,1980,393,0," ",0," "
1,1981,393,0," ",0," "
1,1982,393,0," ",0," "
1,1983,393,0," ",0," "
1,1984,393,0," ",0," "
1,1985,393,0," ",0," "
1,1986,393,0," ",0," "
1,1987,393,0," ",0," "
1,1988,393,100,"*",1000,"*"
1,1989,393,100,"*",1000,"*"
1,1990,393,100,"*",1000,"*"
1,1991,393,100,"*",2000,"*"
1,1992,393,100,"*",4000,"*"
1,1993,393,100,"*",3000,"*"
1,1994,393,100,"*",2300,"*"
1,1995,393,100,"*",3000,"*"
1,1996,393,150,"*",3700,"*"
1,1997,393,150,"*",3500,"*"
1,1998,393,200,"*",3000,"*"
1,1999,393,180," ",2396," "
1,2000,393,182," ",2240," "
1,2001,393,215," ",3795," "
1,2002,393,214," ",3605," "
1,2003,393,213," ",4943," "
1,2004,393,305," ",6219," "
1,2005,393,242," ",5621," "
1,2006,393,234," ",7043," "
1,2007,393,308," ",8914," "
1,2008,393,249," ",6849," "
1,2009,393,306," ",9187," "
1,2010,393,315," ",9931," "
1,2011,393,323," ",10078," "
3,1961,393,0,"M",0,"M"
3,1962,393,0,"M",0,"M"
3,1963,393,0,"M",0,"M"
3,1964,393,0,"M",0,"M"
3,1965,393,0,"M",0,"M"
3,1966,393,0,"M",0,"M"
3,1967,393,0,"M",0,"M"
3,1968,393,0,"M",0,"M"
3,1969,393,0,"M",0,"M"
3,1970,393,0,"M",0,"M"
3,1971,393,0,"M",0,"M"
3,1972,393,0,"M",0,"M"
3,1973,393,0,"M",0,"M"
3,1974,393,0,"M",0,"M"
3,1975,393,0,"M",0,"M"
3,1976,393,0,"M",0,"M"
3,1977,393,0,"M",0,"M"
3,1978,393,0,"M",0,"M"
3,1979,393,0,"M",0,"M"
3,1980,393,0,"M",0,"M"
3,1981,393,0,"M",0,"M"
3,1982,393,0,"M",0,"M"
3,1983,393,0,"M",0,"M"
3,1984,393,0,"M",0,"M"
3,1985,393,0,"M",0,"M"
3,1986,393,0,"M",0,"M"
3,1987,393,0,"M",0,"M"
3,1988,393,0,"M",0,"M"
3,1989,393,0,"M",0,"M"
3,1990,393,70,"*",1200,"*"
3,1991,393,60,"*",1000,"*"
3,1992,393,80,"*",1400,"*"
3,1993,393,90,"*",1600,"*"
3,1994,393,100,"*",1800,"*"
3,1995,393,100,"*",1700,"*"
3,1996,393,80,"*",1500,"*"
3,1997,393,100,"*",1800,"*"
3,1998,393,100,"*",1800,"*"
3,1999,393,100,"*",1700,"*"
3,2000,393,100,"*",1800,"*"
3,2001,393,100,"*",1900,"*"
3,2002,393,100,"*",2000,"*"
3,2003,393,200," ",2000," "
3,2004,393,170," ",3200," "
3,2005,393,200," ",3300," "
3,2006,393,144," ",3210," "
3,2007,393,140,"*",3000," "
3,2008,393,248," ",5150," "
3,2009,393,211,"*",4917," "
3,2010,393,360," ",4601," "
3,2011,393,98," ",2300," "
4,1961,393,0," ",0," "
4,1962,393,0," ",0," "
4,1963,393,0," ",0," "
4,1964,393,0," ",0," "
4,1965,393,0," ",0," "
4,1966,393,0," ",0," "
4,1967,393,0," ",0," "
4,1968,393,0," ",0," "
4,1969,393,0," ",0," "
4,1970,393,0," ",0," "
4,1971,393,0," ",0," "
4,1972,393,0," ",0," "
4,1973,393,0," ",0," "
4,1974,393,500,"F",2000,"F"
4,1975,393,1000,"F",4000,"F"
4,1976,393,1200,"F",6000,"F"
4,1977,393,1400,"F",8000,"F"
4,1978,393,1600,"F",10000,"F"
4,1979,393,1700,"F",11400,"F"
4,1980,393,1800,"F",12400,"F"
4,1981,393,2080," ",13630," "
4,1982,393,2400," ",11779," "
4,1983,393,2570," ",13630," "
4,1984,393,2400," ",15845," "
4,1985,393,2600," ",14440," "
4,1986,393,3470," ",20303," "
4,1987,393,2800," ",22606," "
4,1988,393,3270," ",29538," "
4,1989,393,3410," ",29526," "
4,1990,393,3130," ",25008," "
4,1991,393,2900," ",24647," "
4,1992,393,3520," ",38110," "
4,1993,393,3570," ",38610," "
4,1994,393,3980," ",39155," "
4,1995,393,4270," ",40744," "
4,1996,393,4010," ",38800," "
4,1997,393,3690," ",43297," "
4,1998,393,3470," ",38740," "
4,1999,393,3640," ",40392," "
4,2000,393,3660," ",43822," "
4,2001,393,3850," ",40402," "
4,2002,393,3930," ",47512," "
4,2003,393,3600,"*",55173," "
4,2004,393,3593," ",52815," "
4,2005,393,4267," ",51481," "
4,2006,393,4476," ",59126," "
4,2007,393,4597," ",61682," "
4,2008,393,4454," ",67945," "
4,2009,393,5323," ",81880," "
4,2010,393,5262," ",87929," "
4,2011,393,6169," ",105829," "
10,1961,393,2592," ",73954," "
10,1962,393,2695," ",78044," "
10,1963,393,2683," ",73843," "
10,1964,393,2809," ",75454," "
10,1965,393,2635," ",74880," "
10,1966,393,2575," ",78407," "
10,1967,393,2521," ",74167," "
10,1968,393,2563," ",70078," "
10,1969,393,2788," ",93830," "
10,1970,393,2651," ",86412," "
10,1971,393,2682," ",82664," "
10,1972,393,2564," ",77509," "
10,1973,393,2469," ",61443," "
10,1974,393,2495," ",61064," "
10,1975,393,2591," ",70492," "
10,1976,393,2568," ",70821," "
10,1977,393,2644," ",86350," "
10,1978,393,3119," ",116547," "
10,1979,393,3253," ",94574," "
10,1980,393,2780," ",79164," "
10,1981,393,3122," ",85367," "
10,1982,393,4488," ",82514," "
10,1983,393,4976," ",92206," "
10,1984,393,5508," ",111451," "
10,1985,393,6294," ",119420," "
10,1986,393,7121," ",111504," "
10,1987,393,7320," ",132457," "
10,1988,393,7553," ",102641," "
10,1989,393,7948," ",111809," "
10,1990,393,7992," ",115865," "
10,1991,393,8070," ",103741," "
10,1992,393,9235," ",113075," "
10,1993,393,9000,"F",105000,"F"
10,1994,393,9447,"E",1e+05,"F"
10,1995,393,9414," ",97799," "
10,1996,393,10947," ",108856," "
10,1997,393,10958," ",104937," "
10,1998,393,11339," ",104626," "
10,1999,393,10555," ",112821," "
10,2000,393,10585," ",115621," "
10,2001,393,11314," ",121761," "
10,2002,393,4041," ",87586," "
10,2003,393,11163," ",128057," "
10,2004,393,10482," ",129820," "
10,2005,393,10832," ",123859," "
10,2006,393,3039," ",76568," "
10,2007,393,3580," ",69793," "
10,2008,393,2893," ",64294," "
10,2009,393,3121," ",70286," "
10,2010,393,3300,"E",70900,"E"
10,2011,393,3118," ",66932," "
11,1961,393,0,"M",0,"M"
11,1962,393,0,"M",0,"M"
11,1963,393,0,"M",0,"M"
11,1964,393,0,"M",0,"M"
11,1965,393,0,"M",0,"M"
11,1966,393,0,"M",0,"M"
11,1967,393,0,"M",0,"M"
11,1968,393,0,"M",0,"M"
11,1969,393,0,"M",0,"M"
11,1970,393,0,"M",0,"M"
11,1971,393,0,"M",0,"M"
11,1972,393,0,"M",0,"M"
11,1973,393,0,"M",0,"M"
11,1974,393,0,"M",0,"M"
11,1975,393,0,"M",0,"M"
11,1976,393,0,"M",0,"M"
11,1977,393,0,"M",0,"M"
11,1978,393,0,"M",0,"M"
11,1979,393,0,"M",0,"M"
11,1980,393,0,"M",0,"M"
11,1981,393,0,"M",0,"M"
11,1982,393,0,"M",0,"M"
11,1983,393,0,"M",0,"M"
11,1984,393,0,"M",0,"M"
11,1985,393,0,"M",0,"M"
11,1986,393,0,"M",0,"M"
11,1987,393,0,"M",0,"M"
11,1988,393,0,"M",0,"M"
11,1989,393,0,"M",0,"M"
11,1990,393,0,"M",0,"M"
11,1991,393,0,"M",0,"M"
11,1992,393,0,"M",0,"M"
11,1993,393,0,"M",0,"M"
11,1994,393,0,"M",0,"M"
11,1995,393,300," ",8600," "
11,1996,393,300," ",7800," "
11,1997,393,400," ",10900," "
11,1998,393,300," ",7100," "
11,1999,393,400," ",8800," "
11,2000,393,300," ",9100," "
11,2001,393,400," ",10000," "
11,2002,393,400," ",10100," "
11,2003,393,366," ",8128," "
11,2004,393,356," ",9856," "
11,2005,393,246," ",7693," "
11,2006,393,279," ",8001," "
11,2007,393,280," ",7584," "
11,2008,393,266," ",7032," "
11,2009,393,282," ",7184," "
11,2010,393,281," ",7055," "
11,2011,393,278," ",7022," "
13,1961,393,0," ",0," "
13,1962,393,0," ",0," "
13,1963,393,0," ",0," "
13,1964,393,0," ",0," "
13,1965,393,0," ",0," "
13,1966,393,0," ",0," "
13,1967,393,0," ",0," "
13,1968,393,0," ",0," "
13,1969,393,0," ",0," "
13,1970,393,0," ",0," "
13,1971,393,0," ",0," "
13,1972,393,0," ",0," "
13,1973,393,0," ",0," "
13,1974,393,0," ",0," "
13,1975,393,2," ",60," "
13,1976,393,4," ",104," "
13,1977,393,9," ",278," "
13,1978,393,10,"F",300,"F"
13,1979,393,13," ",300,"F"
13,1980,393,10," ",300,"F"
13,1981,393,10," ",102," "
13,1982,393,8," ",103," "
13,1983,393,13," ",149," "
13,1984,393,20," ",213," "
13,1985,393,16," ",181," "
13,1986,393,19," ",225," "
13,1987,393,19," ",221," "
13,1988,393,22," ",262," "
13,1989,393,27," ",290," "
13,1990,393,32," ",342," "
13,1991,393,40," ",423," "
13,1992,393,36,"F",377," "
13,1993,393,42," ",477," "
13,1994,393,55," ",583," "
13,1995,393,41," ",438," "
13,1996,393,53," ",1081," "
13,1997,393,48," ",981," "
13,1998,393,41," ",441," "
13,1999,393,40," ",414," "
13,2000,393,40," ",421," "
13,2001,393,30," ",314," "
13,2002,393,30," ",318," "
13,2003,393,16," ",169," "
13,2004,393,38," ",403," "
13,2005,393,20," ",217," "
13,2006,393,16," ",522," "
13,2007,393,18," ",580," "
13,2008,393,26," ",818," "
13,2009,393,28," ",890," "
13,2010,393,33,"E",909,"E"
13,2011,393,34,"E",1200,"E"
15,1961,393,552," ",53040," "
15,1962,393,616," ",51500," "
15,1963,393,580," ",54700," "
15,1964,393,654," ",62670," "
15,1965,393,627," ",57540," "
15,1966,393,625," ",49710," "
15,1967,393,659," ",59310," "
15,1968,393,652," ",54600," "
15,1969,393,651," ",47250," "
15,1970,393,612," ",46500," "
15,1971,393,609," ",38100," "
15,1972,393,660," ",39140," "
15,1973,393,720," ",31960," "
15,1974,393,697," ",31760," "
15,1975,393,721," ",32160," "
15,1976,393,702," ",27840," "
15,1977,393,679," ",35480," "
15,1978,393,1520," ",33400," "
15,1979,393,1320," ",28000," "
15,1980,393,1775," ",38875," "
15,1981,393,1600," ",27300," "
15,1982,393,1775," ",29175," "
15,1983,393,2035," ",34575," "
15,1984,393,2320," ",34800," "
15,1985,393,4116," ",61740," "
15,1986,393,4710," ",70650," "
15,1987,393,4800," ",56725," "
15,1988,393,3800," ",61090," "
15,1989,393,4400," ",68990," "
15,1990,393,4600," ",69320," "
15,1991,393,4900," ",87409," "
15,1992,393,5400," ",96900," "
15,1993,393,5400," ",117543," "
15,1994,393,5400," ",104558," "
15,1995,393,5400," ",92517," "
15,1996,393,5200," ",86230," "
15,1997,393,5300," ",89959," "
15,1998,393,5300," ",95800," "
15,1999,393,5200," ",95309," "
15,2000,393,4500," ",125772," "
15,2001,393,4400," ",81000," "
15,2002,393,4500,"F",80000,"F"
15,2003,393,4500,"T",80000,"T"
15,2004,393,4500,"T",80000,"T"
15,2005,393,4500,"T",80000,"T"
15,2006,393,4500,"T",80000,"T"
15,2007,393,4500,"T",80000,"T"
15,2008,393,4500,"T",80000,"T"
15,2009,393,4500,"T",80000,"T"
15,2010,393,4500,"T",80000,"T"
15,2011,393,4500,"T",80000,"T"
16,1961,393,5419,"F",27363,"F"
16,1962,393,5019,"F",26170,"F"
16,1963,393,5438,"F",26884,"F"
16,1964,393,5499,"F",28604,"F"
16,1965,393,5400,"F",30898,"F"
16,1966,393,5363,"F",31758,"F"
16,1967,393,5381,"F",33093,"F"
16,1968,393,5325,"F",37628,"F"
16,1969,393,5590," ",40942," "
16,1970,393,5696," ",42232," "
16,1971,393,5767," ",42593," "
16,1972,393,4860," ",33901," "
16,1973,393,4715," ",30796," "
16,1974,393,4881," ",32331," "
16,1975,393,5381," ",37406," "
16,1976,393,5585," ",38441," "
16,1977,393,5573," ",37208," "
16,1978,393,5705," ",39311," "
16,1979,393,5939," ",41963," "
16,1980,393,6129," ",43401," "
16,1981,393,6558," ",46586," "
16,1982,393,6905," ",51910," "
16,1983,393,7270," ",52197," "
16,1984,393,7284," ",56899," "
16,1985,393,7480," ",60345," "
16,1986,393,7415," ",59375," "
16,1987,393,7465," ",57465," "
16,1988,393,7416," ",58110," "
16,1989,393,7737," ",59465," "
16,1990,393,8413," ",64105," "
16,1991,393,8533," ",68095," "
16,1992,393,8596," ",67600," "
16,1993,393,8773," ",68020," "
16,1994,393,9285," ",72260," "
16,1995,393,9300," ",77000," "
16,1996,393,9700," ",74000," "
16,1997,393,10137," ",75890," "
16,1998,393,10291," ",78700," "
16,1999,393,10521," ",80000," "
16,2000,393,10521," ",80000," "
16,2001,393,10935," ",79000," "
16,2002,393,10931," ",82000," "
16,2003,393,11243," ",84320," "
16,2004,393,12510," ",101485," "
16,2005,393,13156," ",108990," "
16,2006,393,14377," ",133050," "
16,2007,393,14820," ",143200," "
16,2008,393,15838," ",156483," "
16,2009,393,16160," ",160612," "
16,2010,393,16677," ",160040," "
16,2011,393,16552," ",168238," "
18,1961,393,0,"M",0,"M"
18,1962,393,0,"M",0,"M"
18,1963,393,0,"M",0,"M"
18,1964,393,0,"M",0,"M"
18,1965,393,0,"M",0,"M"
18,1966,393,0,"M",0,"M"
18,1967,393,0,"M",0,"M"
18,1968,393,0,"M",0,"M"
18,1969,393,0,"M",0,"M"
18,1970,393,0,"M",0,"M"
18,1971,393,0,"M",0,"M"
18,1972,393,0,"M",0,"M"
18,1973,393,0,"M",0,"M"
18,1974,393,0,"M",0,"M"
18,1975,393,0,"M",0,"M"
18,1976,393,0,"M",0,"M"
18,1977,393,0,"M",0,"M"
18,1978,393,0,"M",0,"M"
18,1979,393,0,"M",0,"M"
18,1980,393,0,"M",0,"M"
18,1981,393,0,"M",0,"M"
18,1982,393,0,"M",0,"M"
18,1983,393,0,"M",0,"M"
18,1984,393,0,"M",0,"M"
18,1985,393,0,"M",0,"M"
18,1986,393,0,"M",0,"M"
18,1987,393,0,"M",0,"M"
18,1988,393,0,"M",0,"M"
18,1989,393,0,"M",0,"M"
18,1990,393,0,"M",0,"M"
18,1991,393,0,"M",0,"M"
18,1992,393,0,"M",0,"M"
18,1993,393,0,"M",0,"M"
18,1994,393,0,"M",0,"M"
18,1995,393,0,"M",0,"M"
18,1996,393,0,"M",0,"M"
18,1997,393,0,"M",0,"M"
18,1998,393,0,"M",0,"M"
18,1999,393,0,"M",0,"M"
18,2000,393,0,"M",0,"M"
18,2001,393,0,"M",0,"M"
18,2002,393,0,"M",0,"M"
18,2003,393,5,"F",22," "
18,2004,393,57," ",261," "
18,2005,393,160," ",586," "
18,2006,393,243," ",798," "
18,2007,393,235," ",649," "
18,2008,393,243,"E",382," "
18,2009,393,164," ",364," "
18,2010,393,142.0477539," ",329," "
18,2011,393,150,"E",338,"E"
19,1961,393,0," ",0," "
19,1962,393,0," ",0," "
19,1963,393,0," ",0," "
19,1964,393,0," ",0," "
19,1965,393,0," ",0," "
19,1966,393,0," ",0," "
19,1967,393,0," ",0," "
19,1968,393,0," ",0," "
19,1969,393,0," ",0," "
19,1970,393,0," ",0," "
19,1971,393,0," ",0," "
19,1972,393,0," ",0," "
19,1973,393,0," ",0," "
19,1974,393,0," ",0," "
19,1975,393,0," ",0," "
19,1976,393,0," ",0," "
19,1977,393,0," ",0," "
19,1978,393,0," ",0," "
19,1979,393,0," ",0," "
19,1980,393,340," ",2575," "
19,1981,393,290," ",2010," "
19,1982,393,340," ",2425," "
19,1983,393,320," ",2040," "
19,1984,393,314," ",1957," "
19,1985,393,409," ",2761," "
19,1986,393,420," ",2940," "
19,1987,393,440," ",3168," "
19,1988,393,455," ",3300," "
19,1989,393,490,"F",3500,"F"
19,1990,393,370," ",2640," "
19,1991,393,375," ",2820," "
19,1992,393,335," ",2440," "
19,1993,393,350," ",2656," "
19,1994,393,360," ",2710," "
19,1995,393,374," ",2760," "
19,1996,393,380," ",2780," "
19,1997,393,385," ",2790," "
19,1998,393,385," ",2790," "
19,1999,393,400," ",2950," "
19,2000,393,420," ",3100," "
19,2001,393,425," ",3140," "
19,2002,393,420," ",3020," "
19,2003,393,323," ",1819," "
19,2004,393,326," ",1842," "
19,2005,393,329," ",1864," "
19,2006,393,331," ",1885," "
19,2007,393,334," ",1907," "
19,2008,393,337," ",1926," "
19,2009,393,207," ",982," "
19,2010,393,222," ",1044," "
19,2011,393,215," ",1020," "
27,1961,393,340,"F",13000,"F"
27,1962,393,340,"F",13000,"F"
27,1963,393,340,"F",13000,"F"
27,1964,393,350,"F",14000,"F"
27,1965,393,350,"F",14000,"F"
27,1966,393,350,"F",14000,"F"
27,1967,393,355," ",15238," "
27,1968,393,299," ",25770," "
27,1969,393,198," ",19886," "
27,1970,393,151," ",15639," "
27,1971,393,156," ",17535," "
27,1972,393,173," ",20687," "
27,1973,393,184," ",11362," "
27,1974,393,76," ",17000," "
27,1975,393,71," ",12377," "
27,1976,393,93," ",12981," "
27,1977,393,91," ",16927," "
27,1978,393,136," ",7110," "
27,1979,393,41," ",8422," "
27,1980,393,60," ",9633," "
27,1981,393,46," ",5549," "
27,1982,393,62," ",2739," "
27,1983,393,35," ",3215," "
27,1984,393,37," ",3947," "
27,1985,393,50," ",2153," "
27,1986,393,105," ",2275," "
27,1987,393,123," ",2006," "
27,1988,393,203," ",2159," "
