"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,108,0,"M",0,"M"
1,1962,108,0,"M",0,"M"
1,1963,108,0,"M",0,"M"
1,1964,108,0,"M",0,"M"
1,1965,108,0,"M",0,"M"
1,1966,108,0,"M",0,"M"
1,1967,108,0,"M",0,"M"
1,1968,108,0,"M",0,"M"
1,1969,108,0,"M",0,"M"
1,1970,108,0,"M",0,"M"
1,1971,108,0,"M",0,"M"
1,1972,108,0,"M",0,"M"
1,1973,108,0,"M",0,"M"
1,1974,108,0,"M",0,"M"
1,1975,108,0,"M",0,"M"
1,1976,108,0,"M",0,"M"
1,1977,108,0,"M",0,"M"
1,1978,108,0,"M",0,"M"
1,1979,108,0,"M",0,"M"
1,1980,108,0,"M",0,"M"
1,1981,108,0,"M",0,"M"
1,1982,108,0,"M",0,"M"
1,1983,108,0,"M",0,"M"
1,1984,108,0,"M",0,"M"
1,1985,108,0,"M",0,"M"
1,1986,108,0,"M",0,"M"
1,1987,108,0,"M",0,"M"
1,1988,108,0,"M",0,"M"
1,1989,108,0,"M",0,"M"
1,1990,108,0,"M",0,"M"
1,1991,108,0,"M",0,"M"
1,1992,108,0,"M",0,"M"
1,1993,108,0,"M",0,"M"
1,1994,108,0,"M",0,"M"
1,1995,108,0,"M",0,"M"
1,1996,108,0,"M",0,"M"
1,1997,108,0,"M",0,"M"
1,1998,108,0,"M",0,"M"
1,1999,108,0,"M",0,"M"
1,2000,108,0,"M",0,"M"
1,2001,108,0,"M",0,"M"
1,2002,108,0,"M",0,"M"
1,2003,108,4392," ",4339," "
1,2004,108,4891," ",8337," "
1,2005,108,5060," ",7333," "
1,2006,108,4593," ",3161," "
1,2007,108,4468," ",9530," "
1,2008,108,5801," ",10697," "
1,2009,108,5290," ",8425.3," "
1,2010,108,3818," ",4219," "
1,2011,108,7700,"*",9507," "
9,1961,108,19000," ",16000," "
9,1962,108,19000," ",14000," "
9,1963,108,19000," ",15000," "
9,1964,108,21000," ",17000," "
9,1965,108,25000," ",20000," "
9,1966,108,24000," ",16800," "
9,1967,108,26100," ",24400," "
9,1968,108,27200," ",19900," "
9,1969,108,27000," ",24900," "
9,1970,108,26200," ",26700," "
9,1971,108,26400," ",27500," "
9,1972,108,24000," ",25000," "
9,1973,108,25000," ",26000," "
9,1974,108,26400," ",28800," "
9,1975,108,29300," ",27800," "
9,1976,108,28900," ",31900," "
9,1977,108,30200," ",31700," "
9,1978,108,29300," ",30800," "
9,1979,108,19200," ",20200," "
9,1980,108,19500," ",16700," "
9,1981,108,19300," ",15600," "
9,1982,108,12300," ",10800," "
9,1983,108,9000," ",7900," "
9,1984,108,10200," ",7500," "
9,1985,108,9300," ",9000," "
9,1986,108,9400," ",10300," "
9,1987,108,6800," ",6500,"F"
9,1988,108,10000,"F",8000,"F"
9,1989,108,7500,"F",4500,"F"
9,1990,108,16000,"F",10000,"F"
9,1991,108,25000,"F",15000,"F"
9,1992,108,53000,"F",35000,"F"
9,1993,108,26000,"F",17000,"F"
9,1994,108,26000,"F",17000,"F"
9,1995,108,15000,"F",10000,"F"
9,1996,108,15000,"F",10000,"F"
9,1997,108,15000,"F",10000,"F"
9,1998,108,15000,"F",10000,"F"
9,1999,108,20000,"F",13000,"F"
9,2000,108,20000,"F",13000,"F"
9,2001,108,20000,"F",13000,"F"
9,2002,108,22000,"F",15000,"F"
9,2003,108,22000,"F",15000,"F"
9,2004,108,22000,"F",15000,"F"
9,2005,108,22000,"F",15000,"F"
9,2006,108,22200,"F",15200,"F"
9,2007,108,22500,"F",15500,"F"
9,2008,108,22500,"F",15500,"F"
9,2009,108,23000,"F",16000,"F"
9,2010,108,26000,"F",18873,"E"
9,2011,108,26000,"F",18960,"E"
11,1961,108,0,"M",0,"M"
11,1962,108,0,"M",0,"M"
11,1963,108,0,"M",0,"M"
11,1964,108,0,"M",0,"M"
11,1965,108,0,"M",0,"M"
11,1966,108,0,"M",0,"M"
11,1967,108,0,"M",0,"M"
11,1968,108,0,"M",0,"M"
11,1969,108,0,"M",0,"M"
11,1970,108,0,"M",0,"M"
11,1971,108,0,"M",0,"M"
