"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,531,0,"M",0,"M"
1,1962,531,0,"M",0,"M"
1,1963,531,0,"M",0,"M"
1,1964,531,0,"M",0,"M"
1,1965,531,0,"M",0,"M"
1,1966,531,0,"M",0,"M"
1,1967,531,0,"M",0,"M"
1,1968,531,0,"M",0,"M"
1,1969,531,0,"M",0,"M"
1,1970,531,0,"M",0,"M"
1,1971,531,0,"M",0,"M"
1,1972,531,0,"M",0,"M"
1,1973,531,0,"M",0,"M"
1,1974,531,0,"M",0,"M"
1,1975,531,0,"M",0,"M"
1,1976,531,0,"M",0,"M"
1,1977,531,0,"M",0,"M"
1,1978,531,0,"M",0,"M"
1,1979,531,0,"M",0,"M"
1,1980,531,0,"M",0,"M"
1,1981,531,0,"M",0,"M"
1,1982,531,0,"M",0,"M"
1,1983,531,0,"M",0,"M"
1,1984,531,0,"M",0,"M"
1,1985,531,0,"M",0,"M"
1,1986,531,0,"M",0,"M"
1,1987,531,0,"M",0,"M"
1,1988,531,0,"M",0,"M"
1,1989,531,0,"M",0,"M"
1,1990,531,0,"M",0,"M"
1,1991,531,0,"M",0,"M"
1,1992,531,0,"M",0,"M"
1,1993,531,0,"M",0,"M"
1,1994,531,0,"M",0,"M"
1,1995,531,0,"M",0,"M"
1,1996,531,1500,"*",3600,"*"
1,1997,531,1100,"*",2700,"*"
1,1998,531,1000,"*",4300,"*"
1,1999,531,1000,"*",3500,"*"
1,2000,531,1000,"*",3000,"*"
1,2001,531,500,"*",2000,"*"
1,2002,531,650,"*",2800,"*"
1,2003,531,700,"*",2300,"*"
1,2004,531,1100,"*",2700,"*"
1,2005,531,1200,"*",7500,"*"
1,2006,531,1200,"*",6000,"*"
1,2007,531,1041," ",3901," "
1,2008,531,952," ",6598," "
1,2009,531,997," ",7682," "
1,2010,531,1003," ",1672," "
1,2011,531,1085," ",7532," "
3,1961,531,0,"M",700,"F"
3,1962,531,0,"M",500,"F"
3,1963,531,0,"M",400,"F"
3,1964,531,0,"M",400,"F"
3,1965,531,0,"M",400,"F"
3,1966,531,0,"M",500,"F"
3,1967,531,0,"M",400,"F"
3,1968,531,0,"M",500,"F"
3,1969,531,0,"M",600,"F"
3,1970,531,0,"M",700,"F"
3,1971,531,0,"M",700,"F"
3,1972,531,0,"M",700,"F"
3,1973,531,0,"M",700,"F"
3,1974,531,0,"M",800,"F"
3,1975,531,0,"M",800,"F"
3,1976,531,0,"M",850,"F"
3,1977,531,0,"M",850,"F"
3,1978,531,0,"M",900,"F"
3,1979,531,0,"M",900,"F"
3,1980,531,0,"M",800," "
3,1981,531,0,"M",500,"F"
3,1982,531,0,"M",500,"F"
3,1983,531,0,"M",500,"F"
3,1984,531,0,"M",400,"F"
3,1985,531,170,"F",300,"F"
3,1986,531,165,"F",700,"F"
3,1987,531,165,"F",500,"F"
3,1988,531,165,"F",500,"F"
3,1989,531,165,"F",700,"F"
3,1990,531,121,"E",500,"F"
3,1991,531,150,"F",340,"E"
3,1992,531,153,"E",251,"E"
3,1993,531,152,"E",400,"F"
3,1994,531,158,"E",425,"E"
3,1995,531,900,"F",3000,"F"
3,1996,531,1000," ",5100," "
3,1997,531,1150," ",4300," "
3,1998,531,1200," ",4500," "
3,1999,531,1200," ",4500," "
3,2000,531,1095," ",5000," "
3,2001,531,1073," ",6800," "
3,2002,531,1100," ",6000," "
3,2003,531,1200," ",6300," "
3,2004,531,1300," ",6900," "
3,2005,531,1400," ",7200," "
3,2006,531,1200,"F",7680," "
3,2007,531,950,"F",7500," "
3,2008,531,1000,"F",8000," "
3,2009,531,1300,"F",10871," "
3,2010,531,1400,"F",12528," "
3,2011,531,1400," ",14400," "
4,1961,531,0,"M",0," "
4,1962,531,0,"M",0," "
4,1963,531,0,"M",0," "
4,1964,531,0,"M",0," "
4,1965,531,0,"M",0," "
4,1966,531,0,"M",0," "
4,1967,531,0,"M",0," "
4,1968,531,0,"M",0," "
4,1969,531,0,"M",0," "
4,1970,531,0,"M",0," "
4,1971,531,0,"M",0," "
4,1972,531,0,"M",0," "
4,1973,531,300,"F",300,"F"
4,1974,531,600,"F",600,"F"
4,1975,531,1000,"F",1000,"F"
4,1976,531,1500,"F",1500,"F"
4,1977,531,1900,"F",1925," "
4,1978,531,1500,"F",1506," "
4,1979,531,1300,"F",1450," "
4,1980,531,1800,"F",2170," "
4,1981,531,2300,"F",2508," "
4,1982,531,1600,"F",1601," "
4,1983,531,2300,"F",3012," "
4,1984,531,2700,"F",2623," "
4,1985,531,2400,"F",3051," "
4,1986,531,3900,"F",5472," "
4,1987,531,2800,"F",3733," "
4,1988,531,2800,"F",3720," "
4,1989,531,2900,"F",4459," "
4,1990,531,2660," ",2684," "
4,1991,531,2560," ",3095," "
4,1992,531,2590," ",4066," "
4,1993,531,2700," ",5056," "
4,1994,531,2680," ",3012," "
4,1995,531,2510," ",5296," "
4,1996,531,2520," ",3211," "
4,1997,531,2320," ",3345," "
4,1998,531,2230," ",2596," "
4,1999,531,2270," ",3875," "
4,2000,531,2260," ",4168," "
4,2001,531,2850," ",3000," "
4,2002,531,3110," ",4376," "
4,2003,531,2360," ",2585," "
4,2004,531,2393," ",3156," "
4,2005,531,2385," ",3081," "
4,2006,531,2440," ",5003," "
4,2007,531,2508," ",1681," "
4,2008,531,2582," ",4553," "
4,2009,531,2754," ",5839," "
4,2010,531,2850," ",5073," "
4,2011,531,2879," ",7243," "
9,1961,531,0,"M",2600," "
9,1962,531,0,"M",2300," "
9,1963,531,0,"M",2350," "
