"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
4,1961,191,14890," ",5390," "
4,1962,191,15000," ",5000," "
4,1963,191,17000," ",9200," "
4,1964,191,18230," ",9347," "
4,1965,191,30790," ",15427," "
4,1966,191,21150," ",10142," "
4,1967,191,24630," ",11781," "
4,1968,191,35740," ",16707," "
4,1969,191,28930," ",11980," "
4,1970,191,23780," ",10745," "
4,1971,191,21400," ",10765," "
4,1972,191,22920," ",9370," "
4,1973,191,30460," ",12153," "
4,1974,191,32900," ",16588," "
4,1975,191,33980," ",24767," "
4,1976,191,33250," ",25379," "
4,1977,191,33980," ",25662," "
4,1978,191,41180," ",21628," "
4,1979,191,41350," ",16663," "
4,1980,191,42100," ",15839," "
4,1981,191,43230," ",16806," "
4,1982,191,34450," ",9268," "
4,1983,191,40450," ",9858," "
4,1984,191,47900," ",12582," "
4,1985,191,50580," ",16289," "
4,1986,191,57740," ",18239," "
4,1987,191,69620," ",25870," "
4,1988,191,52280," ",14615," "
4,1989,191,40800," ",20464," "
4,1990,191,33560," ",14772," "
4,1991,191,44530," ",24187," "
4,1992,191,41840," ",26132," "
4,1993,191,41590," ",24887," "
4,1994,191,46000," ",15394," "
4,1995,191,37860," ",15725," "
4,1996,191,33240," ",24478," "
4,1997,191,30810," ",16158," "
4,1998,191,29550," ",18143," "
4,1999,191,27720," ",13070," "
4,2000,191,19480," ",6661," "
4,2001,191,19290," ",12312," "
4,2002,191,19330," ",14971," "
4,2003,191,22850,"*",19102," "
4,2004,191,23079," ",16367," "
4,2005,191,23348," ",13727," "
4,2006,191,21252," ",12706," "
4,2007,191,20681," ",14294," "
4,2008,191,20361," ",11211," "
4,2009,191,22274," ",17840," "
4,2010,191,25525," ",23474," "
4,2011,191,27734," ",24051," "
9,1961,191,6108," ",5650," "
9,1962,191,5010," ",4450," "
9,1963,191,5056," ",4900," "
9,1964,191,7028," ",5650," "
9,1965,191,6120," ",6000," "
9,1966,191,4050," ",3850," "
9,1967,191,4009," ",3500," "
9,1968,191,4590," ",4000," "
9,1969,191,6150," ",4840," "
9,1970,191,4380," ",4530," "
9,1971,191,3280," ",3430," "
9,1972,191,3820," ",3800," "
9,1973,191,1900," ",1800," "
9,1974,191,4570," ",4600," "
9,1975,191,7450," ",8200," "
9,1976,191,3590," ",3740," "
9,1977,191,2200," ",2060," "
9,1978,191,5700," ",5500," "
9,1979,191,3600," ",2800," "
9,1980,191,5280," ",4400," "
9,1981,191,4700," ",3900," "
9,1982,191,1540," ",1330," "
9,1983,191,1600," ",1700," "
9,1984,191,4770," ",3750," "
9,1985,191,7000," ",7600," "
9,1986,191,7400," ",6200," "
9,1987,191,5300," ",5300," "
9,1988,191,8500," ",11300," "
9,1989,191,4000," ",3000," "
9,1990,191,4000," ",3000," "
9,1991,191,2000,"*",2000,"*"
9,1992,191,2100,"F",2100,"F"
9,1993,191,2000,"F",1900,"F"
9,1994,191,1900,"F",1800,"F"
9,1995,191,1800,"F",1700,"F"
9,1996,191,1700,"F",1600,"F"
9,1997,191,1600,"F",1500,"F"
9,1998,191,1500,"F",1400,"F"
9,1999,191,1400,"F",1300,"F"
9,2000,191,1300,"F",1200,"F"
9,2001,191,1300,"F",1300,"F"
9,2002,191,1300,"F",1300,"F"
9,2003,191,1350,"F",1350,"F"
9,2004,191,1400,"F",1400,"F"
9,2005,191,1500,"F",1500,"F"
9,2006,191,4500,"F",4500,"F"
9,2007,191,4500,"F",4500,"F"
9,2008,191,10500,"F",10500,"F"
9,2009,191,18500,"F",18500,"F"
9,2010,191,17500,"F",19500,"F"
9,2011,191,55000,"F",55000,"F"
10,1961,191,0," ",0," "
10,1962,191,0," ",0," "
10,1963,191,0," ",0," "
10,1964,191,0," ",0," "
10,1965,191,0," ",0," "
10,1966,191,0," ",0," "
10,1967,191,0," ",0," "
10,1968,191,0," ",0," "
10,1969,191,0," ",0," "
10,1970,191,0," ",0," "
10,1971,191,0," ",0," "
10,1972,191,0," ",0," "
10,1973,191,0," ",0," "
10,1974,191,0," ",0," "
10,1975,191,0," ",0," "
10,1976,191,0," ",0," "
10,1977,191,0," ",0," "
10,1978,191,0," ",0," "
10,1979,191,0," ",0," "
10,1980,191,0," ",0," "
10,1981,191,0," ",0," "
10,1982,191,0," ",0," "
10,1983,191,3100," ",3600," "
10,1984,191,6400," ",5900," "
10,1985,191,26400," ",36400," "
10,1986,191,67702," ",62600," "
10,1987,191,54870," ",54066," "
10,1988,191,67540," ",85964," "
10,1989,191,93077," ",109362," "
10,1990,191,177421," ",190268," "
10,1991,191,249671," ",221859," "
10,1992,191,150802," ",175338," "
10,1993,191,146837," ",193108," "
10,1994,191,208854," ",68893," "
10,1995,191,216415," ",286909," "
10,1996,191,241500," ",287721," "
10,1997,191,273000," ",199840," "
10,1998,191,308500," ",187600," "
10,1999,191,218000," ",229900," "
10,2000,191,262000," ",162000," "
10,2001,191,195000," ",258000," "
10,2002,191,201161," ",128738," "
10,2003,191,200815," ",198854," "
10,2004,191,110173," ",135215," "
10,2005,191,105300," ",122800," "
10,2006,191,244000," ",232000," "
10,2007,191,306000," ",313000," "
10,2008,191,338223," ",442543," "
10,2009,191,363000," ",445000," "
10,2010,191,5e+05," ",602000," "
10,2011,191,653142," ",513338," "
13,1961,191,,,0,"M"
13,1962,191,,,0,"M"
13,1963,191,,,0,"M"
13,1964,191,,,0,"M"
13,1965,191,,,0,"M"
13,1966,191,,,0,"M"
13,1967,191,,,0,"M"
13,1968,191,,,0,"M"
13,1969,191,,,0,"M"
13,1970,191,,,0,"M"
13,1971,191,,,0,"M"
13,1972,191,,,0,"M"
13,1973,191,,,0,"M"
13,1974,191,,,0,"M"
13,1975,191,,,0,"M"
13,1976,191,,,0,"M"
13,1977,191,,,0,"M"
13,1978,191,,,0,"M"
13,1979,191,,,0,"M"
13,1980,191,,,0,"M"
13,1981,191,,,0,"M"
13,1982,191,,,0,"M"
13,1983,191,,,0,"M"
13,1984,191,,,0,"M"
13,1985,191,,,0,"M"
13,1986,191,,,0,"M"
13,1987,191,,,0,"M"
13,1988,191,,,0,"M"
13,1989,191,,,0,"M"
13,1990,191,,,0,"M"
13,1991,191,,,0,"M"
13,1992,191,,,0,"M"
13,1993,191,,,0,"M"
13,1994,191,,,0,"M"
13,1995,191,,,0,"M"
13,1996,191,,,0,"M"
13,1997,191,,,0,"M"
13,1998,191,,,1300,"F"
13,1999,191,,,1500,"F"
13,2000,191,,,500,"F"
13,2001,191,,,300,"F"
13,2002,191,,,500,"F"
13,2003,191,,,400,"F"
13,2004,191,,,500,"F"
13,2005,191,,,200,"F"
13,2006,191,,,1000,"F"
13,2007,191,,,200,"F"
13,2008,191,,,172,"E"
13,2009,191,,,208,"E"
13,2010,191,,,200,"E"
13,2011,191,,,220,"E"
16,1961,191,60299," ",36576," "
16,1962,191,57466," ",37592," "
16,1963,191,55847," ",34544," "
16,1964,191,51800," ",33528," "
16,1965,191,51396," ",37592," "
16,1966,191,54600," ",43700," "
16,1967,191,59100," ",48800," "
16,1968,191,61500," ",47800," "
16,1969,191,68400," ",54900," "
16,1970,191,70000," ",57900," "
16,1971,191,73200," ",61000," "
16,1972,191,71669," ",59520," "
16,1973,191,90000,"F",60000,"F"
16,1974,191,110000,"F",75000,"F"
16,1975,191,130000,"F",90000,"F"
16,1976,191,160000,"F",112000,"F"
16,1977,191,191000,"F",125000,"F"
16,1978,191,140000,"F",105000,"F"
16,1979,191,127000,"F",95000,"F"
16,1980,191,128000,"F",85000,"F"
16,1981,191,128000,"F",81000,"F"
16,1982,191,116000,"F",78000,"F"
16,1983,191,118000,"F",87000,"F"
16,1984,191,113300," ",86800," "
16,1985,191,108900," ",81200," "
16,1986,191,103634," ",77579," "
16,1987,191,103691," ",81710," "
16,1988,191,103044," ",74568," "
16,1989,191,102759," ",66156," "
16,1990,191,102867," ",70120," "
16,1991,191,96714," ",71005," "
16,1992,191,92145," ",64680," "
16,1993,191,90470," ",67375," "
16,1994,191,85400," ",62000," "
16,1995,191,85000," ",62000," "
16,1996,191,85400," ",62000," "
16,1997,191,84435," ",61485," "
16,1998,191,84025," ",59900," "
16,1999,191,18219," ",15000," "
16,2000,191,18219," ",14000," "
16,2001,191,17004," ",14000," "
16,2002,191,15378," ",11000," "
16,2003,191,14974," ",11000," "
16,2004,191,13759," ",10000," "
16,2005,191,13089," ",9630," "
16,2006,191,12727," ",9760," "
16,2007,191,12586," ",9810," "
16,2008,191,9349," ",7168," "
16,2009,191,8177," ",6551," "
16,2010,191,7224," ",5744," "
16,2011,191,8229," ",6605," "
19,1961,191,1000,"F",500,"F"
19,1962,191,1040," ",500," "
19,1963,191,1020," ",500," "
19,1964,191,1000," ",500," "
19,1965,191,1000," ",500," "
19,1966,191,1020," ",500," "
19,1967,191,1020," ",500," "
19,1968,191,1040," ",500," "
19,1969,191,1050," ",500," "
19,1970,191,1050," ",500," "
19,1971,191,1050," ",500," "
19,1972,191,1050," ",500," "
19,1973,191,1050," ",500," "
19,1974,191,1100," ",600," "
19,1975,191,900," ",490," "
19,1976,191,860," ",470," "
19,1977,191,850," ",465," "
