"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,401,0,"M",0,"M"
3,1962,401,0,"M",0,"M"
3,1963,401,0,"M",0,"M"
3,1964,401,0,"M",0,"M"
3,1965,401,0,"M",0,"M"
3,1966,401,0,"M",0,"M"
3,1967,401,0,"M",0,"M"
3,1968,401,0,"M",0,"M"
3,1969,401,0,"M",0,"M"
3,1970,401,0,"M",0,"M"
3,1971,401,0,"M",0,"M"
3,1972,401,0,"M",0,"M"
3,1973,401,0,"M",0,"M"
3,1974,401,0,"M",0,"M"
3,1975,401,0,"M",0,"M"
3,1976,401,0,"M",0,"M"
3,1977,401,0,"M",0,"M"
3,1978,401,0,"M",0,"M"
3,1979,401,0,"M",0,"M"
3,1980,401,0,"M",0,"M"
3,1981,401,0,"M",0,"M"
3,1982,401,0,"M",0,"M"
3,1983,401,0,"M",0,"M"
3,1984,401,0,"M",0,"M"
3,1985,401,0,"M",0,"M"
3,1986,401,0,"M",0,"M"
3,1987,401,0,"M",0,"M"
3,1988,401,0,"M",0,"M"
3,1989,401,0,"M",0,"M"
3,1990,401,1900,"*",28000,"*"
3,1991,401,2050,"*",31000,"*"
3,1992,401,2800,"*",42000,"*"
3,1993,401,3000,"*",47000,"*"
3,1994,401,3300,"*",51000,"*"
3,1995,401,2100,"*",35000,"*"
3,1996,401,2100,"*",34000,"*"
3,1997,401,2300,"*",37000,"*"
3,1998,401,2600,"*",42000,"*"
3,1999,401,2000,"*",31000,"*"
3,2000,401,2100,"*",33000,"*"
3,2001,401,1700,"*",26000,"*"
3,2002,401,1700,"*",27000,"*"
3,2003,401,2800," ",44000," "
3,2004,401,2800," ",45600," "
3,2005,401,2800," ",46000," "
3,2006,401,2199," ",49078," "
3,2007,401,2000,"*",45000," "
3,2008,401,2520," ",46600," "
3,2009,401,2933," ",51757," "
3,2010,401,3067," ",65475," "
3,2011,401,3000," ",63700," "
4,1961,401,0," ",0," "
4,1962,401,0," ",0," "
4,1963,401,0," ",0," "
4,1964,401,0," ",0," "
4,1965,401,0," ",0," "
4,1966,401,600,"F",1500,"F"
4,1967,401,1200,"F",3000,"F"
4,1968,401,2400,"F",6000,"F"
4,1969,401,3000,"F",10000,"F"
4,1970,401,3400,"F",14000,"F"
4,1971,401,4000,"F",17000,"F"
4,1972,401,5000,"F",19000,"F"
4,1973,401,7400,"F",24000,"F"
4,1974,401,8000,"F",28000,"F"
4,1975,401,10000,"F",32000,"F"
4,1976,401,11400,"F",36000,"F"
4,1977,401,11600,"F",40000,"F"
4,1978,401,12000,"F",45000,"F"
4,1979,401,13000,"F",50000,"F"
4,1980,401,13000,"F",53000,"F"
4,1981,401,14120," ",59418," "
4,1982,401,11480," ",45908," "
4,1983,401,14340," ",61888," "
4,1984,401,15300," ",69448," "
4,1985,401,18930," ",118043," "
4,1986,401,18020," ",133952," "
4,1987,401,20620," ",170026," "
4,1988,401,19450," ",192695," "
4,1989,401,19790," ",189417," "
4,1990,401,19340," ",158750," "
4,1991,401,20910," ",157818," "
4,1992,401,18810," ",159751," "
4,1993,401,17110," ",169120," "
4,1994,401,16220," ",146267," "
4,1995,401,16390," ",149555," "
4,1996,401,15900," ",145141," "
4,1997,401,15610," ",190702," "
4,1998,401,15430," ",156967," "
4,1999,401,15330," ",155553," "
4,2000,401,15900," ",174773," "
4,2001,401,15950," ",159512," "
4,2002,401,16330," ",167668," "
4,2003,401,17900,"*",208232," "
4,2004,401,18534," ",265307," "
4,2005,401,20730," ",248614," "
4,2006,401,21131," ",275888," "
4,2007,401,20663," ",268055," "
4,2008,401,20403," ",280397," "
4,2009,401,21417," ",318949," "
4,2010,401,21688," ",380412," "
4,2011,401,21272," ",384267," "
8,1961,401,0," ",0," "
8,1962,401,0," ",0," "
8,1963,401,1,"F",3,"F"
8,1964,401,1,"F",5,"F"
8,1965,401,2,"F",8,"F"
8,1966,401,2,"F",10,"F"
8,1967,401,3,"F",14,"F"
8,1968,401,4,"F",18,"F"
8,1969,401,5,"F",20,"F"
8,1970,401,6,"F",25,"F"
8,1971,401,7,"F",30,"F"
8,1972,401,8,"F",37," "
8,1973,401,5,"F",19," "
8,1974,401,3,"F",15," "
8,1975,401,3,"F",13," "
8,1976,401,5,"F",21," "
8,1977,401,2,"F",9," "
8,1978,401,2,"F",8," "
8,1979,401,2,"F",11," "
8,1980,401,9," ",68," "
8,1981,401,10," ",89," "
8,1982,401,17," ",51," "
8,1983,401,14," ",56," "
8,1984,401,11,"F",49," "
8,1985,401,8,"F",27," "
8,1986,401,8,"F",28,"F"
8,1987,401,8,"F",29," "
8,1988,401,9,"F",35," "
8,1989,401,10,"F",30,"F"
8,1990,401,11,"F",40,"F"
8,1991,401,12,"F",50,"F"
8,1992,401,15,"F",80,"F"
8,1993,401,16,"E",73,"E"
8,1994,401,15,"E",47,"E"
8,1995,401,13,"F",60,"F"
8,1996,401,14,"E",70,"E"
8,1997,401,13,"E",63,"E"
8,1998,401,16,"E",68,"E"
8,1999,401,10,"E",66,"E"
8,2000,401,15,"F",70,"F"
8,2001,401,17,"E",75,"F"
8,2002,401,19,"E",79,"E"
8,2003,401,18,"F",90,"F"
8,2004,401,20,"F",95,"F"
8,2005,401,18,"E",87,"E"
8,2006,401,19,"E",75,"E"
8,2007,401,20,"E",70,"E"
8,2008,401,21,"E",78,"E"
8,2009,401,22,"E",79,"E"
8,2010,401,20,"E",69,"E"
8,2011,401,19,"E",80,"E"
9,1961,401,10000," ",59000," "
9,1962,401,11000," ",59900," "
9,1963,401,10000," ",48450," "
9,1964,401,8601," ",61050," "
9,1965,401,10884," ",73800," "
9,1966,401,10617," ",67500," "
9,1967,401,10593," ",75390," "
9,1968,401,10330," ",72450," "
9,1969,401,11360," ",85060," "
9,1970,401,8584," ",46580," "
9,1971,401,9757," ",70300," "
9,1972,401,12420," ",79250," "
9,1973,401,11623," ",107960," "
9,1974,401,10718," ",74940," "
9,1975,401,11040," ",51990," "
9,1976,401,12080," ",62850," "
9,1977,401,12040," ",85000," "
9,1978,401,12030," ",92200," "
9,1979,401,12250," ",92100," "
9,1980,401,11280," ",92000," "
9,1981,401,9650," ",81030," "
9,1982,401,10265," ",86430," "
9,1983,401,10445," ",81690," "
9,1984,401,10155," ",77110," "
9,1985,401,10210," ",68400," "
9,1986,401,11380," ",90960," "
9,1987,401,10467," ",91000," "
9,1988,401,10455," ",90900," "
9,1989,401,11200," ",91000," "
9,1990,401,10700," ",96500," "
9,1991,401,11000," ",92000," "
9,1992,401,11200," ",90800," "
9,1993,401,11200," ",90000," "
9,1994,401,11100," ",80000," "
9,1995,401,10000," ",84000," "
9,1996,401,10000," ",90000,"*"
9,1997,401,6933," ",99332," "
9,1998,401,7401," ",126505," "
9,1999,401,8400,"F",125700," "
9,2000,401,7464,"E",120241," "
9,2001,401,8100,"F",122000,"F"
9,2002,401,8200,"F",123000,"F"
9,2003,401,8300,"F",125000,"F"
9,2004,401,5244,"E",127742,"E"
9,2005,401,5807,"E",133657,"E"
9,2006,401,6300,"F",126000,"F"
9,2007,401,6400,"F",127000,"F"
