"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
38,1961,693,11000,"F",5200,"F"
38,1962,693,11000,"F",5200,"F"
38,1963,693,11000,"F",5200,"F"
38,1964,693,11942," ",5700,"*"
38,1965,693,11504," ",5500,"*"
38,1966,693,13445," ",6400,"*"
38,1967,693,14681," ",7000,"*"
38,1968,693,16004," ",7650,"*"
38,1969,693,17300," ",8250,"*"
38,1970,693,13898," ",6650,"*"
38,1971,693,23235," ",11100,"*"
38,1972,693,16962," ",8100,"*"
38,1973,693,21568," ",10300,"*"
38,1974,693,22081," ",10550,"*"
38,1975,693,21691," ",10350,"*"
38,1976,693,21816," ",10400,"*"
38,1977,693,21892," ",10450,"*"
38,1978,693,21909," ",10450,"*"
38,1979,693,22980," ",10955," "
38,1980,693,22150," ",10582," "
38,1981,693,21870," ",10453," "
38,1982,693,22094," ",10554," "
38,1983,693,22180," ",10593," "
38,1984,693,21080," ",9793," "
38,1985,693,20900," ",9722," "
38,1986,693,20715," ",9335," "
38,1987,693,21060," ",9369," "
38,1988,693,20360," ",9657," "
38,1989,693,20420," ",10235," "
38,1990,693,20199," ",10453," "
38,1991,693,20313," ",9877," "
38,1992,693,20214," ",10534," "
38,1993,693,24180," ",12200," "
38,1994,693,24216," ",11923," "
38,1995,693,24250," ",12000," "
38,1996,693,24300," ",11970," "
38,1997,693,24360," ",12170," "
38,1998,693,24510," ",11740," "
38,1999,693,24570," ",12220," "
38,2000,693,24670," ",12320," "
38,2001,693,24570," ",12620," "
38,2002,693,24600,"F",12920," "
38,2003,693,26110," ",13020," "
38,2004,693,25090," ",12810," "
38,2005,693,26100," ",13380," "
38,2006,693,25620," ",12990," "
38,2007,693,25760," ",13360," "
38,2008,693,26770," ",13430," "
38,2009,693,28090," ",14600," "
38,2010,693,28860," ",15790," "
38,2011,693,29160," ",15940," "
41,1961,693,0,"M",3000,"F"
41,1962,693,0,"M",3000,"F"
41,1963,693,0,"M",3000,"F"
41,1964,693,0,"M",3000,"F"
41,1965,693,0,"M",3000,"F"
41,1966,693,0,"M",3000,"F"
41,1967,693,0,"M",3500,"F"
41,1968,693,0,"M",3600,"F"
41,1969,693,0,"M",3700,"F"
41,1970,693,0,"M",4000,"F"
41,1971,693,0,"M",4500,"F"
41,1972,693,0,"M",5000,"F"
41,1973,693,0,"M",5000,"F"
41,1974,693,0,"M",5000,"F"
41,1975,693,0,"M",5000,"F"
41,1976,693,0,"M",6000,"F"
41,1977,693,0,"M",6000,"F"
41,1978,693,0,"M",6200,"F"
41,1979,693,0,"M",6300,"F"
41,1980,693,0,"M",8000,"F"
41,1981,693,0,"M",10000,"F"
41,1982,693,0,"M",12000,"F"
41,1983,693,0,"M",14000,"F"
41,1984,693,0,"M",16000,"F"
41,1985,693,35000,"F",18000,"F"
41,1986,693,35000,"F",20000,"F"
41,1987,693,35000,"F",20000,"F"
41,1988,693,35000,"F",22000,"F"
41,1989,693,35000,"F",20000,"F"
41,1990,693,28488,"E",24753,"E"
41,1991,693,20349,"E",21000,"F"
41,1992,693,26454,"E",22000,"F"
41,1993,693,22384,"E",23000,"F"
41,1994,693,24121,"E",20000,"F"
41,1995,693,24735,"E",25000,"F"
41,1996,693,24786,"E",28000,"F"
41,1997,693,24847,"E",30000,"F"
41,1998,693,23306,"E",31500,"F"
41,1999,693,26429,"E",35000,"F"
41,2000,693,36000,"F",37000,"F"
41,2001,693,37000,"F",40000,"F"
41,2002,693,38000,"F",45000,"F"
41,2003,693,31675,"E",47000,"F"
41,2004,693,39000,"F",48000,"F"
41,2005,693,40000,"F",50000,"F"
41,2006,693,42000,"F",44308,"E"
41,2007,693,45000,"F",55000,"F"
41,2008,693,38756,"E",57958,"E"
41,2009,693,38537,"E",58000,"F"
41,2010,693,40000,"F",63000,"F"
41,2011,693,39789,"E",67123,"E"
45,1961,693,,,0," "
45,1962,693,,,0," "
45,1963,693,,,0," "
45,1964,693,,,0," "
45,1965,693,,,0," "
45,1966,693,,,0," "
45,1967,693,,,0," "
45,1968,693,,,35,"F"
45,1969,693,,,70,"F"
45,1970,693,,,120,"F"
45,1971,693,,,165,"F"
45,1972,693,,,300,"F"
45,1973,693,,,210,"F"
45,1974,693,,,105,"F"
45,1975,693,,,10,"F"
45,1976,693,,,2,"F"
45,1977,693,,,0,"F"
45,1978,693,,,0," "
45,1979,693,,,0," "
45,1980,693,,,0," "
45,1981,693,,,0," "
45,1982,693,,,0," "
