"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,512,730,"F",4900,"*"
2,1962,512,730,"F",4900,"F"
2,1963,512,730,"F",4900,"F"
2,1964,512,780,"F",6000,"F"
2,1965,512,820,"F",6700,"F"
2,1966,512,900,"F",7500,"F"
2,1967,512,1010,"F",9100,"F"
2,1968,512,990,"F",9200,"F"
2,1969,512,1000,"F",9300,"F"
2,1970,512,1010,"F",9000,"F"
2,1971,512,1010,"F",7100,"F"
2,1972,512,1040,"F",8700,"F"
2,1973,512,1060,"F",9100,"F"
2,1974,512,1080,"F",9100,"F"
2,1975,512,1080,"F",9200,"F"
2,1976,512,1080,"F",8600,"F"
2,1977,512,1080,"F",5100,"F"
2,1978,512,1070,"F",7500,"F"
2,1979,512,1040,"F",7100,"F"
2,1980,512,1040,"F",7300,"F"
2,1981,512,1020,"F",7300,"F"
2,1982,512,980,"F",7000,"F"
2,1983,512,940,"F",6800,"F"
2,1984,512,900,"F",6600,"F"
2,1985,512,880,"F",6300,"F"
2,1986,512,860,"F",6400,"F"
2,1987,512,740,"F",5500,"F"
2,1988,512,770,"F",5500,"F"
2,1989,512,770,"F",5600,"F"
2,1990,512,778,"E",5589,"E"
2,1991,512,777,"E",5604,"E"
2,1992,512,524,"E",5700,"F"
2,1993,512,555,"E",6417,"E"
2,1994,512,575,"E",6953,"E"
2,1995,512,585,"E",6762,"E"
2,1996,512,602,"E",7113,"E"
2,1997,512,627,"E",7980,"E"
2,1998,512,678,"E",8542,"E"
2,1999,512,672,"E",8676,"E"
2,2000,512,684,"E",8363,"E"
2,2001,512,696,"E",8600,"E"
2,2002,512,703,"E",8450,"E"
2,2003,512,1009," ",8933,"E"
2,2004,512,770,"F",9460,"E"
2,2005,512,706," ",5700,"F"
2,2006,512,500,"F",4000,"F"
2,2007,512,200," ",1600,"F"
2,2008,512,200," ",1600,"F"
2,2009,512,200," ",2000,"F"
2,2010,512,200," ",2000,"F"
2,2011,512,200," ",2000,"F"
3,1961,512,0,"M",0,"M"
3,1962,512,0,"M",0,"M"
3,1963,512,0,"M",0,"M"
3,1964,512,0,"M",0,"M"
3,1965,512,0,"M",0,"M"
3,1966,512,0,"M",0,"M"
3,1967,512,0,"M",0,"M"
3,1968,512,0,"M",0,"M"
3,1969,512,0,"M",0,"M"
3,1970,512,0,"M",0,"M"
3,1971,512,0,"M",0,"M"
3,1972,512,0,"M",0,"M"
3,1973,512,0,"M",0,"M"
3,1974,512,0,"M",0,"M"
3,1975,512,0,"M",0,"M"
3,1976,512,0,"M",0,"M"
3,1977,512,0,"M",0,"M"
3,1978,512,0,"M",0,"M"
3,1979,512,0,"M",0,"M"
3,1980,512,0,"M",0,"M"
3,1981,512,0,"M",0,"M"
3,1982,512,0,"M",0,"M"
3,1983,512,0,"M",0,"M"
3,1984,512,0,"M",0,"M"
3,1985,512,0,"M",0,"M"
3,1986,512,0,"M",0,"M"
3,1987,512,0,"M",0,"M"
3,1988,512,0,"M",0,"M"
3,1989,512,0,"M",0,"M"
3,1990,512,0,"M",0,"M"
3,1991,512,0,"M",0,"M"
3,1992,512,0,"M",0,"M"
3,1993,512,0,"M",0,"M"
3,1994,512,0,"M",0,"M"
3,1995,512,0,"M",0,"M"
3,1996,512,0,"M",0,"M"
3,1997,512,0,"M",0,"M"
3,1998,512,0,"M",0,"M"
3,1999,512,0,"M",0,"M"
3,2000,512,0,"M",0,"M"
3,2001,512,0,"M",0,"M"
3,2002,512,0,"M",0,"M"
3,2003,512,0,"M",0,"M"
3,2004,512,0,"M",0,"M"
3,2005,512,0,"M",0,"M"
3,2006,512,0,"M",0,"M"
3,2007,512,0,"M",0,"M"
3,2008,512,100,"F",1500,"F"
3,2009,512,110,"F",1450,"F"
3,2010,512,110,"F",1400,"F"
3,2011,512,110,"F",1500,"F"
4,1961,512,0,"M",0," "
4,1962,512,0,"M",0," "
4,1963,512,0,"M",0," "
4,1964,512,0,"M",0," "
4,1965,512,0,"M",0," "
4,1966,512,0,"M",0," "
4,1967,512,0,"M",0," "
4,1968,512,0,"M",0," "
4,1969,512,0,"M",0," "
4,1970,512,0,"M",0," "
4,1971,512,0,"M",0," "
4,1972,512,0,"M",0," "
4,1973,512,0,"M",0," "
4,1974,512,0,"M",0," "
4,1975,512,0,"M",0," "
4,1976,512,0,"M",0," "
4,1977,512,0,"M",0," "
4,1978,512,0,"M",0," "
4,1979,512,0,"M",0," "
4,1980,512,0,"M",0," "
4,1981,512,0,"M",0," "
4,1982,512,0,"M",0," "
4,1983,512,0,"M",0," "
4,1984,512,0,"M",0," "
4,1985,512,0,"M",30,"F"
4,1986,512,0,"M",40,"F"
4,1987,512,0,"M",80,"F"
4,1988,512,0,"M",150,"F"
4,1989,512,0,"M",200,"F"
4,1990,512,0,"M",300,"F"
4,1991,512,0,"M",310,"F"
4,1992,512,0,"M",320,"F"
4,1993,512,0,"M",328,"E"
4,1994,512,0,"M",330,"F"
4,1995,512,0,"M",336,"E"
4,1996,512,0,"M",350,"F"
4,1997,512,0,"M",317,"E"
4,1998,512,0,"M",370,"F"
4,1999,512,0,"M",425,"E"
4,2000,512,0,"M",380,"F"
4,2001,512,0,"M",412,"E"
4,2002,512,0,"M",454,"E"
4,2003,512,0,"M",390,"F"
4,2004,512,0,"M",458,"E"
4,2005,512,0,"M",400,"F"
4,2006,512,400,"F",390,"F"
4,2007,512,418,"E",329,"E"
4,2008,512,424,"E",400,"F"
4,2009,512,438,"E",457,"E"
4,2010,512,450,"E",540,"E"
