"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
38,1961,698,600,"F",150,"F"
38,1962,698,300,"F",100,"F"
38,1963,698,300,"F",100,"F"
38,1964,698,300,"F",100,"F"
38,1965,698,300,"F",100,"F"
38,1966,698,300,"F",100,"F"
38,1967,698,300,"F",100,"F"
38,1968,698,300,"F",100,"F"
38,1969,698,700,"F",300,"F"
38,1970,698,700,"F",300,"F"
38,1971,698,700,"F",200,"F"
38,1972,698,700,"F",200,"F"
38,1973,698,1400,"F",650,"F"
38,1974,698,1500,"F",600,"F"
38,1975,698,1500,"F",400,"F"
38,1976,698,1600,"F",500,"F"
38,1977,698,2600,"F",1300,"F"
38,1978,698,2700,"F",1000,"F"
38,1979,698,2800,"F",1000,"F"
38,1980,698,2900,"F",1300,"F"
38,1981,698,3000,"F",1400,"F"
38,1982,698,3100,"F",1200,"F"
38,1983,698,3200,"F",1800,"F"
38,1984,698,3500,"F",1700,"F"
38,1985,698,3971," ",737," "
38,1986,698,4952," ",710," "
38,1987,698,5775," ",651," "
38,1988,698,5898," ",1052," "
38,1989,698,6050," ",1179," "
38,1990,698,5997," ",1351," "
38,1991,698,5876," ",1354," "
38,1992,698,6146," ",1799," "
38,1993,698,6000,"F",1500,"F"
38,1994,698,5800,"F",1400,"F"
38,1995,698,5972,"E",1500,"F"
38,1996,698,5975,"E",1550,"E"
38,1997,698,8000,"F",2500,"F"
38,1998,698,8147,"E",2467,"E"
38,1999,698,10000,"F",3500,"F"
38,2000,698,5000,"F",1500,"F"
38,2001,698,6600,"F",2000,"F"
38,2002,698,11000,"F",4100,"F"
38,2003,698,8180," ",3350," "
38,2004,698,8060," ",3270," "
38,2005,698,7970," ",3260," "
38,2006,698,7740," ",3140," "
38,2007,698,7250," ",3070," "
38,2008,698,7420," ",3990," "
38,2009,698,7340," ",3790," "
38,2010,698,7300," ",3770," "
38,2011,698,7470," ",3870," "
41,1961,698,0,"M",0,"M"
41,1962,698,0,"M",0,"M"
41,1963,698,0,"M",0,"M"
41,1964,698,0,"M",0,"M"
41,1965,698,0,"M",0,"M"
41,1966,698,0,"M",0,"M"
41,1967,698,0,"M",0,"M"
41,1968,698,0,"M",0,"M"
41,1969,698,0,"M",0,"M"
41,1970,698,0,"M",0,"M"
41,1971,698,0,"M",0,"M"
41,1972,698,0,"M",0,"M"
41,1973,698,0,"M",0,"M"
41,1974,698,0,"M",0,"M"
41,1975,698,0,"M",0,"M"
41,1976,698,0,"M",0,"M"
41,1977,698,0,"M",0,"M"
41,1978,698,0,"M",0,"M"
41,1979,698,0,"M",0,"M"
41,1980,698,0,"M",0,"M"
41,1981,698,0,"M",0,"M"
