"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
5,1961,661,63," ",5," "
5,1962,661,80,"F",7,"F"
5,1963,661,100,"F",10," "
5,1964,661,100,"F",2," "
5,1965,661,100,"F",5,"F"
5,1966,661,90,"F",10,"F"
5,1967,661,80,"F",20,"*"
5,1968,661,70,"F",20,"F"
5,1969,661,70,"F",24," "
5,1970,661,60,"F",24,"F"
5,1971,661,60,"F",22,"F"
5,1972,661,60,"F",22,"F"
5,1973,661,60,"F",20," "
5,1974,661,60,"F",20,"F"
5,1975,661,60,"F",18,"F"
5,1976,661,60,"F",18,"F"
5,1977,661,60,"F",16,"F"
5,1978,661,55,"F",15,"F"
5,1979,661,55,"F",15," "
5,1980,661,40,"F",15,"F"
5,1981,661,20,"F",5,"F"
5,1982,661,20,"F",5,"F"
5,1983,661,15,"F",2,"F"
5,1984,661,15,"F",1,"F"
5,1985,661,15,"F",1,"F"
5,1986,661,15,"T",1,"T"
5,1987,661,15,"T",1,"T"
5,1988,661,15,"T",1,"T"
5,1989,661,15,"T",5," "
5,1990,661,15,"F",1,"F"
5,1991,661,15,"F",1,"F"
5,1992,661,15,"F",1,"F"
5,1993,661,15,"F",1,"F"
5,1994,661,15,"T",1,"T"
5,1995,661,15,"T",1,"T"
5,1996,661,15,"T",1,"T"
5,1997,661,15,"T",1,"T"
5,1998,661,15,"T",1,"T"
5,1999,661,15,"T",1,"T"
5,2000,661,15,"T",1,"T"
5,2001,661,15,"T",1,"T"
5,2002,661,15,"T",1,"T"
5,2003,661,15,"T",1,"T"
5,2004,661,15,"T",1,"T"
5,2005,661,15,"T",1,"T"
5,2006,661,15,"F",1,"F"
5,2007,661,15,"F",1,"F"
5,2008,661,15,"T",1,"T"
5,2009,661,15,"T",1,"T"
5,2010,661,15,"T",1,"T"
5,2011,661,15,"T",1,"T"
7,1961,661,1600,"F",400," "
7,1962,661,1600,"F",400," "
7,1963,661,1400,"F",300," "
7,1964,661,1400,"F",300," "
7,1965,661,1400,"F",400," "
7,1966,661,1400,"F",300," "
7,1967,661,1400,"F",400," "
7,1968,661,2000,"F",500," "
7,1969,661,2000,"F",300," "
7,1970,661,4000,"F",445," "
7,1971,661,2100,"F",516," "
7,1972,661,2100,"F",600," "
7,1973,661,3000,"F",700," "
7,1974,661,2100,"F",500," "
7,1975,661,2100,"F",500," "
7,1976,661,2100,"F",300,"*"
7,1977,661,2100,"F",300,"*"
7,1978,661,1900,"F",200,"*"
7,1979,661,1900,"F",200,"*"
7,1980,661,1900,"F",200,"*"
7,1981,661,1900,"F",200,"*"
7,1982,661,1900,"F",200,"*"
7,1983,661,1900,"F",200,"*"
7,1984,661,1800,"F",100,"*"
7,1985,661,1800,"F",100,"*"
7,1986,661,1800,"F",100,"*"
7,1987,661,1800,"F",100,"*"
7,1988,661,1800,"F",100,"*"
7,1989,661,1800,"F",100,"F"
7,1990,661,1762,"E",92,"E"
7,1991,661,1723,"E",85,"E"
7,1992,661,2200,"F",200,"*"
7,1993,661,2178,"E",200,"*"
7,1994,661,2179,"E",200,"*"
7,1995,661,2286,"E",200,"*"
7,1996,661,2145,"E",200,"*"
7,1997,661,2140,"E",272,"E"
7,1998,661,2479,"E",361,"E"
7,1999,661,1500,"F",100,"F"
7,2000,661,2200,"F",200,"F"
7,2001,661,2154,"E",155,"E"
7,2002,661,2100,"F",190,"F"
7,2003,661,2200,"F",200,"F"
7,2004,661,2185,"E",194,"E"
7,2005,661,2170,"E",182,"E"
7,2006,661,2155,"E",205,"E"
7,2007,661,2140,"E",211,"E"
7,2008,661,2125,"E",223,"E"
7,2009,661,2109,"E",288,"E"
7,2010,661,2094,"E",321,"E"
7,2011,661,2430,"E",336,"E"
19,1961,661,3452," ",1100," "
19,1962,661,3484," ",1100," "
19,1963,661,3176," ",1100," "
19,1964,661,3206," ",1100," "
19,1965,661,3028," ",1100," "
19,1966,661,3056," ",1000," "
19,1967,661,3334," ",1200," "
19,1968,661,3611," ",1300," "
19,1969,661,3650," ",1300," "
19,1970,661,3700," ",1300," "
19,1971,661,3285," ",1750," "
19,1972,661,4685," ",2485," "
19,1973,661,4525," ",1370," "
19,1974,661,4615," ",2354," "
19,1975,661,4770," ",2735," "
19,1976,661,5170," ",2995," "
19,1977,661,5295," ",3110," "
19,1978,661,3980," ",2165," "
19,1979,661,4030," ",2020," "
19,1980,661,4190," ",2260," "
19,1981,661,4270," ",2235," "
19,1982,661,4280," ",2342," "
19,1983,661,4325," ",2250," "
19,1984,661,4546," ",2747," "
19,1985,661,4688," ",3020," "
19,1986,661,5500," ",3520," "
19,1987,661,5560," ",3640," "
19,1988,661,5340," ",3490," "
19,1989,661,5448," ",3580," "
19,1990,661,5515," ",3591," "
19,1991,661,5480," ",3616," "
19,1992,661,5550," ",3545," "
19,1993,661,5600," ",3710," "
19,1994,661,5550," ",3765," "
19,1995,661,5705," ",3850," "
19,1996,661,5750," ",3860," "
19,1997,661,5800," ",4000," "
19,1998,661,5800," ",4000," "
19,1999,661,5820," ",4200," "
19,2000,661,5850," ",4300," "
19,2001,661,5860," ",4320," "
19,2002,661,5865," ",4325," "
19,2003,661,5219," ",4201," "
19,2004,661,5222," ",4268," "
19,2005,661,5282," ",4358," "
19,2006,661,5340," ",4474," "
19,2007,661,5468," ",4699," "
19,2008,661,5476," ",4745," "
19,2009,661,8471," ",4510," "
19,2010,661,8627," ",4652," "
19,2011,661,9518," ",5612," "
21,1961,661,474270," ",155901," "
21,1962,661,464762," ",140363," "
21,1963,661,469644," ",143495," "
21,1964,661,487136," ",153685," "
21,1965,661,482317," ",160823," "
21,1966,661,455866," ",172900," "
21,1967,661,473078," ",194692," "
21,1968,661,432691," ",149338," "
21,1969,661,437637," ",211162," "
21,1970,661,443916," ",197061," "
21,1971,661,447693," ",218701," "
21,1972,661,430184," ",221469," "
21,1973,661,416175," ",195916," "
21,1974,661,508570," ",242400," "
21,1975,661,450949," ",281887," "
21,1976,661,407329," ",231796," "
21,1977,661,412743," ",249755," "
21,1978,661,443866," ",284490," "
21,1979,661,453569," ",336326," "
21,1980,661,482521," ",319141," "
21,1981,661,504935," ",335625," "
21,1982,661,533273," ",351149," "
21,1983,661,590744," ",380256," "
21,1984,661,586242," ",329903," "
21,1985,661,649070," ",430789," "
21,1986,661,656558," ",459477," "
21,1987,661,648476," ",328740," "
21,1988,661,667179," ",374491," "
21,1989,661,659522," ",392184," "
21,1990,661,664853," ",256246," "
21,1991,661,667897," ",320967," "
21,1992,661,731425," ",328518," "
21,1993,661,734124," ",340885," "
21,1994,661,698634," ",330577," "
21,1995,661,738536," ",296705," "
21,1996,661,661923," ",256777," "
21,1997,661,715671," ",277966," "
21,1998,661,709798," ",280801," "
21,1999,661,681120," ",205003," "
21,2000,661,705965," ",196788," "
21,2001,661,665809," ",185662," "
21,2002,661,582315," ",174796," "
21,2003,661,590945," ",170004," "
21,2004,661,638825," ",196005," "
21,2005,661,625384," ",208620," "
21,2006,661,647135," ",212270," "
21,2007,661,628928," ",201651," "
21,2008,661,641337," ",202030," "
21,2009,661,635975," ",218487," "
21,2010,661,660711," ",235389," "
21,2011,661,680484," ",248524," "
23,1961,661,80,"F",17," "
23,1962,661,10,"F",2," "
23,1963,661,240,"F",58," "
23,1964,661,210,"F",50," "
23,1965,661,220,"F",55,"F"
23,1966,661,90,"F",20,"F"
23,1967,661,100,"F",25,"F"
23,1968,661,150,"F",35," "
23,1969,661,50,"F",12," "
23,1970,661,80,"F",17," "
23,1971,661,90,"F",20,"F"
23,1972,661,100,"F",25,"F"
23,1973,661,150,"F",37," "
23,1974,661,160,"F",40,"F"
23,1975,661,170,"F",42,"F"
23,1976,661,170,"F",42,"F"
23,1977,661,180,"F",45,"F"
23,1978,661,180,"F",45,"F"
23,1979,661,180,"F",45,"F"
23,1980,661,170,"F",44,"F"
23,1981,661,170,"F",44,"F"
23,1982,661,145,"F",42,"F"
23,1983,661,144," ",41," "
23,1984,661,150," ",55," "
23,1985,661,170,"F",64," "
23,1986,661,210,"F",80," "
23,1987,661,180,"F",66," "
23,1988,661,180,"F",57," "
23,1989,661,543," ",83," "
23,1990,661,735," ",167," "
23,1991,661,640," ",91," "
23,1992,661,796," ",143," "
23,1993,661,552," ",72," "
23,1994,661,593," ",24," "
23,1995,661,423," ",34," "
23,1996,661,312,"F",55,"F"
23,1997,661,552,"F",84," "
23,1998,661,678," ",90," "
23,1999,661,76,"F",23," "
23,2000,661,82," ",30," "
23,2001,661,95,"F",40,"F"
23,2002,661,40,"F",26," "
23,2003,661,60,"F",41," "
23,2004,661,54," ",40," "
23,2005,661,30,"F",22," "
23,2006,661,71,"F",43," "
23,2007,661,50,"F",25," "
23,2008,661,105," ",50," "
23,2009,661,121," ",39," "
23,2010,661,118,"E",26," "
23,2011,661,125,"E",26," "
25,1961,661,24,"F",12," "
25,1962,661,50,"F",24," "
25,1963,661,80,"F",40," "
25,1964,661,125,"F",64," "
25,1965,661,160,"F",80,"*"
25,1966,661,200,"F",97," "
25,1967,661,125,"F",62," "
25,1968,661,215,"F",107," "
25,1969,661,200,"F",97," "
25,1970,661,260,"F",131," "
25,1971,661,240,"F",119," "
25,1972,661,130,"F",64," "
25,1973,661,170,"F",85," "
25,1974,661,210,"F",109," "
25,1975,661,400,"F",197," "
25,1976,661,230,"F",114," "
25,1977,661,350,"F",166," "
25,1978,661,470,"F",235," "
25,1979,661,600,"F",309," "
25,1980,661,700,"F",346," "
25,1981,661,1200,"F",592," "
25,1982,661,1350,"F",668," "
25,1983,661,2350,"F",1169," "
25,1984,661,3400,"F",1709," "
25,1985,661,3350,"F",1723," "
25,1986,661,3750,"F",1889," "
25,1987,661,5400,"F",2681," "
25,1988,661,5250,"F",2651," "
25,1989,661,6598,"F",3299," "
25,1990,661,7800,"F",3895," "
25,1991,661,9230,"F",4615," "
25,1992,661,8300,"F",4159," "
25,1993,661,6500,"F",3297," "
25,1994,661,6000,"F",3337," "
25,1995,661,5000,"F",2482," "
25,1996,661,3750,"E",2464," "
25,1997,661,7000,"F",3907," "
25,1998,661,9333,"E",3454," "
25,1999,661,5300,"F",2395," "
25,2000,661,6000,"F",2316," "
25,2001,661,5000,"F",2038," "
25,2002,661,7000,"F",2907," "
25,2003,661,11000,"F",4587," "
25,2004,661,10000,"F",4181," "
