"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
7,1961,656,350000," ",168600," "
7,1962,656,5e+05," ",185000," "
7,1963,656,5e+05,"F",168300," "
7,1964,656,5e+05,"F",198200," "
7,1965,656,5e+05,"F",205000," "
7,1966,656,5e+05,"F",225700," "
7,1967,656,5e+05,"F",235200," "
7,1968,656,5e+05,"F",198000," "
7,1969,656,5e+05,"F",215000," "
7,1970,656,5e+05,"F",204000," "
7,1971,656,5e+05,"F",228000," "
7,1972,656,5e+05,"F",225000," "
7,1973,656,5e+05,"F",210000," "
7,1974,656,5e+05,"F",224772," "
7,1975,656,350000,"F",180000,"*"
7,1976,656,2e+05,"F",57480,"*"
7,1977,656,2e+05,"F",57060,"*"
7,1978,656,2e+05,"F",34320,"*"
7,1979,656,2e+05,"F",17340,"*"
7,1980,656,2e+05,"F",43260,"*"
7,1981,656,150000,"F",20640,"*"
7,1982,656,180000,"F",17400,"*"
7,1983,656,180000,"F",13000,"*"
7,1984,656,180000,"F",15000,"*"
7,1985,656,180000,"F",12000,"*"
7,1986,656,115000,"F",14800," "
7,1987,656,95000,"F",8700," "
7,1988,656,85000,"F",11000," "
7,1989,656,75000,"F",10000," "
7,1990,656,60000,"F",5000," "
7,1991,656,55000,"F",5000," "
7,1992,656,50000,"F",5000," "
7,1993,656,45000,"F",4620," "
7,1994,656,40000,"F",2160,"*"
7,1995,656,40000,"F",3300,"*"
7,1996,656,35000,"F",2820,"*"
7,1997,656,37000,"F",3840,"*"
7,1998,656,35000,"F",5100,"*"
7,1999,656,30000,"F",3300,"*"
7,2000,656,30000,"F",4260,"*"
7,2001,656,32000,"F",3300,"*"
7,2002,656,11000,"F",1260,"*"
7,2003,656,20000,"F",2040,"*"
7,2004,656,17000,"F",1980,"*"
7,2005,656,16000,"F",3500,"F"
7,2006,656,15000,"F",5000,"F"
7,2007,656,21894," ",11523," "
7,2008,656,20000,"F",4000," "
7,2009,656,45189," ",11982," "
7,2010,656,29052," ",46307," "
7,2011,656,30000,"F",48533," "
19,1961,656,6000," ",4400,"*"
19,1962,656,6000," ",4400,"*"
19,1963,656,6377," ",4400," "
19,1964,656,10724," ",7400," "
19,1965,656,6811," ",4700," "
19,1966,656,11590," ",7700," "
19,1967,656,10415," ",8200," "
19,1968,656,12010," ",9500," "
19,1969,656,12150," ",10100," "
19,1970,656,13400," ",11200," "
19,1971,656,14740," ",12400," "
19,1972,656,15410," ",13000," "
19,1973,656,16100," ",13400," "
19,1974,656,16700," ",13870," "
19,1975,656,17300," ",14900," "
19,1976,656,20600," ",14664," "
19,1977,656,18750," ",13372," "
19,1978,656,19510," ",13424," "
19,1979,656,22295," ",15700," "
19,1980,656,22865," ",20540," "
19,1981,656,23500," ",21325," "
19,1982,656,23545," ",21179," "
19,1983,656,23520," ",21141," "
19,1984,656,25364," ",21566," "
19,1985,656,27730," ",23361," "
19,1986,656,28636," ",24153," "
19,1987,656,28000," ",25200," "
19,1988,656,28929," ",25450," "
19,1989,656,30248," ",26740," "
19,1990,656,27547," ",24378," "
19,1991,656,22092," ",14071," "
19,1992,656,22136," ",15179," "
19,1993,656,23113," ",13153," "
19,1994,656,23447," ",19216," "
19,1995,656,23527," ",20323," "
19,1996,656,23594," ",22015," "
19,1997,656,23684," ",22608," "
19,1998,656,23601," ",22532," "
19,1999,656,24273," ",26931," "
19,2000,656,24404," ",27696," "
19,2001,656,24691," ",24086," "
19,2002,656,24845," ",24513," "
19,2003,656,25020," ",24700," "
19,2004,656,25129," ",24546," "
19,2005,656,25518," ",24976," "
19,2006,656,25555," ",25272," "
19,2007,656,25676," ",27012," "
19,2008,656,25756," ",27305," "
19,2009,656,26373," ",28270," "
19,2010,656,26820,"E",28815,"E"
19,2011,656,29522,"E",28492," "
21,1961,656,4383820," ",2228704," "
21,1962,656,4462657," ",2190303," "
21,1963,656,4286129," ",1650527," "
21,1964,656,3696281," ",1042013," "
21,1965,656,3511079," ",2294047," "
21,1966,656,3057470," ",1202868," "
21,1967,656,2791650," ",1507500," "
21,1968,656,2622885," ",1057700," "
21,1969,656,2570899," ",1283500," "
21,1970,656,2402993," ",754800," "
