"areaCode","year","itemCode","productionValue","productionSymb"
16,1961,813,6368,"*"
16,1962,813,6628,"*"
16,1963,813,6497,"*"
16,1964,813,8057,"*"
16,1965,813,10916,"*"
16,1966,813,11825,"*"
16,1967,813,12085,"*"
16,1968,813,10264,"*"
16,1969,813,10618,"*"
16,1970,813,7248,"*"
16,1971,813,7338,"*"
16,1972,813,7458,"*"
16,1973,813,7389,"*"
16,1974,813,7911,"*"
16,1975,813,7916,"*"
16,1976,813,8353,"*"
16,1977,813,8761,"*"
16,1978,813,8553,"*"
16,1979,813,9188,"*"
16,1980,813,9812,"*"
16,1981,813,9883,"*"
16,1982,813,9892,"*"
16,1983,813,10137,"*"
16,1984,813,10622,"*"
16,1985,813,10617,"*"
16,1986,813,10658,"*"
16,1987,813,10566,"*"
16,1988,813,11006,"*"
16,1989,813,10699,"*"
16,1990,813,10433,"*"
16,1991,813,9710,"*"
16,1992,813,10441,"*"
16,1993,813,11855,"*"
16,1994,813,12000,"*"
16,1995,813,12190,"*"
16,1996,813,11390,"*"
16,1997,813,11410,"*"
16,1998,813,11420,"*"
16,1999,813,11390,"*"
16,2000,813,11390,"*"
16,2001,813,11390,"*"
16,2002,813,11130,"*"
16,2003,813,11250,"*"
16,2004,813,11260,"*"
16,2005,813,11250,"*"
16,2006,813,11260,"*"
16,2007,813,11260,"*"
16,2008,813,11260,"*"
16,2009,813,9945,"*"
16,2010,813,10600,"*"
16,2011,813,10420,"*"
38,1961,813,136000,"F"
38,1962,813,151000,"F"
38,1963,813,147000,"F"
38,1964,813,154000,"F"
38,1965,813,141000,"F"
38,1966,813,119000,"F"
38,1967,813,129000,"F"
38,1968,813,138000,"F"
38,1969,813,135000,"F"
38,1970,813,135000,"F"
38,1971,813,143000,"F"
38,1972,813,153000,"F"
38,1973,813,104000,"F"
38,1974,813,109000,"F"
38,1975,813,138000,"F"
38,1976,813,124000,"F"
38,1977,813,97000,"F"
38,1978,813,117000,"F"
38,1979,813,127000,"F"
38,1980,813,108000,"F"
38,1981,813,120000,"F"
38,1982,813,134000,"F"
38,1983,813,123000,"F"
38,1984,813,103000,"F"
38,1985,813,147000,"F"
38,1986,813,162000,"F"
38,1987,813,122000,"F"
38,1988,813,103000,"F"
38,1989,813,132000,"F"
38,1990,813,135000,"F"
38,1991,813,116000,"F"
38,1992,813,122000,"F"
38,1993,813,117000,"F"
38,1994,813,140000,"F"
38,1995,813,147000,"F"
38,1996,813,135000,"F"
38,1997,813,140000,"F"
38,1998,813,134000,"F"
38,1999,813,150000,"F"
38,2000,813,164700,"F"
38,2001,813,147300,"F"
38,2002,813,127250,"F"
38,2003,813,136300,"F"
38,2004,813,177200,"F"
38,2005,813,191200,"F"
38,2006,813,148100,"F"
38,2007,813,152600,"F"
38,2008,813,154800,"F"
38,2009,813,147000,"F"
38,2010,813,147000,"T"
38,2011,813,147000,"T"
81,1961,813,0,"M"
81,1962,813,0,"M"
81,1963,813,0,"M"
81,1964,813,0,"M"
81,1965,813,0,"M"
81,1966,813,0,"M"
81,1967,813,0,"M"
81,1968,813,0,"M"
81,1969,813,0,"M"
81,1970,813,0,"M"
81,1971,813,0,"M"
81,1972,813,0,"M"
81,1973,813,0,"M"
81,1974,813,0,"M"
81,1975,813,0,"M"
81,1976,813,0,"M"
81,1977,813,0,"M"
81,1978,813,0,"M"
81,1979,813,0,"M"
81,1980,813,0,"M"
81,1981,813,0,"M"
81,1982,813,0,"M"
81,1983,813,0,"M"
81,1984,813,0,"M"
81,1985,813,0,"M"
81,1986,813,0,"M"
81,1987,813,0,"M"
81,1988,813,0,"M"
81,1989,813,0,"M"
81,1990,813,27500,"F"
81,1991,813,28100,"F"
81,1992,813,27500,"F"
81,1993,813,28750,"F"
81,1994,813,32400,"F"
