"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,767,52300,"C",17000,"*"
2,1962,767,80000,"C",26000,"*"
2,1963,767,113000,"C",36700,"*"
2,1964,767,80000,"C",26000," "
2,1965,767,77000,"C",25000,"*"
2,1966,767,63000,"C",20300," "
2,1967,767,71000,"C",23100," "
2,1968,767,73000,"C",23700," "
2,1969,767,88000,"C",28700," "
2,1970,767,78000,"C",25300," "
2,1971,767,65000,"C",21000," "
2,1972,767,60000,"C",19300," "
2,1973,767,111000,"C",36000," "
2,1974,767,149000,"C",48300," "
2,1975,767,164000,"C",53300," "
2,1976,767,163000,"C",53000," "
2,1977,767,140000,"C",45500," "
2,1978,767,135000,"C",44000," "
2,1979,767,108000,"C",35000," "
2,1980,767,67000,"C",21700," "
2,1981,767,62000,"C",20000," "
2,1982,767,46000,"C",15000," "
2,1983,767,51000,"C",16700," "
2,1984,767,70000,"C",22700," "
2,1985,767,56000,"C",18000,"*"
2,1986,767,65000,"C",18000,"*"
2,1987,767,40000,"C",13000,"*"
2,1988,767,45000,"C",15000,"*"
2,1989,767,36000,"C",11700," "
2,1990,767,29000,"C",9300," "
2,1991,767,68000,"C",22000,"*"
2,1992,767,68000,"C",22000,"*"
2,1993,767,68000,"C",22000,"*"
2,1994,767,68000,"C",22000,"*"
2,1995,767,68000,"C",22000,"*"
2,1996,767,68000,"C",22000,"*"
2,1997,767,68000,"C",22000,"*"
2,1998,767,68000,"C",22000,"*"
2,1999,767,68000,"C",22000,"*"
2,2000,767,57000,"C",18500,"*"
2,2001,767,57000,"C",18500,"*"
2,2002,767,57000,"C",18500,"*"
2,2003,767,33000,"C",10890,"C"
2,2004,767,28000,"C",9240,"C"
2,2005,767,33000,"C",10890,"C"
2,2006,767,32000,"C",10560,"C"
2,2007,767,35051,"C",11566.83,"C"
2,2008,767,35000,"C",11550,"C"
2,2009,767,42872,"C",14147.76,"C"
2,2010,767,33000,"C",10890,"C"
2,2011,767,33000,"C",10890,"C"
3,1961,767,17500,"C",5200,"F"
3,1962,767,17700,"C",5200,"F"
3,1963,767,22000,"C",6500,"F"
3,1964,767,22000,"C",6500,"F"
3,1965,767,24568,"C",8190," "
3,1966,767,24645,"C",8210," "
3,1967,767,21895,"C",7290," "
3,1968,767,12610,"C",4200," "
3,1969,767,15065,"C",4980," "
3,1970,767,15235,"C",5000,"*"
3,1971,767,13539,"C",4500,"*"
3,1972,767,16800,"C",5500,"F"
3,1973,767,20000,"C",6600,"*"
3,1974,767,20200,"C",6700,"F"
3,1975,767,20500,"C",6800,"F"
3,1976,767,21000,"C",7000,"F"
3,1977,767,22000,"C",7200,"F"
3,1978,767,22600,"C",7400,"F"
3,1979,767,23345,"C",8000,"F"
3,1980,767,16000,"C",5400," "
3,1981,767,20700,"C",7000,"F"
3,1982,767,20900,"C",7000,"F"
3,1983,767,16000,"C",5200,"F"
3,1984,767,20000,"C",6500,"F"
3,1985,767,26000,"C",8800,"F"
3,1986,767,25000,"C",8450,"F"
3,1987,767,23000,"C",7750,"F"
3,1988,767,14000,"C",4750,"F"
3,1989,767,17000,"C",5800,"F"
3,1990,767,12000,"C",4000,"F"
3,1991,767,1000,"C",300,"F"
3,1992,767,1000,"C",325,"F"
3,1993,767,200,"C",60,"F"
3,1994,767,190,"C",62,"E"
3,1995,767,290,"C",90,"F"
3,1996,767,480,"C",150,"F"
3,1997,767,780,"C",250,"F"
3,1998,767,840,"C",260,"E"
3,1999,767,830,"C",258,"E"
3,2000,767,940,"C",292,"E"
3,2001,767,800,"C",283,"E"
3,2002,767,800,"C",200,"F"
3,2003,767,950,"C",300,"F"
3,2004,767,1010,"C",315,"E"
3,2005,767,1030,"C",329,"E"
3,2006,767,1000,"C",310,"E"
3,2007,767,900,"C",250,"F"
3,2008,767,700,"C",190,"F"
3,2009,767,959,"C",220,"F"
3,2010,767,868,"C",230,"E"
3,2011,767,819,"C",230,"F"
4,1961,767,2610,"C",870," "
4,1962,767,2550,"C",850," "
4,1963,767,2550,"C",850," "
4,1964,767,2625,"C",875," "
4,1965,767,2935,"C",978," "
4,1966,767,2044,"C",683," "
4,1967,767,2215,"C",740," "
4,1968,767,2453,"C",814," "
4,1969,767,2405,"C",802," "
4,1970,767,640,"C",220," "
4,1971,767,1142,"C",382," "
4,1972,767,1846,"C",615," "
4,1973,767,1965,"C",655," "
4,1974,767,782,"C",261," "
4,1975,767,943,"C",314," "
4,1976,767,626,"C",209," "
4,1977,767,66,"C",22," "
4,1978,767,100,"C",33,"F"
4,1979,767,60,"C",20,"F"
4,1980,767,60,"C",20,"F"
4,1981,767,61,"C",21,"F"
4,1982,767,61,"C",21,"F"
4,1983,767,61,"C",21,"F"
4,1984,767,61,"C",21,"F"
4,1985,767,61,"C",21,"F"
4,1986,767,61,"C",21,"F"
4,1987,767,61,"C",21,"F"
4,1988,767,61,"C",21,"F"
4,1989,767,61,"C",21,"F"
4,1990,767,60,"C",21,"F"
4,1991,767,54,"C",18.9,"F"
4,1992,767,66,"C",23.1,"F"
4,1993,767,65,"C",22.75,"F"
4,1994,767,60,"C",21,"F"
4,1995,767,46,"C",16.1,"F"
4,1996,767,58,"C",20.3,"F"
4,1997,767,72,"C",25.2,"F"
4,1998,767,62,"C",21.7,"F"
4,1999,767,60,"C",21,"F"
4,2000,767,57,"C",19.95,"F"
4,2001,767,65,"C",22.75,"F"
4,2002,767,56,"C",19.6,"F"
4,2003,767,50,"C",17.5,"F"
4,2004,767,63,"C",22.05,"F"
4,2005,767,65,"C",22.75,"F"
4,2006,767,47,"C",16.45,"F"
4,2007,767,48,"C",16.8,"F"
4,2008,767,39,"C",13.65,"F"
4,2009,767,40,"C",14,"F"
4,2010,767,62,"C",21.7,"F"
4,2011,767,70,"C",24.5,"F"
7,1961,767,13008,"C",4336," "
7,1962,767,20568,"C",6856," "
7,1963,767,13725,"C",4575," "
7,1964,767,13611,"C",4536," "
7,1965,767,19509,"C",6503," "
7,1966,767,21555,"C",7185," "
7,1967,767,29496,"C",9832," "
7,1968,767,48075,"C",16025," "
7,1969,767,70254,"C",23418," "
7,1970,767,91200,"C",30400," "
7,1971,767,86103,"C",29275," "
7,1972,767,48435,"C",18148," "
7,1973,767,79281,"C",25400,"*"
7,1974,767,103507,"C",34000,"*"
7,1975,767,39000,"C",13000,"*"
7,1976,767,39000,"C",13000,"*"
7,1977,767,36000,"C",12000,"*"
7,1978,767,39000,"C",13000,"*"
7,1979,767,36000,"C",12000,"*"
7,1980,767,3000,"C",1000,"*"
7,1981,767,6000,"C",2000,"*"
7,1982,767,12000,"C",4000,"*"
7,1983,767,12000,"C",4000,"*"
7,1984,767,12000,"C",4000,"*"
7,1985,767,12000,"C",4000,"*"
7,1986,767,12000,"C",4000,"*"
7,1987,767,12000,"C",4000,"*"
7,1988,767,12000,"C",4000,"*"
7,1989,767,12000,"C",4000,"*"
7,1990,767,12000,"C",4000,"*"
7,1991,767,12000,"C",4000,"*"
7,1992,767,12000,"C",4000,"*"
7,1993,767,12000,"C",4000,"*"
7,1994,767,12000,"C",4000,"*"
7,1995,767,12000,"C",4000,"*"
7,1996,767,12000,"C",4000,"*"
7,1997,767,12000,"C",4000,"*"
7,1998,767,12000,"C",4000,"*"
7,1999,767,10000,"C",4355,"*"
7,2000,767,9900,"C",4355,"*"
7,2001,767,2700,"C",1089,"*"
7,2002,767,2952,"C",1000,"*"
