"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,329,52300,"C",34000,"*"
2,1962,329,80000,"C",52000,"*"
2,1963,329,113000,"C",73300,"*"
2,1964,329,80000,"C",52000," "
2,1965,329,77000,"C",50000,"*"
2,1966,329,63000,"C",40700," "
2,1967,329,71000,"C",46190," "
2,1968,329,73000,"C",47300," "
2,1969,329,88000,"C",57300," "
2,1970,329,78000,"C",50700," "
2,1971,329,65000,"C",42000," "
2,1972,329,60000,"C",38700," "
2,1973,329,111000,"C",72000," "
2,1974,329,149000,"C",96700," "
2,1975,329,164000,"C",106700," "
2,1976,329,163000,"C",106000," "
2,1977,329,140000,"C",91000," "
2,1978,329,135000,"C",88000," "
2,1979,329,108000,"C",70000," "
2,1980,329,67000,"C",43300," "
2,1981,329,62000,"C",40000," "
2,1982,329,46000,"C",30000," "
2,1983,329,51000,"C",33300," "
2,1984,329,70000,"C",45300," "
2,1985,329,56000,"C",36000,"*"
2,1986,329,65000,"C",42000,"*"
2,1987,329,40000,"C",26000,"*"
2,1988,329,45000,"C",29000,"*"
2,1989,329,36000,"C",23300,"*"
2,1990,329,29000,"C",18700," "
2,1991,329,68000,"C",44000,"*"
2,1992,329,68000,"C",44000,"*"
2,1993,329,68000,"C",44000,"*"
2,1994,329,68000,"C",44000,"*"
2,1995,329,68000,"C",44000,"*"
2,1996,329,68000,"C",44000,"*"
2,1997,329,68000,"C",44000,"*"
2,1998,329,68000,"C",44000,"*"
2,1999,329,68000,"C",44000,"*"
2,2000,329,57000,"C",37000,"*"
2,2001,329,57000,"C",37000,"*"
2,2002,329,57000,"C",37000,"*"
2,2003,329,33000,"C",21450,"C"
2,2004,329,28000,"C",18200,"C"
2,2005,329,33000,"C",21450,"C"
2,2006,329,32000,"C",20800,"C"
2,2007,329,35051,"C",22783.15,"C"
2,2008,329,35000,"C",22750,"C"
2,2009,329,42872,"C",27866.8,"C"
2,2010,329,33000,"C",21450,"C"
2,2011,329,33000,"C",21450,"C"
3,1961,329,17500,"C",12266," "
3,1962,329,17700,"C",12409," "
3,1963,329,22000,"C",15405," "
3,1964,329,22000,"C",15411," "
3,1965,329,24568,"C",16370," "
3,1966,329,24645,"C",16420," "
3,1967,329,21895,"C",14580," "
3,1968,329,12610,"C",8400," "
3,1969,329,15065,"C",10080," "
3,1970,329,15235,"C",10200,"*"
3,1971,329,13539,"C",9000,"*"
3,1972,329,16800,"C",11000,"F"
3,1973,329,20000,"C",13200,"*"
3,1974,329,20200,"C",13300,"F"
3,1975,329,20500,"C",13500,"F"
3,1976,329,21000,"C",13800,"F"
3,1977,329,22000,"C",14600,"F"
3,1978,329,22600,"C",15000,"F"
3,1979,329,23345,"C",15000,"*"
3,1980,329,16000,"C",10400,"*"
3,1981,329,20700,"C",13600,"*"
3,1982,329,20900,"C",13800,"*"
3,1983,329,16000,"C",10600,"*"
3,1984,329,20000,"C",13300,"*"
3,1985,329,26000,"C",16900,"*"
3,1986,329,25000,"C",16300,"*"
3,1987,329,23000,"C",15000,"*"
3,1988,329,14000,"C",9100,"*"
3,1989,329,17000,"C",11000,"*"
3,1990,329,12000,"C",7800,"F"
3,1991,329,1000,"C",650,"F"
3,1992,329,1000,"C",662,"E"
3,1993,329,200,"C",130,"F"
3,1994,329,190,"C",125,"F"
3,1995,329,290,"C",190,"F"
3,1996,329,480,"C",310,"F"
3,1997,329,780,"C",510,"F"
3,1998,329,840,"C",550,"F"
3,1999,329,830,"C",540,"F"
3,2000,329,940,"C",610,"F"
3,2001,329,800,"C",510,"F"
3,2002,329,800,"C",432,"E"
3,2003,329,950,"C",620,"F"
3,2004,329,1010,"C",590,"F"
3,2005,329,1030,"C",590,"F"
3,2006,329,1000,"C",616,"E"
3,2007,329,900,"C",600,"F"
