"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
10,1961,195,0," ",0," "
10,1962,195,0," ",0," "
10,1963,195,0," ",0," "
10,1964,195,0," ",0," "
10,1965,195,0," ",0," "
10,1966,195,0," ",0," "
10,1967,195,0," ",0," "
10,1968,195,0," ",0," "
10,1969,195,0," ",0," "
10,1970,195,0," ",0," "
10,1971,195,0," ",0," "
10,1972,195,0," ",0," "
10,1973,195,0," ",0," "
10,1974,195,0," ",0," "
10,1975,195,0," ",0," "
10,1976,195,0," ",0," "
10,1977,195,0," ",0," "
10,1978,195,0," ",0," "
10,1979,195,0," ",0," "
10,1980,195,0," ",0," "
10,1981,195,0," ",0," "
10,1982,195,0," ",0," "
10,1983,195,0," ",0," "
10,1984,195,7782," ",3712," "
10,1985,195,6394," ",3137," "
10,1986,195,8400," ",3400," "
10,1987,195,14400," ",9000," "
10,1988,195,13700," ",4000," "
10,1989,195,7000," ",3800," "
10,1990,195,3886," ",1717," "
10,1991,195,4578," ",1791," "
10,1992,195,9321," ",4423," "
10,1993,195,6304," ",2314," "
10,1994,195,0,"M",0,"M"
10,1995,195,0,"M",0,"M"
10,1996,195,0,"M",0,"M"
10,1997,195,0,"M",0,"M"
10,1998,195,0,"M",0,"M"
10,1999,195,0,"M",0,"M"
10,2000,195,0,"M",0,"M"
10,2001,195,0,"M",0,"M"
10,2002,195,0,"M",0,"M"
10,2003,195,0,"M",0,"M"
10,2004,195,0,"M",0,"M"
10,2005,195,0,"M",0,"M"
10,2006,195,0,"M",0,"M"
10,2007,195,0,"M",0,"M"
10,2008,195,0,"M",0,"M"
10,2009,195,0,"M",0,"M"
10,2010,195,0,"M",0,"M"
10,2011,195,0,"M",0,"M"
28,1961,195,18995," ",10251," "
28,1962,195,21663," ",10300,"F"
28,1963,195,22392," ",10356," "
28,1964,195,24534," ",13975," "
28,1965,195,19871," ",7278," "
28,1966,195,18068," ",5517," "
28,1967,195,17465," ",5845," "
28,1968,195,17033," ",6098," "
28,1969,195,18803," ",7623," "
28,1970,195,19830," ",7620," "
28,1971,195,18047," ",5710," "
28,1972,195,15505," ",4964," "
28,1973,195,14973," ",5182," "
28,1974,195,16574," ",6510," "
28,1975,195,18261," ",7421," "
28,1976,195,17699," ",6184," "
28,1977,195,18996," ",7774," "
28,1978,195,20102," ",8401," "
28,1979,195,20074," ",8235," "
28,1980,195,20239," ",8167," "
28,1981,195,21888," ",8060," "
28,1982,195,23941," ",9004," "
28,1983,195,18877," ",8820," "
28,1984,195,22276," ",10206," "
28,1985,195,21375," ",10473," "
28,1986,195,26374," ",12746," "
28,1987,195,25260," ",12716," "
28,1988,195,18600," ",9126," "
28,1989,195,23570," ",11316," "
28,1990,195,24949," ",11647," "
28,1991,195,29225," ",14569," "
28,1992,195,31758," ",18669," "
28,1993,195,36844," ",19857," "
28,1994,195,37343," ",21881," "
28,1995,195,55400," ",35200," "
28,1996,195,74100," ",48000," "
28,1997,195,83800," ",60200," "
28,1998,195,76500," ",59000," "
28,1999,195,90500,"*",55000," "
28,2000,195,105000,"*",77000," "
28,2001,195,134000," ",105000," "
28,2002,195,129000," ",104000," "
28,2003,195,129000," ",123000," "
28,2004,195,140000," ",129000," "
28,2005,195,141000," ",130300," "
28,2006,195,149700," ",148700," "
28,2007,195,145700," ",150400," "
28,2008,195,157000," ",175900," "
28,2009,195,183192," ",212642," "
28,2010,195,181340," ",214789," "
28,2011,195,147490," ",172836," "
32,1961,195,0,"M",0,"M"
32,1962,195,0,"M",0,"M"
32,1963,195,0,"M",0,"M"
32,1964,195,0,"M",0,"M"
32,1965,195,0,"M",0,"M"
32,1966,195,0,"M",0,"M"
32,1967,195,0,"M",0,"M"
32,1968,195,0,"M",0,"M"
32,1969,195,0,"M",0,"M"
32,1970,195,0,"M",0,"M"
32,1971,195,0,"M",0,"M"
32,1972,195,0,"M",0,"M"
32,1973,195,0,"M",0,"M"
32,1974,195,0,"M",0,"M"
32,1975,195,0,"M",0,"M"
32,1976,195,0,"M",0,"M"
32,1977,195,0,"M",0,"M"
32,1978,195,0,"M",0,"M"
32,1979,195,0,"M",0,"M"
32,1980,195,0,"M",0,"M"
32,1981,195,0,"M",0,"M"
32,1982,195,0,"M",0,"M"
32,1983,195,0,"M",0,"M"
32,1984,195,0,"M",0,"M"
32,1985,195,0,"M",0,"M"
32,1986,195,0,"M",0,"M"
32,1987,195,0,"M",0,"M"
32,1988,195,0,"M",0,"M"
32,1989,195,0,"M",0,"M"
32,1990,195,0,"M",0,"M"
32,1991,195,0,"M",0,"M"
32,1992,195,0,"M",0,"M"
32,1993,195,0,"M",0,"M"
32,1994,195,11000,"F",10000,"F"
32,1995,195,22000,"F",20000,"F"
32,1996,195,33000,"F",30000,"F"
32,1997,195,44000,"F",40000,"F"
32,1998,195,55000,"F",50000,"F"
32,1999,195,66000,"F",60000,"F"
32,2000,195,77000,"F",70000,"F"
32,2001,195,95809," ",87503," "
32,2002,195,100599," ",90478," "
32,2003,195,105629," ",93554," "
32,2004,195,110910," ",96735," "
32,2005,195,89846," ",92609," "
