"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,397,0," ",0," "
1,1962,397,0," ",0," "
1,1963,397,0," ",0," "
1,1964,397,0," ",0," "
1,1965,397,0," ",0," "
1,1966,397,0," ",0," "
1,1967,397,0," ",0," "
1,1968,397,0," ",0," "
1,1969,397,0," ",0," "
1,1970,397,0," ",0," "
1,1971,397,0," ",0," "
1,1972,397,0," ",0," "
1,1973,397,0," ",0," "
1,1974,397,0," ",0," "
1,1975,397,0," ",0," "
1,1976,397,0," ",0," "
1,1977,397,0," ",0," "
1,1978,397,0," ",0," "
1,1979,397,0," ",0," "
1,1980,397,0," ",0," "
1,1981,397,0," ",0," "
1,1982,397,0," ",0," "
1,1983,397,0," ",0," "
1,1984,397,0," ",0," "
1,1985,397,0," ",0," "
1,1986,397,0," ",0," "
1,1987,397,0," ",0," "
1,1988,397,1400,"*",17000,"*"
1,1989,397,1450,"*",15000,"*"
1,1990,397,1400,"*",12000,"*"
1,1991,397,1500,"*",17000,"*"
1,1992,397,2900,"*",43000,"*"
1,1993,397,3000,"*",36000,"*"
1,1994,397,3000,"*",30000,"*"
1,1995,397,3000,"*",35000,"*"
1,1996,397,3500,"*",48000,"*"
1,1997,397,3200,"*",35000,"*"
1,1998,397,3000,"*",40000,"*"
1,1999,397,4000,"*",55300,"*"
1,2000,397,2500,"*",30000," "
1,2001,397,2000,"*",39100,"*"
1,2002,397,1949," ",36580," "
1,2003,397,2019," ",36582," "
1,2004,397,2231," ",60250," "
1,2005,397,2367," ",64407," "
1,2006,397,2360," ",72629," "
1,2007,397,2408," ",72109," "
1,2008,397,2339," ",81819," "
1,2009,397,2549," ",80944," "
1,2010,397,2237," ",63282," "
1,2011,397,2548," ",73678," "
3,1961,397,0,"M",0,"M"
3,1962,397,0,"M",0,"M"
3,1963,397,0,"M",0,"M"
3,1964,397,0,"M",0,"M"
3,1965,397,0,"M",0,"M"
3,1966,397,0,"M",0,"M"
3,1967,397,0,"M",0,"M"
3,1968,397,0,"M",0,"M"
3,1969,397,0,"M",0,"M"
3,1970,397,0,"M",0,"M"
3,1971,397,0,"M",0,"M"
3,1972,397,0,"M",0,"M"
3,1973,397,0,"M",0,"M"
3,1974,397,0,"M",0,"M"
3,1975,397,0,"M",0,"M"
3,1976,397,0,"M",0,"M"
3,1977,397,0,"M",0,"M"
3,1978,397,0,"M",0,"M"
3,1979,397,0,"M",0,"M"
3,1980,397,0,"M",0,"M"
3,1981,397,0,"M",0,"M"
3,1982,397,0,"M",0,"M"
3,1983,397,0,"M",0,"M"
3,1984,397,0,"M",0,"M"
3,1985,397,0,"M",0,"M"
3,1986,397,0,"M",0,"M"
3,1987,397,0,"M",0,"M"
3,1988,397,0,"M",0,"M"
3,1989,397,0,"M",0,"M"
3,1990,397,1100,"*",31000,"*"
3,1991,397,1250,"*",34000,"*"
3,1992,397,1750,"*",47000,"*"
3,1993,397,1850,"*",52000,"*"
3,1994,397,2100,"*",57000,"*"
3,1995,397,1500,"*",41000,"*"
3,1996,397,1400,"*",38000,"*"
3,1997,397,1500,"*",43000,"*"
3,1998,397,1700,"*",48000,"*"
3,1999,397,1300,"*",37000,"*"
3,2000,397,1100,"*",30000,"*"
3,2001,397,1150,"*",32000,"*"
3,2002,397,1200,"*",32000,"*"
3,2003,397,1900," ",53300," "
3,2004,397,1900," ",53500," "
3,2005,397,1920," ",55000," "
3,2006,397,2370," ",52912," "
3,2007,397,2200,"*",50000," "
3,2008,397,1920," ",55700," "
