"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
10,1961,550,365," ",998," "
10,1962,550,383," ",1398," "
10,1963,550,396," ",1340," "
10,1964,550,355," ",1044," "
10,1965,550,310," ",1332," "
10,1966,550,281," ",1231," "
10,1967,550,222," ",980," "
10,1968,550,239," ",1197," "
10,1969,550,234," ",936," "
10,1970,550,238," ",1015," "
10,1971,550,238," ",1140," "
10,1972,550,232," ",796," "
10,1973,550,216," ",865," "
10,1974,550,228," ",951," "
10,1975,550,210," ",473," "
10,1976,550,207," ",575," "
10,1977,550,209," ",681," "
10,1978,550,203," ",787," "
10,1979,550,245," ",1102," "
10,1980,550,252," ",772," "
10,1981,550,238," ",1005," "
10,1982,550,246," ",761," "
10,1983,550,225," ",851," "
10,1984,550,162," ",732," "
10,1985,550,154," ",642," "
10,1986,550,145," ",637," "
10,1987,550,130," ",491," "
10,1988,550,107," ",380," "
10,1989,550,101," ",419," "
10,1990,550,88," ",405," "
10,1991,550,91," ",459," "
10,1992,550,92," ",470," "
10,1993,550,100,"F",520,"F"
10,1994,550,120,"F",570,"F"
10,1995,550,137," ",633," "
10,1996,550,163," ",665," "
10,1997,550,153," ",933," "
10,1998,550,160," ",1000," "
10,1999,550,186,"E",1055,"E"
10,2000,550,211,"E",1115,"E"
10,2001,550,245,"E",1257,"E"
10,2002,550,260,"E",1272,"E"
10,2003,550,256,"E",1228,"E"
10,2004,550,265,"E",1294,"E"
10,2005,550,268,"E",1385,"E"
10,2006,550,279,"E",1200,"F"
10,2007,550,242," ",637," "
10,2008,550,240,"F",630,"F"
10,2009,550,88," ",562," "
10,2010,550,90,"E",550,"E"
10,2011,550,68," ",415," "
11,1961,550,0,"M",19000,"F"
11,1962,550,0,"M",20000,"F"
11,1963,550,0,"M",20000,"F"
11,1964,550,0,"M",21000,"F"
11,1965,550,0,"M",21000,"F"
11,1966,550,0,"M",22000,"F"
11,1967,550,0,"M",22000,"F"
11,1968,550,0,"M",23000,"F"
11,1969,550,0,"M",24400,"*"
11,1970,550,0,"M",24782,"*"
11,1971,550,0,"M",29557,"*"
11,1972,550,0,"M",24834,"*"
11,1973,550,0,"M",31553,"*"
11,1974,550,0,"M",31872,"*"
11,1975,550,0,"M",33345,"*"
11,1976,550,0,"M",25011,"*"
11,1977,550,0,"M",14108,"*"
11,1978,550,0,"M",22577,"*"
11,1979,550,0,"M",19577,"*"
11,1980,550,0,"M",27846,"*"
11,1981,550,0,"M",25846,"*"
11,1982,550,0,"M",25216,"*"
11,1983,550,0,"M",30493,"*"
11,1984,550,0,"M",28988,"*"
11,1985,550,3700,"F",28008,"*"
11,1986,550,3700,"F",25766,"*"
11,1987,550,3700,"F",24668,"*"
11,1988,550,3700,"F",28588,"*"
11,1989,550,3700,"F",27382,"*"
