"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,577,0,"M",0,"M"
3,1962,577,0,"M",0,"M"
3,1963,577,0,"M",0,"M"
3,1964,577,0,"M",0,"M"
3,1965,577,0,"M",0,"M"
3,1966,577,0,"M",0,"M"
3,1967,577,0,"M",0,"M"
3,1968,577,0,"M",0,"M"
3,1969,577,0,"M",0,"M"
3,1970,577,0,"M",0,"M"
3,1971,577,0,"M",0,"M"
3,1972,577,0,"M",0,"M"
3,1973,577,0,"M",0,"M"
3,1974,577,0,"M",0,"M"
3,1975,577,0,"M",0,"M"
3,1976,577,0,"M",0,"M"
3,1977,577,0,"M",0,"M"
3,1978,577,0,"M",0,"M"
3,1979,577,0,"M",0,"M"
3,1980,577,0,"M",0,"M"
3,1981,577,0,"M",0,"M"
3,1982,577,0,"M",0,"M"
3,1983,577,0,"M",0,"M"
3,1984,577,0,"M",0,"M"
3,1985,577,0,"M",0,"M"
3,1986,577,0,"M",0,"M"
3,1987,577,0,"M",0,"M"
3,1988,577,0,"M",0,"M"
3,1989,577,0,"M",0,"M"
3,1990,577,0,"M",0,"M"
3,1991,577,0,"M",0,"M"
3,1992,577,0,"M",0,"M"
3,1993,577,0,"M",0,"M"
3,1994,577,0,"M",0,"M"
3,1995,577,0,"M",0,"M"
3,1996,577,0,"M",0,"M"
3,1997,577,0,"M",0,"M"
3,1998,577,0,"M",0,"M"
3,1999,577,0,"M",0,"M"
3,2000,577,0,"M",0,"M"
3,2001,577,0,"M",0,"M"
3,2002,577,0,"M",0,"M"
3,2003,577,0,"M",0,"M"
3,2004,577,2300,"F",5800," "
3,2005,577,2500,"F",6590," "
3,2006,577,3000,"F",7900," "
3,2007,577,3200,"F",8000," "
3,2008,577,3238,"E",9000," "
3,2009,577,3362,"E",9500," "
3,2010,577,3400,"F",10921," "
3,2011,577,3800,"F",11586," "
4,1961,577,38000,"F",95000," "
4,1962,577,40000,"F",1e+05," "
4,1963,577,52000,"F",130000," "
4,1964,577,59000,"F",177167," "
4,1965,577,44000,"F",109824," "
4,1966,577,46000,"F",115112," "
4,1967,577,62000,"F",155689," "
4,1968,577,59000,"F",147680," "
4,1969,577,53000,"F",161425," "
4,1970,577,32000,"F",79265," "
4,1971,577,58000,"F",143986," "
4,1972,577,57000,"F",160075," "
4,1973,577,57000,"F",143798," "
4,1974,577,60000,"F",167566," "
4,1975,577,61000,"F",181549," "
4,1976,577,55000,"F",137029," "
4,1977,577,47000,"F",117572," "
4,1978,577,65000,"F",196118," "
4,1979,577,69000,"F",208031," "
4,1980,577,67000,"F",200756," "
4,1981,577,70000,"F",195306," "
4,1982,577,68000,"F",206500," "
4,1983,577,65000,"F",181539," "
4,1984,577,65000,"F",182700," "
4,1985,577,71000," ",198800," "
4,1986,577,72000," ",188800," "
4,1987,577,73000," ",224400," "
4,1988,577,76000," ",196060," "
4,1989,577,78000," ",210137," "
4,1990,577,78640," ",205907," "
4,1991,577,81890," ",209092," "
4,1992,577,83440," ",260515," "
4,1993,577,84410," ",261612," "
4,1994,577,85230," ",317184," "
4,1995,577,87020," ",285155," "
4,1996,577,96560," ",360637," "
4,1997,577,96520," ",302993," "
4,1998,577,97990," ",387313," "
4,1999,577,100120," ",427583," "
4,2000,577,100120," ",365616," "
4,2001,577,120036," ",437332," "
4,2002,577,120830," ",418427," "
4,2003,577,128800," ",492217," "
4,2004,577,136774," ",442600," "
4,2005,577,147906," ",516293," "
4,2006,577,154372," ",491188," "
4,2007,577,159871," ",526921," "
4,2008,577,162033," ",552765," "
4,2009,577,160867," ",600696," "
4,2010,577,161091," ",644741," "
4,2011,577,162134," ",724894," "
13,1961,577,1600,"F",15000,"F"
13,1962,577,1600,"F",15000,"F"
13,1963,577,1600,"F",15000,"F"
13,1964,577,1600,"F",15000,"F"
13,1965,577,1600,"F",15000,"F"
13,1966,577,1600,"F",15000,"F"
13,1967,577,1600,"F",15000," "
13,1968,577,1600,"F",15000,"F"
13,1969,577,1600,"F",15000,"F"
13,1970,577,1600,"F",15000," "
13,1971,577,1600,"F",15000,"F"
13,1972,577,1600,"F",15000,"F"
13,1973,577,1600,"F",15000,"F"
13,1974,577,1650,"F",15700," "
13,1975,577,2300,"F",22000,"F"
13,1976,577,3100,"F",30000,"F"
13,1977,577,3900,"F",38242," "
13,1978,577,4000,"F",38000,"F"
13,1979,577,4000,"F",38000,"F"
13,1980,577,4000,"F",38000,"*"
13,1981,577,1700,"F",15580,"*"
13,1982,577,1200,"F",11100,"*"
13,1983,577,1200,"F",11000,"*"
13,1984,577,1200,"F",11000,"*"
13,1985,577,1400,"F",13000,"*"
13,1986,577,1400,"F",13000,"*"
13,1987,577,1600,"F",15000,"F"
13,1988,577,1600,"F",15000,"F"
13,1989,577,1600,"F",15000,"F"
13,1990,577,997," ",5712," "
13,1991,577,950,"F",6800,"F"
13,1992,577,900,"F",8000,"F"
13,1993,577,920,"F",9500,"F"
13,1994,577,870,"F",12000,"F"
13,1995,577,812," ",16371," "
13,1996,577,823," ",16508," "
13,1997,577,823," ",16508," "
13,1998,577,1000,"F",20000,"F"
13,1999,577,830," ",16774," "
13,2000,577,823," ",16508," "
13,2001,577,823," ",16508," "
13,2002,577,1670," ",14500," "
13,2003,577,1670," ",14000," "
13,2004,577,1650," ",14000," "
13,2005,577,1400,"F",12000,"F"
13,2006,577,2150," ",13970," "
13,2007,577,2102," ",13293," "
13,2008,577,1500," ",13180," "
13,2009,577,1510," ",12887," "
13,2010,577,1603,"E",14156,"E"
13,2011,577,1606,"E",14591,"E"
32,1961,577,0,"M",0," "
32,1962,577,0,"M",0," "
32,1963,577,0,"M",0," "
32,1964,577,0,"M",0," "
32,1965,577,0,"M",0," "
32,1966,577,0,"M",0," "
32,1967,577,0,"M",0," "
32,1968,577,0,"M",0," "
32,1969,577,0,"M",0," "
32,1970,577,0,"M",0," "
32,1971,577,0,"M",0," "
32,1972,577,0,"M",0," "
32,1973,577,0,"M",0," "
32,1974,577,0,"M",0," "
32,1975,577,0,"M",0," "
32,1976,577,0,"M",0," "
32,1977,577,0,"M",0," "
32,1978,577,0,"M",150,"F"
32,1979,577,0,"M",30,"F"
