"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,399,0,"M",0,"M"
3,1962,399,0,"M",0,"M"
3,1963,399,0,"M",0,"M"
3,1964,399,0,"M",0,"M"
3,1965,399,0,"M",0,"M"
3,1966,399,0,"M",0,"M"
3,1967,399,0,"M",0,"M"
3,1968,399,0,"M",0,"M"
3,1969,399,0,"M",0,"M"
3,1970,399,0,"M",0,"M"
3,1971,399,0,"M",0,"M"
3,1972,399,0,"M",0,"M"
3,1973,399,0,"M",0,"M"
3,1974,399,0,"M",0,"M"
3,1975,399,0,"M",0,"M"
3,1976,399,0,"M",0,"M"
3,1977,399,0,"M",0,"M"
3,1978,399,0,"M",0,"M"
3,1979,399,0,"M",0,"M"
3,1980,399,0,"M",0,"M"
3,1981,399,0,"M",0,"M"
3,1982,399,0,"M",0,"M"
3,1983,399,0,"M",0,"M"
3,1984,399,0,"M",0,"M"
3,1985,399,0,"M",0,"M"
3,1986,399,0,"M",0,"M"
3,1987,399,0,"M",0,"M"
3,1988,399,0,"M",0,"M"
3,1989,399,0,"M",0,"M"
3,1990,399,700,"*",12000,"*"
3,1991,399,500,"*",9000,"*"
3,1992,399,800,"*",14000,"*"
3,1993,399,1000,"*",16000,"*"
3,1994,399,1000,"*",17000,"*"
3,1995,399,1000,"*",17000,"*"
3,1996,399,950,"*",15000,"*"
3,1997,399,1000,"*",18000,"*"
3,1998,399,1000,"*",18000,"*"
3,1999,399,1000,"*",18000,"*"
3,2000,399,1000,"*",18500,"*"
3,2001,399,1050,"*",19500,"*"
3,2002,399,1100,"*",20000,"*"
3,2003,399,1100," ",20000," "
3,2004,399,1200," ",20000," "
3,2005,399,1100," ",21100," "
3,2006,399,766," ",17094," "
3,2007,399,900,"*",20000," "
3,2008,399,920," ",17400," "
3,2009,399,1037," ",19579," "
3,2010,399,1038," ",23641," "
3,2011,399,1000," ",23700," "
4,1961,399,0," ",0," "
4,1962,399,0," ",0," "
4,1963,399,0," ",0," "
4,1964,399,0," ",0," "
4,1965,399,0," ",0," "
4,1966,399,0," ",0," "
4,1967,399,0," ",0," "
4,1968,399,0," ",0," "
4,1969,399,0," ",0," "
4,1970,399,0," ",0," "
4,1971,399,0," ",0," "
4,1972,399,0," ",0," "
4,1973,399,0," ",0," "
4,1974,399,0," ",0," "
4,1975,399,0," ",0," "
4,1976,399,0," ",0," "
4,1977,399,600,"F",2000,"F"
4,1978,399,800,"F",3000,"F"
