"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,821,3000," ",3990," "
9,1962,821,3535," ",3850," "
9,1963,821,3540," ",4454," "
9,1964,821,1200," ",4518," "
9,1965,821,1300," ",1465," "
9,1966,821,1110," ",923," "
9,1967,821,1110," ",773," "
9,1968,821,2000," ",676," "
9,1969,821,2660," ",1428," "
9,1970,821,3570," ",2702," "
9,1971,821,3500," ",3115," "
9,1972,821,3500," ",3063," "
9,1973,821,3500," ",2800," "
9,1974,821,3500," ",3360," "
9,1975,821,3300," ",3360," "
9,1976,821,3200," ",4200," "
9,1977,821,3000," ",4200," "
9,1978,821,2500," ",3500," "
9,1979,821,3000," ",2940," "
9,1980,821,3000," ",3038," "
9,1981,821,1200," ",1260," "
9,1982,821,1100," ",1134," "
9,1983,821,1200,"F",1200,"F"
9,1984,821,1200,"F",1200,"F"
9,1985,821,1200,"F",1200,"F"
9,1986,821,1200,"F",1200,"F"
9,1987,821,1200,"F",1200,"F"
9,1988,821,1200,"F",1200,"F"
9,1989,821,1200,"F",1200,"F"
9,1990,821,1168,"E",1674,"E"
9,1991,821,1300,"F",1300,"F"
9,1992,821,1400,"F",1400,"F"
9,1993,821,1500,"F",1500,"F"
9,1994,821,1377,"E",1880,"E"
9,1995,821,1600,"F",1600,"F"
9,1996,821,1502,"E",1799,"E"
9,1997,821,1385,"E",1318,"E"
9,1998,821,1353,"E",1353,"E"
9,1999,821,1321,"E",1418,"E"
9,2000,821,1400,"F",1400,"F"
9,2001,821,1380,"E",1626,"E"
9,2002,821,1450,"F",1450,"F"
9,2003,821,1428,"E",1567,"E"
9,2004,821,1461,"E",1450,"F"
9,2005,821,1565,"E",1450,"F"
9,2006,821,1570,"E",1450,"F"
9,2007,821,1564,"E",1450,"F"
9,2008,821,1451,"E",1450,"F"
9,2009,821,1496,"E",1562,"E"
9,2010,821,1454,"E",1383,"E"
9,2011,821,1573,"E",1594,"E"
10,1961,821,1214," ",817," "
10,1962,821,1214," ",906," "
10,1963,821,1214," ",718," "
10,1964,821,809," ",595," "
10,1965,821,809," ",604," "
10,1966,821,809," ",728," "
10,1967,821,809," ",520," "
10,1968,821,1214," ",1175," "
10,1969,821,809," ",519," "
10,1970,821,800,"F",500,"F"
10,1971,821,405," ",367," "
10,1972,821,0,"M",0,"M"
10,1973,821,0,"M",0,"M"
10,1974,821,0,"M",0,"M"
10,1975,821,0,"M",0,"M"
10,1976,821,0,"M",0,"M"
10,1977,821,0,"M",0,"M"
10,1978,821,0,"M",0,"M"
10,1979,821,0,"M",0,"M"
10,1980,821,0,"M",0,"M"
10,1981,821,0,"M",0,"M"
10,1982,821,0,"M",0,"M"
10,1983,821,0,"M",0,"M"
10,1984,821,0,"M",0,"M"
10,1985,821,0,"M",0,"M"
10,1986,821,0,"M",0,"M"
10,1987,821,0,"M",0,"M"
10,1988,821,0,"M",0,"M"
10,1989,821,0,"M",0,"M"
10,1990,821,0,"M",0,"M"
10,1991,821,0,"M",0,"M"
10,1992,821,0,"M",0,"M"
10,1993,821,0,"M",0,"M"
10,1994,821,0,"M",0,"M"
10,1995,821,0,"M",0,"M"
10,1996,821,0,"M",0,"M"
10,1997,821,0,"M",0,"M"
10,1998,821,0,"M",0,"M"
10,1999,821,0,"M",0,"M"
10,2000,821,0,"M",0,"M"
10,2001,821,0,"M",0,"M"
10,2002,821,0,"M",0,"M"
10,2003,821,0,"M",0,"M"
10,2004,821,0,"M",0,"M"
10,2005,821,0,"M",0,"M"
10,2006,821,0,"M",0,"M"
10,2007,821,0,"M",0,"M"
10,2008,821,0,"M",0,"M"
10,2009,821,0,"M",0,"M"
10,2010,821,0,"M",0,"M"
10,2011,821,0,"M",0,"M"
16,1961,821,2400,"F",2200,"F"
16,1962,821,2000,"F",1800,"F"
16,1963,821,1650,"F",1500,"F"
16,1964,821,1300,"F",1200,"F"
16,1965,821,1100,"F",1000,"F"
16,1966,821,900,"F",850,"F"
16,1967,821,350,"F",350,"F"
16,1968,821,297," ",268," "
16,1969,821,259," ",197," "
16,1970,821,263," ",198," "
16,1971,821,265," ",202," "
16,1972,821,443," ",242," "
16,1973,821,471," ",273," "
16,1974,821,490," ",294," "
16,1975,821,434," ",266," "
16,1976,821,398," ",256," "
16,1977,821,393," ",242," "
16,1978,821,394," ",238," "
16,1979,821,415," ",260," "
