"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,569,0,"M",0,"M"
1,1962,569,0,"M",0,"M"
1,1963,569,0,"M",0,"M"
1,1964,569,0,"M",0,"M"
1,1965,569,0,"M",0,"M"
1,1966,569,0,"M",0,"M"
1,1967,569,0,"M",0,"M"
1,1968,569,0,"M",0,"M"
1,1969,569,0,"M",0,"M"
1,1970,569,0,"M",0,"M"
1,1971,569,0,"M",0,"M"
1,1972,569,0,"M",0,"M"
1,1973,569,0,"M",0,"M"
1,1974,569,0,"M",0,"M"
1,1975,569,0,"M",0,"M"
1,1976,569,0,"M",0,"M"
1,1977,569,0,"M",0,"M"
1,1978,569,0,"M",0,"M"
1,1979,569,0,"M",0,"M"
1,1980,569,0,"M",0,"M"
1,1981,569,0,"M",0,"M"
1,1982,569,0,"M",0,"M"
1,1983,569,0,"M",0,"M"
1,1984,569,0,"M",0,"M"
1,1985,569,0,"M",0,"M"
1,1986,569,0,"M",0,"M"
1,1987,569,0,"M",0,"M"
1,1988,569,0,"M",0,"M"
1,1989,569,0,"M",0,"M"
1,1990,569,0,"M",0,"M"
1,1991,569,0,"M",0,"M"
1,1992,569,0,"M",0,"M"
1,1993,569,0,"M",0,"M"
1,1994,569,0,"M",0,"M"
1,1995,569,0,"M",0,"M"
1,1996,569,0,"M",0,"M"
1,1997,569,0,"M",0,"M"
1,1998,569,0,"M",0,"M"
1,1999,569,0,"M",0,"M"
1,2000,569,0,"M",0,"M"
1,2001,569,0,"M",0,"M"
1,2002,569,0,"M",0,"M"
1,2003,569,0,"M",0,"M"
1,2004,569,0,"M",0,"M"
1,2005,569,0,"M",0,"M"
1,2006,569,0,"M",0,"M"
1,2007,569,194," ",803," "
1,2008,569,193," ",313," "
1,2009,569,209," ",520," "
1,2010,569,200,"F",200,"*"
1,2011,569,200,"F",400,"*"
2,1961,569,3200,"F",8000,"*"
2,1962,569,3200,"F",8000,"F"
2,1963,569,3200,"F",8000,"F"
2,1964,569,3380,"F",9700,"F"
2,1965,569,3570,"F",10800,"F"
2,1966,569,3940,"F",12000,"F"
2,1967,569,4400,"F",14600,"F"
2,1968,569,4300,"F",14700,"F"
2,1969,569,4370,"F",14900,"F"
2,1970,569,4400,"F",14400,"F"
2,1971,569,4400,"F",11400,"F"
2,1972,569,4520,"F",14000,"F"
2,1973,569,4610,"F",14600,"F"
2,1974,569,4690,"F",14700,"F"
2,1975,569,4700,"F",14800,"F"
2,1976,569,4700,"F",13800,"F"
2,1977,569,4710,"F",8200,"F"
2,1978,569,4680,"F",12000,"F"
2,1979,569,4520,"F",11400,"F"
2,1980,569,4530,"F",11800,"F"
2,1981,569,4430,"F",11700,"F"
2,1982,569,4260,"F",11300,"F"
2,1983,569,4090,"F",11000,"F"
2,1984,569,3930,"F",10500,"F"
2,1985,569,3820,"F",10100,"F"
2,1986,569,3720,"F",10200,"F"
2,1987,569,3200,"F",8800,"F"
2,1988,569,3350,"F",8900,"F"
2,1989,569,3360,"F",8900,"F"
2,1990,569,3396,"E",9000,"F"
2,1991,569,3391,"E",9025,"E"
2,1992,569,3934,"E",9100,"F"
2,1993,569,3300,"F",9000,"F"
2,1994,569,3439,"E",9100,"F"
2,1995,569,3242,"E",8850,"E"
2,1996,569,3636,"E",9310,"E"
2,1997,569,3600,"F",10000,"F"
2,1998,569,6000,"F",17000,"F"
2,1999,569,5943,"E",15590,"E"
2,2000,569,2000,"F",15000,"F"
2,2001,569,2000,"F",17000,"F"
2,2002,569,2000,"F",15000,"F"
2,2003,569,2000,"F",17000,"F"
2,2004,569,2253," ",20000,"F"
2,2005,569,2541," ",20000,"F"
2,2006,569,2702," ",20000,"F"
2,2007,569,2702," ",15000,"F"
2,2008,569,2700," ",8100," "
2,2009,569,1924," ",11544," "
2,2010,569,1924," ",8658," "
2,2011,569,2056," ",8224," "
3,1961,569,0,"M",16000," "
3,1962,569,0,"M",13000," "
3,1963,569,0,"M",10000," "
3,1964,569,0,"M",12000," "
3,1965,569,0,"M",12000,"*"
3,1966,569,0,"M",13000,"*"
3,1967,569,0,"M",12000,"*"
3,1968,569,0,"M",13000,"F"
3,1969,569,0,"M",13000,"F"
3,1970,569,0,"M",13000,"*"
3,1971,569,0,"M",13000,"F"
3,1972,569,0,"M",13000,"F"
3,1973,569,0,"M",13000,"F"
3,1974,569,0,"M",13500,"F"
3,1975,569,0,"M",13500,"F"
3,1976,569,0,"M",14000,"F"
3,1977,569,0,"M",14000,"F"
3,1978,569,0,"M",14000,"F"
3,1979,569,0,"M",14700,"F"
3,1980,569,0,"M",15500,"*"
3,1981,569,0,"M",16000,"F"
3,1982,569,0,"M",20000,"F"
3,1983,569,0,"M",22000,"*"
3,1984,569,0,"M",18800,"F"
3,1985,569,9250,"F",16800,"*"
3,1986,569,9250,"F",18000,"*"
3,1987,569,9250,"F",14300,"*"
3,1988,569,9250,"F",14400,"*"
3,1989,569,9250,"F",20300,"*"
3,1990,569,6765,"E",12600,"F"
3,1991,569,6585,"E",7400,"F"
3,1992,569,6461,"E",6300,"F"
3,1993,569,6176,"E",9100,"F"
3,1994,569,6235,"E",8500,"F"
3,1995,569,5788,"E",9000,"F"
3,1996,569,5843,"E",11900," "
3,1997,569,5633,"E",11500," "
3,1998,569,5789,"E",12000," "
3,1999,569,9250," ",12100," "
3,2000,569,9400,"F",13100," "
3,2001,569,9600,"F",22790," "
3,2002,569,10043,"E",14500," "
3,2003,569,10979,"E",17500,"F"
3,2004,569,7700,"F",14000,"F"
3,2005,569,9000,"F",16000,"F"
3,2006,569,9500,"F",16650," "
3,2007,569,9600,"F",16000," "
3,2008,569,11000,"F",18000," "
3,2009,569,12000,"F",19517," "
3,2010,569,9900,"E",18387," "
3,2011,569,10000,"F",19600," "
4,1961,569,41000,"F",62000," "
4,1962,569,39000,"F",58000," "
4,1963,569,39000,"F",59000," "
4,1964,569,39000,"F",58000," "
4,1965,569,29000,"F",43000," "
4,1966,569,31000,"F",46069," "
4,1967,569,29000,"F",44195," "
4,1968,569,29000,"F",44713," "
4,1969,569,14000,"F",21331," "
4,1970,569,33000,"F",50411," "
4,1971,569,34000,"F",51136," "
4,1972,569,41000,"F",62360," "
4,1973,569,48000,"F",71571," "
4,1974,569,50000,"F",74902," "
4,1975,569,63000,"F",95385," "
4,1976,569,53000,"F",79630," "
4,1977,569,51000,"F",76840," "
4,1978,569,46000,"F",69338," "
4,1979,569,51000,"F",86596," "
4,1980,569,46000,"F",69410," "
4,1981,569,47000,"F",70589," "
4,1982,569,19000,"F",28508," "
4,1983,569,30000,"F",45049," "
4,1984,569,18000,"F",27700," "
4,1985,569,38000," ",59164," "
4,1986,569,38000," ",71708," "
4,1987,569,38000," ",58300," "
4,1988,569,36000," ",48200," "
4,1989,569,36000," ",70320," "
4,1990,569,44700," ",58390," "
4,1991,569,44370," ",41414," "
4,1992,569,41200," ",86424," "
4,1993,569,42030," ",85215," "
4,1994,569,41900," ",45732," "
4,1995,569,40110," ",60008," "
4,1996,569,36760," ",57000," "
4,1997,569,35980," ",46747," "
4,1998,569,34910," ",42209," "
4,1999,569,35730," ",50609," "
4,2000,569,35730," ",54326," "
4,2001,569,48644," ",40864," "
4,2002,569,50641," ",60694," "
4,2003,569,44030," ",63266," "
4,2004,569,45920," ",64940," "
4,2005,569,46592," ",69799," "
4,2006,569,49180," ",91927," "
4,2007,569,48790," ",63883," "
4,2008,569,47273," ",78735," "
4,2009,569,46935," ",83801," "
4,2010,569,46921," ",123763," "
4,2011,569,46331," ",120187," "
9,1961,569,0,"M",5719," "
9,1962,569,0,"M",5596," "
9,1963,569,0,"M",5700," "
9,1964,569,0,"M",5530," "
9,1965,569,0,"M",6770," "
9,1966,569,0,"M",5690," "
9,1967,569,0,"M",5957," "
9,1968,569,0,"M",5416," "
9,1969,569,0,"M",5600," "
9,1970,569,0,"M",5400," "
9,1971,569,0,"M",4300," "
9,1972,569,0,"M",3800," "
9,1973,569,0,"M",3400," "
9,1974,569,0,"M",3600," "
9,1975,569,0,"M",3510," "
9,1976,569,0,"M",3190," "
9,1977,569,0,"M",3300," "
9,1978,569,0,"M",3200," "
9,1979,569,0,"M",3600," "
9,1980,569,0,"M",3100," "
9,1981,569,0,"M",3900," "
9,1982,569,0,"M",4900," "
9,1983,569,0,"M",2560," "
9,1984,569,0,"M",2200," "
9,1985,569,450,"F",1900," "
9,1986,569,280,"F",1000,"F"
9,1987,569,280,"F",850," "
9,1988,569,280,"F",700," "
