"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,773,2905," ",1451,"*"
9,1962,773,3930," ",2325,"*"
9,1963,773,2130," ",1370,"*"
9,1964,773,3146," ",2034,"*"
9,1965,773,3320," ",1806,"*"
9,1966,773,3660," ",2046,"*"
9,1967,773,3600," ",2055,"*"
9,1968,773,3500," ",2100,"*"
9,1969,773,5000," ",3405,"*"
9,1970,773,3650," ",2271,"*"
9,1971,773,3100," ",1860,"*"
9,1972,773,3400," ",2040," "
9,1973,773,2150," ",1290," "
9,1974,773,2600," ",1740," "
9,1975,773,2270," ",1605," "
9,1976,773,2450," ",1536," "
9,1977,773,2250," ",1410," "
9,1978,773,2450," ",1470," "
9,1979,773,2250," ",1410," "
9,1980,773,2200," ",1320," "
9,1981,773,2250," ",1350," "
9,1982,773,2250,"F",1400,"F"
9,1983,773,2250,"F",1400,"F"
9,1984,773,2250,"F",1400,"F"
9,1985,773,2250,"F",1400,"F"
9,1986,773,2200,"F",1400,"F"
9,1987,773,2200,"F",1400,"F"
9,1988,773,2400,"F",1500,"F"
9,1989,773,2400,"F",1500,"F"
9,1990,773,2500,"F",1600,"F"
9,1991,773,2600,"F",1700,"F"
9,1992,773,2700,"F",1800,"F"
9,1993,773,2800,"F",1900,"F"
9,1994,773,2570,"E",2382,"E"
9,1995,773,2315,"E",2822,"E"
9,1996,773,2173,"E",2000,"F"
9,1997,773,2004,"E",1465,"E"
9,1998,773,1958,"E",1504,"E"
9,1999,773,2700,"F",1900,"F"
9,2000,773,2672,"E",1695,"E"
9,2001,773,2634,"E",1969,"E"
9,2002,773,2476,"E",1518,"E"
9,2003,773,2439,"E",1627,"E"
9,2004,773,2495,"E",2224,"E"
9,2005,773,2672,"E",2291,"E"
9,2006,773,2800,"F",2000,"F"
9,2007,773,2900,"F",2100,"F"
9,2008,773,2691,"E",2032,"E"
9,2009,773,2784,"E",2276,"E"
9,2010,773,2707,"E",2015,"E"
9,2011,773,2929,"E",2323,"E"
10,1961,773,168," ",147," "
10,1962,773,522," ",589," "
10,1963,773,69," ",67," "
10,1964,773,295," ",292," "
10,1965,773,0,"M",0,"M"
10,1966,773,0,"M",0,"M"
10,1967,773,0,"M",0,"M"
10,1968,773,0,"M",0,"M"
10,1969,773,0,"M",0,"M"
10,1970,773,0,"M",0,"M"
10,1971,773,0,"M",0,"M"
10,1972,773,0,"M",0,"M"
10,1973,773,0,"M",0,"M"
10,1974,773,0,"M",0,"M"
10,1975,773,0,"M",0,"M"
10,1976,773,0,"M",0,"M"
10,1977,773,0,"M",0,"M"
10,1978,773,0,"M",0,"M"
10,1979,773,0,"M",0,"M"
10,1980,773,0,"M",0,"M"
10,1981,773,0,"M",0,"M"
10,1982,773,0,"M",0,"M"
10,1983,773,0,"M",0,"M"
10,1984,773,0,"M",0,"M"
10,1985,773,0,"M",0,"M"
10,1986,773,0,"M",0,"M"
10,1987,773,0,"M",0,"M"
10,1988,773,0,"M",0,"M"
