"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
53,1961,94,8000," ",1875," "
53,1962,94,8000," ",2000," "
53,1963,94,8000," ",2335," "
53,1964,94,8000," ",2275," "
53,1965,94,8000," ",2000," "
53,1966,94,8000," ",2300," "
53,1967,94,8000," ",2300," "
53,1968,94,8000," ",2400," "
53,1969,94,8000," ",2400," "
53,1970,94,7400," ",2000," "
53,1971,94,7400," ",2000," "
53,1972,94,8500," ",2550," "
53,1973,94,7488," ",1492," "
53,1974,94,9000," ",2700," "
53,1975,94,6000,"F",2000,"F"
53,1976,94,6000,"F",2000,"F"
53,1977,94,6000,"F",2000,"F"
53,1978,94,6000,"F",2000,"F"
53,1979,94,6000,"F",2000,"F"
53,1980,94,6000,"F",2000,"F"
53,1981,94,6000,"F",2000,"F"
53,1982,94,6000,"F",2000,"F"
53,1983,94,4077," ",1388," "
53,1984,94,3887," ",2580," "
53,1985,94,4492," ",2897," "
53,1986,94,4846," ",3299," "
53,1987,94,5224," ",3657," "
53,1988,94,5810," ",3342," "
53,1989,94,4550," ",2918," "
53,1990,94,5632," ",4171," "
53,1991,94,5471," ",3958," "
53,1992,94,5672," ",3155," "
53,1993,94,4200,"F",2700," "
53,1994,94,3600,"F",2500," "
53,1995,94,2130," ",1429," "
53,1996,94,3039," ",1801," "
53,1997,94,2817," ",1613," "
53,1998,94,2671," ",1532," "
53,1999,94,2624," ",1511," "
53,2000,94,3579," ",2069," "
53,2001,94,2957," ",1676," "
53,2002,94,3571," ",2073," "
53,2003,94,2750," ",1534," "
53,2004,94,2675," ",1492," "
53,2005,94,3216," ",1884," "
53,2006,94,2900,"F",1347," "
53,2007,94,2732," ",1494," "
53,2008,94,3116," ",1855," "
53,2009,94,1718," ",947," "
53,2010,94,1466," ",815," "
53,2011,94,1214," ",747," "
75,1961,94,12000,"F",6000,"F"
75,1962,94,12000,"F",6000,"F"
75,1963,94,12000,"F",6000,"F"
75,1964,94,12500,"F",6500,"F"
75,1965,94,12500,"F",6500,"F"
75,1966,94,12500,"F",6500,"F"
75,1967,94,12500,"F",6500,"F"
75,1968,94,12500,"F",6800,"F"
75,1969,94,12500,"F",6800,"F"
75,1970,94,13000,"F",7000,"F"
75,1971,94,13000,"F",7000,"F"
75,1972,94,13000,"F",7000,"F"
75,1973,94,13500,"F",7400,"F"
75,1974,94,3000,"F",1500," "
75,1975,94,2400,"F",1200," "
