"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,619,0,"M",0,"M"
1,1962,619,0,"M",0,"M"
1,1963,619,0,"M",0,"M"
1,1964,619,0,"M",0,"M"
1,1965,619,0,"M",0,"M"
1,1966,619,0,"M",0,"M"
1,1967,619,0,"M",0,"M"
1,1968,619,0,"M",0,"M"
1,1969,619,0,"M",0,"M"
1,1970,619,0,"M",0,"M"
1,1971,619,0,"M",0,"M"
1,1972,619,0,"M",0,"M"
1,1973,619,0,"M",0,"M"
1,1974,619,0,"M",0,"M"
1,1975,619,0,"M",0,"M"
1,1976,619,0,"M",0,"M"
1,1977,619,0,"M",0,"M"
1,1978,619,0,"M",0,"M"
1,1979,619,0,"M",0,"M"
1,1980,619,0,"M",0,"M"
1,1981,619,0,"M",0,"M"
1,1982,619,0,"M",0,"M"
1,1983,619,0,"M",0,"M"
1,1984,619,0,"M",0,"M"
1,1985,619,0,"M",0,"M"
1,1986,619,0,"M",0,"M"
1,1987,619,0,"M",0,"M"
1,1988,619,0,"M",0,"M"
1,1989,619,0,"M",0,"M"
1,1990,619,0,"M",0,"M"
1,1991,619,0,"M",0,"M"
1,1992,619,1400,"*",1700,"*"
1,1993,619,1300,"*",600,"*"
1,1994,619,1500,"*",1600,"*"
1,1995,619,1700,"*",1900,"*"
1,1996,619,1400,"*",2000,"*"
1,1997,619,1000,"*",1500,"*"
1,1998,619,800,"*",2300,"*"
1,1999,619,900,"*",1600,"*"
1,2000,619,900,"*",1700,"*"
1,2001,619,700,"*",1500,"*"
1,2002,619,783," ",1153," "
1,2003,619,888," ",1730," "
1,2004,619,1669," ",3500,"*"
1,2005,619,1500,"*",5400,"*"
1,2006,619,1500,"*",6300,"*"
1,2007,619,364," ",1554," "
1,2008,619,363," ",1206," "
1,2009,619,383," ",1532," "
1,2010,619,400,"*",1200,"*"
1,2011,619,250,"*",1000,"*"
2,1961,619,13919,"F",71200,"F"
2,1962,619,13770," ",69000," "
2,1963,619,13620," ",71000," "
2,1964,619,14700," ",89000," "
2,1965,619,15410," ",98600," "
2,1966,619,16650,"F",110900," "
2,1967,619,19480," ",138400," "
2,1968,619,18380," ",138400," "
2,1969,619,18740," ",140500," "
2,1970,619,18690," ",135700," "
2,1971,619,18540," ",102800," "
2,1972,619,18520,"F",127500,"F"
