"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,603,0,"M",0,"M"
1,1962,603,0,"M",0,"M"
1,1963,603,0,"M",0,"M"
1,1964,603,0,"M",0,"M"
1,1965,603,0,"M",0,"M"
1,1966,603,0,"M",0,"M"
1,1967,603,0,"M",0,"M"
1,1968,603,0,"M",0,"M"
1,1969,603,0,"M",0,"M"
1,1970,603,0,"M",0,"M"
1,1971,603,0,"M",0,"M"
1,1972,603,0,"M",0,"M"
1,1973,603,0,"M",0,"M"
1,1974,603,0,"M",0,"M"
1,1975,603,0,"M",0,"M"
1,1976,603,0,"M",0,"M"
1,1977,603,0,"M",0,"M"
1,1978,603,0,"M",0,"M"
1,1979,603,0,"M",0,"M"
1,1980,603,0,"M",0,"M"
1,1981,603,0,"M",0,"M"
1,1982,603,0,"M",0,"M"
1,1983,603,0,"M",0,"M"
1,1984,603,0,"M",0,"M"
1,1985,603,0,"M",0,"M"
1,1986,603,0,"M",0,"M"
1,1987,603,0,"M",0,"M"
1,1988,603,0,"M",0,"M"
1,1989,603,0,"M",0,"M"
1,1990,603,0,"M",0,"M"
1,1991,603,0,"M",0,"M"
1,1992,603,500,"*",1500,"*"
1,1993,603,500,"*",600,"*"
1,1994,603,500,"*",1600,"*"
1,1995,603,600,"*",1800,"*"
1,1996,603,500,"*",1900,"*"
1,1997,603,300,"*",1400,"*"
1,1998,603,300,"*",2200,"*"
1,1999,603,300,"*",1500,"*"
1,2000,603,300,"*",1600,"*"
1,2001,603,200,"*",1400,"*"
1,2002,603,196," ",1026," "
1,2003,603,142," ",569," "
1,2004,603,547," ",2250,"*"
1,2005,603,510,"*",1800,"*"
1,2006,603,500,"*",2000,"*"
1,2007,603,500,"*",4900,"*"
1,2008,603,500,"*",4400,"*"
1,2009,603,500,"*",4400,"*"
1,2010,603,500,"*",4200,"*"
1,2011,603,500,"*",3200,"*"
4,1961,603,,,0," "
4,1962,603,,,0," "
4,1963,603,,,0," "
4,1964,603,,,0," "
4,1965,603,,,0," "
4,1966,603,,,5,"F"
4,1967,603,,,5,"F"
4,1968,603,,,10,"F"
4,1969,603,,,15,"F"
4,1970,603,,,10,"F"
4,1971,603,,,10,"F"
4,1972,603,,,20,"F"
4,1973,603,,,20,"F"
4,1974,603,,,10,"F"
4,1975,603,,,10,"F"
4,1976,603,,,5,"F"
4,1977,603,,,5,"F"
4,1978,603,,,0," "
4,1979,603,,,0," "
4,1980,603,,,0," "
4,1981,603,,,0," "
4,1982,603,,,0," "
4,1983,603,,,0," "
4,1984,603,,,0," "
4,1985,603,,,0," "
4,1986,603,,,0," "
4,1987,603,,,0," "
4,1988,603,,,0," "
4,1989,603,,,0," "
4,1990,603,,,0," "
4,1991,603,,,0," "
4,1992,603,,,0," "
4,1993,603,,,0,"M"
4,1994,603,,,0,"M"
4,1995,603,,,0,"M"
4,1996,603,,,0,"M"
4,1997,603,,,0,"M"
4,1998,603,,,0,"M"
4,1999,603,,,0,"M"
4,2000,603,,,0,"M"
4,2001,603,,,0,"M"
4,2002,603,,,0,"M"
4,2003,603,,,0,"M"
4,2004,603,,,0,"M"
4,2005,603,,,0,"M"
4,2006,603,,,0,"M"
4,2007,603,,,0,"M"
4,2008,603,,,0,"M"
4,2009,603,,,0,"M"
4,2010,603,,,0,"M"
4,2011,603,,,0,"M"
8,1961,603,0,"M",5700,"F"
8,1962,603,0,"M",5800,"F"
8,1963,603,0,"M",5900,"F"
8,1964,603,0,"M",6000,"F"
8,1965,603,0,"M",6100,"F"
8,1966,603,0,"M",6200,"F"
8,1967,603,0,"M",6300,"F"
8,1968,603,0,"M",6400,"F"
8,1969,603,0,"M",6500,"F"
8,1970,603,0,"M",6600,"F"
8,1971,603,0,"M",6700,"F"
8,1972,603,0,"M",6800,"F"
8,1973,603,0,"M",6900,"F"
8,1974,603,0,"M",7000,"F"
8,1975,603,0,"M",7100,"F"
8,1976,603,0,"M",7200,"F"
8,1977,603,0,"M",7300,"F"
8,1978,603,0,"M",7400,"F"
8,1979,603,0,"M",7400,"F"
8,1980,603,0,"M",7500,"F"
8,1981,603,0,"M",7600,"F"
8,1982,603,0,"M",7700,"F"
8,1983,603,0,"M",7800,"F"
8,1984,603,0,"M",7900,"F"
8,1985,603,1050,"F",8000,"F"
8,1986,603,1050,"F",8000,"F"
8,1987,603,1050,"F",8000,"F"
8,1988,603,1050,"F",8000,"F"
8,1989,603,950,"F",6000,"F"
8,1990,603,851,"E",6500,"F"
8,1991,603,849,"E",7000,"F"
8,1992,603,1069,"E",8801,"E"
8,1993,603,976,"E",10705,"E"
8,1994,603,973,"E",10739,"E"
8,1995,603,998,"E",7745,"E"
8,1996,603,938,"E",8845,"E"
8,1997,603,980,"F",7500,"F"
8,1998,603,951,"E",6337,"E"
8,1999,603,990,"F",7600,"F"
8,2000,603,1000,"F",7650,"F"
8,2001,603,994,"E",8001,"E"
8,2002,603,1010,"F",7750,"F"
8,2003,603,1020,"F",7800,"F"
8,2004,603,1030,"F",7900,"F"
8,2005,603,650,"F",5000,"F"
8,2006,603,700,"F",5500,"F"
8,2007,603,800,"F",6200,"F"
8,2008,603,850,"F",6500,"F"
8,2009,603,954,"E",6600,"F"
8,2010,603,950,"F",6800,"F"
8,2011,603,950,"F",6800,"F"
10,1961,603,0,"M",897,"F"
10,1962,603,0,"M",1025,"F"
10,1963,603,0,"M",1245,"F"
10,1964,603,0,"M",1683,"F"
10,1965,603,0,"M",1779,"F"
10,1966,603,0,"M",1902," "
10,1967,603,0,"M",1841," "
10,1968,603,0,"M",1824," "
10,1969,603,0,"M",2428," "
10,1970,603,0,"M",3151," "
10,1971,603,0,"M",3319," "
10,1972,603,0,"M",2748," "
10,1973,603,0,"M",3019," "
10,1974,603,0,"M",3704," "
10,1975,603,0,"M",3863," "
10,1976,603,0,"M",3407," "
10,1977,603,0,"M",3229," "
10,1978,603,0,"M",3334," "
10,1979,603,0,"M",3479,"*"
10,1980,603,0,"M",3794," "
10,1981,603,0,"M",4219,"*"
10,1982,603,0,"M",3613,"*"
10,1983,603,0,"M",4114," "
10,1984,603,0,"M",3458," "
10,1985,603,500,"F",4116," "
10,1986,603,500,"F",4706," "
10,1987,603,500,"F",4536," "
10,1988,603,500,"F",3940," "
10,1989,603,500,"F",3385," "
10,1990,603,470,"E",3038," "
10,1991,603,501,"E",3203," "
10,1992,603,517,"E",3012," "
10,1993,603,537,"E",4000,"F"
10,1994,603,558,"E",4107,"E"
10,1995,603,559,"E",5000,"F"
10,1996,603,574,"E",4000,"F"
10,1997,603,600,"F",6000,"F"
10,1998,603,640,"E",6213,"E"
10,1999,603,743,"E",6552,"E"
10,2000,603,842,"E",6926,"E"
10,2001,603,978,"E",7808,"E"
10,2002,603,1039,"E",7899,"E"
10,2003,603,1023,"E",7623,"E"
10,2004,603,1059,"E",8036,"E"
10,2005,603,1072,"E",8599,"E"
10,2006,603,1114,"E",8295,"E"
10,2007,603,1149,"E",7339,"E"
10,2008,603,1152,"E",8233,"E"
10,2009,603,1201,"E",7863,"E"
10,2010,603,1100,"E",7600,"E"
10,2011,603,1000,"F",6800,"F"
12,1961,603,0,"M",2300,"F"
12,1962,603,0,"M",2400,"F"
12,1963,603,0,"M",2500,"F"
12,1964,603,0,"M",2600,"F"
12,1965,603,0,"M",2700,"F"
12,1966,603,0,"M",2800,"F"
12,1967,603,0,"M",2900,"F"
12,1968,603,0,"M",3000,"F"
12,1969,603,0,"M",3100,"F"
12,1970,603,0,"M",3200,"F"
12,1971,603,0,"M",3300,"F"
12,1972,603,0,"M",3500,"F"
12,1973,603,0,"M",3600,"F"
12,1974,603,0,"M",3700,"F"
12,1975,603,0,"M",3800,"F"
12,1976,603,0,"M",3900,"F"
12,1977,603,0,"M",4300,"F"
12,1978,603,0,"M",4633," "
12,1979,603,0,"M",4600,"F"
12,1980,603,0,"M",4650,"F"
12,1981,603,0,"M",4680,"F"
12,1982,603,0,"M",4700,"F"
12,1983,603,0,"M",4720,"F"
12,1984,603,0,"M",4750,"F"
12,1985,603,550,"F",4800,"F"
12,1986,603,550,"F",4900,"F"
12,1987,603,550,"F",4800,"F"
12,1988,603,550,"F",4800,"F"
12,1989,603,550,"F",4700,"F"
12,1990,603,550,"F",4700,"F"
12,1991,603,492,"E",4500,"F"
12,1992,603,500,"F",4300,"F"
12,1993,603,456,"E",4000,"F"
12,1994,603,455,"E",4013,"E"
12,1995,603,467,"E",3500,"F"
12,1996,603,439,"E",3305,"E"
12,1997,603,442,"E",3403,"E"
12,1998,603,429,"E",3340,"E"
12,1999,603,426,"E",3433,"E"
12,2000,603,458,"E",3200,"F"
12,2001,603,450,"F",3500,"F"
12,2002,603,460,"E",3300,"F"
12,2003,603,500,"F",3600,"F"
12,2004,603,449,"E",3800,"F"
12,2005,603,405,"E",3224,"E"
