"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,406,0," ",0," "
1,1962,406,0," ",0," "
1,1963,406,0," ",0," "
1,1964,406,0," ",0," "
1,1965,406,0," ",0," "
1,1966,406,0," ",0," "
1,1967,406,0," ",0," "
1,1968,406,0," ",0," "
1,1969,406,0," ",0," "
1,1970,406,0," ",0," "
1,1971,406,0," ",0," "
1,1972,406,0," ",0," "
1,1973,406,0," ",0," "
1,1974,406,0," ",0," "
1,1975,406,0," ",0," "
1,1976,406,0," ",0," "
1,1977,406,0," ",0," "
1,1978,406,0," ",0," "
1,1979,406,0," ",0," "
1,1980,406,0," ",0," "
1,1981,406,0," ",0," "
1,1982,406,0," ",0," "
1,1983,406,0," ",0," "
1,1984,406,0," ",0," "
1,1985,406,0," ",0," "
1,1986,406,0," ",0," "
1,1987,406,0," ",0," "
1,1988,406,200,"*",2000,"*"
1,1989,406,200,"*",2000,"*"
1,1990,406,200,"*",2000,"*"
1,1991,406,500,"*",6000,"*"
1,1992,406,300,"*",6000,"*"
1,1993,406,400,"*",7000,"*"
1,1994,406,500,"*",8000,"*"
1,1995,406,500,"*",11000,"*"
1,1996,406,630,"*",15000,"*"
1,1997,406,1200,"*",12000,"*"
1,1998,406,1000,"*",14000,"*"
1,1999,406,909," ",6970," "
1,2000,406,867," ",6081," "
1,2001,406,750," ",6686," "
1,2002,406,675," ",5119," "
1,2003,406,761," ",6504," "
1,2004,406,753," ",7288," "
1,2005,406,781," ",8681," "
1,2006,406,844," ",9198," "
1,2007,406,841," ",9058," "
1,2008,406,882," ",9180," "
1,2009,406,866," ",9261.9," "
1,2010,406,898," ",8810," "
1,2011,406,1010," ",10575," "
3,1961,406,0,"M",0,"M"
3,1962,406,0,"M",0,"M"
3,1963,406,0,"M",0,"M"
3,1964,406,0,"M",0,"M"
3,1965,406,0,"M",0,"M"
3,1966,406,0,"M",0,"M"
3,1967,406,0,"M",0,"M"
3,1968,406,0,"M",0,"M"
3,1969,406,0,"M",0,"M"
3,1970,406,0,"M",0,"M"
3,1971,406,0,"M",0,"M"
3,1972,406,0,"M",0,"M"
3,1973,406,0,"M",0,"M"
3,1974,406,0,"M",0,"M"
3,1975,406,0,"M",0,"M"
3,1976,406,0,"M",0,"M"
3,1977,406,0,"M",0,"M"
3,1978,406,0,"M",0,"M"
3,1979,406,0,"M",0,"M"
3,1980,406,0,"M",0,"M"
3,1981,406,0,"M",0,"M"
3,1982,406,0,"M",0,"M"
3,1983,406,0,"M",0,"M"
3,1984,406,0,"M",0,"M"
3,1985,406,0,"M",0,"M"
3,1986,406,0,"M",0,"M"
3,1987,406,0,"M",0,"M"
3,1988,406,0,"M",0,"M"
3,1989,406,0,"M",0,"M"
3,1990,406,600,"*",3900,"*"
3,1991,406,450,"*",3000,"*"
3,1992,406,650,"*",4600,"*"
3,1993,406,750,"*",5200,"*"
3,1994,406,800,"*",5800,"*"
3,1995,406,800,"*",5800,"*"
3,1996,406,750,"*",4800,"*"
3,1997,406,900,"*",6000,"*"
3,1998,406,900,"*",6000,"*"
3,1999,406,900,"*",5900,"*"
3,2000,406,1000,"*",6200,"*"
3,2001,406,1000,"*",6500,"*"
3,2002,406,1000,"*",6700,"*"
3,2003,406,1200," ",8000," "
3,2004,406,1000," ",7000," "
3,2005,406,1000," ",7000," "
3,2006,406,265," ",5917," "
3,2007,406,300,"*",6000," "
3,2008,406,840," ",6660," "
3,2009,406,877," ",7044," "
3,2010,406,902," ",8132," "
3,2011,406,1586," ",15330," "
4,1961,406,0," ",0," "
4,1962,406,0," ",0," "
4,1963,406,0," ",0," "
4,1964,406,0," ",0," "
4,1965,406,0," ",0," "
4,1966,406,0," ",0," "
4,1967,406,0," ",0," "
4,1968,406,0," ",0," "
4,1969,406,0," ",0," "
4,1970,406,0," ",0," "
4,1971,406,0," ",0," "
4,1972,406,0," ",0," "
4,1973,406,0," ",0," "
4,1974,406,800,"F",1000,"F"
4,1975,406,1600,"F",2000,"F"
4,1976,406,2000,"F",3000,"F"
4,1977,406,2600,"F",5000,"F"
4,1978,406,3000,"F",7000,"F"
4,1979,406,3600,"F",7900,"F"
4,1980,406,4000,"F",8900,"F"
4,1981,406,4650," ",9980," "
4,1982,406,4330," ",9215," "
4,1983,406,3690," ",7766," "
4,1984,406,4930," ",11097," "
4,1985,406,6660," ",18262," "
4,1986,406,6590," ",15783," "
4,1987,406,6960," ",17629," "
4,1988,406,7310," ",18646," "
4,1989,406,8480," ",29453," "
4,1990,406,7740," ",21755," "
4,1991,406,7250," ",25762," "
4,1992,406,7670," ",25833," "
4,1993,406,8240," ",34300," "
4,1994,406,8420," ",29866," "
4,1995,406,8440," ",30274," "
4,1996,406,8350," ",28743," "
4,1997,406,7810," ",26526," "
4,1998,406,8060," ",29658," "
4,1999,406,8220," ",29562," "
4,2000,406,8930," ",35605," "
4,2001,406,8790," ",33428," "
4,2002,406,8960," ",36063," "
4,2003,406,9600,"*",42004," "
4,2004,406,10444," ",52320," "
4,2005,406,10848," ",46436," "
4,2006,406,11433," ",53513," "
4,2007,406,11976," ",54583," "
4,2008,406,11456," ",55925," "
4,2009,406,11193," ",59932," "
4,2010,406,10574," ",64494," "
4,2011,406,9503," ",53981," "
9,1961,406,8000," ",31800," "
9,1962,406,7000," ",30200," "
9,1963,406,7000," ",33700," "
9,1964,406,9000," ",43800," "
9,1965,406,8000," ",41400," "
9,1966,406,8290," ",41400," "
9,1967,406,8216," ",42400," "
9,1968,406,8380," ",41200," "
9,1969,406,9360," ",46100," "
9,1970,406,10480," ",49200," "
9,1971,406,10390," ",49300," "
9,1972,406,10830," ",50800," "
9,1973,406,11300," ",54600," "
9,1974,406,12900," ",66900," "
9,1975,406,13240," ",67700," "
9,1976,406,13550," ",68600," "
9,1977,406,14500," ",73000," "
9,1978,406,17000," ",79000," "
9,1979,406,16820," ",81000," "
9,1980,406,18700," ",95000," "
9,1981,406,14400," ",69000," "
9,1982,406,7200," ",37700," "
9,1983,406,8595," ",48100," "
9,1984,406,9785," ",50600," "
9,1985,406,7286," ",36600," "
9,1986,406,6284," ",31700," "
9,1987,406,7192," ",41700," "
9,1988,406,7030," ",36000," "
9,1989,406,5970," ",33100," "
9,1990,406,6415," ",40350," "
9,1991,406,10500," ",74000," "
9,1992,406,12695," ",92350," "
9,1993,406,11435," ",76495," "
9,1994,406,9800," ",88203," "
9,1995,406,7900," ",73596," "
9,1996,406,9710," ",91580," "
9,1997,406,12087," ",116598," "
9,1998,406,15717," ",148120," "
9,1999,406,13900,"F",145000," "
9,2000,406,15500,"F",149186," "
9,2001,406,13500,"F",133818," "
9,2002,406,13000,"F",125228," "
9,2003,406,14500,"F",145891," "
9,2004,406,14000,"F",142735," "
9,2005,406,13725,"E",116441," "
9,2006,406,15500,"F",135505," "
9,2007,406,15600,"F",140000,"F"
9,2008,406,14147,"E",125139,"E"
9,2009,406,14407,"E",121701,"E"
9,2010,406,14392,"E",129494,"E"
9,2011,406,15000,"F",120000,"F"
11,1961,406,0,"M",0,"M"
11,1962,406,0,"M",0,"M"
11,1963,406,0,"M",0,"M"
11,1964,406,0,"M",0,"M"
11,1965,406,0,"M",0,"M"
11,1966,406,0,"M",0,"M"
11,1967,406,0,"M",0,"M"
11,1968,406,0,"M",0,"M"
11,1969,406,0,"M",0,"M"
11,1970,406,0,"M",0,"M"
11,1971,406,0,"M",0,"M"
11,1972,406,0,"M",0,"M"
11,1973,406,0,"M",0,"M"
11,1974,406,0,"M",0,"M"
11,1975,406,0,"M",0,"M"
11,1976,406,0,"M",0,"M"
11,1977,406,0,"M",0,"M"
11,1978,406,0,"M",0,"M"
11,1979,406,0,"M",0,"M"
11,1980,406,0,"M",0,"M"
11,1981,406,0,"M",0,"M"
11,1982,406,0,"M",0,"M"
11,1983,406,0,"M",0,"M"
11,1984,406,0,"M",0,"M"
11,1985,406,0,"M",0,"M"
11,1986,406,0,"M",0,"M"
11,1987,406,0,"M",0,"M"
11,1988,406,0,"M",0,"M"
11,1989,406,0,"M",0,"M"
11,1990,406,0,"M",0,"M"
11,1991,406,0,"M",0,"M"
11,1992,406,0,"M",0,"M"
11,1993,406,0,"M",0,"M"
11,1994,406,0,"M",0,"M"
11,1995,406,10,"F",100," "
11,1996,406,20,"F",200," "
11,1997,406,20,"F",200," "
11,1998,406,10,"F",100," "
11,1999,406,10,"F",100," "
11,2000,406,10,"F",100," "
11,2001,406,20,"F",200," "
11,2002,406,20,"F",200," "
11,2003,406,20," ",184," "
11,2004,406,22," ",204," "
11,2005,406,24," ",231," "
11,2006,406,23," ",232," "
11,2007,406,22," ",222," "
11,2008,406,30," ",276," "
11,2009,406,36," ",263," "
11,2010,406,45," ",308," "
11,2011,406,76," ",483," "
16,1961,406,9700," ",33600," "
16,1962,406,9700," ",34500," "
16,1963,406,10900," ",35200," "
16,1964,406,10500," ",34000," "
16,1965,406,10500," ",36500," "
16,1966,406,13800," ",50800," "
16,1967,406,14600," ",54900," "
16,1968,406,14600," ",54900," "
16,1969,406,14600," ",54900," "
16,1970,406,14200," ",54900," "
16,1971,406,13400," ",49800," "
16,1972,406,13000," ",43700," "
