"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
16,1961,720,3000,"F",20000,"F"
16,1962,720,3300,"F",22000,"F"
16,1963,720,3600,"F",24000,"F"
16,1964,720,3900,"F",26000,"F"
16,1965,720,4200,"F",28000,"F"
16,1966,720,4400,"F",30000,"F"
16,1967,720,4700,"F",32000,"F"
16,1968,720,5000,"F",34000,"F"
16,1969,720,5030," ",36867," "
16,1970,720,5042," ",37362," "
16,1971,720,5018," ",36600," "
16,1972,720,4916," ",34597," "
16,1973,720,5148," ",35212," "
16,1974,720,5271," ",36223," "
16,1975,720,5405," ",36925," "
16,1976,720,5350," ",35684," "
16,1977,720,5306," ",35193," "
16,1978,720,5306," ",34842," "
16,1979,720,5625," ",37091," "
16,1980,720,5706," ",37293," "
16,1981,720,5486," ",34419," "
16,1982,720,6532," ",41150," "
16,1983,720,6418," ",38573," "
16,1984,720,6311," ",38813," "
16,1985,720,6236," ",39620," "
16,1986,720,6330," ",40960," "
16,1987,720,6172," ",40485," "
16,1988,720,6271," ",38000," "
16,1989,720,6475," ",38976," "
16,1990,720,6967," ",42830," "
16,1991,720,7017," ",42680," "
16,1992,720,7056," ",41535," "
16,1993,720,7064," ",41940," "
16,1994,720,6900," ",40000," "
16,1995,720,6900," ",39000," "
16,1996,720,7700," ",39000," "
16,1997,720,7700," ",39000," "
16,1998,720,7700," ",39000," "
16,1999,720,6879," ",38000," "
16,2000,720,6879," ",38000," "
16,2001,720,7290," ",42000," "
16,2002,720,7689," ",43000," "
16,2003,720,7573," ",42825," "
16,2004,720,7917," ",48185," "
16,2005,720,7715," ",49405," "
16,2006,720,8093," ",57000," "
16,2007,720,8338," ",63325," "
16,2008,720,9416," ",77046," "
16,2009,720,9017," ",72608," "
16,2010,720,9066," ",74841," "
16,2011,720,9116," ",74380," "
18,1961,720,0," ",0," "
18,1962,720,0," ",0," "
18,1963,720,0," ",0," "
18,1964,720,0," ",0," "
18,1965,720,0," ",0," "
18,1966,720,0," ",0," "
18,1967,720,0," ",0," "
18,1968,720,0," ",0," "
18,1969,720,0," ",0," "
18,1970,720,0," ",0," "
18,1971,720,0," ",0," "
18,1972,720,0," ",0," "
18,1973,720,0," ",0," "
18,1974,720,0," ",0," "
18,1975,720,0," ",0," "
18,1976,720,0," ",0," "
18,1977,720,0," ",0," "
18,1978,720,0," ",0," "
18,1979,720,0," ",0," "
18,1980,720,300,"F",2900,"F"
18,1981,720,350,"F",3400,"F"
18,1982,720,380,"F",3700,"F"
18,1983,720,400,"F",3900,"F"
18,1984,720,464," ",4541," "
18,1985,720,450,"F",4400,"F"
18,1986,720,430,"F",4200,"F"
18,1987,720,400,"F",3900,"F"
18,1988,720,360," ",3500,"F"
18,1989,720,350,"F",3100,"F"
18,1990,720,337,"E",3086,"E"
18,1991,720,381,"E",3491,"E"
18,1992,720,379,"E",3715,"E"
