"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
11,1961,549,0,"M",1000,"F"
11,1962,549,0,"M",1000,"F"
11,1963,549,0,"M",1000,"F"
11,1964,549,0,"M",1000,"F"
11,1965,549,0,"M",1000,"F"
11,1966,549,0,"M",1000,"F"
11,1967,549,0,"M",1000,"F"
11,1968,549,0,"M",1100,"F"
11,1969,549,0,"M",1100,"F"
11,1970,549,0,"M",1298," "
11,1971,549,0,"M",1309," "
11,1972,549,0,"M",1171," "
11,1973,549,0,"M",1383," "
11,1974,549,0,"M",1491," "
11,1975,549,0,"M",1424," "
11,1976,549,0,"M",1118," "
11,1977,549,0,"M",688," "
11,1978,549,0,"M",1039," "
11,1979,549,0,"M",1051," "
11,1980,549,0,"M",1187," "
11,1981,549,0,"M",1028," "
11,1982,549,0,"M",1181," "
11,1983,549,0,"M",1300," "
11,1984,549,0,"M",1395," "
11,1985,549,250,"F",1319," "
11,1986,549,250,"F",1104," "
11,1987,549,250,"F",1276," "
11,1988,549,250,"F",1351," "
11,1989,549,305,"F",1491," "
11,1990,549,350,"F",1641," "
11,1991,549,350,"F",1838," "
11,1992,549,350,"F",1909," "
11,1993,549,350,"F",1850," "
11,1994,549,350,"F",1502," "
11,1995,549,350,"F",1930," "
11,1996,549,350,"F",1634," "
11,1997,549,350,"F",1633," "
11,1998,549,350,"F",1673," "
11,1999,549,350,"F",1668," "
11,2000,549,350,"F",1815," "
11,2001,549,350,"F",1694," "
11,2002,549,350,"F",1535," "
11,2003,549,350,"F",1536," "
11,2004,549,350,"F",1693," "
11,2005,549,350,"F",1657," "
11,2006,549,350,"F",1756," "
11,2007,549,350,"F",1867," "
11,2008,549,350,"F",1815," "
11,2009,549,343,"E",1654," "
11,2010,549,345,"E",1654,"F"
11,2011,549,348,"E",2359.38235,"*"
51,1961,549,0,"M",5000,"F"
51,1962,549,0,"M",4000,"F"
51,1963,549,0,"M",5000,"F"
51,1964,549,0,"M",4828," "
51,1965,549,0,"M",4837," "
51,1966,549,0,"M",5983," "
51,1967,549,0,"M",5880," "
51,1968,549,0,"M",6673," "
51,1969,549,0,"M",6857," "
51,1970,549,0,"M",7730," "
51,1971,549,0,"M",5687," "
51,1972,549,0,"M",5242," "
51,1973,549,0,"M",7391," "
51,1974,549,0,"M",6826," "
51,1975,549,0,"M",7774," "
51,1976,549,0,"M",5861," "
51,1977,549,0,"M",3842," "
51,1978,549,0,"M",6550," "
51,1979,549,0,"M",7494," "
51,1980,549,0,"M",9600," "
51,1981,549,0,"M",8545," "
51,1982,549,0,"M",11516," "
51,1983,549,0,"M",13621," "
51,1984,549,0,"M",12421," "
51,1985,549,2350,"F",12596," "
51,1986,549,2350,"F",12193," "
51,1987,549,2365,"F",13521," "
51,1988,549,2365,"F",13029," "
51,1989,549,2560,"F",15043," "
51,1990,549,2365,"F",13802," "
51,1991,549,2405,"F",13477," "
51,1992,549,2400,"F",14000,"*"
51,1993,549,0,"M",0,"F"
51,1994,549,0,"M",0,"T"
51,1995,549,0,"M",0,"T"
51,1996,549,0,"M",0,"T"
51,1997,549,0,"M",0,"T"
51,1998,549,0,"M",0,"T"
51,1999,549,0,"M",0,"T"
51,2000,549,0,"M",0,"T"
51,2001,549,0,"M",0,"T"
51,2002,549,0,"M",0,"T"
51,2003,549,0,"M",0,"T"
51,2004,549,0,"M",0,"T"
51,2005,549,0,"M",0,"T"
51,2006,549,0,"M",0,"T"
51,2007,549,0,"M",0,"T"
51,2008,549,0,"M",0,"T"
51,2009,549,0,"M",0,"T"
51,2010,549,0,"M",0,"T"
