"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
4,1961,507,700,"F",6000," "
4,1962,507,650,"F",5000," "
4,1963,507,530,"F",4000," "
4,1964,507,580,"F",4905," "
4,1965,507,560,"F",4786," "
4,1966,507,550,"F",4647," "
4,1967,507,500,"F",4315," "
4,1968,507,600,"F",5165," "
4,1969,507,540,"F",4590," "
4,1970,507,500,"F",4442," "
4,1971,507,400,"F",3605," "
4,1972,507,520,"F",4436," "
4,1973,507,450,"F",3689," "
4,1974,507,500,"F",4175," "
4,1975,507,550,"F",4563," "
4,1976,507,630,"F",5344," "
4,1977,507,500,"F",4316," "
4,1978,507,500,"F",4186," "
4,1979,507,480,"F",4070," "
4,1980,507,540,"F",4572," "
4,1981,507,270,"F",2290," "
4,1982,507,160,"F",1388," "
4,1983,507,450,"F",3845," "
4,1984,507,320,"F",2759," "
4,1985,507,180,"F",1550," "
4,1986,507,220,"F",1806," "
4,1987,507,260,"F",2217," "
4,1988,507,360,"F",3100," "
4,1989,507,360,"F",3090," "
4,1990,507,290," ",2919," "
4,1991,507,180," ",1406," "
4,1992,507,330," ",2282," "
4,1993,507,260," ",2499," "
4,1994,507,250," ",2410," "
4,1995,507,260," ",2484," "
4,1996,507,210," ",2156," "
4,1997,507,170," ",1483," "
4,1998,507,150," ",1384," "
4,1999,507,140," ",1637," "
4,2000,507,140," ",1379," "
4,2001,507,100," ",1146," "
4,2002,507,100," ",1534," "
4,2003,507,92," ",1733," "
4,2004,507,93," ",1771," "
4,2005,507,93," ",1551," "
4,2006,507,94," ",2530," "
4,2007,507,91," ",1010," "
4,2008,507,93," ",1044," "
4,2009,507,86," ",1139," "
4,2010,507,79," ",1656," "
4,2011,507,83," ",2040," "
9,1961,507,0,"M",40000," "
9,1962,507,0,"M",47000," "
9,1963,507,0,"M",50000," "
9,1964,507,0,"M",60000," "
9,1965,507,0,"M",72000," "
9,1966,507,0,"M",84000," "
9,1967,507,0,"M",82000," "
9,1968,507,0,"M",84000," "
9,1969,507,0,"M",112300," "
9,1970,507,0,"M",131100," "
9,1971,507,0,"M",143700," "
9,1972,507,0,"M",140000," "
9,1973,507,0,"M",179400," "
9,1974,507,0,"M",177000," "
9,1975,507,0,"M",185000," "
9,1976,507,0,"M",180000," "
9,1977,507,0,"M",170000," "
9,1978,507,0,"M",145000," "
9,1979,507,0,"M",134000," "
9,1980,507,13700," ",164000," "
9,1981,507,14100," ",150000," "
9,1982,507,13150," ",147600," "
9,1983,507,12800," ",147000," "
9,1984,507,12600," ",145000," "
9,1985,507,12400," ",173700," "
9,1986,507,11950," ",177900," "
9,1987,507,11499," ",174400," "
9,1988,507,9900," ",176100," "
9,1989,507,9200," ",154700," "
9,1990,507,9100," ",166580," "
9,1991,507,10392," ",203900," "
9,1992,507,9305," ",191900," "
9,1993,507,10033," ",196540," "
9,1994,507,11539," ",228671," "
9,1995,507,9533," ",195918," "
9,1996,507,9599," ",166784," "
9,1997,507,9440," ",232766," "
9,1998,507,9343," ",216073," "
9,1999,507,10748,"*",205270," "
9,2000,507,11700,"*",217905," "
9,2001,507,12000,"*",199489," "
9,2002,507,12000,"*",204751," "
9,2003,507,12000,"*",184162," "
9,2004,507,12000,"*",177210," "
9,2005,507,12500,"F",272704," "
9,2006,507,11500,"F",240000,"*"
9,2007,507,10500,"F",220000,"*"
9,2008,507,14000,"F",243695," "
9,2009,507,13500,"F",237479," "
9,2010,507,7685," ",188820," "
9,2011,507,7490,"E",189182,"E"
10,1961,507,486," ",7956," "
10,1962,507,486," ",7956," "
10,1963,507,481," ",9492," "
10,1964,507,498," ",9035," "
10,1965,507,475," ",8865," "
10,1966,507,480," ",9268," "
10,1967,507,495," ",8505," "
10,1968,507,514," ",10608," "
10,1969,507,551," ",10202," "
10,1970,507,584," ",13842," "
10,1971,507,660,"F",13333," "
10,1972,507,820,"F",16111," "
10,1973,507,980,"F",16119," "
10,1974,507,1110,"F",17149," "
10,1975,507,1160,"F",17582," "
10,1976,507,1140,"F",20213," "
10,1977,507,1140,"F",21492," "
10,1978,507,1080,"F",22834," "
10,1979,507,1070,"F",26387," "
10,1980,507,1010,"F",27881,"*"
10,1981,507,1020,"F",30435," "
10,1982,507,1050,"F",30592," "
10,1983,507,1100,"F",30660," "
10,1984,507,1040,"F",31386," "
10,1985,507,1010,"F",31176," "
10,1986,507,1000,"F",35000," "
10,1987,507,1000,"F",32107," "
10,1988,507,950,"F",33170," "
10,1989,507,930,"F",29234," "
10,1990,507,980,"F",30474," "
10,1991,507,910,"F",26244," "
10,1992,507,920,"F",26695," "
10,1993,507,790,"F",24612," "
10,1994,507,860,"F",21045," "
10,1995,507,500,"F",11950," "
10,1996,507,700,"F",22947,"*"
10,1997,507,750,"F",12010,"*"
10,1998,507,800,"F",17394,"*"
10,1999,507,928,"E",15521,"*"
10,2000,507,1052,"E",13400," "
10,2001,507,1221,"E",12000,"F"
10,2002,507,1298,"E",14000,"F"
10,2003,507,1278,"E",17575," "
10,2004,507,1323,"E",15117," "
10,2005,507,1339,"E",19559," "
10,2006,507,1392,"E",14893," "
10,2007,507,725," ",10475," "
10,2008,507,750,"F",11000,"F"
10,2009,507,776,"E",10681," "
10,2010,507,747,"E",10400,"E"
10,2011,507,764,"E",9217," "
12,1961,507,0,"M",0,"M"
12,1962,507,0,"M",0,"M"
12,1963,507,0,"M",0,"M"
12,1964,507,0,"M",0,"M"
12,1965,507,0,"M",0,"M"
12,1966,507,0,"M",0,"M"
12,1967,507,0,"M",0,"M"
12,1968,507,0,"M",0,"M"
12,1969,507,0,"M",0,"M"
12,1970,507,0,"M",0,"M"
12,1971,507,0,"M",0,"M"
12,1972,507,0,"M",0,"M"
12,1973,507,0,"M",0,"M"
12,1974,507,0,"M",0,"M"
12,1975,507,0,"M",0,"M"
12,1976,507,0,"M",0,"M"
12,1977,507,0,"M",0,"M"
12,1978,507,0,"M",0,"M"
12,1979,507,0,"M",0,"M"
12,1980,507,0,"M",0,"M"
12,1981,507,0,"M",0,"M"
12,1982,507,0,"M",0,"M"
12,1983,507,0,"M",0,"M"
12,1984,507,0,"M",0,"M"
12,1985,507,0,"M",0,"M"
12,1986,507,0,"M",0,"M"
12,1987,507,0,"M",0,"M"
12,1988,507,0,"M",0,"M"
12,1989,507,0,"M",0,"M"
12,1990,507,50,"F",1000,"F"
12,1991,507,50,"F",1000,"F"
12,1992,507,95,"F",2000,"F"
12,1993,507,180,"F",4000,"F"
12,1994,507,305,"F",7000,"F"
12,1995,507,550,"F",13000,"F"
12,1996,507,550,"F",13000,"F"
12,1997,507,632," ",11252," "
12,1998,507,550,"F",12108," "
12,1999,507,560,"F",14389," "
12,2000,507,500,"F",11715," "
12,2001,507,500,"F",12500,"F"
12,2002,507,480,"F",12000,"F"
12,2003,507,490,"F",12500,"F"
12,2004,507,520,"F",15500,"F"
12,2005,507,500,"F",15000,"F"
12,2006,507,530,"F",18000,"F"
12,2007,507,650,"F",24000,"F"
12,2008,507,630,"F",23000,"F"
12,2009,507,500,"F",17302,"E"
12,2010,507,520," ",20402," "
12,2011,507,521," ",20402," "
16,1961,507,500,"F",2000,"F"
16,1962,507,500,"F",2000,"F"
16,1963,507,600,"F",2500,"F"
16,1964,507,600,"F",2500,"F"
16,1965,507,600,"F",2500,"F"
16,1966,507,700,"F",3000,"F"
16,1967,507,700,"F",3000,"F"
16,1968,507,700,"F",3000,"F"
16,1969,507,700,"F",3000,"F"
16,1970,507,700,"F",3000,"F"
16,1971,507,700,"F",3000,"F"
16,1972,507,700,"F",3000,"F"
16,1973,507,771," ",3370," "
16,1974,507,816," ",3321," "
16,1975,507,866," ",3428," "
16,1976,507,884," ",3551," "
16,1977,507,933," ",3547," "
16,1978,507,991," ",3769," "
16,1979,507,1038," ",4079," "
16,1980,507,1062," ",4104," "
16,1981,507,1107," ",4257," "
16,1982,507,1207," ",4481," "
16,1983,507,1422," ",5680," "
16,1984,507,1476," ",6874," "
16,1985,507,1766," ",7265," "
16,1986,507,1875," ",7620," "
16,1987,507,1995," ",7830," "
16,1988,507,2230," ",6720," "
16,1989,507,2320," ",6465," "
16,1990,507,2367," ",6690," "
16,1991,507,2513," ",7205," "
16,1992,507,2687," ",7820," "
16,1993,507,2843," ",8660," "
16,1994,507,3274," ",10035," "
16,1995,507,3565," ",10980," "
16,1996,507,4071," ",12775," "
16,1997,507,4316," ",14100," "
16,1998,507,4494," ",14895," "
16,1999,507,4451," ",15000," "
16,2000,507,4856," ",16000," "
16,2001,507,5263," ",17000," "
16,2002,507,5263," ",17000," "
16,2003,507,5666," ",18000," "
16,2004,507,5670," ",18000," "
16,2005,507,12000," ",66000," "
16,2006,507,8100," ",54195," "
16,2007,507,6111," ",54190," "
16,2008,507,4810," ",50668," "
16,2009,507,6780," ",55951," "
16,2010,507,7130," ",58468," "
16,2011,507,7460," ",59198," "
19,1961,507,0," ",0," "
19,1962,507,0," ",0," "
19,1963,507,0," ",0," "
19,1964,507,0," ",0," "
19,1965,507,0," ",0," "
19,1966,507,0," ",0," "
19,1967,507,0," ",0," "
19,1968,507,0," ",0," "
19,1969,507,0," ",0," "
19,1970,507,0," ",0," "
19,1971,507,0," ",0," "
19,1972,507,0," ",0," "
19,1973,507,0," ",0," "
19,1974,507,0," ",0," "
19,1975,507,0," ",0," "
19,1976,507,0," ",0," "
19,1977,507,0," ",0," "
19,1978,507,0," ",0," "
19,1979,507,0," ",0," "
19,1980,507,1685," ",21645," "
19,1981,507,1620," ",20890," "
19,1982,507,1630," ",21070," "
19,1983,507,1660," ",21215," "
19,1984,507,1820," ",21490," "
19,1985,507,1899," ",23670," "
19,1986,507,2035," ",23883," "
19,1987,507,2181," ",24098," "
19,1988,507,2000," ",25300," "
19,1989,507,2010," ",25150," "
19,1990,507,2035," ",25340," "
19,1991,507,2050," ",25960," "
19,1992,507,2055," ",26070," "
