"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
4,1961,242,0," ",0," "
4,1962,242,0," ",0," "
4,1963,242,0," ",0," "
4,1964,242,0," ",0," "
4,1965,242,0," ",0," "
4,1966,242,0," ",0," "
4,1967,242,0," ",0," "
4,1968,242,0," ",0," "
4,1969,242,0," ",0," "
4,1970,242,0," ",0," "
4,1971,242,0," ",0," "
4,1972,242,0," ",0," "
4,1973,242,0," ",0," "
4,1974,242,0," ",0," "
4,1975,242,0," ",0," "
4,1976,242,0," ",0," "
4,1977,242,0," ",0," "
4,1978,242,0," ",0," "
4,1979,242,0," ",0," "
4,1980,242,0," ",0," "
4,1981,242,0," ",0," "
4,1982,242,0," ",0," "
4,1983,242,0," ",0," "
4,1984,242,0," ",0," "
4,1985,242,0," ",0," "
4,1986,242,600,"F",657," "
4,1987,242,900,"F",990," "
4,1988,242,900,"F",993," "
4,1989,242,1290," ",1628," "
4,1990,242,1510," ",1877," "
4,1991,242,1860," ",2014," "
4,1992,242,2220," ",3610," "
4,1993,242,3030," ",3255," "
4,1994,242,2840," ",3328," "
4,1995,242,2650," ",3093," "
4,1996,242,2880," ",3078," "
4,1997,242,2290," ",2383," "
4,1998,242,3380," ",4135," "
4,1999,242,4260," ",4749," "
4,2000,242,4020," ",3894," "
4,2001,242,4250," ",4621," "
4,2002,242,3750," ",4616," "
4,2003,242,3380," ",3842," "
4,2004,242,4081," ",4269," "
4,2005,242,2837," ",3304," "
4,2006,242,2718," ",2995," "
4,2007,242,2683," ",3319," "
4,2008,242,2840," ",3222," "
4,2009,242,2574," ",3057," "
4,2010,242,2524," ",3385," "
4,2011,242,2552," ",3037," "
7,1961,242,33184,"F",22498,"*"
7,1962,242,49000,"F",33021,"*"
7,1963,242,51000,"F",34500,"*"
7,1964,242,44000,"F",29900,"*"
7,1965,242,47000,"F",31800,"*"
7,1966,242,47000,"F",32000,"*"
7,1967,242,47000,"F",32000,"*"
7,1968,242,47000,"F",32000,"*"
7,1969,242,35000,"F",16000," "
7,1970,242,35000,"F",18000," "
7,1971,242,40000,"*",25000,"*"
7,1972,242,40000,"*",18000,"*"
7,1973,242,40000,"*",25000,"*"
7,1974,242,40000,"*",20000,"*"
7,1975,242,40000,"*",20000,"*"
7,1976,242,40000,"F",18000,"F"
7,1977,242,40000,"F",20000,"F"
7,1978,242,40000,"F",20000,"F"
7,1979,242,40000,"F",20000,"F"
7,1980,242,40000,"F",20000,"F"
7,1981,242,38000,"F",19000,"F"
7,1982,242,38000,"F",19000,"F"
