"areaCode","year","itemCode","productionValue","productionSymb"
21,1961,839,8500,"F"
21,1962,839,6000," "
21,1963,839,4000," "
21,1964,839,5000," "
21,1965,839,7000," "
21,1966,839,4964," "
21,1967,839,6395," "
21,1968,839,4278," "
21,1969,839,4080," "
21,1970,839,5857," "
21,1971,839,14607," "
21,1972,839,6000,"F"
21,1973,839,4174," "
21,1974,839,4764," "
21,1975,839,4109," "
21,1976,839,7296," "
21,1977,839,5450," "
21,1978,839,6413," "
21,1979,839,5991," "
21,1980,839,3909," "
21,1981,839,3943," "
21,1982,839,6103," "
21,1983,839,5481," "
21,1984,839,5254," "
21,1985,839,2843," "
21,1986,839,3400," "
21,1987,839,1841," "
21,1988,839,1272," "
21,1989,839,1254," "
21,1990,839,870," "
21,1991,839,491," "
21,1992,839,333," "
21,1993,839,173," "
21,1994,839,157," "
21,1995,839,170," "
21,1996,839,54," "
21,1997,839,58," "
21,1998,839,41," "
21,1999,839,41," "
21,2000,839,42," "
21,2001,839,44," "
21,2002,839,48," "
21,2003,839,50,"F"
21,2004,839,55,"F"
21,2005,839,55,"F"
21,2006,839,55,"F"
21,2007,839,55,"F"
21,2008,839,55,"T"
21,2009,839,55,"T"
21,2010,839,55,"T"
21,2011,839,55,"T"
91,1961,839,320,"F"
91,1962,839,360,"F"
91,1963,839,340,"F"
91,1964,839,340,"F"
91,1965,839,340,"F"
91,1966,839,320,"F"
91,1967,839,380,"F"
91,1968,839,216,"*"
91,1969,839,267,"*"
91,1970,839,305,"*"
91,1971,839,350,"F"
91,1972,839,400,"F"
91,1973,839,400,"F"
91,1974,839,400,"F"
91,1975,839,410,"F"
91,1976,839,420,"F"
91,1977,839,420,"F"
91,1978,839,430,"F"
91,1979,839,430,"F"
91,1980,839,440,"F"
91,1981,839,440,"F"
91,1982,839,450,"F"
91,1983,839,450,"F"
91,1984,839,460,"F"
91,1985,839,460,"F"
91,1986,839,460,"F"
91,1987,839,460,"F"
91,1988,839,460,"F"
91,1989,839,480,"F"
91,1990,839,480,"F"
91,1991,839,480,"F"
91,1992,839,500,"F"
91,1993,839,500,"F"
91,1994,839,500,"F"
91,1995,839,500,"F"
91,1996,839,500,"F"
91,1997,839,500,"F"
91,1998,839,500,"F"
91,1999,839,500,"F"
91,2000,839,500,"F"
91,2001,839,500,"F"
91,2002,839,500,"F"
91,2003,839,500,"F"
91,2004,839,500,"F"
91,2005,839,500,"F"
91,2006,839,500,"F"
91,2007,839,500,"F"
91,2008,839,500,"F"
91,2009,839,500,"F"
91,2010,839,500,"F"
91,2011,839,500,"F"
138,1961,839,2100,"F"
138,1962,839,2000,"F"
138,1963,839,1800,"F"
138,1964,839,1000,"F"
138,1965,839,1700,"F"
138,1966,839,1200,"F"
138,1967,839,1387," "
138,1968,839,1781," "
138,1969,839,2387," "
138,1970,839,2280," "
138,1971,839,1761," "
138,1972,839,2262," "
138,1973,839,2600,"F"
138,1974,839,2800,"F"
138,1975,839,3000,"F"
138,1976,839,3500,"F"
138,1977,839,4000,"F"
138,1978,839,4500,"F"
138,1979,839,5000,"F"
138,1980,839,5527," "
138,1981,839,10521," "
138,1982,839,9000,"F"
138,1983,839,7000,"F"
138,1984,839,6000,"F"
138,1985,839,5000,"*"
138,1986,839,5000,"*"
138,1987,839,10000,"F"
138,1988,839,15000,"F"
138,1989,839,21943," "
138,1990,839,22574," "
138,1991,839,21362," "
138,1992,839,22706," "
138,1993,839,28334," "
138,1994,839,31527," "
138,1995,839,18214," "
138,1996,839,19716," "
138,1997,839,22406," "
138,1998,839,16846," "
138,1999,839,20561," "
138,2000,839,21562," "
138,2001,839,22547," "
138,2002,839,19372," "
138,2003,839,26986," "
138,2004,839,27254," "
138,2005,839,24750," "
138,2006,839,24145," "
138,2007,839,27709," "
138,2008,839,29112," "
138,2009,839,31794," "
138,2010,839,32097," "
138,2011,839,38243," "
236,1961,839,353," "
236,1962,839,281," "
236,1963,839,111," "
236,1964,839,265," "
236,1965,839,361," "
236,1966,839,247," "
236,1967,839,86," "
236,1968,839,178," "
236,1969,839,113," "
236,1970,839,258," "
236,1971,839,162," "
236,1972,839,114," "
236,1973,839,72," "
236,1974,839,3," "
236,1975,839,0,"F"
236,1976,839,0," "
236,1977,839,0," "
236,1978,839,0," "
236,1979,839,0," "
236,1980,839,0," "
236,1981,839,0," "
236,1982,839,0," "
236,1983,839,0," "
236,1984,839,0," "
236,1985,839,0," "
236,1986,839,0," "
236,1987,839,0," "
236,1988,839,0," "
236,1989,839,0," "
236,1990,839,0," "
236,1991,839,0," "
236,1992,839,0," "
236,1993,839,0,"M"
236,1994,839,0,"M"
236,1995,839,0,"M"
236,1996,839,0,"M"
236,1997,839,0,"M"
236,1998,839,0,"M"
236,1999,839,0,"M"
236,2000,839,0,"M"
236,2001,839,0,"M"
236,2002,839,0,"M"
236,2003,839,0,"M"
236,2004,839,0,"M"
236,2005,839,0,"M"
236,2006,839,0,"M"
236,2007,839,0,"M"
236,2008,839,0,"M"
236,2009,839,0,"M"
236,2010,839,0,"M"
236,2011,839,0,"M"
