"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,225,0,"M",0,"M"
1,1962,225,0,"M",0,"M"
1,1963,225,0,"M",0,"M"
1,1964,225,0,"M",0,"M"
1,1965,225,0,"M",0,"M"
1,1966,225,0,"M",0,"M"
1,1967,225,0,"M",0,"M"
1,1968,225,0,"M",0,"M"
1,1969,225,0,"M",0,"M"
1,1970,225,0,"M",0,"M"
1,1971,225,0,"M",0,"M"
1,1972,225,0,"M",0,"M"
1,1973,225,0,"M",0,"M"
1,1974,225,0,"M",0,"M"
1,1975,225,0,"M",0,"M"
1,1976,225,0,"M",0,"M"
1,1977,225,0,"M",0,"M"
1,1978,225,0,"M",0,"M"
1,1979,225,0,"M",0,"M"
1,1980,225,0,"M",0,"M"
1,1981,225,0,"M",0,"M"
1,1982,225,0,"M",0,"M"
1,1983,225,0,"M",0,"M"
1,1984,225,0,"M",0,"M"
1,1985,225,0,"M",0,"M"
1,1986,225,0,"M",0,"M"
1,1987,225,0,"M",0,"M"
1,1988,225,0,"M",0,"M"
1,1989,225,0,"M",0,"M"
1,1990,225,0,"M",0,"M"
1,1991,225,0,"M",0,"M"
1,1992,225,0,"M",0,"M"
1,1993,225,0,"M",0,"M"
1,1994,225,0,"M",0,"M"
1,1995,225,0,"M",0,"M"
1,1996,225,0,"M",0,"M"
1,1997,225,0,"M",0,"M"
1,1998,225,0,"M",0,"M"
1,1999,225,0,"M",0,"M"
1,2000,225,0,"M",0,"M"
1,2001,225,0,"M",0,"M"
1,2002,225,0,"M",0,"M"
1,2003,225,0,"M",0,"M"
1,2004,225,0,"M",0,"M"
1,2005,225,0,"M",0,"M"
1,2006,225,0,"M",0,"M"
1,2007,225,112," ",414," "
1,2008,225,113," ",497," "
1,2009,225,117," ",544," "
1,2010,225,120,"F",500,"F"
1,2011,225,130,"F",540,"F"
27,1961,225,0,"M",35," "
27,1962,225,0,"M",37," "
27,1963,225,0,"M",25," "
27,1964,225,0,"M",42," "
27,1965,225,0,"M",38," "
27,1966,225,0,"M",60," "
27,1967,225,0,"M",50,"F"
27,1968,225,0,"M",35,"F"
27,1969,225,0,"M",20,"F"
27,1970,225,0,"M",10,"F"
27,1971,225,0,"M",84," "
27,1972,225,0,"M",7," "
27,1973,225,0,"M",6," "
27,1974,225,0,"M",5," "
27,1975,225,0,"M",29," "
27,1976,225,0,"M",26," "
27,1977,225,0,"M",16," "
27,1978,225,0,"M",27," "
27,1979,225,0,"M",11," "
27,1980,225,0,"M",21," "
27,1981,225,0,"M",18," "
27,1982,225,0,"M",476," "
27,1983,225,0,"M",36," "
27,1984,225,0,"M",49," "
27,1985,225,0,"M",7," "
27,1986,225,0,"M",51," "
27,1987,225,0,"M",58," "
27,1988,225,0,"M",94," "
27,1989,225,0,"M",207," "
27,1990,225,0,"M",188," "
27,1991,225,0,"M",83," "
27,1992,225,0,"M",0,"F"
27,1993,225,0,"M",0,"M"
27,1994,225,0,"M",0,"M"
27,1995,225,0,"M",0,"M"
27,1996,225,0,"M",0,"M"
27,1997,225,0,"M",0,"M"
27,1998,225,0,"M",0,"M"
27,1999,225,0,"M",0,"M"
27,2000,225,0,"M",0,"M"
27,2001,225,0,"M",0,"M"
27,2002,225,0,"M",0,"M"
27,2003,225,120," ",15," "
27,2004,225,106," ",20," "
27,2005,225,255," ",23," "
27,2006,225,376," ",52," "
27,2007,225,702," ",17," "
27,2008,225,700," ",20,"F"
27,2009,225,601,"E",23," "
27,2010,225,171," ",8," "
27,2011,225,606," ",21," "
32,1961,225,0,"M",0," "
32,1962,225,0,"M",0," "
32,1963,225,0,"M",0," "
32,1964,225,0,"M",0," "
32,1965,225,0,"M",0," "
32,1966,225,0,"M",0," "
32,1967,225,0,"M",0," "
32,1968,225,0,"M",0," "
32,1969,225,0,"M",0," "
32,1970,225,0,"M",0," "
32,1971,225,0,"M",0," "
32,1972,225,0,"M",0," "
